capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,18.4298,16.8747,2.5863,18.6726,576.0,49312.0,2892.9844
121,18.6504,17.0019,2.2848,17.644,577.0,55820.0,2892.9844
122,17.671,17.0506,2.3146,16.3979,577.0,52108.0,2892.9844
123,16.2809,16.7938,2.0546,17.6669,577.0,49324.0,2892.9844
124,17.7202,16.8309,1.9364,16.7448,576.0,51168.0,2892.9844
125,16.6717,16.8584,1.5253,17.2362,578.0,84519.0,2892.9844
126,17.3898,17.1295,1.8802,16.8109,577.0,53740.0,2892.9844
127,16.9345,16.9498,1.8579,17.7601,576.0,49312.0,2892.9844
128,17.6051,16.9483,2.0524,17.0687,581.0,49328.0,2892.9844
129,17.1255,16.5827,1.9412,17.2923,580.0,49780.0,2892.9844
130,17.2511,17.0847,2.4052,18.1552,581.0,54144.0,2892.9844
131,18.085,16.1322,1.7621,15.9187,579.0,50622.0,2892.9844
132,15.9118,16.0569,1.9447,16.8547,578.0,49314.0,2892.9844
133,16.8441,16.3881,1.9724,17.2323,579.0,49326.0,2892.9844
134,17.2577,16.1457,2.0762,15.6255,576.0,49312.0,2892.9844
135,15.5963,16.4074,2.0427,16.9134,577.0,51180.0,2892.9844
136,17.1453,16.1112,2.1995,16.2746,576.0,49312.0,2892.9844
137,16.012,16.109,1.7036,17.4338,576.0,55440.0,2892.9844
138,17.4529,16.3847,1.7368,16.7099,576.0,61309.0,2892.9844
139,16.7545,16.1049,1.8001,17.1412,577.0,59896.0,2892.9844
140,17.1166,16.0796,1.751,15.8438,577.0,71912.0,2892.9844
141,16.0386,16.6194,1.8515,17.1977,576.0,52188.0,2892.9844
142,17.1164,16.6549,1.903,17.8677,576.0,55568.0,2892.9844
143,17.8166,16.341,1.8751,16.3324,576.0,55240.0,2892.9844
144,16.3503,16.1017,2.0517,17.3274,580.0,53230.0,2892.9844
145,17.2538,16.2651,1.9103,15.9681,593.0,73244.0,2892.9844
146,16.0457,16.1645,1.6444,16.9809,580.0,109480.0,2892.9844
147,16.8686,16.3627,1.6074,16.5675,583.0,79898.0,2892.9844
148,16.7087,16.1848,1.9502,16.3049,576.0,55780.0,2892.9844
149,16.189,16.2621,1.6247,17.165,577.0,58606.0,2892.9844
150,17.2751,16.1424,1.8422,16.8168,573.0,49632.0,2892.9844
151,16.6995,16.1106,1.604,16.3061,575.0,53076.0,2892.9844
152,16.3978,16.3155,1.8819,16.8818,576.0,53188.0,2892.9844
153,16.8471,16.1139,1.855,16.849,576.0,50048.0,2892.9844
154,16.8617,16.4221,1.8238,17.2023,576.0,51152.0,2892.9844
155,17.1791,16.2796,1.8848,16.4732,576.0,49312.0,2892.9844
156,16.4678,16.1024,2.0194,16.7898,576.0,50048.0,2892.9844
157,16.7591,16.1306,1.815,16.2394,576.0,49776.0,2892.9844
158,16.2835,16.389,2.3045,18.2787,576.0,49312.0,2892.9844
159,18.3055,16.1494,2.3447,15.3452,577.0,54146.0,2892.9844
160,15.3001,16.107,1.9782,16.3649,584.0,57605.0,2892.9844
161,16.3669,16.2677,1.7224,16.9369,580.0,50708.0,2892.9844
162,16.9612,16.1394,1.899,16.4804,589.0,73322.0,2892.9844
163,16.5713,16.1167,1.8689,16.6804,580.0,57239.0,2892.9844
164,16.5638,16.2247,1.8146,16.939,580.0,52168.0,2892.9844
165,16.9291,16.1332,2.037,16.2911,580.0,49338.0,2892.9844
166,16.3332,16.1229,1.6809,16.6399,577.0,50252.0,2892.9844
167,16.6206,16.6098,1.7403,17.546,578.0,50264.0,2892.9844
168,17.5645,16.474,2.4534,16.6194,577.0,49324.0,2892.9844
169,16.5529,16.2871,1.9821,16.7906,582.0,53542.0,2892.9844
170,16.8162,16.1427,1.9966,16.843,577.0,52108.0,2892.9844
171,16.8478,16.1822,1.8612,16.4163,576.0,49776.0,2892.9844
172,16.4225,16.1325,1.7593,16.7402,576.0,49776.0,2892.9844
173,16.8291,16.3567,1.7262,16.6226,584.0,66628.0,2892.9844
174,16.5362,16.0966,1.7429,16.8347,577.0,51012.0,2892.9844
175,16.8491,16.2495,2.0433,16.7406,577.0,49324.0,2892.9844
176,16.7579,16.0454,1.8741,17.2434,582.0,49340.0,2892.9844
177,17.2855,16.2188,2.1079,16.0246,580.0,49316.0,2892.9844
178,15.9466,16.1197,1.8715,16.7067,580.0,49316.0,2892.9844
179,16.7078,16.293,1.9757,16.3094,578.0,49314.0,2892.9844
180,16.2844,16.1015,1.7445,17.0957,578.0,53486.0,2892.9844
181,17.1648,16.1105,1.8955,16.6926,585.0,101354.0,2892.9844
182,16.6551,16.321,2.1234,16.7623,581.0,101116.0,2892.9844
183,16.8071,16.7776,2.0557,17.4718,576.0,77376.0,2892.9844
184,17.4833,16.8485,1.9883,17.5087,576.0,49312.0,2892.9844
185,17.5258,16.6886,2.0767,16.8245,578.0,49336.0,2892.9844
186,16.7467,16.904,1.9331,16.9226,577.0,49324.0,2892.9844
187,16.9391,17.4547,1.9621,18.4095,576.0,49312.0,2892.9844
188,18.4926,16.6844,2.1716,16.5706,574.0,49216.0,2892.9844
189,16.5848,16.7035,2.3277,18.0213,574.0,49144.0,2892.9844
190,18.049,16.7231,2.55,16.9467,576.0,49312.0,2892.9844
191,16.8655,17.0644,2.6512,18.9835,573.0,49168.0,2892.9844
192,18.9942,16.7117,2.252,17.2482,560.0,48116.0,2892.9844
193,17.2512,17.4826,2.2169,16.7421,553.0,47648.0,2892.9844
194,16.7446,16.7404,1.9354,17.8027,558.0,47948.0,2892.9844
195,17.7814,16.6985,1.928,16.7078,578.0,49314.0,2892.9844
196,16.7529,16.8944,2.0133,17.8798,579.0,49326.0,2892.9844
197,17.765,17.2045,1.7943,18.1177,578.0,49314.0,2892.9844
198,18.2048,16.9769,1.8881,16.4275,576.0,49312.0,2892.9844
199,16.3725,16.6546,2.4831,17.4995,578.0,49336.0,2892.9844
200,17.4911,16.8893,1.8543,17.2498,577.0,56284.0,2892.9844
201,17.3124,16.6793,2.0256,17.2276,576.0,51632.0,2892.9844
202,17.1945,16.9293,1.6853,17.0589,576.0,49312.0,2892.9844
203,17.0934,17.002,1.8599,17.9913,577.0,55381.0,2892.9844
204,18.0479,16.7543,1.9779,17.0921,576.0,81766.0,2892.9844
205,17.0922,16.9916,2.2967,17.4987,578.0,52280.0,2892.9844
206,17.4299,17.0898,2.094,17.4357,577.0,49324.0,2892.9844
207,17.4056,16.964,2.1028,18.369,577.0,49324.0,2892.9844
208,18.4632,16.4352,2.1226,16.4865,580.0,51076.0,2892.9844
209,16.3901,16.6121,2.227,17.7266,580.0,52836.0,2892.9844
210,18.1164,16.4855,2.6779,16.5004,580.0,50612.0,2892.9844
211,16.1197,16.1058,2.2117,15.9572,578.0,49314.0,2892.9844
212,15.9592,16.2988,2.001,17.3715,578.0,49314.0,2892.9844
213,17.3563,16.1187,2.0369,16.1796,578.0,51170.0,2892.9844
214,16.2704,16.1441,1.9325,16.9633,576.0,49312.0,2892.9844
215,16.8913,16.2778,1.845,16.7635,576.0,53885.0,2892.9844
216,16.7921,16.1473,2.1343,16.1257,576.0,51497.0,2892.9844
217,16.1137,16.0885,1.9201,16.7182,577.0,60815.0,2892.9844
218,16.6029,16.3267,1.6185,17.0938,576.0,62568.0,2893.2344
219,17.161,16.1932,1.6781,16.868,577.0,69104.0,2893.2344
220,16.8871,18.2378,2.1431,18.8227,576.0,52924.0,2893.2344
221,18.8805,16.4781,2.1186,15.985,576.0,56416.0,2893.2344
222,15.9514,16.1857,1.792,17.7057,578.0,57028.0,2893.2344
223,17.7175,16.3954,1.8651,16.6227,577.0,53252.0,2893.2344
224,16.6173,16.056,2.0964,17.8071,593.0,71540.0,2893.2344
225,18.3651,16.7195,2.2736,16.3808,580.0,110538.0,2893.2344
226,15.8651,16.5053,1.9136,16.8167,583.0,77124.0,2893.2344
227,16.78,16.1843,1.774,16.3082,576.0,57438.0,2893.2344
228,16.386,16.3553,1.8533,16.3994,577.0,56948.0,2893.2344
229,16.3003,16.1197,1.6643,17.0613,576.0,50050.0,2893.2344
230,17.0842,16.0472,1.6995,17.6151,576.0,53824.0,2893.2344
231,17.68,16.119,2.089,15.4837,577.0,52096.0,2893.2344
232,15.3959,16.3409,2.0449,16.9798,576.0,50416.0,2893.2344
233,16.9965,16.0942,1.6793,17.0258,577.0,50796.0,2893.2344
234,17.0876,16.316,1.7231,16.5049,577.0,49692.0,2893.2344
235,16.5395,16.1149,1.9381,15.7014,576.0,49680.0,2893.2344
236,15.6254,16.1134,1.8812,17.0901,578.0,49800.0,2893.2344
237,17.0853,16.6083,1.8031,17.2086,577.0,50428.0,2893.2344
238,17.3218,16.4732,2.0179,17.7204,576.0,53030.0,2893.2344
239,17.6778,16.2873,1.8451,16.8032,581.0,58077.0,2893.2344
240,16.7261,16.3002,2.0257,17.094,582.0,50834.0,2893.2344
241,17.0559,16.1601,1.6854,16.586,589.0,73712.0,2893.2344
242,16.7376,16.7312,1.9786,16.8706,582.0,56285.0,2893.2344
243,16.7561,16.3286,1.8895,16.7207,578.0,52144.0,2893.2344
244,16.7657,16.093,1.9483,16.1521,579.0,49326.0,2893.2344
245,16.135,16.3644,1.7905,16.8665,578.0,50242.0,2893.2344
246,16.8542,16.1271,1.8028,16.6242,577.0,50252.0,2893.2344
247,16.631,16.1363,1.7868,16.8059,578.0,49336.0,2893.2344
248,16.8418,16.0958,2.0315,16.7528,581.0,54458.0,2893.2344
249,16.7087,16.3513,1.9579,16.6176,577.0,51180.0,2893.2344
250,16.5875,16.1057,1.897,16.6042,576.0,49776.0,2893.2344
251,16.6679,17.1028,1.8007,17.8958,576.0,49776.0,2893.2344
252,17.912,16.1743,1.8801,16.189,584.0,66628.0,2893.2344
253,16.0647,16.2964,1.8458,17.4151,576.0,51000.0,2893.2344
254,17.5349,16.1173,1.9414,16.5991,577.0,49324.0,2893.2344
255,16.5138,16.1187,1.9341,17.7266,576.0,49312.0,2893.2344
256,17.7863,16.6082,2.0952,16.2281,580.0,49316.0,2893.2344
257,16.2228,16.7271,1.8743,16.7871,580.0,49316.0,2893.2344
258,16.7935,16.1979,1.8963,16.6939,580.0,50912.0,2893.2344
259,16.6235,16.3542,1.6294,16.8759,578.0,55450.0,2893.2344
260,16.9831,16.0733,1.7743,16.5452,587.0,106242.0,2893.2344
261,16.5076,16.1459,2.0834,17.1096,584.0,92706.0,2893.2344
262,17.1339,16.3652,2.0703,16.3637,576.0,77376.0,2893.2344
263,16.4061,16.1288,1.8883,16.281,577.0,49324.0,2893.2344
264,16.3317,16.1353,1.7617,16.8662,578.0,49336.0,2893.2344
265,16.8398,16.3518,1.6845,16.7905,576.0,49312.0,2893.2344
266,16.6988,16.1135,1.8602,16.8876,576.0,49312.0,2893.2344
267,16.8831,16.1137,1.6844,16.2494,572.0,49084.0,2893.2344
268,16.2034,16.3294,1.6403,16.2905,576.0,49276.0,2893.2344
269,16.3011,16.1074,1.718,18.0629,576.0,49276.0,2893.2344
270,18.063,16.4848,1.8245,16.5848,577.0,49252.0,2893.2344
271,16.6277,16.1467,1.7961,16.3729,558.0,48184.0,2893.2344
272,16.3952,16.3128,1.6477,16.7832,552.0,47588.0,2893.2344
273,16.7511,16.7678,1.8148,18.1719,574.0,48956.0,2893.2344
274,18.272,16.1736,1.9394,16.6823,580.0,49316.0,2893.2344
275,16.6401,16.3277,1.8367,16.0896,578.0,49314.0,2893.2344
276,16.0413,16.116,1.9263,15.9621,579.0,49326.0,2893.2344
277,15.9111,16.1231,1.7015,17.7855,578.0,49314.0,2893.2344
278,17.8448,16.3066,1.7391,16.5195,577.0,53036.0,2893.2344
279,16.484,16.6981,1.7657,16.9298,576.0,54416.0,2893.2344
280,16.9401,16.1151,1.9172,16.5056,577.0,49788.0,2893.2344
281,16.4985,16.3357,1.7836,17.3149,576.0,51702.0,2893.2344
282,17.3917,16.3962,2.1898,16.5783,576.0,73205.0,2893.2344
283,16.5319,16.1065,1.6837,16.7383,576.0,63748.0,2893.2344
284,16.7082,16.3043,1.7832,17.0105,577.0,50060.0,2893.2344
