capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,17.4273,16.9048,2.1761,17.2282,565.0,34460.0,2893.5078
121,17.149,16.9611,1.9827,17.3969,564.0,34912.0,2893.5078
122,17.3666,16.7603,2.0038,16.9997,565.0,34066.0,2893.5078
123,17.0851,17.1839,2.2084,18.0395,564.0,39639.0,2893.5078
124,17.9936,16.8159,1.9156,17.7851,564.0,51144.0,2893.5078
125,17.7804,16.5849,2.1986,17.2425,563.0,48718.0,2893.5078
126,17.2754,17.6917,1.9593,17.3112,564.0,32904.0,2893.5078
127,17.3699,17.0413,1.9936,17.579,566.0,33240.0,2893.5078
128,17.5681,16.4971,1.9245,16.7723,564.0,32592.0,2893.5078
129,16.7127,16.6883,1.8534,17.3321,565.0,32604.0,2893.5078
130,17.3237,16.6218,1.8754,17.6338,568.0,32596.0,2893.5078
131,17.6145,16.8008,1.8583,17.1443,568.0,32964.0,2893.5078
132,17.161,16.9191,1.8645,17.6928,567.0,43768.0,2893.5078
133,17.7332,16.8579,1.8338,17.6308,568.0,50694.0,2893.5078
134,17.6329,16.8054,1.984,17.1897,569.0,52640.0,2893.5078
135,17.1071,16.8814,2.0015,17.4983,566.0,34862.0,2893.5078
136,17.5798,16.6138,1.8357,17.137,563.0,34768.0,2893.5078
137,17.0794,17.138,1.8971,16.944,564.0,34838.0,2893.5078
138,17.0133,17.0916,1.9099,17.5937,564.0,32712.0,2893.5078
139,17.5606,16.9785,2.3808,17.9363,564.0,32592.0,2893.5078
140,17.9719,17.1298,2.0774,18.1546,564.0,32592.0,2893.5078
141,18.241,17.1008,2.083,17.4509,565.0,34770.0,2893.5078
142,17.3608,17.2113,2.3395,17.6417,565.0,44090.0,2893.5078
143,17.614,17.435,2.2734,18.5126,567.0,52267.0,2893.5078
144,18.58,16.9415,1.9124,16.9028,574.0,47516.0,2893.5078
145,16.8262,17.1832,1.9791,17.8697,560.0,44042.0,2893.5078
146,17.8881,17.2743,1.7715,18.0901,567.0,51208.0,2893.5078
