capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,16.2313,14.978,2.219,14.7644,275.0,6298.0,2803.5312
121,14.7804,14.9862,1.8951,16.4057,277.0,6278.0,2803.5312
122,16.5064,14.6745,1.7221,15.3966,307.0,34614.0,2803.5312
123,15.2891,14.8536,1.8153,15.6295,280.0,6458.0,2803.5312
124,15.6219,15.0635,1.6577,15.5291,277.0,6396.0,2803.5312
125,15.6297,15.2351,2.3938,16.0539,277.0,6396.0,2803.5312
126,15.9135,14.8757,1.6257,15.1458,276.0,6288.0,2803.5312
127,15.1778,15.2145,1.7627,16.9809,273.0,6274.0,2803.5312
128,17.0483,15.3408,1.8726,15.8194,308.0,8374.0,2803.5312
129,15.8446,16.8556,1.8862,17.2101,308.0,9484.0,2803.5312
130,17.1007,15.0263,1.8228,14.8713,308.0,36332.0,2803.5312
131,15.0338,15.2232,2.0783,16.3106,296.0,39356.0,2803.5312
132,16.2205,15.234,2.0393,15.7186,306.0,31942.0,2803.5312
133,15.6507,15.3883,2.0189,16.113,311.0,18631.0,2803.5312
134,16.1617,15.5959,1.9439,16.1058,310.0,18306.0,2803.5312
135,16.1091,15.2469,2.2284,15.9101,308.0,8374.0,2803.5312
136,16.0127,15.1413,2.1967,15.9135,308.0,8374.0,2803.5312
137,15.7896,15.2469,1.7963,15.6821,315.0,10261.0,2803.5312
138,15.6386,15.0784,1.6359,15.7726,315.0,10849.0,2803.5312
139,15.8015,15.3922,1.901,15.8975,317.0,14284.0,2803.5312
140,15.9341,15.1793,1.6312,16.0074,310.0,9428.0,2803.5312
141,16.0193,16.578,1.7255,17.346,310.0,8376.0,2803.5312
142,17.3634,15.4249,1.6677,16.2533,312.0,8400.0,2803.5312
143,16.2839,15.359,1.8997,17.2364,311.0,19945.0,2803.5312
144,17.1785,15.2324,1.9278,14.2361,309.0,13926.0,2803.5312
145,14.2295,14.9979,1.882,15.9959,312.0,15501.0,2803.5312
146,15.9669,14.9786,1.8253,15.813,309.0,8386.0,2803.5312
147,15.865,15.0022,1.743,15.1211,309.0,8386.0,2803.5312
148,15.0796,14.8323,1.8766,16.8823,313.0,12816.0,2803.5312
149,16.9318,15.3419,1.7806,15.3731,308.0,11082.0,2803.5312
150,15.3425,17.0181,1.8017,17.6175,308.0,12770.0,2803.5312
151,17.6111,15.2767,1.8815,16.2214,308.0,10214.0,2803.5312
152,16.2861,15.242,1.9067,15.4385,309.0,8850.0,2803.5312
153,15.3332,15.4434,1.7368,16.7017,312.0,8378.0,2803.5312
154,16.7319,15.4255,1.7759,15.9414,313.0,8390.0,2803.5312
155,15.9438,15.4138,1.7592,15.8221,312.0,8378.0,2803.5312
156,15.8189,15.2376,1.6853,16.5057,314.0,13974.0,2803.5312
157,16.5553,15.3231,1.9634,14.8202,313.0,12115.0,2803.5312
158,14.7415,15.2884,1.8561,15.9476,314.0,13542.0,2803.5312
159,15.983,15.1602,2.0443,15.672,318.0,27880.0,2803.5312
160,15.6938,15.5424,1.9709,16.2088,318.0,19910.0,2803.5312
161,16.2295,15.259,1.9511,15.8315,315.0,21620.0,2803.5312
162,15.8197,16.5076,1.8752,17.4256,311.0,10573.0,2803.5312
163,17.4235,15.4862,1.7555,15.8867,309.0,8760.0,2803.5312
164,15.8885,15.1985,1.7421,15.6241,282.0,6934.0,2803.5312
165,15.657,15.1452,1.6911,16.0426,285.0,7210.0,2803.5312
166,16.0164,15.4627,1.823,16.0004,273.0,6274.0,2803.5312
167,15.9719,15.0062,1.6481,15.8763,310.0,9790.0,2803.5312
168,15.8442,15.1648,1.5418,16.0735,308.0,10230.0,2803.5312
169,16.1386,15.1973,1.7605,15.5887,287.0,6878.0,2803.5312
170,15.5946,15.4275,1.8614,15.9801,279.0,6350.0,2803.5312
171,15.9346,14.8126,1.942,15.7723,277.0,6278.0,2803.5312
172,15.8109,14.8915,1.7321,15.9136,276.0,6288.0,2803.5312
173,15.9007,14.5318,2.0113,15.4164,275.0,6276.0,2803.5312
174,15.4465,15.2213,1.7153,16.0178,276.0,6288.0,2803.5312
175,16.0094,16.8121,1.9833,17.0809,304.0,34670.0,2803.5312
176,17.1224,15.348,1.9565,18.3856,277.0,6418.0,2803.5312
177,18.3463,15.2869,1.9169,14.0842,278.0,6526.0,2803.5312
178,14.1076,15.4191,1.9757,16.188,274.0,6286.0,2803.5312
179,16.2001,15.3298,1.9363,15.6113,273.0,6274.0,2803.5312
180,15.5854,15.3771,1.9147,16.5066,274.0,6286.0,2803.5312
181,16.5686,15.3514,2.0887,15.6272,309.0,8386.0,2803.5312
182,15.5262,15.1993,2.2383,15.5356,308.0,9484.0,2803.5312
183,15.5798,17.0377,2.3516,17.3145,309.0,36344.0,2803.5312
184,17.3692,15.2425,2.2011,15.992,309.0,46466.0,2803.5312
185,15.9115,15.2471,2.1617,15.9719,312.0,27948.0,2803.5312
186,15.9772,15.5365,2.4051,16.3824,314.0,18453.0,2803.5312
187,16.405,15.4504,2.3549,16.1777,312.0,16100.0,2803.5312
188,16.1655,16.1363,1.8976,17.0707,310.0,8376.0,2803.5312
189,17.0676,15.5013,1.949,15.3987,311.0,8388.0,2803.5312
190,15.4158,15.2394,1.9126,15.9364,314.0,12582.0,2803.5312
191,15.9591,15.1573,1.7734,15.8454,311.0,10381.0,2803.5312
192,15.8182,15.3441,1.7889,15.6629,310.0,12861.0,2803.5312
193,15.6717,15.1768,1.8462,16.0835,308.0,8962.0,2803.5312
194,16.1153,15.1915,1.8824,15.6975,308.0,8374.0,2803.5312
195,15.6559,16.9518,1.8543,17.5832,310.0,16289.0,2803.5312
196,17.5827,15.2468,1.8328,16.1343,310.0,12350.0,2803.5312
197,16.1388,14.8399,1.9236,15.8292,309.0,13618.0,2803.5312
198,15.8939,14.8543,1.8693,15.6587,310.0,15477.0,2803.5312
199,15.6369,14.5035,1.743,16.2905,309.0,8386.0,2803.5312
200,16.2563,15.016,1.8103,16.4775,309.0,9074.0,2803.5312
201,16.4541,15.3592,1.7806,16.1533,316.0,14272.0,2803.5312
202,16.1446,15.3921,1.8638,15.3303,314.0,9700.0,2803.5312
203,15.3404,15.579,1.7726,16.6183,312.0,13184.0,2803.5312
204,16.6152,15.5254,1.7758,15.7154,311.0,9540.0,2803.5312
205,15.7369,15.265,1.7616,16.0072,310.0,8376.0,2803.5312
206,15.9902,15.3378,1.8482,15.8369,310.0,8376.0,2803.5312
207,15.8879,15.4539,1.8877,16.2638,310.0,8398.0,2803.5312
208,16.2703,16.7208,1.9666,17.3884,310.0,11637.0,2803.5312
209,17.3848,15.556,1.9617,16.1776,310.0,11173.0,2803.5312
210,16.1171,15.4284,1.9251,15.4549,311.0,12577.0,2803.5312
211,15.4838,15.158,1.8137,16.0461,317.0,21462.0,2803.5312
212,16.1411,15.5209,1.8513,16.0578,317.0,22922.0,2803.5312
213,16.0583,15.423,1.9071,15.6755,316.0,16722.0,2803.5312
214,15.5246,15.1862,1.9615,15.7141,315.0,21098.0,2803.5312
215,15.75,15.5734,1.9359,16.5565,305.0,10261.0,2803.5312
216,16.5686,15.3397,1.9088,15.6774,303.0,8458.0,2803.5312
217,15.6699,15.416,2.0246,16.2474,285.0,6926.0,2803.5312
218,16.287,15.6597,1.7461,16.4731,288.0,6938.0,2803.5312
219,16.4489,15.6821,2.2148,15.9962,277.0,6278.0,2803.5312
220,15.9835,17.0718,1.8913,18.2877,311.0,9780.0,2803.5312
221,18.3376,15.5249,2.0437,15.8742,310.0,10232.0,2803.5312
222,15.7871,15.2509,1.8114,15.761,285.0,6876.0,2803.5312
223,15.7993,15.3187,1.7908,16.0518,276.0,6358.0,2803.5312
224,16.1018,15.4183,1.8574,15.9495,274.0,6286.0,2803.5312
225,15.9131,15.1007,1.8359,15.6942,274.0,6286.0,2803.5312
226,15.6806,15.2508,1.91,15.7108,275.0,6298.0,2803.5312
227,15.6681,14.8996,1.7732,16.3622,273.0,6274.0,2803.5312
228,16.4035,15.6774,1.7551,16.8179,305.0,34682.0,2803.5312
229,16.7904,15.7355,1.6199,15.5955,276.0,6454.0,2803.5312
230,15.6204,15.2466,1.8893,15.9144,277.0,6514.0,2803.5312
231,15.9308,14.5405,1.9243,16.0496,273.0,6274.0,2803.5312
232,16.0532,15.0925,1.7586,15.389,273.0,6274.0,2803.5312
233,15.3718,15.3935,1.7835,17.5822,278.0,6290.0,2803.5312
234,17.7214,15.7318,1.8124,15.0256,313.0,8390.0,2803.5312
235,14.8894,15.6487,1.7581,16.3833,312.0,11084.0,2803.5312
236,16.4221,15.505,1.7746,16.7987,311.0,34750.0,2803.5312
237,16.7676,15.4926,1.8046,15.5884,309.0,51770.0,2803.5312
238,15.5835,15.3922,1.7418,15.8402,310.0,22714.0,2803.5312
239,15.844,15.463,1.7305,17.0065,312.0,20239.0,2803.5312
240,17.0374,15.4482,1.8455,16.0576,308.0,14284.0,2803.5312
241,15.9875,16.9726,1.8972,16.9406,308.0,8374.0,2803.5312
242,17.0049,15.3232,1.9588,16.2044,309.0,8850.0,2803.5312
243,16.1173,15.3698,1.5582,16.0556,312.0,12116.0,2803.5312
244,16.1221,15.4356,1.7285,15.5086,310.0,10369.0,2803.5312
245,15.5501,15.2585,2.2167,15.9818,310.0,12861.0,2803.5312
246,15.975,15.1926,1.8314,15.9163,308.0,8962.0,2803.5312
247,15.873,15.286,1.8806,15.8355,312.0,10393.0,2803.5312
248,15.8698,15.4192,1.7254,16.0722,308.0,14294.0,2803.5312
249,16.0514,15.0929,2.0403,15.939,315.0,12366.0,2803.5312
250,15.9062,15.2068,1.6102,15.7384,313.0,13622.0,2803.5312
251,15.7634,15.5345,1.8256,15.9747,314.0,15481.0,2803.5312
252,15.9988,15.4532,1.8847,16.2637,311.0,8388.0,2803.5312
253,16.2457,16.8845,1.8191,17.288,310.0,9528.0,2803.5312
254,17.2736,15.1399,1.6877,15.8128,314.0,13806.0,2803.5312
255,15.8213,15.1595,1.6967,15.8598,308.0,9672.0,2803.5312
256,15.7827,15.4512,1.4842,16.0318,308.0,13180.0,2803.5312
257,16.1225,15.3958,2.1366,16.0913,310.0,9550.0,2803.5312
258,16.15,15.5583,2.1216,15.982,309.0,8386.0,2803.5312
259,15.9258,14.8985,2.0589,15.9132,308.0,8374.0,2803.5312
260,15.9191,14.4176,1.8322,15.2102,308.0,8374.0,2803.5312
261,15.2081,14.9526,1.8273,15.7686,310.0,11637.0,2803.5312
262,15.7265,17.1618,1.838,18.269,311.0,11185.0,2803.5312
263,18.4164,15.3839,2.0376,15.4579,312.0,12651.0,2803.5312
264,15.3704,15.1403,2.0098,15.3986,316.0,21388.0,2803.5312
265,15.3916,15.1136,2.0908,16.2413,320.0,23130.0,2803.5312
266,16.2388,15.399,2.0311,16.0406,320.0,16510.0,2803.5312
267,16.0849,15.1551,1.9193,16.4972,319.0,21102.0,2803.5312
268,16.4596,15.3619,1.8643,15.353,314.0,10587.0,2803.5312
269,15.3596,15.5247,1.9578,15.3783,302.0,8544.0,2803.5312
270,15.4145,15.1672,1.8255,16.0412,280.0,6576.0,2803.5312
271,16.0124,15.2841,1.9715,15.7823,283.0,6778.0,2803.5312
272,15.7156,15.5438,1.85,16.3712,273.0,6274.0,2803.5312
273,16.5116,15.1447,1.9239,15.9197,308.0,9766.0,2803.5312
274,15.8206,16.9375,1.9469,17.2505,308.0,10230.0,2803.5312
275,17.2409,15.3701,1.8585,15.9533,283.0,6874.0,2803.5312
276,15.9928,15.21,2.0649,15.8487,274.0,6334.0,2803.5312
277,15.7857,15.4591,1.8409,15.9202,273.0,6274.0,2803.5312
278,15.9383,15.1473,1.8107,15.8778,274.0,6286.0,2803.5312
279,15.9142,15.359,1.7708,16.0008,273.0,6274.0,2803.5312
280,15.9328,15.4046,1.7249,16.7161,273.0,6274.0,2803.5312
281,16.7395,15.1414,1.6718,15.5005,308.0,34674.0,2803.5312
282,15.4625,15.4542,1.4497,16.2684,280.0,6458.0,2803.5312
283,16.2929,14.741,1.7986,15.3187,281.0,6518.0,2803.5312
284,15.3367,14.5077,2.0008,15.6753,275.0,6276.0,2803.5312
