capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,15.2063,14.3226,1.6449,15.2341,288.0,7472.0,2795.1797
121,15.2055,14.5928,1.6421,14.916,291.0,11023.0,2795.1797
122,14.9495,14.9044,1.8069,15.8086,311.0,20331.0,2795.1797
123,15.8105,14.9187,1.8369,15.5333,309.0,23234.0,2795.1797
124,15.5203,14.7165,1.9586,14.3819,308.0,43838.0,2795.1797
125,14.4084,15.1655,1.9659,15.948,309.0,38596.0,2795.1797
126,15.923,14.91,1.9955,15.3124,308.0,8762.0,2795.1797
127,15.3198,14.9183,1.8592,15.9559,309.0,8386.0,2795.1797
128,15.9554,14.8607,1.9086,15.0632,308.0,8838.0,2795.1797
129,15.0839,14.9031,2.259,15.2477,308.0,8838.0,2795.1797
130,15.1967,14.6515,1.8116,14.966,294.0,7902.0,2795.1797
131,14.9781,14.7238,1.7255,15.2006,284.0,7766.0,2795.1797
132,15.207,14.4378,1.7393,15.55,287.0,6878.0,2795.1797
133,15.5646,14.8039,1.8826,15.473,318.0,15383.0,2795.1797
134,15.5244,14.8488,1.8478,14.6953,303.0,9589.0,2795.1797
135,14.7497,14.9091,1.8752,15.1565,275.0,6276.0,2795.1797
136,15.0923,14.7217,1.7815,15.1502,276.0,6288.0,2795.1797
137,15.1607,14.7859,1.8321,15.5822,276.0,6288.0,2795.1797
138,15.6168,14.822,2.1223,15.1133,308.0,15660.0,2795.1797
139,15.1205,14.6208,1.7392,15.2213,311.0,8410.0,2795.1797
140,15.1173,14.8132,1.7547,15.1978,308.0,30370.0,2795.1797
141,15.1532,15.0118,1.7073,15.3691,304.0,8572.0,2795.1797
142,15.4356,14.5731,1.7604,14.9964,274.0,6334.0,2795.1797
143,15.0758,14.7772,1.8476,15.5639,273.0,6274.0,2795.1797
144,15.4926,14.3744,1.852,14.5441,309.0,12030.0,2795.1797
145,14.5524,14.5606,1.8296,15.7682,308.0,8374.0,2795.1797
146,15.7307,14.831,1.685,14.8272,314.0,19219.0,2795.1797
147,14.9093,14.8714,1.8028,15.4846,309.0,24390.0,2795.1797
148,15.3798,15.0252,1.6381,15.1315,312.0,18842.0,2795.1797
149,15.2545,15.1573,1.9839,16.1455,312.0,8378.0,2795.1797
150,16.049,14.8719,2.0375,15.1971,312.0,8378.0,2795.1797
151,15.2043,14.7762,1.9192,15.3755,310.0,8500.0,2795.1797
152,15.4119,14.7856,1.5265,14.9494,310.0,8376.0,2795.1797
153,14.9159,14.8763,1.6686,15.3128,310.0,9304.0,2795.1797
154,15.4327,14.6239,1.9237,15.7208,309.0,10242.0,2795.1797
155,15.5943,14.614,1.7605,15.3298,310.0,8398.0,2795.1797
156,15.3428,14.4021,1.7882,15.0504,297.0,8402.0,2795.1797
157,14.9927,14.6112,1.6436,15.1905,308.0,9750.0,2795.1797
158,15.2384,14.8359,1.6441,15.8195,309.0,9166.0,2795.1797
159,15.7895,14.8945,1.5906,14.2447,313.0,13344.0,2795.1797
160,14.2928,14.818,1.8395,16.2501,313.0,13120.0,2795.1797
161,16.2127,15.1179,1.5924,14.739,308.0,8374.0,2795.1797
162,14.8016,14.877,2.0162,15.8576,308.0,9766.0,2795.1797
163,15.8354,14.6493,1.7979,14.8387,310.0,9326.0,2795.1797
164,14.9052,14.9104,1.7058,15.3933,312.0,9066.0,2795.1797
165,15.3564,14.9648,1.8406,15.0817,314.0,9924.0,2795.1797
166,15.1013,14.6835,1.9386,15.541,301.0,7622.0,2795.1797
167,15.5249,14.6661,1.788,15.3483,281.0,7650.0,2795.1797
168,15.3356,14.3841,1.6673,15.4491,320.0,29576.0,2795.1797
169,15.4901,14.6808,1.5582,15.3537,316.0,31480.0,2795.1797
170,15.2851,14.6541,1.7347,14.5411,280.0,6694.0,2795.1797
171,14.5603,14.8915,1.8082,15.6451,273.0,6274.0,2795.1797
172,15.6351,14.8005,1.7558,14.7887,287.0,7698.0,2795.1797
173,14.7982,14.8906,2.0491,15.6781,294.0,14637.0,2795.1797
174,15.6324,14.8129,1.707,15.653,304.0,16475.0,2795.1797
175,15.6616,14.9002,1.6663,14.9459,309.0,23234.0,2795.1797
176,14.9816,14.8643,1.6784,15.6153,308.0,43838.0,2795.1797
177,15.6896,15.151,2.1349,15.8221,308.0,38584.0,2795.1797
178,15.8207,15.0655,2.0021,16.9544,309.0,8774.0,2795.1797
179,16.9456,14.6459,2.0717,14.6968,308.0,8374.0,2795.1797
180,14.6705,14.7033,2.0203,15.5099,312.0,8842.0,2795.1797
181,15.5456,14.829,2.0234,15.6228,312.0,8842.0,2795.1797
182,15.629,14.7104,2.3133,14.7816,299.0,8526.0,2795.1797
183,14.9448,15.8091,2.7169,16.626,289.0,7532.0,2795.1797
184,16.4513,16.1046,2.2983,16.5061,284.0,6768.0,2795.1797
185,16.4805,16.5595,2.4413,17.5402,317.0,15393.0,2795.1797
186,17.5916,15.2399,2.1162,15.957,294.0,9285.0,2795.1797
187,15.9428,15.1746,2.2792,17.7915,273.0,6274.0,2795.1797
188,17.8678,15.2405,2.7185,13.0824,275.0,6298.0,2795.1797
189,12.9012,15.306,1.9605,16.0915,273.0,6274.0,2795.1797
190,16.19,15.1623,2.064,15.464,308.0,15660.0,2795.1797
191,15.4868,15.3926,2.5463,16.9018,309.0,8386.0,2795.1797
192,16.8824,15.6025,2.5646,14.5521,308.0,30370.0,2795.1797
193,14.4793,15.2907,2.2088,15.4258,303.0,8560.0,2795.1797
194,15.5134,15.0892,1.953,18.6446,274.0,6334.0,2795.1797
195,18.6642,15.5139,2.5378,13.7332,274.0,6286.0,2795.1797
196,13.7253,15.0106,2.6384,16.5472,313.0,12034.0,2795.1797
197,16.5234,15.3204,2.1376,13.8467,314.0,8402.0,2795.1797
198,13.9232,15.4005,2.2612,16.4078,319.0,19235.0,2795.1797
199,16.3311,15.1215,1.9099,15.1515,311.0,24392.0,2795.1797
200,15.1644,14.7798,1.8787,15.1646,310.0,18840.0,2795.1797
201,15.1144,14.43,1.9602,14.7477,311.0,8388.0,2795.1797
202,14.8135,14.6385,1.9678,15.2848,309.0,8386.0,2795.1797
203,15.2196,14.7998,1.9693,15.2294,308.0,8498.0,2795.1797
204,15.2198,14.8066,1.9654,15.2544,309.0,8386.0,2795.1797
205,15.2421,14.8956,2.0883,15.8045,311.0,9338.0,2795.1797
206,15.7915,14.8184,1.827,15.3196,308.0,10230.0,2795.1797
207,15.319,14.8665,1.8922,14.9357,308.0,8374.0,2795.1797
208,14.9552,14.8274,1.8319,15.6413,304.0,8822.0,2795.1797
209,15.6641,14.8136,1.8289,15.093,308.0,9750.0,2795.1797
210,15.2069,14.8184,2.1058,15.6762,311.0,11315.0,2795.1797
211,15.6083,14.9718,1.8758,15.477,310.0,11461.0,2795.1797
212,15.4174,14.5598,1.7517,14.8207,317.0,12846.0,2795.1797
213,14.8323,14.7034,1.9722,15.1302,312.0,8842.0,2795.1797
214,15.207,15.2716,1.9,16.1645,312.0,9770.0,2795.1797
215,16.1136,14.9678,1.9501,15.0793,310.0,8840.0,2795.1797
216,15.0594,15.1274,1.829,15.5935,310.0,9064.0,2795.1797
217,15.6106,14.9058,1.8286,15.4473,312.0,9922.0,2795.1797
218,15.4374,14.5986,1.8183,14.382,289.0,7186.0,2795.1797
219,14.4233,14.9191,1.6804,15.7455,288.0,9216.0,2795.1797
220,15.6833,14.8515,1.9846,15.5264,319.0,38546.0,2795.1797
221,15.5114,14.682,1.8746,14.968,305.0,21046.0,2795.1797
222,14.9556,14.6851,1.7985,15.5801,278.0,6574.0,2795.1797
223,15.5933,14.6769,1.7292,14.7846,275.0,6298.0,2795.1797
224,14.7996,14.7347,1.8356,15.2287,292.0,8862.0,2795.1797
225,15.3369,14.4711,1.9518,15.6416,295.0,15481.0,2795.1797
226,15.5743,14.8114,2.0245,15.3184,300.0,14539.0,2795.1797
227,15.3221,14.6761,1.8927,15.0134,308.0,24818.0,2795.1797
228,15.0718,14.7051,1.8411,15.3527,314.0,42270.0,2795.1797
229,15.2856,15.2319,1.8005,15.5401,312.0,38588.0,2795.1797
230,15.5261,15.2368,1.8359,15.6471,312.0,8766.0,2795.1797
231,15.6332,15.2964,2.1294,15.8048,311.0,8388.0,2795.1797
232,15.8213,14.9699,1.9058,15.6613,310.0,8840.0,2795.1797
233,15.6664,14.8961,2.1571,15.2286,311.0,8852.0,2795.1797
234,15.204,15.1831,1.6968,15.6204,298.0,8654.0,2795.1797
235,15.6885,15.0391,1.9715,15.1292,288.0,7638.0,2795.1797
236,15.0634,14.9215,1.7815,15.9865,285.0,6994.0,2795.1797
237,16.0195,14.8649,1.9497,14.9257,313.0,15271.0,2795.1797
238,14.9348,14.7965,2.0359,15.6413,288.0,8877.0,2795.1797
239,15.5905,15.4213,1.9508,15.5264,273.0,6274.0,2795.1797
240,15.6269,15.2774,2.2746,16.1379,273.0,6274.0,2795.1797
241,16.0449,16.0397,2.0713,16.6311,274.0,6286.0,2795.1797
242,16.7057,15.8892,2.353,16.4729,308.0,15660.0,2795.1797
243,16.4348,15.8453,2.4069,16.8998,308.0,8374.0,2795.1797
244,16.9334,15.6025,2.029,15.3684,314.0,30398.0,2795.1797
245,15.4414,15.7446,2.0892,16.3343,307.0,8564.0,2795.1797
246,16.2086,15.3866,1.9947,15.696,279.0,6350.0,2795.1797
247,15.7405,15.3881,1.9153,15.9836,277.0,6300.0,2795.1797
248,16.0334,15.3186,2.0208,15.4506,311.0,12032.0,2795.1797
249,15.3914,15.5092,1.8527,16.3172,311.0,8388.0,2795.1797
250,16.3174,15.1684,1.8423,15.3425,314.0,19219.0,2795.1797
251,15.3212,15.1203,1.797,15.5224,308.0,24378.0,2795.1797
252,15.5325,15.4648,2.0294,16.0147,308.0,18838.0,2795.1797
253,15.9883,15.3116,1.795,15.4444,308.0,8374.0,2795.1797
254,15.4768,15.1513,1.9449,15.7249,309.0,8386.0,2795.1797
255,15.7252,15.529,1.8876,16.1624,309.0,8510.0,2795.1797
256,16.1428,15.1717,1.9544,15.7831,308.0,8374.0,2795.1797
257,15.7849,14.6202,1.9087,16.4314,309.0,9314.0,2795.1797
258,16.5859,15.3838,2.1629,15.1556,308.0,10230.0,2795.1797
259,15.0042,14.3778,2.0506,15.3046,308.0,8374.0,2795.1797
260,15.2991,15.1051,1.8596,15.9549,314.0,9090.0,2795.1797
261,15.953,15.2378,1.7666,15.5307,312.0,10032.0,2795.1797
262,15.5333,15.4598,1.882,16.3977,316.0,12900.0,2795.1797
263,16.4117,15.0676,1.9477,14.7538,313.0,11475.0,2795.1797
264,14.7429,15.3837,1.8742,15.8077,312.0,10961.0,2795.1797
265,15.8365,15.3694,1.7901,15.7206,310.0,9768.0,2795.1797
266,15.6816,15.2322,1.9161,15.204,308.0,8838.0,2795.1797
267,15.1986,15.4669,2.1081,15.9292,308.0,8838.0,2795.1797
