capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,15.9644,15.4914,2.0895,15.5871,274.0,6286.0,2795.0547
121,15.5433,15.2655,1.95,16.114,274.0,6286.0,2795.0547
122,16.1321,15.4199,1.9493,16.312,283.0,9966.0,2795.0547
123,16.3157,15.678,2.0472,15.9586,307.0,25362.0,2795.0547
124,15.9137,15.2163,2.1219,15.8234,308.0,15922.0,2795.0547
125,15.8547,15.2917,1.9671,16.0483,308.0,15042.0,2795.0547
126,16.103,16.85,1.9223,17.0608,309.0,8850.0,2795.0547
127,17.0054,15.2906,2.3367,15.6153,309.0,8694.0,2795.0547
128,15.5985,15.3928,1.8577,16.0275,293.0,7378.0,2795.0547
129,16.0877,14.6688,1.8978,15.6284,274.0,6286.0,2795.0547
130,15.6193,14.9551,1.9703,16.0886,295.0,8410.0,2795.0547
131,16.0498,15.2424,2.0608,15.8303,285.0,6710.0,2795.0547
132,15.8442,15.4616,2.0096,15.4331,312.0,9306.0,2795.0547
133,15.4312,15.1859,1.8757,15.619,292.0,7248.0,2795.0547
134,15.5902,15.4496,1.9453,16.1155,276.0,6288.0,2795.0547
135,16.1646,15.3511,2.0015,16.0051,277.0,6300.0,2795.0547
136,15.9791,15.1766,2.1437,15.6313,317.0,15870.0,2795.0547
137,15.7036,15.5207,2.0275,15.3167,308.0,10510.0,2795.0547
138,15.3297,15.4926,2.2287,15.8787,308.0,8374.0,2795.0547
139,15.8392,16.8643,2.3578,17.8111,308.0,8374.0,2795.0547
140,17.9072,15.3655,2.6864,15.7512,309.0,8386.0,2795.0547
141,15.6534,15.4854,2.3408,15.9803,309.0,13410.0,2795.0547
142,15.949,15.379,2.5091,15.927,309.0,13758.0,2795.0547
143,16.0742,16.2134,2.0473,16.0304,312.0,27936.0,2795.0547
144,15.8661,15.6905,1.9136,16.1936,308.0,29302.0,2795.0547
145,16.1922,15.0426,1.9175,15.3044,310.0,15477.0,2795.0547
146,15.3313,15.4731,2.0101,15.9203,312.0,18842.0,2795.0547
147,15.9391,16.9811,1.9538,17.8936,313.0,8390.0,2795.0547
148,17.8479,15.5938,1.9587,15.4611,310.0,8210.0,2795.0547
149,15.519,15.5952,1.9851,16.4864,275.0,6276.0,2795.0547
150,16.46,14.9637,1.9008,15.5953,311.0,11636.0,2795.0547
151,15.6295,15.346,2.1566,15.5525,311.0,8388.0,2795.0547
152,15.5447,15.4489,2.0633,15.9431,308.0,8374.0,2795.0547
153,15.9051,14.4024,2.1691,16.1739,309.0,9002.0,2795.0547
154,16.2217,15.3939,2.0004,15.263,309.0,9280.0,2795.0547
155,15.2388,15.3907,2.1108,15.4725,309.0,9684.0,2795.0547
156,15.4697,15.2651,1.9069,16.4015,308.0,8838.0,2795.0547
157,16.4426,14.8269,1.9334,14.9633,310.0,11173.0,2795.0547
158,14.9069,15.4225,1.7303,16.1062,312.0,11197.0,2795.0547
159,16.1742,15.4495,2.0171,16.3864,312.0,12116.0,2795.0547
160,16.3334,16.695,1.8941,16.8051,308.0,8374.0,2795.0547
161,16.791,15.2023,1.9323,15.5019,309.0,12042.0,2795.0547
162,15.618,15.0324,2.0457,15.7172,312.0,30380.0,2795.0547
163,15.8926,15.2665,2.4182,15.3581,314.0,20982.0,2795.0547
164,15.049,15.4141,2.0788,15.7408,314.0,16174.0,2795.0547
165,15.7623,15.3015,1.8954,16.0161,320.0,21020.0,2795.0547
166,16.0292,15.2874,1.8716,16.0826,331.0,40567.0,2795.0547
167,16.1574,15.092,1.8898,15.1786,306.0,19186.0,2795.0547
168,15.1025,14.8957,1.9461,15.6668,296.0,13866.0,2795.0547
169,15.6927,15.0493,2.0696,15.2578,284.0,12981.0,2795.0547
170,15.228,14.8968,1.9525,15.5083,273.0,6274.0,2795.0547
171,15.553,14.4349,1.9617,15.158,274.0,6286.0,2795.0547
172,15.1427,14.6828,2.05,16.3507,273.0,6274.0,2795.0547
173,16.3557,16.7127,2.1124,17.0303,273.0,6274.0,2795.0547
174,16.9928,14.4302,2.2684,15.5207,290.0,14786.0,2795.0547
175,15.6165,15.572,2.0527,16.5787,309.0,22744.0,2795.0547
176,16.5158,15.2723,2.205,15.4798,309.0,14810.0,2795.0547
177,15.4604,14.9289,2.0703,15.7036,310.0,14896.0,2795.0547
178,15.8302,14.9348,2.0795,16.2542,312.0,8378.0,2795.0547
179,16.1488,16.1285,2.2277,15.9673,313.0,8698.0,2795.0547
180,16.0091,15.3941,2.128,16.781,288.0,6938.0,2795.0547
181,16.74,16.8024,2.1948,18.2356,275.0,6276.0,2795.0547
182,18.3989,15.4298,2.4744,15.4637,301.0,8888.0,2795.0547
183,15.3569,14.9061,2.4016,14.1026,278.0,6920.0,2795.0547
184,14.0867,14.8066,2.7186,14.9131,305.0,8610.0,2795.0547
185,14.887,15.0635,2.6964,15.6546,289.0,7234.0,2795.0547
186,15.6793,14.9921,2.5629,17.9568,274.0,6286.0,2795.0547
187,18.1445,17.0903,3.3764,16.551,273.0,6274.0,2795.0547
188,16.3497,15.5242,2.4502,14.5992,317.0,15870.0,2795.0547
189,14.5929,15.313,2.3312,17.0778,308.0,10510.0,2795.0547
190,17.0953,16.0204,2.4612,16.8212,309.0,8386.0,2795.0547
191,16.9426,15.458,2.6906,15.1669,309.0,8386.0,2795.0547
192,15.0809,15.2159,2.4508,15.7496,308.0,8374.0,2795.0547
193,15.8446,16.3687,2.4959,18.4772,310.0,13422.0,2795.0547
194,18.4442,15.1872,2.9169,15.5307,312.0,13750.0,2795.0547
195,15.4328,15.158,2.6393,15.7646,316.0,27940.0,2795.0547
196,15.799,15.321,2.5128,15.3646,312.0,29306.0,2795.0547
197,15.4603,14.539,2.8251,15.7708,312.0,15479.0,2795.0547
198,15.6465,15.1247,2.5074,14.335,312.0,18864.0,2795.0547
199,14.3216,14.9805,2.2307,19.0291,310.0,8376.0,2795.0547
200,19.1218,15.9617,2.3693,13.4724,307.0,8218.0,2795.0547
201,13.6075,15.2733,2.4832,15.4494,273.0,6274.0,2795.0547
202,15.2432,15.3233,2.1427,17.9384,309.0,11634.0,2795.0547
203,17.9736,15.3165,2.3548,13.3923,308.0,8374.0,2795.0547
204,13.4036,15.0227,2.1828,15.4435,309.0,8386.0,2795.0547
205,15.6114,14.9044,2.4422,14.8289,308.0,8990.0,2795.0547
206,14.5744,16.892,2.3448,17.3078,308.0,9268.0,2795.0547
207,17.3948,15.1142,2.5596,15.8223,308.0,9672.0,2795.0547
208,15.7796,15.1533,2.2037,15.7331,310.0,8862.0,2795.0547
209,15.8462,15.1962,2.6438,15.6914,310.0,11173.0,2795.0547
210,15.5738,15.1553,2.257,16.2366,314.0,11177.0,2795.0547
211,16.2401,14.6441,2.1656,14.5946,316.0,12120.0,2795.0547
212,14.5536,14.9793,2.504,17.2316,312.0,8378.0,2795.0547
213,17.4165,17.3765,2.669,17.0992,311.0,12044.0,2795.0547
214,16.9752,15.3419,2.4661,16.5799,310.0,30378.0,2795.0547
215,16.6238,15.2628,2.7257,15.2935,312.0,20980.0,2795.0547
216,15.3021,14.4771,2.723,14.9833,310.0,16170.0,2795.0547
217,14.9267,15.4184,2.4214,16.3415,317.0,21006.0,2795.0547
218,16.4896,15.4116,3.0759,16.0528,330.0,40577.0,2795.0547
219,15.8885,17.0474,2.4175,18.1011,304.0,19184.0,2795.0547
220,18.1296,15.8095,2.1642,14.0583,303.0,16986.0,2795.0547
221,14.0799,15.0822,2.0198,15.5023,277.0,9861.0,2795.0547
222,15.4732,15.0694,2.0655,16.774,275.0,6298.0,2795.0547
223,16.8316,15.2139,2.8068,15.4035,273.0,6274.0,2795.0547
224,15.3138,15.8685,2.2836,17.832,273.0,6274.0,2795.0547
225,17.8571,15.6339,2.2587,14.7732,273.0,6274.0,2795.0547
226,14.8881,15.3415,2.6248,15.8959,300.0,17870.0,2795.0547
227,15.8608,16.851,2.4532,18.4204,312.0,21116.0,2795.0547
228,18.3002,15.3774,2.1945,15.3594,312.0,15994.0,2795.0547
229,15.3861,15.2339,2.1748,15.263,310.0,12678.0,2795.0547
230,15.4131,15.1655,2.2501,14.4051,311.0,8388.0,2795.0547
231,14.3915,15.0134,2.8675,15.4833,310.0,8684.0,2795.0547
232,15.333,15.1396,2.3949,16.1744,276.0,6454.0,2795.0547
