capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,6.3428,6.4721,1.6887,8.2545,273.0,6237.0,2355.0469
121,8.2864,6.9719,1.7645,6.2891,307.0,8711.0,2355.0469
122,6.2747,6.5221,1.8228,7.5835,311.0,12453.0,2355.0469
123,7.6143,6.6444,1.5965,6.8425,307.0,8395.0,2355.0469
124,6.7977,6.4628,1.4317,6.7126,308.0,11215.0,2355.0469
125,6.7028,6.4798,1.3885,7.3227,309.0,37090.0,2355.0469
126,7.423,8.33,1.7204,8.3764,294.0,11853.0,2355.0469
127,8.2654,6.496,1.6019,7.4767,306.0,40255.0,2355.0469
128,7.5278,6.9348,1.673,6.7807,285.0,7075.0,2355.0469
129,6.7544,6.4913,1.5486,7.0587,291.0,7387.0,2355.0469
130,7.0762,6.5004,1.6304,6.645,272.0,6247.0,2355.0469
131,6.6312,6.4189,1.6114,8.2805,276.0,6251.0,2355.0469
132,8.3754,6.4988,1.946,7.1217,312.0,14647.0,2355.0469
133,7.0833,6.8485,2.1472,6.4869,311.0,9871.0,2355.0469
134,6.4459,6.5281,1.8255,8.63,309.0,48655.0,2355.0469
135,8.6625,7.2121,1.9567,7.0697,310.0,25797.0,2355.0469
136,7.0514,7.1499,1.989,7.1552,310.0,15973.0,2355.0469
137,7.1694,7.2476,1.7014,7.579,308.0,12845.0,2355.0469
138,7.527,6.5082,1.5885,6.911,315.0,17735.0,2355.0469
139,6.9882,6.8757,1.6868,7.6527,307.0,8395.0,2355.0469
140,7.6314,6.5197,1.9311,6.388,307.0,16089.0,2355.0469
141,6.3249,6.5029,1.6945,7.4317,308.0,8637.0,2355.0469
142,7.4919,6.7858,1.6672,6.8166,307.0,12143.0,2355.0469
143,6.7646,6.457,1.3816,7.7204,307.0,11771.0,2355.0469
144,7.7462,6.7684,1.6127,6.7561,307.0,8395.0,2355.0469
145,6.7201,6.541,1.4741,7.2739,308.0,8407.0,2355.0469
146,7.3843,6.5568,1.7579,7.4521,307.0,8395.0,2355.0469
147,7.4681,6.4778,2.279,6.3637,311.0,8399.0,2355.0469
148,6.2829,6.5351,1.6144,7.3298,315.0,21791.0,2355.0469
149,7.3113,6.7889,1.5715,6.9503,318.0,30269.0,2355.0469
150,6.9809,6.5917,1.6264,8.0125,309.0,9915.0,2355.0469
151,8.0144,6.71,1.7008,7.5203,309.0,8861.0,2355.0469
152,7.482,6.5244,1.6676,6.2423,310.0,11745.0,2355.0469
153,6.3002,7.7784,1.8621,8.8017,317.0,16437.0,2355.0469
154,8.7809,6.5218,1.7571,6.822,315.0,11439.0,2355.0469
155,6.8088,6.6799,1.6583,7.4656,309.0,8857.0,2355.0469
156,7.494,6.7887,1.6717,7.1038,307.0,9319.0,2355.0469
157,7.0562,6.5372,1.5845,7.5262,308.0,8407.0,2355.0469
158,7.6742,6.8398,1.8618,6.5032,307.0,8395.0,2355.0469
159,6.3924,6.4722,1.8705,8.0655,308.0,10263.0,2355.0469
160,8.0648,7.0026,2.8582,6.2509,307.0,12215.0,2355.0469
161,6.2386,6.5083,1.5511,7.5344,308.0,10139.0,2355.0469
162,7.5333,6.7447,1.5661,6.9375,307.0,9463.0,2355.0469
163,6.9174,6.5493,1.4996,7.5601,313.0,8423.0,2355.0469
164,7.529,6.4827,1.3051,7.8616,317.0,14012.0,2355.0469
165,7.9153,6.8699,1.7128,5.4044,313.0,10270.0,2355.0469
166,5.4193,6.5381,1.7708,7.8209,279.0,6597.0,2355.0469
