capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,16.0405,16.0611,2.1457,15.8767,310.0,8376.0,2794.0547
121,15.8766,14.5387,1.9336,15.0382,311.0,8388.0,2794.0547
122,15.0138,14.5971,1.9052,15.0173,310.0,8376.0,2794.0547
123,15.0414,14.302,2.2337,14.9329,309.0,8386.0,2794.0547
124,14.962,14.8367,1.9801,15.1921,304.0,8134.0,2794.0547
125,15.1575,14.5753,1.9143,15.7293,297.0,9402.0,2794.0547
126,15.8495,14.3284,2.1489,13.3909,309.0,10908.0,2794.0547
127,13.3088,14.5696,2.0458,15.3163,308.0,8374.0,2794.0547
128,15.275,14.3353,2.3219,15.5494,308.0,8374.0,2794.0547
129,15.5563,14.5211,2.0387,14.3058,308.0,9302.0,2794.0547
130,14.2878,14.445,1.7498,14.7987,310.0,9450.0,2794.0547
131,14.7982,14.5715,1.9673,14.7316,308.0,9110.0,2794.0547
132,14.7332,14.5416,1.8311,15.5593,309.0,12564.0,2794.0547
133,15.6504,15.9927,1.9742,16.2175,312.0,9316.0,2794.0547
134,16.1244,14.5256,1.84,16.316,312.0,10922.0,2794.0547
135,16.3219,14.5686,2.0109,13.834,312.0,13690.0,2794.0547
136,13.8283,14.3409,1.8904,14.3694,314.0,14082.0,2794.0547
137,14.3607,14.49,1.8191,15.7747,314.0,13817.0,2794.0547
138,15.7733,14.3164,1.8233,14.7055,318.0,25807.0,2794.0547
139,14.7359,14.3368,1.9251,16.0521,311.0,19780.0,2794.0547
140,16.0871,14.4438,2.1603,14.4163,316.0,20714.0,2794.0547
141,14.3986,14.6168,2.1463,14.2296,295.0,22074.0,2794.0547
142,14.2202,16.0923,1.9802,16.7763,275.0,6346.0,2794.0547
143,16.7424,14.5338,1.9148,14.6659,274.0,6286.0,2794.0547
144,14.6899,14.5409,1.9728,15.0041,274.0,9622.0,2794.0547
145,15.0561,14.2988,1.8606,14.6953,286.0,7314.0,2794.0547
146,14.6746,14.5282,2.1412,15.7148,283.0,6998.0,2794.0547
147,15.6991,14.309,2.1111,14.3134,308.0,8374.0,2794.0547
148,14.313,14.3775,1.7847,14.794,310.0,8398.0,2794.0547
149,14.8436,14.3203,1.7017,14.941,281.0,6518.0,2794.0547
150,14.8647,14.5769,2.0025,15.2098,277.0,6278.0,2794.0547
151,15.2459,14.5031,1.8218,14.645,277.0,6278.0,2794.0547
152,14.6225,14.4319,1.8222,14.8883,275.0,6276.0,2794.0547
153,14.9408,14.5736,2.0489,15.4596,310.0,19540.0,2794.0547
154,15.427,14.404,1.8082,14.6198,313.0,16408.0,2794.0547
155,14.607,16.1064,1.9092,16.5568,308.0,11518.0,2794.0547
156,16.5839,14.7868,1.9874,15.1667,309.0,8758.0,2794.0547
157,15.1435,14.4688,1.9852,15.5079,315.0,13999.0,2794.0547
158,15.5178,14.638,2.1066,15.6588,315.0,58862.0,2794.0547
159,15.7094,14.6598,2.2588,14.5181,309.0,57140.0,2794.0547
160,14.4419,14.7851,2.1182,14.8233,274.0,6286.0,2794.0547
161,14.8604,14.5627,2.0659,15.3724,274.0,6286.0,2794.0547
162,15.326,14.7231,2.0838,15.7236,274.0,6286.0,2794.0547
163,15.799,14.6603,1.9467,15.7785,274.0,6334.0,2794.0547
164,15.7583,15.1781,2.1299,15.4637,309.0,16826.0,2794.0547
165,15.5115,15.4739,2.1731,15.8337,305.0,7958.0,2794.0547
166,15.8117,15.3644,2.0893,15.4214,312.0,9036.0,2794.0547
167,15.3857,14.6245,2.1262,15.3052,313.0,8390.0,2794.0547
168,15.4391,16.3395,2.195,16.6949,311.0,11136.0,2794.0547
169,16.5741,15.7818,1.9703,16.1711,310.0,11596.0,2794.0547
170,16.1673,15.5095,2.2015,16.3431,310.0,12032.0,2794.0547
171,16.3261,15.55,2.1419,15.4487,313.0,12128.0,2794.0547
172,15.5087,15.4977,1.9723,16.703,314.0,13068.0,2794.0547
173,16.6308,15.2351,1.8774,15.4285,310.0,8398.0,2794.0547
174,15.4478,15.7201,2.0806,16.5621,308.0,8374.0,2794.0547
175,16.5867,15.5066,2.002,15.4791,308.0,8374.0,2794.0547
176,15.4618,16.1919,2.0685,17.0102,309.0,8386.0,2794.0547
177,17.0224,15.4488,1.9869,15.9227,309.0,8386.0,2794.0547
178,15.8977,15.4673,1.905,15.4594,308.0,11750.0,2794.0547
179,15.5318,14.4046,1.8065,15.8551,308.0,9208.0,2794.0547
180,15.7665,14.5853,1.808,16.5943,309.0,8386.0,2794.0547
181,16.5952,14.8004,1.6726,14.7067,312.0,8842.0,2794.0547
182,14.7129,15.4102,1.7378,15.9941,314.0,9454.0,2794.0547
183,15.9857,15.2758,1.747,15.9135,312.0,9210.0,2794.0547
184,15.9267,15.4552,1.6553,15.6674,311.0,9230.0,2794.0547
185,15.6704,15.0348,1.7815,15.7198,311.0,12872.0,2794.0547
186,15.7169,14.8221,1.6376,15.0004,311.0,10162.0,2794.0547
187,15.0237,14.8079,1.8281,14.8542,309.0,12546.0,2794.0547
188,14.9109,14.5719,1.9045,15.4926,310.0,14289.0,2794.0547
189,15.4191,16.1096,1.8671,16.4391,312.0,13599.0,2794.0547
190,16.4539,14.8617,1.7894,15.626,314.0,20037.0,2794.0547
191,15.6158,14.6289,1.9425,14.5025,313.0,23247.0,2794.0547
192,14.5403,15.3059,1.7799,16.3972,313.0,19012.0,2794.0547
193,16.3429,15.5275,1.7486,15.8515,299.0,13672.0,2794.0547
194,15.8525,15.1737,1.7832,15.4791,292.0,21846.0,2794.0547
195,15.4536,15.0319,1.8842,15.6611,275.0,6298.0,2794.0547
196,15.6911,14.2883,1.7997,15.3844,279.0,9922.0,2794.0547
197,15.3901,15.2402,1.6637,14.9351,286.0,7126.0,2794.0547
198,14.9212,14.7258,1.6949,16.2868,290.0,7182.0,2794.0547
199,16.286,15.0857,1.5721,15.331,313.0,8390.0,2794.0547
200,15.3945,15.2173,1.8508,15.3368,310.0,8376.0,2794.0547
201,15.306,15.0788,1.6312,16.2107,276.0,6336.0,2794.0547
202,16.1681,16.6025,1.7644,17.03,276.0,6288.0,2794.0547
203,17.0399,15.2231,1.6352,15.1022,274.0,6286.0,2794.0547
204,15.1694,14.9989,1.8626,15.4357,308.0,19538.0,2794.0547
205,15.4345,15.0198,1.6856,16.516,311.0,16406.0,2794.0547
206,16.4568,15.3077,1.8663,14.9079,309.0,11530.0,2794.0547
207,14.9209,14.3708,1.8927,14.472,309.0,8758.0,2794.0547
208,14.5047,14.97,1.5787,16.7278,315.0,13999.0,2794.0547
209,16.7737,14.6382,2.3904,16.3464,315.0,58862.0,2794.0547
210,16.3512,14.5433,2.4508,13.403,309.0,57140.0,2794.0547
