capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,16.5064,15.9322,1.8067,16.5118,274.0,6286.0,2794.5547
121,16.5278,15.9319,1.9365,16.1954,274.0,6286.0,2794.5547
122,16.1894,15.8272,2.0682,16.8112,273.0,6274.0,2794.5547
123,16.8169,15.7705,1.9975,15.9646,308.0,9652.0,2794.5547
124,16.0101,15.9178,2.2661,16.3028,309.0,9988.0,2794.5547
125,16.2599,15.6941,1.886,16.4903,313.0,11766.0,2794.5547
126,16.4491,15.756,1.8192,16.0157,310.0,11586.0,2794.5547
127,16.1156,15.7717,1.9235,16.448,277.0,6278.0,2794.5547
128,16.3836,15.5901,1.9647,16.0589,316.0,14113.0,2794.5547
129,16.0454,15.6993,1.8949,15.8651,313.0,10259.0,2794.5547
130,15.883,15.555,1.8283,16.2098,295.0,7476.0,2794.5547
131,16.2537,15.3432,1.8738,16.3572,273.0,6274.0,2794.5547
132,16.3651,15.6373,1.9047,15.9215,309.0,8694.0,2794.5547
133,15.8681,15.2135,1.7987,16.1926,309.0,8850.0,2794.5547
134,16.2067,14.8442,1.8433,16.4314,308.0,10382.0,2794.5547
135,16.4502,15.4779,1.8932,16.5946,309.0,9002.0,2794.5547
136,16.5437,15.5411,1.8894,15.6404,311.0,18825.0,2794.5547
137,15.6552,15.7573,1.9613,16.204,310.0,15477.0,2794.5547
138,16.229,15.5256,2.0859,16.2871,309.0,18974.0,2794.5547
139,16.3523,16.0125,1.8321,16.0067,310.0,25941.0,2794.5547
140,15.932,15.7595,1.6952,16.4254,309.0,13926.0,2794.5547
141,16.6784,15.1845,1.9231,15.6973,312.0,13610.0,2794.5547
142,15.4475,15.8086,2.1939,16.6448,312.0,13610.0,2794.5547
143,16.6763,15.6511,1.8928,16.5103,313.0,8390.0,2794.5547
144,16.4782,16.0064,1.9144,15.9528,310.0,8376.0,2794.5547
145,15.9667,15.7629,1.8109,16.5012,284.0,6816.0,2794.5547
146,16.4912,15.7952,1.8189,16.6463,282.0,6648.0,2794.5547
147,16.6675,15.8708,1.8528,16.5458,299.0,9474.0,2794.5547
148,16.519,15.8755,1.86,16.6573,307.0,10002.0,2794.5547
149,16.7739,15.847,2.0589,16.2588,310.0,11933.0,2794.5547
150,16.2992,16.0632,2.3499,16.0285,310.0,10801.0,2794.5547
151,15.9572,15.9027,1.9637,16.348,310.0,11729.0,2794.5547
152,16.2926,15.9239,2.1574,17.4309,310.0,10709.0,2794.5547
153,17.4861,15.9683,2.1716,15.6427,309.0,8850.0,2794.5547
154,15.7035,15.6986,2.0956,16.2071,308.0,11454.0,2794.5547
155,16.126,15.6668,1.8034,15.8823,308.0,11622.0,2794.5547
156,15.9138,15.8309,2.3895,16.0951,309.0,9314.0,2794.5547
157,16.0473,15.3291,2.0171,16.4694,313.0,8758.0,2794.5547
158,16.4325,16.2566,2.0051,16.0266,313.0,11698.0,2794.5547
159,16.0495,16.0211,1.9198,16.2891,316.0,17027.0,2794.5547
160,16.3396,15.9316,1.9844,16.6403,320.0,22926.0,2794.5547
161,16.5763,15.8316,1.84,16.2337,321.0,26342.0,2794.5547
162,16.2074,15.7711,1.8283,16.4153,319.0,38028.0,2794.5547
163,16.4519,15.7981,1.8422,16.3127,308.0,22790.0,2794.5547
164,16.3279,15.9982,1.9249,16.3297,312.0,33241.0,2794.5547
