capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,15.4896,15.1599,1.709,15.7212,308.0,11594.0,2795.5547
121,15.7078,14.9236,1.8346,15.4217,303.0,22918.0,2795.5547
122,15.4174,14.8663,1.7691,15.4067,285.0,10322.0,2795.5547
123,15.3713,14.8555,1.7899,15.1772,315.0,15687.0,2795.5547
124,15.3114,14.8295,1.739,15.6429,310.0,10245.0,2795.5547
125,15.5012,14.348,1.6073,16.1051,309.0,8386.0,2795.5547
126,16.2221,15.0228,1.8246,14.7651,309.0,8386.0,2795.5547
127,14.6822,14.9873,1.7607,15.5376,312.0,8378.0,2795.5547
128,15.5501,15.2983,1.8669,16.0979,314.0,8402.0,2795.5547
129,16.1129,15.4355,1.8382,15.4961,314.0,8866.0,2795.5547
130,15.4418,15.2655,1.8184,16.1264,310.0,8840.0,2795.5547
131,16.1471,15.2788,2.2219,16.2805,310.0,10696.0,2795.5547
132,16.3074,15.4899,2.0075,14.5919,310.0,10696.0,2795.5547
133,14.5863,15.1794,1.7983,16.0558,308.0,8374.0,2795.5547
134,16.0455,15.2696,1.9194,16.6873,313.0,12128.0,2795.5547
135,16.6694,15.4932,1.9852,14.8822,310.0,10245.0,2795.5547
136,15.0002,15.1465,1.9492,15.6619,311.0,10813.0,2795.5547
137,15.5884,15.4531,1.6446,16.2975,308.0,8930.0,2795.5547
138,16.2618,15.4503,1.8304,15.614,308.0,8374.0,2795.5547
139,15.7085,15.3515,1.7625,16.0128,308.0,10496.0,2795.5547
140,15.935,15.3862,1.7593,16.0306,308.0,10434.0,2795.5547
141,16.0247,15.5734,1.8353,16.6069,311.0,15486.0,2795.5547
142,16.6315,15.0524,1.94,15.0624,310.0,12433.0,2795.5547
143,15.0879,14.6389,1.7263,15.5262,313.0,13930.0,2795.5547
144,15.4938,15.1898,1.71,15.8525,316.0,12120.0,2795.5547
145,15.8445,15.3741,1.8817,15.4776,313.0,9564.0,2795.5547
146,15.4397,15.3508,1.808,16.0176,310.0,29870.0,2795.5547
147,16.097,15.4315,1.8327,16.2882,313.0,35322.0,2795.5547
148,16.2612,15.4408,1.7464,15.8389,313.0,15768.0,2795.5547
149,15.7953,15.2899,1.8652,15.8319,314.0,19912.0,2795.5547
150,15.9074,15.5065,1.9413,16.2173,328.0,38686.0,2795.5547
151,16.2101,15.5399,1.8558,15.3335,278.0,7590.0,2795.5547
152,15.3365,15.1977,1.7149,15.0453,312.0,12464.0,2795.5547
153,15.0241,15.4725,1.8797,16.492,276.0,6822.0,2795.5547
154,16.4533,15.2092,2.1029,15.8185,273.0,6274.0,2795.5547
155,15.8764,15.4252,2.0291,15.8101,309.0,17210.0,2795.5547
156,15.8104,15.4673,1.8833,15.9835,312.0,26008.0,2795.5547
157,15.9783,15.2646,2.0013,15.618,309.0,20630.0,2795.5547
158,15.5943,15.4631,1.9011,16.4909,283.0,10018.0,2795.5547
159,16.5437,15.5005,1.9961,15.5562,285.0,19526.0,2795.5547
160,15.4545,15.1776,1.636,15.5437,277.0,6278.0,2795.5547
161,15.5382,15.2615,1.6743,15.946,279.0,6302.0,2795.5547
162,16.2028,14.6242,2.2178,16.1067,275.0,6276.0,2795.5547
163,15.9597,15.0809,2.2961,16.0043,305.0,17892.0,2795.5547
164,15.9715,14.6764,1.6736,15.2107,287.0,7460.0,2795.5547
165,15.226,15.2034,1.6692,15.7681,309.0,8386.0,2795.5547
166,15.7345,15.3267,1.8219,15.5805,308.0,8374.0,2795.5547
167,15.6034,15.2314,1.8329,16.3271,296.0,14358.0,2795.5547
168,16.3361,15.0883,1.902,14.8307,274.0,6286.0,2795.5547
169,14.8091,15.2168,1.674,15.9398,275.0,6298.0,2795.5547
170,15.9539,15.2126,1.8351,16.4245,308.0,8374.0,2795.5547
171,16.3865,15.2945,1.6837,14.5166,310.0,11618.0,2795.5547
172,14.503,14.9842,1.5745,15.4302,305.0,23134.0,2795.5547
