capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,14.5078,14.8225,1.7348,15.739,309.0,11102.0,2796.0547
121,15.7534,14.7306,1.6033,15.2137,310.0,10802.0,2796.0547
122,15.2195,14.3952,1.7344,15.0873,310.0,10114.0,2796.0547
123,15.0495,14.6683,1.72,15.771,309.0,10410.0,2796.0547
124,15.788,14.9293,1.8335,15.4246,309.0,9414.0,2796.0547
125,15.4704,14.8361,1.7731,15.3839,310.0,9734.0,2796.0547
126,15.3316,14.9243,1.6383,14.5598,314.0,25126.0,2796.0547
127,14.6042,14.9397,1.6728,15.8297,301.0,17582.0,2796.0547
128,15.7645,14.726,2.0106,15.1286,277.0,6278.0,2796.0547
129,15.1486,14.8638,1.7134,15.5262,279.0,6350.0,2796.0547
130,15.5281,14.9203,1.7551,14.8256,276.0,6336.0,2796.0547
131,14.8138,14.6114,1.8085,14.9409,275.0,6276.0,2796.0547
132,14.9684,14.8227,1.7266,15.7382,277.0,6300.0,2796.0547
133,15.7192,14.543,1.8093,15.0226,274.0,6286.0,2796.0547
134,15.0335,14.6057,1.613,15.1562,274.0,6286.0,2796.0547
135,15.1663,14.7209,1.5389,15.1207,320.0,39057.0,2796.0547
136,15.0859,14.961,1.4229,15.3387,318.0,14766.0,2796.0547
137,15.3419,14.9094,1.6884,15.5968,309.0,8386.0,2796.0547
138,15.6322,14.9201,1.7845,15.2579,308.0,25526.0,2796.0547
139,15.2918,14.9074,1.6417,15.4016,305.0,67554.0,2796.0547
140,15.3561,15.0347,1.6342,15.6687,280.0,6694.0,2796.0547
141,15.7099,14.6904,1.5554,15.0532,286.0,7054.0,2796.0547
142,15.0822,14.7277,1.526,15.0953,274.0,6286.0,2796.0547
143,14.9988,14.7011,1.4987,15.2383,290.0,8698.0,2796.0547
144,15.2658,14.6641,1.5451,15.1365,305.0,14710.0,2796.0547
145,15.1168,14.6549,1.5341,15.341,301.0,7670.0,2796.0547
146,15.37,14.5283,1.6278,15.0271,310.0,8840.0,2796.0547
147,15.0645,14.5434,1.5759,14.8383,310.0,8840.0,2796.0547
148,14.8665,14.4068,1.7016,14.8787,314.0,10735.0,2796.0547
149,14.8351,14.7161,1.5981,15.3275,309.0,14244.0,2796.0547
150,15.2911,14.4118,1.5487,14.5548,312.0,17343.0,2796.0547
151,14.6063,14.4625,1.3908,14.9981,313.0,12261.0,2796.0547
152,14.9145,14.7315,1.5781,15.2225,305.0,11481.0,2796.0547
153,15.2637,14.4662,1.3689,13.9269,304.0,9030.0,2796.0547
154,13.9975,14.7158,1.5566,16.6359,273.0,6274.0,2796.0547
155,16.5711,14.7088,1.4246,14.9941,308.0,9322.0,2796.0547
156,14.9635,14.3539,1.5651,15.0111,311.0,13850.0,2796.0547
157,15.0548,14.3681,1.641,14.6854,308.0,16354.0,2796.0547
158,14.6574,14.5137,1.4102,14.9011,310.0,25286.0,2796.0547
159,14.9414,14.5797,1.5809,15.2884,313.0,16370.0,2796.0547
160,15.4045,14.4723,1.7419,15.0712,312.0,8842.0,2796.0547
161,14.9425,14.6852,1.8002,14.9982,313.0,8854.0,2796.0547
162,15.0458,14.6502,1.7656,14.7124,310.0,8840.0,2796.0547
163,14.7428,14.8281,1.7199,15.9139,312.0,10711.0,2796.0547
164,15.8628,14.6551,1.7756,15.3183,312.0,14087.0,2796.0547
165,15.3257,14.4061,1.595,14.0752,312.0,14732.0,2796.0547
166,14.0617,14.6787,1.5444,15.2944,310.0,8398.0,2796.0547
167,15.2837,14.4412,1.6426,15.0351,309.0,9778.0,2796.0547
168,15.0211,14.43,1.6741,15.4898,308.0,8374.0,2796.0547
169,15.487,14.573,1.4905,14.4646,308.0,8374.0,2796.0547
170,14.4776,14.6271,1.547,15.0745,308.0,8374.0,2796.0547
171,15.088,14.5055,1.456,15.2489,311.0,11082.0,2796.0547
172,15.2083,14.6228,1.292,15.1277,310.0,11114.0,2796.0547
173,15.2058,14.6138,1.5747,15.3511,309.0,10790.0,2796.0547
174,15.3273,14.7507,1.7938,14.8809,310.0,11450.0,2796.0547
175,14.9023,14.566,1.8265,14.8923,314.0,10118.0,2796.0547
176,14.8524,14.4961,1.5068,15.3127,312.0,8378.0,2796.0547
177,15.3095,14.4863,1.5392,16.1473,315.0,9750.0,2796.0547
178,16.1922,14.831,1.6313,14.848,315.0,25116.0,2796.0547
179,14.834,14.7258,1.8034,15.0144,295.0,17340.0,2796.0547
180,15.0412,14.6918,1.6608,14.4139,277.0,6300.0,2796.0547
181,14.3582,14.364,1.7827,14.7866,274.0,6334.0,2796.0547
182,14.833,14.5929,1.4726,14.6325,274.0,6334.0,2796.0547
183,14.5292,14.6836,1.3828,15.0996,273.0,6274.0,2796.0547
184,15.1646,14.6861,1.5667,15.4212,273.0,6274.0,2796.0547
185,15.3907,14.6067,1.5281,15.2923,273.0,6274.0,2796.0547
186,15.3122,14.3887,1.5787,14.7854,273.0,6274.0,2796.0547
187,14.7455,14.4085,1.3984,15.3839,319.0,39045.0,2796.0547
188,15.539,14.7408,1.6935,14.9797,318.0,14766.0,2796.0547
189,14.8445,14.4231,1.547,14.6554,308.0,8374.0,2796.0547
190,14.6397,14.6711,1.7015,15.2884,308.0,25526.0,2796.0547
191,15.289,14.4688,1.3664,15.0056,309.0,67558.0,2796.0547
192,15.0236,14.78,1.4915,15.1301,286.0,6818.0,2796.0547
193,15.1875,14.4269,1.4795,14.9248,288.0,6938.0,2796.0547
194,14.8522,14.6312,1.5063,15.0117,275.0,6276.0,2796.0547
195,15.1152,14.3828,1.773,15.2033,294.0,9104.0,2796.0547
196,15.1322,14.6344,1.6348,14.7329,296.0,14288.0,2796.0547
197,14.7681,14.4187,1.6703,15.1338,297.0,7666.0,2796.0547
198,15.1433,14.4758,1.7027,14.9434,308.0,8838.0,2796.0547
199,14.8946,14.4465,1.4847,15.0211,308.0,8838.0,2796.0547
200,15.0442,14.6601,1.4224,14.937,311.0,10721.0,2796.0547
201,14.9661,14.6432,1.8076,15.2969,310.0,14256.0,2796.0547
202,15.2795,14.4145,1.692,14.5038,312.0,17343.0,2796.0547
203,14.4983,14.6182,1.5682,15.4293,313.0,12261.0,2796.0547
204,15.4861,14.7126,1.4795,14.9402,310.0,11781.0,2796.0547
205,14.8393,14.6054,1.4302,14.8361,300.0,8742.0,2796.0547
206,14.8121,14.6389,1.2057,15.8373,274.0,6286.0,2796.0547
207,15.8677,14.6059,1.1735,14.3342,313.0,9338.0,2796.0547
208,14.3419,14.4868,1.3178,15.2337,313.0,13830.0,2796.0547
209,15.2254,14.5143,1.4302,15.4887,312.0,16358.0,2796.0547
210,15.5218,14.9294,1.7546,14.8144,311.0,25276.0,2796.0547
211,14.7922,14.633,1.3506,15.3048,310.0,16356.0,2796.0547
212,15.4134,14.4117,1.5919,14.585,310.0,8840.0,2796.0547
213,14.6058,14.6218,1.4462,15.5081,309.0,8850.0,2796.0547
214,15.4576,14.5386,1.7123,14.978,309.0,8850.0,2796.0547
215,14.9541,14.7277,1.5327,15.2342,310.0,10709.0,2796.0547
216,15.2435,14.6295,1.6679,16.1179,310.0,14085.0,2796.0547
217,16.1151,14.6409,1.6617,14.0799,313.0,14744.0,2796.0547
218,14.0822,14.4514,1.77,14.9485,308.0,8374.0,2796.0547
219,14.8854,14.4705,1.5696,14.8173,308.0,9766.0,2796.0547
220,14.8689,14.4979,1.5868,15.0543,309.0,8386.0,2796.0547
221,15.0839,14.6042,1.519,15.4124,308.0,8374.0,2796.0547
222,15.3663,14.2881,1.6086,14.541,309.0,8386.0,2796.0547
223,14.5821,14.3414,1.8245,15.0199,314.0,11074.0,2796.0547
224,15.0306,14.6576,1.7615,15.1998,313.0,11106.0,2796.0547
225,15.1212,14.4567,1.6064,14.902,314.0,10806.0,2796.0547
226,14.9943,14.774,1.6039,15.568,312.0,11452.0,2796.0547
227,15.5535,14.5409,1.8165,14.7459,311.0,10104.0,2796.0547
228,14.6769,14.3701,1.8115,14.7166,312.0,8400.0,2796.0547
229,14.7348,14.3647,1.5984,15.4443,309.0,9722.0,2796.0547
230,15.4792,14.748,1.7942,14.4533,313.0,25114.0,2796.0547
231,14.4237,14.7575,1.463,15.7335,293.0,17338.0,2796.0547
232,15.7078,14.5093,1.5682,15.3652,273.0,6274.0,2796.0547
233,15.4365,14.642,1.8435,14.1146,274.0,6334.0,2796.0547
234,14.0886,14.4418,1.634,14.5922,275.0,6346.0,2796.0547
235,14.557,14.7754,1.2709,15.6897,274.0,6286.0,2796.0547
236,15.6549,14.4078,1.4149,14.8053,273.0,6274.0,2796.0547
237,14.8697,14.5804,1.5292,14.9395,273.0,6274.0,2796.0547
238,14.9417,14.3871,1.6924,15.0993,275.0,6298.0,2796.0547
239,15.0669,14.4155,1.5614,15.4003,323.0,39049.0,2796.0547
240,15.4538,14.5597,1.6104,14.8088,323.0,14782.0,2796.0547
241,14.7861,14.7182,1.6213,14.6712,313.0,8390.0,2796.0547
242,14.6564,14.5193,1.6227,15.6222,310.0,25528.0,2796.0547
243,15.663,14.436,1.6558,14.407,310.0,67736.0,2796.0547
244,14.3515,14.7151,1.5029,15.2621,281.0,6636.0,2796.0547
245,15.3361,14.6031,1.529,15.3163,286.0,6958.0,2796.0547
246,15.326,14.641,1.6572,14.5529,273.0,6274.0,2796.0547
247,14.5528,14.4188,1.6627,15.0995,292.0,9102.0,2796.0547
248,15.0379,14.4553,1.4897,15.0657,299.0,14586.0,2796.0547
249,15.0684,14.4171,1.6172,15.1746,299.0,7834.0,2796.0547
250,15.1993,14.5139,1.7471,15.2368,308.0,8838.0,2796.0547
251,15.2348,14.6765,1.6207,14.7915,309.0,8850.0,2796.0547
252,14.7948,14.405,1.514,15.8772,310.0,10709.0,2796.0547
253,15.9215,14.3868,1.4929,14.6926,310.0,14380.0,2796.0547
254,14.6726,14.6909,1.5446,14.9166,315.0,19102.0,2796.0547
255,14.9217,14.5059,1.835,14.8542,316.0,12253.0,2796.0547
256,14.8459,14.6953,1.8469,15.3021,307.0,9614.0,2796.0547
257,15.2934,14.7194,1.9661,14.6323,301.0,8566.0,2796.0547
258,14.6203,14.4181,1.7903,15.8422,275.0,6276.0,2796.0547
259,15.8597,14.6759,1.8072,14.4387,311.0,9336.0,2796.0547
260,14.4133,14.5203,1.6774,15.4551,311.0,13828.0,2796.0547
261,15.5838,14.6686,1.9279,15.2655,308.0,16354.0,2796.0547
262,15.2026,14.7607,2.0509,14.6617,309.0,25274.0,2796.0547
263,14.6438,14.5853,2.0375,15.4775,309.0,16366.0,2796.0547
264,15.4528,14.6691,1.8555,15.1381,308.0,8838.0,2796.0547
265,15.1689,14.4519,1.9484,15.2298,309.0,8850.0,2796.0547
266,15.2482,14.8295,1.9463,15.1057,309.0,8850.0,2796.0547
267,15.1506,14.6633,1.9142,15.1978,311.0,10721.0,2796.0547
268,15.1548,14.6612,1.9293,14.9878,310.0,14085.0,2796.0547
269,14.9674,14.4753,1.8213,15.3073,314.0,14756.0,2796.0547
270,15.2903,15.0207,1.8637,15.7536,308.0,8374.0,2796.0547
271,15.743,14.6048,1.8828,15.6467,313.0,9782.0,2796.0547
272,15.6622,14.9678,2.123,15.813,312.0,8378.0,2796.0547
273,15.878,14.9436,1.7982,16.108,312.0,8378.0,2796.0547
274,16.0963,14.6907,2.1493,13.9824,310.0,8376.0,2796.0547
275,13.9243,14.9266,1.9824,16.275,312.0,11072.0,2796.0547
276,16.4068,14.8567,2.5069,14.5524,311.0,11104.0,2796.0547
277,14.4728,14.7221,2.3141,15.2182,310.0,10802.0,2796.0547
278,15.2016,15.0025,2.4549,14.2967,310.0,11450.0,2796.0547
279,14.2388,14.5892,2.0339,15.4128,309.0,10102.0,2796.1797
280,15.4993,14.475,2.0992,15.9086,309.0,8386.0,2796.1797
281,15.9878,14.6792,2.1447,15.0372,309.0,9722.0,2796.1797
282,14.8897,14.8626,1.8434,15.4267,313.0,25114.0,2796.1797
283,15.4287,14.7001,1.6878,14.7568,293.0,17338.0,2796.1797
284,14.7968,14.7611,1.9381,15.251,274.0,6286.0,2796.1797
285,15.264,14.7831,2.0008,15.0896,275.0,6346.0,2796.1797
286,15.0584,14.847,2.006,14.7864,274.0,6334.0,2796.1797
287,14.7842,14.5212,2.049,15.5369,277.0,6278.0,2796.1797
288,15.5206,14.8638,1.8357,15.551,277.0,6278.0,2796.1797
289,15.5487,14.7002,1.8915,15.3261,277.0,6278.0,2796.1797
290,15.3602,14.638,1.7289,14.7497,276.0,6288.0,2796.1797
