capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,7.3235,6.2504,1.9627,5.9495,291.0,12589.0,2224.2969
121,5.9113,6.5093,1.6407,6.5642,290.0,22297.0,2224.2969
122,6.603,6.0337,1.602,6.5574,290.0,7557.0,2224.2969
123,6.5319,6.563,1.3217,7.1838,271.0,20069.0,2224.2969
124,7.1764,5.9743,1.3132,5.9531,260.0,5889.0,2224.2969
125,5.9085,5.932,1.1611,7.5159,262.0,5851.0,2224.2969
126,7.7071,6.5569,1.7017,5.523,254.0,5419.0,2224.2969
127,5.3859,5.9088,1.6306,7.8951,252.0,5395.0,2224.2969
128,7.8657,6.4821,1.5649,5.7666,253.0,5407.0,2224.2969
129,5.7763,5.9319,1.654,6.4144,252.0,5395.0,2224.2969
130,6.3839,5.9022,1.5336,6.9738,288.0,7555.0,2224.2969
131,7.0526,6.5558,1.7033,6.8782,289.0,7567.0,2224.2969
132,6.8395,5.968,1.6647,6.5485,289.0,7567.0,2224.2969
133,6.5511,6.5721,1.575,6.403,291.0,7499.0,2224.2969
134,6.422,6.0294,1.4828,6.855,256.0,5399.0,2224.2969
135,6.8166,5.9307,1.4732,6.7916,257.0,5411.0,2224.2969
136,6.8084,6.381,1.6289,6.2008,290.0,7557.0,2224.2969
137,6.2559,5.903,1.421,7.0361,299.0,21805.0,2224.2969
138,7.0494,6.6289,1.5609,6.3981,290.0,8485.0,2224.2969
139,6.3109,5.9641,1.5758,6.149,288.0,9875.0,2224.2969
140,6.2108,6.0034,1.4287,6.8301,288.0,7555.0,2224.2969
141,6.8279,6.802,1.5987,7.2007,289.0,7567.0,2224.2969
142,7.1811,5.9899,1.7046,6.8556,288.0,7555.0,2224.2969
143,6.9067,6.6893,1.6105,6.4383,288.0,7555.0,2224.2969
144,6.3265,5.946,1.479,6.476,295.0,27655.0,2224.2969
145,6.5334,5.923,1.4729,6.5218,289.0,10319.0,2224.2969
146,6.5364,6.6772,1.5203,6.9267,288.0,7555.0,2224.2969
147,6.9072,5.9131,1.4252,6.5728,288.0,7555.0,2224.2969
148,6.6024,6.4619,1.3312,6.3224,272.0,6595.0,2224.2969
149,6.2918,5.924,1.3642,6.328,295.0,14529.0,2224.2969
150,6.297,5.991,1.2708,6.8541,284.0,10533.0,2224.2969
151,6.8953,6.7657,1.4825,7.0356,256.0,5399.0,2224.2969
152,7.0098,5.8809,1.4588,6.7677,254.0,5397.0,2224.2969
153,6.8015,6.6259,1.468,6.651,290.0,7557.0,2224.2969
154,6.6901,5.9422,1.5335,6.142,304.0,19425.0,2224.2969
155,6.0447,5.9203,1.3411,6.4314,292.0,19529.0,2224.2969
156,6.4614,6.4639,1.298,7.0733,288.0,11267.0,2224.2969
157,7.1773,6.0481,1.3839,6.0222,291.0,78074.0,2224.2969
158,5.9889,6.6404,1.636,7.4433,288.0,16159.0,2224.2969
159,7.3947,5.9212,1.3351,6.2694,288.0,10931.0,2224.2969
160,6.2482,5.863,1.3629,6.2906,289.0,7935.0,2224.2969
161,6.399,6.5506,1.3989,6.9319,294.0,16168.0,2224.2969
162,6.8147,5.919,1.3303,6.6289,291.0,15822.0,2224.2969
163,6.6726,6.5376,1.3278,7.02,288.0,17131.0,2224.2969
164,6.9929,5.9204,1.3569,5.879,289.0,10759.0,2224.2969
165,5.8833,5.9369,1.2042,6.3865,289.0,15359.0,2224.2969
166,6.4518,6.6962,1.25,7.1687,256.0,5399.0,2224.2969
167,7.1281,5.9223,1.5201,6.1095,256.0,5399.0,2224.2969
168,6.0684,6.5045,1.4515,7.2528,291.0,9609.0,2224.2969
169,7.3281,5.917,1.2964,6.2439,290.0,12577.0,2224.2969
170,6.2253,5.8913,1.5126,7.5295,291.0,22309.0,2224.2969
171,7.5361,6.493,1.8815,5.7545,288.0,7555.0,2224.2969
172,5.8276,5.9931,1.8024,6.2407,269.0,20045.0,2224.2969
173,6.1208,6.5917,1.4935,7.006,261.0,5901.0,2224.2969
174,7.0241,5.9375,1.5622,6.4938,259.0,5815.0,2224.2969
175,6.4772,5.9152,1.3109,6.7192,252.0,5395.0,2224.2969
176,6.7379,6.5058,1.4268,6.503,252.0,5395.0,2224.2969
177,6.4719,5.9393,1.2134,6.1838,252.0,5395.0,2224.2969
178,6.205,5.8946,1.2932,7.1601,252.0,5395.0,2224.2969
179,7.17,5.9729,1.619,6.0615,288.0,7555.0,2224.2969
180,6.0855,5.9224,1.4451,6.9802,288.0,7555.0,2224.2969
181,6.9429,6.5818,1.3259,6.7584,292.0,7559.0,2224.2969
182,6.7229,5.9376,1.3356,6.0072,291.0,7499.0,2224.2969
183,6.0417,6.1764,1.1772,7.1903,256.0,5399.0,2224.2969
184,7.1736,6.5567,1.3192,6.8557,254.0,5397.0,2224.2969
185,6.8549,5.9544,1.2983,6.7207,290.0,7557.0,2224.2969
186,6.7856,6.4932,1.5641,6.4567,298.0,21793.0,2224.2969
187,6.4198,5.9633,1.4617,6.5792,290.0,8507.0,2224.2969
188,6.5796,6.1722,1.5347,6.5596,288.0,9875.0,2224.2969
189,6.6067,5.9564,1.7814,6.6079,289.0,7567.0,2224.2969
190,6.5906,5.9347,1.2897,6.5832,289.0,7567.0,2224.2969
191,6.5394,6.5695,1.1879,6.7528,288.0,7555.0,2224.2969
192,6.731,5.8819,1.2462,6.2778,289.0,7567.0,2224.2969
193,6.2863,6.1449,1.3165,7.1106,294.0,27643.0,2224.2969
194,7.1794,6.3838,1.4215,6.4387,288.0,10307.0,2224.2969
195,6.4629,5.9957,2.043,6.4574,290.0,7579.0,2224.2969
196,6.3844,6.8034,1.3266,6.8468,288.0,7555.0,2224.2969
197,6.8871,5.9381,1.4232,7.0659,276.0,6599.0,2224.2969
198,7.0877,6.0893,1.8532,6.9227,296.0,14589.0,2224.2969
199,6.9036,6.4722,1.9998,6.3723,282.0,10461.0,2224.2969
200,6.4284,6.0564,1.6296,7.2279,254.0,5397.0,2224.2969
201,7.198,6.5996,1.7264,6.6569,255.0,5409.0,2224.2969
202,6.679,5.9263,1.9283,5.8908,290.0,7557.0,2224.2969
203,5.8265,6.2075,1.7215,7.1236,302.0,19423.0,2224.2969
204,7.1877,6.4283,1.6815,6.4942,292.0,19529.0,2224.2969
205,6.4333,5.916,1.8354,6.8379,288.0,11267.0,2224.2969
206,6.9232,6.4112,2.2075,6.6839,291.0,78074.0,2224.2969
207,6.7008,6.0423,2.1831,5.9773,289.0,16171.0,2224.2969
208,5.9132,5.9745,1.4947,7.1793,289.0,10943.0,2224.2969
209,7.227,6.6141,2.012,6.3869,289.0,7935.0,2224.2969
210,6.2596,5.9328,1.5067,7.6684,294.0,16168.0,2224.2969
211,7.6991,6.6303,1.5197,6.2469,332.0,20715.0,2224.2969
212,6.2802,7.3834,1.4267,7.5551,260.0,7863.0,2224.2969
213,7.5645,6.9328,1.6394,7.4191,265.0,9551.0,2224.2969
214,7.4498,6.542,1.3834,6.9357,260.0,5831.0,2224.2969
215,6.892,6.2394,1.2501,7.5232,291.0,15826.0,2224.2969
216,7.5814,6.8339,1.6551,6.6989,286.0,15537.0,2224.2969
217,6.6095,6.2444,1.3481,6.8975,286.0,10749.0,2224.2969
218,6.9381,7.09,1.5405,6.8897,269.0,14469.0,2224.2969
219,6.8926,6.184,1.5243,6.8123,250.0,5419.0,2224.2969
220,6.7571,6.5944,1.2786,7.346,249.0,5407.0,2224.2969
221,7.4153,6.2194,1.7397,6.5427,284.0,9595.0,2224.2969
222,6.4899,6.2061,1.3639,6.7769,284.0,14479.0,2224.2969
223,6.7781,6.8849,1.455,7.1562,285.0,20403.0,2224.2969
224,7.2372,6.2632,1.2499,7.0703,279.0,7207.0,2224.2969
225,7.0455,6.8742,1.1325,7.08,263.0,19925.0,2224.2969
226,7.0681,6.2233,1.2811,6.2808,256.0,5889.0,2224.2969
227,6.4351,6.2082,1.3408,6.9013,255.0,5767.0,2224.2969
228,6.7273,6.8182,1.4524,7.0055,248.0,5395.0,2224.2969
229,6.953,6.1856,1.3524,7.0279,252.0,5399.0,2224.2969
230,7.0824,6.9128,1.3412,7.0175,252.0,5399.0,2224.2969
231,6.9969,6.1528,1.2744,6.8666,253.0,5411.0,2224.2969
232,6.8665,6.6367,1.1382,7.3955,286.0,7557.0,2224.2969
233,7.3962,6.2811,1.3776,6.3974,287.0,7569.0,2224.2969
234,6.3862,6.2133,1.4386,7.2047,287.0,7569.0,2224.2969
235,7.2303,7.0243,1.3589,6.6564,283.0,7495.0,2224.2969
236,6.6847,6.207,1.4813,6.3461,248.0,5395.0,2224.2969
237,6.303,6.873,1.3266,7.8918,248.0,5395.0,2224.2969
238,7.912,6.1444,1.2043,6.2898,284.0,7555.0,2224.2969
239,6.3086,6.229,1.426,6.7292,293.0,21803.0,2224.2969
240,6.7256,6.6906,1.5245,7.4047,284.0,8483.0,2224.2969
241,7.3734,6.2504,1.2723,6.9481,285.0,9887.0,2224.2969
242,6.909,6.8905,1.2678,7.3933,286.0,7579.0,2224.2969
243,7.462,6.2057,1.5142,5.9045,284.0,7555.0,2224.2969
244,5.8665,6.4356,1.289,7.3831,284.0,7555.0,2224.2969
245,7.4474,6.1827,1.5617,6.5285,288.0,7559.0,2224.2969
246,6.4886,6.3217,1.4858,7.1915,295.0,27659.0,2224.2969
247,7.2887,6.7201,1.4928,6.7687,288.0,10311.0,2224.2969
248,6.7539,6.3387,1.2305,7.5922,286.0,7557.0,2224.2969
249,7.5153,7.0835,1.3365,7.5732,287.0,7569.0,2224.2969
250,7.6203,6.2844,1.7478,6.2424,266.0,6309.0,2224.2969
251,6.2425,6.2098,1.5416,6.4911,288.0,14585.0,2224.2969
252,6.4694,6.8946,1.5251,6.9794,274.0,10409.0,2224.2969
253,6.9456,6.2603,1.2034,6.7776,249.0,5407.0,2224.2969
254,6.7737,6.6238,1.2839,7.1657,249.0,5407.0,2224.2969
255,7.1661,6.1931,1.4175,6.5926,287.0,12663.0,2224.2969
256,6.6652,6.2617,1.4345,7.9676,296.0,17659.0,2224.2969
257,7.9183,7.1023,1.3888,6.2911,285.0,17027.0,2224.2969
258,6.3488,6.2705,1.3752,6.9676,284.0,37255.0,2224.2969
259,6.9408,6.9206,1.3621,7.0067,287.0,53178.0,2224.2969
260,7.0153,6.2514,1.256,6.8624,284.0,15827.0,2224.2969
261,6.8535,6.6246,1.5657,7.1974,288.0,7559.0,2224.2969
262,7.1794,6.2946,1.4271,6.5927,295.0,13552.0,2224.2969
263,6.6039,6.2046,1.1357,6.8419,269.0,9419.0,2224.2969
264,6.807,6.8544,1.4106,6.917,287.0,14603.0,2224.2969
265,6.9292,6.2318,1.4942,6.6106,287.0,8043.0,2224.2969
266,6.6319,6.6686,1.4554,7.0251,261.0,8817.0,2224.2969
267,7.0012,6.2266,1.3208,6.6844,266.0,8177.0,2224.2969
268,6.7496,6.4487,1.2773,7.4666,254.0,7351.0,2224.2969
269,7.5228,6.6035,1.5612,6.4923,254.0,5707.0,2224.2969
270,6.3747,6.2012,1.2825,7.2977,248.0,5395.0,2224.2969
271,7.3059,6.8343,1.4117,6.953,250.0,5419.0,2224.2969
272,6.9212,6.18,1.3261,6.8652,288.0,15834.0,2224.2969
273,6.8368,6.7104,1.0289,7.324,285.0,15547.0,2224.2969
274,7.4695,6.2424,1.5341,6.0884,285.0,10759.0,2224.2969
275,5.9703,6.2237,1.4467,7.0404,266.0,14455.0,2224.2969
276,7.0358,6.9377,1.2337,6.9279,249.0,5407.0,2224.2969
277,6.9113,6.2075,1.0744,7.1222,252.0,5399.0,2224.2969
278,7.2528,6.9152,1.6202,7.0672,289.0,9611.0,2224.2969
279,6.9803,6.2367,1.4499,6.3619,288.0,14483.0,2224.2969
280,6.3675,6.1934,1.3353,6.8996,287.0,20405.0,2224.2969
281,6.9377,6.7427,1.4187,7.0865,280.0,7197.0,2224.2969
282,7.0752,6.2009,1.4754,7.0616,265.0,19927.0,2224.2969
283,7.0597,6.8025,1.4191,7.1629,257.0,5901.0,2224.2969
284,7.1149,6.2141,1.3173,6.1156,254.0,5755.0,2224.2969
285,6.1499,6.3569,1.185,7.3611,248.0,5395.0,2224.2969
286,7.3775,6.3898,1.5169,6.5371,249.0,5407.0,2224.2969
287,6.5302,6.1959,1.5941,7.4252,249.0,5407.0,2224.2969
288,7.385,6.6615,1.217,6.7074,248.0,5395.0,2224.2969
289,6.7138,6.2354,1.2212,6.4819,285.0,7567.0,2224.2969
290,6.5362,6.8023,1.5397,7.698,286.0,7579.0,2224.2969
291,7.6422,6.2598,1.3131,6.0398,284.0,7555.0,2224.2969
292,6.1106,6.2292,1.4926,6.7762,284.0,7507.0,2224.2969
293,6.7147,6.9335,1.2345,7.2732,253.0,5411.0,2224.2969
294,7.3432,6.2516,1.5369,7.1628,253.0,5411.0,2224.2969
295,7.1318,6.2734,1.4111,6.8524,288.0,7559.0,2224.2969
296,6.8209,6.2656,1.3235,6.6858,294.0,21793.0,2224.2969
297,6.7225,6.2297,1.4121,7.381,286.0,8485.0,2224.2969
298,7.3664,6.6953,1.4518,6.7494,286.0,9877.0,2224.2969
299,6.7283,6.2113,1.3075,6.7099,284.0,7555.0,2224.2969
300,6.7324,6.8843,1.3695,7.0507,285.0,7567.0,2224.2969
301,6.9867,6.2195,1.2067,6.6722,285.0,7567.0,2224.2969
302,6.6646,6.6524,1.0511,7.3121,284.0,7555.0,2224.2969
303,7.4186,6.2315,1.0802,6.2521,291.0,27655.0,2224.2969
304,6.2518,6.2446,1.4403,7.7186,284.0,10307.0,2224.2969
305,7.711,6.9251,1.6451,6.5205,286.0,7579.0,2224.2969
306,6.4864,6.2579,1.5027,6.8258,285.0,7567.0,2224.2969
307,6.9989,6.8877,1.6092,7.2053,263.0,6295.0,2224.2969
308,7.0264,6.2379,1.3827,6.5455,290.0,14657.0,2224.2969
309,6.5283,6.2251,1.1267,6.7553,276.0,10341.0,2224.2969
310,6.8918,6.8232,1.3702,7.4171,252.0,5399.0,2224.2969
311,7.2937,6.2182,1.3328,7.2091,254.0,5423.0,2224.2969
312,7.3432,6.8474,1.4665,6.7763,288.0,12653.0,2224.2969
313,6.6693,6.2408,1.4638,6.8816,298.0,17661.0,2224.2969
314,6.8988,6.2723,1.2739,6.8884,288.0,17041.0,2224.2969
315,6.8571,6.6813,1.5161,6.3972,285.0,37267.0,2224.2969
316,6.4277,6.3175,1.3343,7.0149,287.0,53178.0,2224.2969
317,7.0252,6.9141,1.6791,7.3339,285.0,15839.0,2224.2969
318,7.2589,6.2706,1.2591,6.6017,284.0,7555.0,2224.2969
319,6.6864,6.7063,1.53,7.1536,290.0,13536.0,2224.2969
320,7.1119,6.1981,1.3507,6.6812,266.0,9475.0,2224.2969
321,6.7269,6.2037,1.4492,6.4685,284.0,14589.0,2224.2969
322,6.4309,6.779,1.5146,7.1158,285.0,8041.0,2224.2969
323,7.0914,6.2622,1.4635,7.599,258.0,8755.0,2224.2969
324,7.6538,6.9692,1.5141,6.3529,266.0,8177.0,2224.2969
325,6.4177,6.2411,1.4456,7.0659,258.0,7355.0,2224.2969
326,7.0985,6.2937,1.3635,7.0971,257.0,5699.0,2224.2969
327,6.9654,6.6901,1.3016,6.2787,252.0,5399.0,2224.2969
328,6.3016,6.1967,1.3721,7.3486,250.0,5397.0,2224.2969
329,7.3424,6.642,1.4603,6.9389,289.0,15824.0,2224.2969
330,6.9442,6.2061,1.34,6.4443,286.0,15537.0,2224.2969
331,6.4489,6.6172,1.3868,7.2083,284.0,10747.0,2224.2969
332,7.1852,6.2126,1.647,6.5981,267.0,14467.0,2224.2969
333,6.6247,6.2684,1.5038,6.8867,248.0,5395.0,2224.2969
334,6.9668,6.673,1.6047,7.4091,248.0,5395.0,2224.2969
335,7.3037,6.1615,1.3582,6.0757,284.0,9595.0,2224.2969
336,6.0797,6.7649,1.3129,7.5901,284.0,14479.0,2224.2969
337,7.5611,6.2939,1.47,6.5947,284.0,20391.0,2224.2969
338,6.5625,6.2608,1.2915,6.8381,278.0,7195.0,2224.2969
339,6.9754,6.7089,1.4528,7.1233,263.0,19925.0,2224.2969
340,7.051,6.2522,1.3738,7.0349,256.0,5889.0,2224.2969
341,7.0361,6.6639,1.3645,6.9108,258.0,5759.0,2224.2969
342,6.916,6.5109,1.4629,6.9286,252.0,5399.0,2224.2969
343,6.9228,6.6843,1.1885,7.7126,252.0,5399.0,2224.2969
344,7.7235,6.3678,1.4859,6.347,250.0,5397.0,2224.2969
345,6.3157,6.2618,1.2375,7.7037,251.0,5409.0,2224.2969
346,7.7497,7.2723,1.5363,7.0026,286.0,7557.0,2224.2969
347,6.9867,6.1719,1.4721,7.341,284.0,7555.0,2224.2969
348,7.3613,6.9619,1.9668,8.2395,284.0,7555.0,2224.2969
349,8.2344,6.6169,1.6086,4.8518,284.0,7507.0,2224.2969
350,4.8458,6.2651,1.4883,7.2621,248.0,5395.0,2224.2969
351,7.2603,6.2572,1.3735,6.9741,248.0,5395.0,2224.2969
352,7.0432,6.2055,1.6162,7.2735,286.0,7579.0,2224.2969
353,7.2545,7.1332,1.5195,7.1334,294.0,21815.0,2224.2969
354,7.0998,6.2217,1.4845,7.1048,285.0,8495.0,2224.2969
355,7.1471,6.6643,1.6631,6.9277,285.0,9887.0,2224.2969
356,6.9007,6.3929,1.6149,6.254,286.0,7579.0,2224.2969
357,6.2397,6.2532,1.5058,7.1453,289.0,7571.0,2224.2969
358,7.1737,7.085,1.4853,7.4584,289.0,7571.0,2224.2969
359,7.4775,6.2351,1.3804,7.5265,289.0,7571.0,2224.2969
360,7.5725,7.0416,1.4005,6.5388,292.0,27645.0,2224.2969
361,6.4556,6.1791,1.5071,6.7965,286.0,10309.0,2224.2969
362,6.8252,6.2771,1.3336,7.4672,286.0,7557.0,2224.2969
363,7.4329,6.6647,1.5877,7.1228,285.0,7567.0,2224.2969
364,7.1055,6.2223,1.3889,6.6336,263.0,6295.0,2224.2969
365,6.6745,7.1076,1.5738,6.8343,290.0,14657.0,2224.2969
366,6.8184,6.2523,1.4635,6.5536,274.0,10361.0,2224.2969
367,6.5769,6.888,1.5903,7.1775,248.0,5395.0,2224.2969
368,7.1148,6.1914,1.448,7.0936,248.0,5395.0,2224.2969
369,7.0874,6.272,1.421,7.1329,286.0,12651.0,2224.2969
370,7.2173,6.5302,1.673,7.211,296.0,17659.0,2224.2969
371,7.1979,6.2524,1.407,6.6948,285.0,17027.0,2224.2969
372,6.6867,7.1511,1.4573,7.6186,284.0,37255.0,2224.2969
373,7.6945,6.2784,1.4507,6.1862,291.0,53182.0,2224.2969
374,6.0443,6.7257,1.6461,7.8761,288.0,15831.0,2224.2969
375,7.918,6.4932,1.6899,6.4647,288.0,7559.0,2224.2969
376,6.4545,6.2791,1.3672,6.6697,294.0,13562.0,2224.2969
377,6.6947,7.12,1.4299,7.4831,269.0,9537.0,2224.2969
378,7.5384,6.1933,1.4932,6.9819,287.0,14603.0,2224.2969
