capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,19.3858,19.375,2.4801,20.7677,367.0,53094.0,3023.7812
121,20.8678,19.9885,2.7758,19.5925,384.0,54618.0,3023.7812
122,19.3925,19.2072,2.2405,19.936,392.0,57434.0,3023.7812
123,19.9538,19.2566,2.3007,19.5974,394.0,58933.0,3023.7812
124,19.7443,19.1936,2.7808,20.0842,393.0,55320.0,3023.7812
125,19.9958,19.4901,2.5796,20.5622,392.0,54594.0,3023.7812
126,20.5322,20.1401,2.4862,19.7007,394.0,55776.0,3023.7812
127,19.7966,18.9909,2.4152,20.4135,398.0,58908.0,3023.7812
128,20.2403,18.9886,2.4728,19.4766,396.0,57902.0,3023.7812
129,19.5933,19.0877,2.7815,19.4701,398.0,56570.0,3023.7812
130,19.4404,19.2581,2.2156,19.7166,396.0,56286.0,3023.7812
131,19.6963,20.3735,2.3786,20.7026,395.0,56274.0,3023.7812
132,20.7004,19.2461,2.3511,19.969,394.0,54596.0,3023.7812
133,20.0975,19.217,2.4555,21.7879,394.0,56284.0,3023.7812
134,21.6426,19.297,2.6228,17.6264,395.0,54608.0,3023.7812
135,17.6773,19.1365,2.3016,19.8376,393.0,54606.0,3023.7812
136,19.8909,19.8903,2.1747,20.9153,391.0,55046.0,3023.7812
137,20.7969,18.9328,2.2412,19.7085,393.0,54606.0,3023.7812
138,19.7818,19.4002,2.369,19.2898,391.0,55510.0,3023.7812
139,19.3139,19.3044,2.618,20.2929,392.0,55058.0,3023.7812
140,20.3411,19.2094,2.5264,20.7907,393.0,55070.0,3023.7812
141,20.6886,20.4558,2.4668,20.5868,391.0,55046.0,3023.7812
142,20.6352,18.9454,2.3745,19.7932,395.0,58874.0,3023.7812
143,19.7541,19.286,2.5625,19.4152,396.0,75110.0,3023.7812
144,19.4808,19.4304,2.8516,19.4606,398.0,69066.0,3023.7812
145,19.3913,19.0628,2.4888,20.9764,404.0,72313.0,3023.7812
146,21.0005,20.1508,2.3207,19.2127,396.0,58974.0,3023.7812
147,19.2643,19.1906,2.3308,19.6944,397.0,57474.0,3023.7812
148,19.6078,19.4212,2.2563,19.6231,396.0,56931.0,3023.7812
149,19.6217,18.8656,2.3527,20.1861,393.0,55512.0,3023.7812
150,20.2176,19.5218,2.3841,19.9524,396.0,57055.0,3023.7812
151,19.932,19.822,2.1545,19.6678,394.0,65025.0,3023.7812
152,19.7594,18.8106,2.1525,19.7669,391.0,56518.0,3023.7812
153,19.6541,18.8617,2.3421,20.8749,392.0,55646.0,3023.7812
154,20.9204,18.9841,2.5459,19.1691,396.0,59264.0,3023.7812
155,19.1947,18.8399,2.4044,18.3436,399.0,62994.0,3023.7812
156,18.2624,18.596,2.1469,19.5308,394.0,56465.0,3023.7812
157,19.5272,19.3857,2.0682,19.5746,393.0,60809.0,3023.7812
158,19.6785,18.5971,2.0558,18.9051,392.0,71522.0,3023.7812
159,18.8203,18.6954,2.0466,19.3077,393.0,68660.0,3023.7812
160,19.314,18.8692,2.1766,20.2332,391.0,61790.0,3023.7812
161,20.2463,18.9371,2.5489,19.9941,396.0,71980.0,3023.7812
162,20.026,18.9607,2.2612,18.6449,389.0,62528.0,3023.7812
163,18.5714,20.4176,2.1702,20.61,372.0,75238.0,3023.7812
164,20.6854,19.1174,2.1258,20.0938,386.0,85722.0,3023.7812
165,20.0689,19.1372,2.253,19.7667,365.0,69628.0,3023.7812
166,19.9166,18.9163,2.5338,18.9632,362.0,54224.0,3023.7812
167,18.7887,19.312,2.4674,19.6901,357.0,52494.0,3023.7812
