capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,17.2558,16.7432,2.5261,17.0645,312.0,13154.0,2795.0547
121,17.1284,16.6501,2.9555,17.772,313.0,10710.0,2795.0547
122,17.7178,16.6779,2.6528,16.7499,312.0,8378.0,2795.0547
123,16.8955,16.6701,2.5244,18.2705,313.0,11880.0,2795.0547
124,18.1003,16.7679,2.0755,16.4178,318.0,27486.0,2795.0547
125,16.3655,16.5643,2.1822,16.6637,320.0,33402.0,2795.0547
126,16.7364,16.6426,2.096,17.4626,274.0,6286.0,2795.0547
127,17.4158,16.4073,2.1062,16.7162,273.0,6274.0,2795.0547
128,16.6805,16.464,2.1266,17.0886,308.0,19996.0,2795.0547
129,17.1276,16.4183,1.9729,16.9981,312.0,15722.0,2795.0547
130,16.9734,16.6473,2.0011,16.8378,276.0,6406.0,2795.0547
131,16.8579,16.6171,1.9612,17.1209,273.0,6274.0,2795.0547
132,17.0703,16.7636,1.9581,17.1112,302.0,8414.0,2795.0547
133,17.1441,15.8717,1.9364,18.1111,274.0,6286.0,2795.0547
134,18.0747,16.5498,2.0982,18.028,282.0,6814.0,2795.0547
135,18.04,17.1388,2.1523,17.1419,312.0,22029.0,2795.0547
136,17.1501,17.3565,2.0614,16.9737,313.0,13622.0,2795.0547
137,17.0041,17.1389,2.1395,16.8826,315.0,10261.0,2795.0547
138,16.8558,16.4183,2.0022,16.9954,315.0,11259.0,2795.0547
139,17.1024,16.6432,2.0674,17.1576,310.0,22292.0,2795.0547
140,17.0964,16.5553,2.0944,16.8508,311.0,47914.0,2795.0547
141,16.8191,16.4404,1.9622,16.622,310.0,19158.0,2795.0547
142,16.7029,16.486,2.0503,17.7287,277.0,13040.0,2795.0547
143,17.6461,16.5583,2.1083,16.933,274.0,6286.0,2795.0547
144,16.9638,16.6605,1.9935,16.8763,274.0,6286.0,2795.0547
145,16.8696,16.6548,2.0423,17.115,275.0,6298.0,2795.0547
146,17.1171,16.666,2.0146,16.9995,274.0,6286.0,2795.0547
147,16.9678,16.5469,2.4264,17.6045,273.0,6274.0,2795.0547
148,17.6438,16.0574,2.4799,17.8337,309.0,8386.0,2795.0547
149,17.8252,16.7788,2.6655,17.1598,307.0,14698.0,2795.0547
150,17.1717,16.6696,3.0242,16.4478,299.0,14538.0,2795.0547
151,16.477,16.7421,2.9716,16.6644,317.0,19414.0,2795.0547
152,16.6638,16.5597,2.4639,17.2956,314.0,23414.0,2795.0547
153,17.2443,16.9996,2.7526,17.3968,313.0,8390.0,2795.0547
154,17.4708,16.308,2.4721,16.9065,312.0,8378.0,2795.0547
155,16.9403,16.8526,2.7171,18.4969,310.0,8376.0,2795.0547
156,18.411,16.5367,2.6051,17.0738,310.0,9444.0,2795.0547
157,17.0952,16.4008,2.585,16.9556,311.0,11052.0,2795.0547
158,17.0327,16.6537,2.7318,16.8621,308.0,19546.0,2795.0547
159,16.8721,16.83,2.669,17.522,309.0,17962.0,2795.0547
160,17.4052,16.675,2.2745,16.8076,308.0,8374.0,2795.0547
161,16.7909,16.661,2.0863,17.4336,308.0,8374.0,2795.0547
162,17.4685,16.4111,1.94,16.4041,308.0,8374.0,2795.0547
163,16.4093,16.4848,1.9812,16.7552,308.0,8838.0,2795.0547
164,16.7317,16.4838,2.0168,17.2191,309.0,8850.0,2795.0547
165,17.2915,16.512,2.0438,17.6676,309.0,8386.0,2795.0547
166,17.5876,16.5421,1.9338,16.2479,308.0,10230.0,2795.0547
167,16.2503,16.646,1.9817,17.6402,309.0,8850.0,2795.0547
168,17.6516,16.5268,1.8933,17.5156,313.0,8668.0,2795.0547
169,17.5215,16.6053,2.13,18.0032,314.0,11083.0,2795.0547
170,18.016,16.421,2.1521,16.8534,319.0,14467.0,2795.0547
171,16.8104,16.8354,2.0224,17.0638,311.0,8704.0,2795.0547
172,17.0694,15.4689,1.8747,17.1975,311.0,13164.0,2795.0547
173,17.2033,15.519,1.9074,16.3641,310.0,10696.0,2795.0547
174,16.3421,15.5922,1.9384,17.3659,308.0,8374.0,2795.0547
175,17.4008,16.4008,1.9682,16.7781,312.0,11890.0,2795.0547
176,16.755,16.5888,2.0268,16.8833,316.0,27484.0,2795.0547
177,16.8852,16.5417,1.9245,17.397,318.0,33400.0,2795.0547
178,17.4077,16.5727,2.0747,17.3284,274.0,6286.0,2795.0547
179,17.33,16.2654,2.0422,16.2643,273.0,6274.0,2795.0547
180,16.2579,16.4478,1.9754,17.2044,309.0,20008.0,2795.0547
181,17.2334,16.4423,1.9455,16.6374,312.0,15722.0,2795.0547
182,16.6061,16.4823,2.1393,17.0013,276.0,6406.0,2795.0547
183,17.0158,16.7226,2.0956,16.9472,273.0,6274.0,2795.0547
184,16.9084,16.4579,1.9345,17.1436,305.0,8406.0,2795.0547
185,17.2608,16.6211,2.1474,17.2615,278.0,6290.0,2795.0547
186,17.216,16.6079,1.9549,16.9272,286.0,6818.0,2795.0547
187,16.885,16.5506,1.8845,17.1703,313.0,22019.0,2795.0547
188,17.2085,16.7382,2.0545,17.4669,311.0,13620.0,2795.0547
189,17.4153,16.4431,2.0219,16.6798,312.0,10247.0,2795.0547
190,16.7094,16.9253,2.5275,17.2913,310.0,11243.0,2795.0547
191,17.3041,16.3173,2.6506,17.1473,310.0,22314.0,2795.0547
192,17.1334,16.6977,2.6304,17.3045,309.0,47912.0,2795.0547
193,17.4987,16.5667,2.7845,17.1509,309.0,19168.0,2795.0547
194,17.0662,16.7476,2.8924,18.4867,279.0,13064.0,2795.0547
195,18.4515,16.9335,2.6585,17.9022,273.0,6274.0,2795.0547
196,17.885,16.4928,2.3918,15.397,274.0,6286.0,2795.0547
197,15.3486,16.4604,2.2141,17.6798,273.0,6274.0,2795.0547
198,17.7034,16.6577,2.1667,16.5499,273.0,6274.0,2795.0547
199,16.5402,16.5574,1.9933,17.5222,273.0,6274.0,2795.0547
200,17.4986,16.5799,2.0405,16.6926,312.0,8378.0,2795.0547
201,16.7459,16.5705,1.9574,17.685,313.0,14774.0,2795.0547
202,17.6781,16.6964,2.031,17.6061,302.0,16218.0,2795.0547
203,17.5787,16.6534,2.0048,16.4776,319.0,17728.0,2795.0547
204,16.5176,16.7296,2.0319,18.2205,310.0,23388.0,2795.0547
205,18.259,16.4775,2.4236,16.1895,311.0,8388.0,2795.0547
206,16.1484,16.611,2.0986,17.9289,308.0,8374.0,2795.0547
207,17.9434,16.6295,2.1315,16.8606,309.0,8386.0,2795.0547
208,16.8,16.5259,1.972,17.9234,308.0,9442.0,2795.0547
209,17.9515,16.8655,1.989,16.889,308.0,11038.0,2795.0547
210,16.9342,16.5251,1.9903,16.7566,309.0,19558.0,2795.0547
211,16.7393,16.575,2.0266,17.1311,308.0,17950.0,2795.0547
212,17.0936,16.1008,2.0199,17.1115,308.0,8374.0,2795.0547
213,17.0749,16.3744,2.0143,16.7326,308.0,8374.0,2795.0547
214,16.7621,16.3084,1.9251,17.0431,308.0,8374.0,2795.0547
215,17.1702,16.4568,2.2988,17.1167,310.0,8862.0,2795.0547
216,17.0303,16.5281,2.1235,17.7037,312.0,8842.0,2795.0547
217,17.726,16.4357,2.1876,16.5497,314.0,8402.0,2795.0547
218,16.4767,16.6933,2.1323,17.5677,312.0,10234.0,2795.0547
219,17.6566,16.4932,2.2486,16.8144,311.0,8852.0,2795.0547
220,16.7468,16.7386,2.2067,16.3615,310.0,8654.0,2795.0547
221,16.3572,16.4898,2.0045,17.3858,313.0,11093.0,2795.0547
222,17.34,16.6131,1.9273,17.0232,314.0,14451.0,2795.0547
223,17.0865,16.5594,2.0183,16.7909,308.0,9154.0,2795.0547
224,16.7525,16.528,1.9763,16.9373,308.0,12686.0,2795.0547
225,17.0298,16.5509,1.9979,17.4073,310.0,10718.0,2795.0547
226,17.3474,16.6287,2.1829,17.1096,309.0,9414.0,2795.0547
227,17.0658,16.7951,2.665,17.5911,309.0,10826.0,2795.0547
228,17.7061,16.3216,3.1358,16.59,317.0,27558.0,2795.0547
229,16.5853,16.7272,3.4253,17.1559,316.0,33266.0,2795.0547
230,17.1765,16.7195,2.5117,17.6539,274.0,6286.0,2795.0547
231,17.6911,16.8107,2.6714,18.1833,273.0,6274.0,2795.0547
232,18.1471,16.6108,2.2678,16.4511,313.0,20012.0,2795.0547
233,16.4097,16.8593,2.4185,17.4118,316.0,15726.0,2795.0547
234,17.4187,16.7211,2.0629,16.8952,279.0,6398.0,2795.0547
235,16.8661,16.8007,2.0209,17.8103,276.0,6288.0,2795.0547
236,17.7945,16.5199,2.0254,16.7784,303.0,8404.0,2795.0547
237,16.734,16.5735,2.2329,16.9229,276.0,6288.0,2795.0547
238,17.2724,16.4903,2.5644,16.8911,282.0,6814.0,2795.0547
239,16.5737,16.499,2.1603,17.0997,313.0,22041.0,2795.0547
240,17.1163,16.5855,1.9242,17.3842,308.0,13606.0,2795.0547
241,17.3683,16.636,2.0056,17.6221,310.0,10245.0,2795.0547
242,17.6442,15.6961,2.1149,17.3763,310.0,11243.0,2795.0547
243,17.3353,16.0629,1.9906,17.6971,308.0,22290.0,2795.0547
244,17.6947,17.1518,2.0505,18.4726,308.0,47900.0,2795.0547
245,18.5051,17.7329,1.964,15.7112,308.0,19156.0,2795.0547
246,15.7595,15.0938,2.0811,16.6075,277.0,13040.0,2795.0547
247,16.5415,16.2721,1.9872,16.7527,274.0,6286.0,2795.0547
248,16.7642,16.4756,1.9831,17.0764,277.0,6278.0,2795.0547
249,17.0807,16.4387,1.9512,16.8919,277.0,6278.0,2795.0547
250,16.8883,16.3503,1.9122,16.8189,277.0,6278.0,2795.0547
251,16.8384,16.3441,2.2294,16.933,275.0,6276.0,2795.0547
252,16.8875,16.4846,2.1117,17.3819,310.0,8376.0,2795.0547
253,17.4092,16.3035,2.0251,16.8646,310.0,14760.0,2795.0547
254,16.8871,16.4443,2.2175,16.4677,298.0,16214.0,2795.0547
255,16.4295,16.4057,1.9835,17.015,316.0,17714.0,2795.0547
256,17.0238,16.5258,1.9125,17.0978,309.0,23398.0,2795.0547
257,17.1194,16.593,1.8895,16.9414,308.0,8374.0,2795.0547
258,16.9824,16.5223,2.1079,16.7072,308.0,8374.0,2795.0547
259,16.6379,16.3494,1.9835,17.1432,309.0,8386.0,2795.0547
260,17.1582,16.5636,2.1032,17.2198,308.0,9442.0,2795.0547
261,17.2189,16.6981,1.9568,17.2558,309.0,11050.0,2795.0547
262,17.2509,16.7159,1.9592,17.4774,309.0,19558.0,2795.0547
263,17.4563,16.5473,2.0588,17.0273,308.0,17950.0,2795.0547
264,17.0779,16.7547,2.5162,17.6629,313.0,8390.0,2795.0547
265,17.728,16.5845,3.0952,16.9445,312.0,8378.0,2795.0547
266,16.8836,17.0259,3.5674,17.8829,314.0,8402.0,2795.0547
267,18.0297,16.5941,2.481,16.6136,310.0,8840.0,2795.0547
268,16.5444,16.4621,2.2851,17.5797,310.0,8840.0,2795.0547
269,17.6257,16.4497,2.4145,16.488,311.0,8388.0,2795.0547
270,16.4549,16.678,2.3245,18.2622,308.0,10230.0,2795.0547
271,18.1868,16.2996,2.0834,16.1715,308.0,8838.0,2795.0547
272,16.1748,16.7415,2.2123,17.5077,309.0,8664.0,2795.0547
273,17.4805,16.3259,2.3163,16.7573,311.0,11091.0,2795.0547
274,16.8018,16.5245,2.1226,16.6752,314.0,14451.0,2795.0547
275,16.7222,16.5135,2.3693,17.4272,308.0,9154.0,2795.0547
276,17.3421,16.7387,2.1945,17.1728,309.0,12698.0,2795.0547
277,17.2351,16.4049,2.2567,17.26,308.0,10694.0,2795.0547
278,17.1575,16.7424,1.9616,16.3235,309.0,9414.0,2795.0547
279,16.3575,16.6482,1.9697,17.8518,310.0,10838.0,2795.0547
280,17.8736,16.8464,1.9411,17.1684,321.0,27562.0,2795.0547
281,17.1701,16.8178,2.0476,17.7195,321.0,33282.0,2795.0547
282,17.6992,17.1377,1.9702,17.6872,277.0,6278.0,2795.0547
283,17.6881,16.544,1.9783,16.9819,275.0,6276.0,2795.0547
284,16.9673,16.1562,2.0179,17.6771,311.0,20010.0,2795.0547
285,17.7009,15.0127,2.0673,16.2122,314.0,15724.0,2795.0547
286,16.2435,16.3512,1.9983,16.7383,275.0,6394.0,2795.0547
287,16.7088,16.4002,2.0154,17.2865,275.0,6298.0,2795.0547
288,17.2742,16.6166,1.9465,16.6121,300.0,8390.0,2795.0547
289,16.6076,16.5438,1.9112,17.6275,273.0,6274.0,2795.0547
290,17.6906,16.5919,1.9998,16.9142,282.0,6814.0,2795.0547
291,16.8764,16.6926,1.9519,17.3844,311.0,22017.0,2795.0547
292,17.3931,16.6794,1.995,16.9989,308.0,13606.0,2795.0547
293,16.9816,16.5025,1.9886,17.0493,310.0,10245.0,2795.0547
294,17.1233,16.683,2.0036,17.5675,312.0,11267.0,2795.0547
295,17.4745,16.519,2.0952,16.7788,308.0,22290.0,2795.0547
296,16.7872,16.345,2.132,17.2378,312.0,47904.0,2795.0547
297,17.2533,16.4884,1.9951,16.5404,314.0,19184.0,2795.0547
298,16.5477,16.3661,1.9356,16.5884,282.0,13056.0,2795.0547
299,16.7162,16.4893,2.131,17.3065,276.0,6288.0,2795.0547
300,17.1593,16.3254,1.8886,16.2333,276.0,6288.0,2795.0547
301,16.2207,16.7482,2.1918,17.2971,275.0,6276.0,2795.0547
302,17.3537,16.4022,2.1062,16.9221,273.0,6274.0,2795.0547
303,16.8388,16.6614,2.2862,17.4302,273.0,6274.0,2795.0547
304,17.4791,16.3601,2.4428,16.9655,309.0,8386.0,2795.0547
305,16.9828,16.6686,2.6276,17.0728,309.0,14770.0,2795.0547
306,17.1333,16.4158,2.4938,17.0555,298.0,16214.0,2795.0547
307,17.0886,16.541,2.426,17.4765,316.0,17714.0,2795.0547
308,17.4493,16.5536,2.6922,16.8363,308.0,23386.0,2795.0547
309,16.8477,16.808,2.3692,17.8243,308.0,8374.0,2795.0547
310,17.8361,16.6569,2.4475,17.1749,309.0,8386.0,2795.0547
311,17.1041,16.4449,2.1911,16.7027,308.0,8374.0,2795.0547
312,16.6735,16.4887,1.9458,16.7769,313.0,9458.0,2795.0547
313,16.8391,16.6124,2.0503,17.2506,313.0,11054.0,2795.0547
314,17.2142,16.4781,1.9908,17.0855,312.0,19550.0,2795.0547
315,17.0774,16.4767,1.9314,16.675,310.0,17952.0,2795.0547
316,16.7005,16.4209,2.0661,17.0727,311.0,8388.0,2795.0547
317,17.0292,16.4874,2.0103,16.6022,310.0,8376.0,2795.0547
318,16.6029,16.6328,1.9666,17.5907,309.0,8386.0,2795.0547
319,17.6144,16.8291,1.8857,17.2718,308.0,8838.0,2795.0547
320,17.2877,16.5609,1.9974,16.9083,308.0,8838.0,2795.0547
321,16.9121,16.6726,2.277,18.5662,309.0,8386.0,2795.0547
322,18.6976,16.7443,2.3737,17.5345,308.0,10230.0,2795.0547
323,17.4564,16.9591,2.1737,17.9149,309.0,8850.0,2795.0547
324,17.9164,16.462,2.3755,17.209,309.0,8664.0,2795.0547
325,17.1775,16.9766,2.2389,16.8561,311.0,11091.0,2795.0547
326,16.9101,16.6137,2.2726,16.8468,315.0,14463.0,2795.0547
327,16.7744,16.3013,2.1446,16.9852,308.0,9154.0,2795.0547
328,17.0907,16.5209,2.1788,16.5376,314.0,12714.0,2795.0547
329,16.3838,16.6078,2.0851,17.4746,312.0,10698.0,2795.0547
330,17.4969,16.5893,1.9961,16.8965,314.0,9430.0,2795.0547
331,16.905,16.6006,2.0253,16.9229,311.0,10828.0,2795.0547
332,16.9351,16.3892,2.1944,17.377,319.0,27560.0,2795.0547
333,17.318,16.4301,2.2323,16.5089,318.0,33268.0,2795.0547
334,16.4932,16.5303,2.3639,17.2259,273.0,6274.0,2795.0547
335,17.2847,16.3942,2.0918,16.9037,273.0,6274.0,2795.0547
336,16.8847,16.5335,2.0382,17.0165,309.0,20008.0,2795.0547
337,17.0562,16.364,2.0084,16.426,312.0,15722.0,2795.0547
