capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,17.5728,18.8433,2.3831,17.442,275.0,6298.0,2795.8047
121,17.4173,17.042,2.2243,17.542,277.0,6278.0,2795.8047
122,17.5153,16.8732,2.3723,17.3813,278.0,6290.0,2795.8047
123,17.3698,16.967,2.3194,17.575,277.0,6278.0,2795.8047
124,17.597,16.8048,2.2933,17.458,275.0,6276.0,2795.8047
125,17.4638,16.8047,2.2252,17.7787,299.0,11928.0,2795.8047
126,17.6933,16.877,2.5013,17.3767,307.0,12360.0,2795.8047
127,17.4015,17.0169,3.6716,17.5191,308.0,11750.0,2795.8047
128,17.6215,16.9928,3.0187,17.3852,297.0,11042.0,2795.8047
129,17.4251,17.1905,3.1524,18.7161,273.0,6274.0,2795.8047
130,18.6832,16.844,2.5011,17.3427,297.0,11002.0,2795.8047
131,17.3326,17.0535,2.3751,17.536,309.0,8386.0,2795.8047
132,17.5828,16.9376,2.3029,18.6161,312.0,17472.0,2795.8047
133,18.5143,16.8157,2.3458,16.9203,310.0,10245.0,2795.8047
134,16.8953,16.7257,2.8722,16.7702,308.0,55770.0,2795.8047
135,16.8545,16.9288,2.7263,17.9973,308.0,8908.0,2795.8047
136,17.9593,16.8803,2.6351,17.667,309.0,8386.0,2795.8047
137,17.6457,17.2697,2.5599,18.7089,313.0,8634.0,2795.8047
138,18.6909,17.9753,2.484,17.3212,318.0,24260.0,2795.8047
139,17.3778,17.5897,2.5067,17.4488,316.0,12708.0,2795.8047
140,17.3897,17.1107,2.5146,17.5608,310.0,12804.0,2795.8047
141,17.5791,16.892,2.3446,17.6273,312.0,12310.0,2795.8047
142,17.6392,16.8013,2.3767,16.8331,311.0,8388.0,2795.8047
143,16.8323,16.6893,2.2931,17.3035,308.0,9302.0,2795.8047
144,17.2992,17.0261,3.1084,17.9691,311.0,10721.0,2795.8047
145,17.9342,17.1998,2.8846,17.1934,310.0,10245.0,2795.8047
146,17.3215,16.821,2.9447,17.7617,309.0,8850.0,2795.8047
147,17.8236,16.9816,3.134,18.3056,308.0,8838.0,2795.8047
148,18.2145,17.0604,2.7875,16.8727,311.0,10721.0,2795.8047
149,16.8324,16.8436,2.4985,18.4204,308.0,8374.0,2795.8047
150,18.5511,16.9897,2.4395,17.2263,310.0,8398.0,2795.8047
151,17.0593,16.8229,2.3287,17.6946,311.0,10535.0,2795.8047
152,17.7133,17.0657,2.2888,17.3779,309.0,9314.0,2795.8047
153,17.3647,16.9045,2.3524,18.0758,312.0,10604.0,2795.8047
154,18.1466,17.1731,2.4665,16.661,313.0,9328.0,2795.8047
155,16.5769,16.7933,2.4322,18.3168,313.0,8864.0,2795.8047
156,18.3694,16.4125,2.9846,18.563,310.0,10808.0,2795.8047
157,18.6036,18.1597,2.4665,18.2093,312.0,12348.0,2795.8047
158,18.1635,16.7981,2.6015,16.4171,312.0,12028.0,2795.8047
159,16.6436,16.8983,2.645,17.5075,308.0,9050.0,2795.8047
160,17.3114,16.879,2.3423,18.4268,311.0,12904.0,2795.8047
161,18.454,17.1096,3.968,18.1862,317.0,27192.0,2795.8047
162,18.263,17.414,3.656,18.7273,323.0,34681.0,2795.8047
163,18.7177,17.4703,3.5322,17.8768,317.0,23079.0,2795.8047
164,17.7921,17.2193,3.0219,18.04,308.0,33744.0,2795.8047
165,18.0813,17.1885,3.1805,16.8658,309.0,25496.0,2795.8047
166,16.8428,16.9509,2.7254,16.6302,302.0,14568.0,2795.8047
167,16.5876,17.1444,2.4907,18.5433,274.0,6458.0,2795.8047
168,18.6131,17.1272,2.9059,16.3962,273.0,6274.0,2795.8047
169,16.4158,17.1029,2.7459,17.5537,277.0,6278.0,2795.8047
170,17.4408,17.0777,2.257,19.7205,279.0,6302.0,2795.8047
171,19.7181,18.5401,2.13,16.8543,277.0,6278.0,2795.8047
172,16.8406,16.93,2.2027,17.5085,276.0,6288.0,2795.8047
173,17.5609,16.6892,2.6648,17.1621,275.0,6276.0,2795.8047
174,17.1253,16.9249,2.4722,18.385,301.0,12000.0,2795.8047
175,18.4086,16.696,2.3556,16.8783,304.0,12346.0,2795.8047
176,16.8591,16.9758,2.3022,17.1808,310.0,11774.0,2795.8047
177,17.1695,16.8795,2.52,17.9385,296.0,11030.0,2795.8047
178,17.9876,17.1277,3.1275,17.3407,294.0,10774.0,2795.8047
179,17.3664,17.3814,3.5898,17.8661,280.0,6646.0,2795.8047
180,17.9751,17.0659,2.9784,17.7568,308.0,8374.0,2795.8047
181,17.6373,17.1276,2.7921,18.174,314.0,17496.0,2795.8047
182,18.1509,16.9082,2.5031,17.7293,310.0,20709.0,2795.8047
183,17.7249,16.877,2.655,17.6535,308.0,45306.0,2795.8047
184,17.6253,16.8362,2.297,17.5223,309.0,8920.0,2795.8047
185,17.627,16.924,2.3906,16.7192,312.0,8378.0,2795.8047
186,16.5823,17.0693,2.3505,16.7606,313.0,8634.0,2795.8047
187,16.8225,16.9225,2.1688,18.754,317.0,24248.0,2795.8047
188,18.7856,17.5249,2.6748,18.9544,314.0,12830.0,2795.8047
189,18.9249,17.9975,2.3187,17.1547,310.0,12680.0,2795.8047
