capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,8.6633,6.6213,1.7854,7.7044,314.0,8299.0,2352.8594
121,7.6777,8.991,2.1894,8.7851,316.0,10171.0,2352.8594
122,8.7219,6.5959,2.0013,7.4563,314.0,9821.0,2352.8594
123,7.536,8.8207,2.0157,9.8327,314.0,8299.0,2352.8594
124,9.8172,6.6509,2.1446,7.2174,314.0,8299.0,2352.8594
125,7.1827,8.5782,1.9444,8.1735,314.0,8299.0,2352.8594
126,8.1763,6.5809,1.8922,8.3664,315.0,8627.0,2352.8594
127,8.4761,8.7597,1.9602,7.6641,319.0,9703.0,2352.8594
128,7.5645,6.6721,1.87,9.4715,320.0,10291.0,2352.8594
129,9.5042,8.9398,1.8701,7.1089,326.0,17389.0,2352.8594
130,7.0487,6.6552,1.6767,7.258,316.0,8301.0,2352.8594
131,7.3463,8.6799,1.8596,8.8677,286.0,6501.0,2352.8594
132,8.8344,6.4753,1.8064,6.8694,280.0,6141.0,2352.8594
133,6.9233,7.7125,2.008,9.6679,279.0,6151.0,2352.8594
134,9.682,7.6474,2.0979,7.58,315.0,10167.0,2352.8594
135,7.5687,7.1035,2.0497,8.7168,314.0,8299.0,2352.8594
136,8.6256,7.4295,2.2747,6.8023,315.0,8311.0,2352.8594
137,6.8153,7.1845,1.9027,8.8601,314.0,10363.0,2352.8594
138,8.928,8.2232,1.9592,8.2068,315.0,10447.0,2352.8594
139,8.1923,6.681,2.0216,8.6265,314.0,8299.0,2352.8594
140,8.6487,8.7381,1.9678,6.6409,304.0,7809.0,2352.8594
141,6.5603,6.677,1.7077,8.9647,279.0,6151.0,2352.8594
142,8.9548,7.5427,2.066,7.764,278.0,6139.0,2352.8594
143,7.7998,6.5603,2.0937,7.5549,282.0,6143.0,2352.8594
144,7.5897,8.7524,2.2096,8.5342,320.0,8485.0,2352.8594
145,8.471,6.5976,1.6343,8.2371,306.0,15071.0,2352.8594
146,8.3064,8.1401,1.913,8.3825,280.0,6141.0,2352.8594
147,8.3367,6.5379,1.7716,8.0766,280.0,6141.0,2352.8594
148,8.1674,8.7363,2.1136,8.2231,280.0,6141.0,2352.8594
149,8.1085,6.5674,1.6328,7.6879,310.0,13627.0,2352.8594
150,7.9207,8.8024,2.0629,8.2718,282.0,6379.0,2352.8594
151,8.0581,6.5416,1.7523,7.9407,282.0,6379.0,2352.8594
152,8.0146,8.8126,1.901,8.4574,288.0,6999.0,2352.8594
153,8.3713,6.5518,1.717,7.8126,279.0,6151.0,2352.8594
154,7.8478,8.8221,1.8673,8.7065,278.0,6139.0,2352.8594
155,8.6441,6.5059,1.651,7.7563,314.0,9469.0,2352.8594
156,7.8204,8.7083,1.766,8.3286,306.0,16509.0,2352.8594
157,8.2907,6.5357,1.6979,8.5549,318.0,24669.0,2352.8594
158,8.6563,8.7935,1.9952,7.4891,320.0,25452.0,2352.8594
159,7.4231,6.6145,1.6995,8.4114,305.0,7523.0,2352.8594
160,8.4617,8.7984,1.8662,8.0837,318.0,8671.0,2352.8594
