capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,16.2815,15.8874,2.2947,16.101,309.0,11634.0,2795.8047
121,16.0911,15.6345,1.9502,16.7103,313.0,8390.0,2795.8047
122,16.7071,15.426,2.0012,16.0637,314.0,8526.0,2795.8047
123,16.1039,15.7429,1.9499,15.8667,312.0,8742.0,2795.8047
124,15.9017,15.8147,1.8894,16.1497,300.0,14904.0,2795.8047
125,16.1341,15.5983,2.0001,16.4554,277.0,6300.0,2795.8047
126,16.389,15.6218,1.852,16.1401,311.0,10244.0,2795.8047
127,16.1747,15.6902,2.0878,16.216,309.0,10074.0,2795.8047
128,16.2849,15.8781,2.2455,16.5659,308.0,12058.0,2795.8047
129,16.5096,15.8234,1.9322,16.2118,308.0,10062.0,2795.8047
130,16.2567,15.8424,1.8009,15.9002,279.0,6586.0,2795.8047
131,15.8425,15.5808,1.9643,16.361,273.0,6274.0,2795.8047
132,16.3612,15.4065,1.8808,15.8215,309.0,8386.0,2795.8047
133,15.8189,15.4645,1.9045,16.5791,289.0,7768.0,2795.8047
134,16.5722,15.3032,1.9377,16.2287,310.0,9466.0,2795.8047
135,16.2558,14.8369,1.9806,16.1939,309.0,8920.0,2795.8047
136,16.1974,15.6481,1.844,15.9013,309.0,8386.0,2795.8047
137,15.8658,15.5309,1.9194,15.7156,313.0,8390.0,2795.8047
138,15.8118,15.5848,1.9456,15.5097,313.0,12034.0,2795.8047
139,15.4328,15.684,1.7724,16.0928,315.0,31189.0,2795.8047
140,16.0752,15.628,1.7763,17.1139,310.0,8500.0,2795.8047
141,17.1355,15.7288,1.9337,15.3608,314.0,15503.0,2795.8047
142,15.3183,15.3434,1.8036,16.056,314.0,25967.0,2795.8047
143,16.085,15.6164,1.8481,16.1326,308.0,19762.0,2795.8047
144,16.1454,15.6622,1.9432,15.2667,291.0,7662.0,2795.8047
145,15.2705,15.7515,1.9494,17.2667,273.0,6274.0,2795.8047
146,17.2582,15.4104,1.7565,14.8409,310.0,8528.0,2795.8047
147,14.8336,15.6978,2.0247,16.9346,312.0,12116.0,2795.8047
148,16.9061,15.6642,2.8945,16.0481,310.0,10245.0,2795.8047
149,16.1386,15.7487,2.2555,15.8824,309.0,12994.0,2795.8047
150,15.8178,15.1693,1.8445,16.2525,316.0,20203.0,2795.8047
151,16.2889,15.4613,1.7772,15.871,326.0,45294.0,2795.8047
152,15.8725,15.412,1.9709,15.7711,314.0,9374.0,2795.8047
153,15.731,15.6619,1.7453,16.09,313.0,9782.0,2795.8047
154,16.0791,15.4721,1.8223,15.9679,313.0,8390.0,2795.8047
155,15.9934,15.7022,1.7528,16.2063,312.0,8378.0,2795.8047
156,16.1943,15.867,1.6799,16.4582,311.0,12100.0,2795.8047
157,16.4748,15.3651,1.7014,15.7284,311.0,9336.0,2795.8047
158,15.7309,15.4533,1.8027,16.0182,310.0,9848.0,2795.8047
159,15.9916,15.3877,1.7729,15.8298,313.0,16948.0,2795.8047
160,15.9099,14.3708,1.8468,15.9883,309.0,22242.0,2795.8047
161,15.9469,14.4142,1.738,16.1719,309.0,27070.0,2795.8047
162,16.1992,15.0811,1.9889,15.2068,298.0,23076.0,2795.8047
163,15.1645,15.5667,1.9269,15.7043,308.0,34188.0,2795.8047
164,15.7031,15.7222,1.8449,16.9979,284.0,8346.0,2795.8047
165,17.0168,15.9469,1.9027,15.8549,275.0,6298.0,2795.8047
166,15.8559,15.5299,2.0428,17.5995,274.0,6286.0,2795.8047
167,17.5964,15.6515,2.0328,14.8607,273.0,6274.0,2795.8047
168,14.8653,15.5776,1.8442,15.862,274.0,6286.0,2795.8047
169,15.8497,15.3966,1.7272,16.8716,277.0,6278.0,2795.8047
170,16.9392,15.3724,2.0929,15.5368,313.0,17278.0,2795.8047
