capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,16.3266,15.3734,1.9582,16.4163,515.0,32273.0,2958.7812
121,16.4436,15.7502,2.0062,16.0624,785.0,68030.0,2958.7812
122,16.0291,15.7978,1.9584,16.1456,513.0,32587.0,2958.7812
123,16.1277,15.5434,1.8984,16.4942,513.0,32463.0,2958.7812
124,16.5043,15.9526,2.0718,16.6081,513.0,32463.0,2958.7812
125,16.5902,15.882,2.0312,15.927,509.0,32437.0,2958.7812
126,15.9173,15.7729,2.0227,16.902,510.0,32449.0,2958.7812
127,16.8939,16.3303,2.084,16.5,513.0,32485.0,2958.7812
128,16.7001,15.5833,2.5251,16.4818,511.0,31857.0,2958.7812
129,16.3728,15.6638,1.9657,17.0294,774.0,69898.0,2958.7812
130,17.0075,15.9123,2.4197,15.362,511.0,40553.0,2958.7812
131,15.4707,15.8706,2.237,15.7776,513.0,65437.0,2958.7812
132,15.7132,15.6274,2.2025,17.9643,777.0,132082.0,2958.7812
133,17.8964,15.9265,2.1485,14.8079,512.0,31465.0,2958.7812
134,14.8254,15.6635,2.3376,16.211,513.0,33285.0,2958.7812
135,16.1298,15.5851,2.1488,16.2647,519.0,45283.0,2958.7812
136,16.2777,15.8298,2.545,15.9447,527.0,59947.0,2958.7812
137,15.9407,15.6135,2.1617,15.8093,515.0,36265.0,2958.7812
138,15.9168,15.5697,1.948,16.855,517.0,34831.0,2958.7812
139,16.7704,15.5493,1.7679,15.8594,513.0,33579.0,2958.7812
140,15.8759,15.7457,1.9745,16.4404,775.0,67148.0,2958.7812
141,16.4424,15.5765,1.7728,15.9253,511.0,32461.0,2958.7812
142,16.024,15.4279,1.9577,16.2809,509.0,32245.0,2958.7812
143,16.1625,15.8658,1.5946,16.4109,777.0,69666.0,2958.7812
144,16.4307,15.624,1.792,16.1127,511.0,34149.0,2958.7812
145,16.1209,15.5511,1.8437,16.1125,511.0,36173.0,2958.7812
146,16.1011,15.6313,1.9999,16.0515,508.0,31425.0,2958.7812
147,16.1159,15.5287,1.8924,15.1319,527.0,35673.0,2958.7812
148,15.1087,14.5811,1.9122,16.6623,477.0,30373.0,2958.7812
149,16.6205,14.9038,1.8649,16.0746,476.0,30361.0,2958.7812
150,16.1017,15.5571,1.9555,16.0227,474.0,29145.0,2958.7812
151,16.0503,15.6184,1.798,16.6552,748.0,66062.0,2958.7812
152,16.592,15.1783,1.8512,15.7824,516.0,33305.0,2958.7812
153,15.8487,15.7635,1.8276,16.4263,517.0,32297.0,2958.7812
154,16.3857,15.6417,1.8167,16.4346,782.0,68004.0,2958.7812
155,16.4979,15.9742,1.9656,16.1153,512.0,35235.0,2958.7812
156,16.0626,16.0593,1.7639,16.7982,493.0,31835.0,2958.7812
157,16.8066,15.586,1.7411,16.0142,476.0,30361.0,2958.7812
158,16.0014,16.2916,1.9686,16.6362,476.0,30361.0,2958.7812
159,16.6415,16.0903,2.0084,16.0146,477.0,30373.0,2958.7812
160,15.9922,15.2822,2.1624,16.4259,475.0,30349.0,2958.7812
161,16.463,15.7611,2.0501,16.223,477.0,30181.0,2958.7812
162,16.2236,15.6936,1.9921,16.2034,748.0,65926.0,2958.7812
163,16.1929,15.7644,1.8127,16.7283,475.0,30349.0,2958.7812
164,16.7054,15.6178,1.8479,16.024,513.0,33981.0,2958.7812
165,16.013,15.817,2.0947,16.0229,768.0,75658.0,2958.7812
166,16.0835,16.0726,2.0457,17.151,475.0,30349.0,2958.7812
167,17.1314,15.6769,1.9783,15.9636,481.0,30377.0,2958.7812
168,15.9976,15.8568,2.375,16.425,481.0,30377.0,2958.7812
169,16.419,15.9144,2.142,16.2389,514.0,34309.0,2958.7812
