capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,8.7004,7.9067,1.8337,7.4348,452.0,39387.0,2390.6094
121,7.3394,7.0166,1.5868,8.0173,742.0,91625.0,2390.6094
122,8.0418,7.9792,1.7809,8.6913,452.0,38091.0,2390.6094
123,8.7408,7.5562,1.833,8.4602,452.0,42049.0,2390.6094
124,8.4093,8.5389,1.8143,8.6403,454.0,28261.0,2390.6094
125,8.6637,7.2103,1.9398,8.6268,720.0,77343.0,2390.6094
126,8.6221,8.113,3.2056,8.4767,468.0,56113.0,2390.6094
127,8.4292,7.2168,2.0318,7.3831,452.0,28117.0,2390.6094
128,7.4703,8.5872,2.2218,9.0853,451.0,27625.0,2390.6094
129,9.0218,7.5383,1.939,7.9013,453.0,26701.0,2390.6094
130,7.902,8.495,1.9995,10.1196,758.0,81179.0,2390.6094
131,10.2046,7.4119,2.4167,8.1113,459.0,30004.0,2390.6094
132,8.1564,8.2333,2.0257,7.3245,457.0,32782.0,2390.6094
133,7.1748,7.2073,2.0267,8.3344,452.0,28959.0,2390.6094
134,8.4541,8.2823,2.044,9.3678,766.0,79517.0,2390.6094
135,9.2292,7.4129,1.656,8.0448,454.0,31407.0,2390.6094
136,8.1634,8.2903,1.5845,7.6603,471.0,28973.0,2390.6094
137,7.5268,7.2718,1.4961,8.1672,454.0,25137.0,2390.6094
138,8.2641,8.2137,2.2427,7.6613,761.0,79851.0,2390.6094
139,7.7428,7.0978,1.9132,8.9385,451.0,28071.0,2390.6094
140,8.8184,8.3597,1.7002,7.684,453.0,35687.0,2390.6094
141,7.7019,7.4066,1.9163,8.3971,454.0,33181.0,2390.6094
142,8.4189,8.2414,1.8006,8.6098,726.0,127935.0,2390.6094
143,8.5453,7.2777,1.775,7.5284,455.0,27097.0,2390.6094
144,7.5727,8.1829,1.8377,8.4803,451.0,26521.0,2390.6094
145,8.4414,7.0859,1.6297,8.1779,450.0,26757.0,2390.6094
146,8.2063,8.2863,1.9167,8.7218,456.0,27085.0,2390.6094
147,8.7772,7.0854,2.0935,7.9313,747.0,79921.0,2390.6094
148,7.9354,8.4395,1.7856,8.6435,456.0,32129.0,2390.6094
149,8.5598,7.364,1.7457,7.8912,454.0,28295.0,2390.6094
150,8.0299,8.26,1.9716,9.097,460.0,51291.0,2390.6094
151,9.0735,7.0221,2.0908,7.9223,731.0,110527.0,2390.6094
152,7.9294,8.297,1.9721,7.5061,463.0,59403.0,2390.6094
153,7.5844,7.2622,2.2842,8.6962,451.0,29375.0,2390.6094
154,8.6218,8.477,2.2543,8.3764,454.0,28449.0,2390.6094
155,8.2773,7.2443,1.7613,7.8296,724.0,80151.0,2390.6094
156,7.877,8.2187,1.8258,8.1647,452.0,28117.0,2390.6094
157,8.119,7.1438,1.8218,8.4093,454.0,29427.0,2390.6094
158,8.4453,8.0005,1.8762,7.6287,449.0,32817.0,2390.6094
159,7.6356,7.0205,1.8912,8.4783,722.0,81115.0,2390.6094
160,8.5449,8.3295,1.9363,7.6686,450.0,30045.0,2390.6094
161,7.5501,7.2996,1.6516,7.8905,454.0,36129.0,2390.6094
162,7.9576,8.0857,1.6075,8.5978,456.0,28809.0,2390.6094
163,8.5612,7.0639,2.2094,7.5827,456.0,29237.0,2390.6094
164,7.5911,8.1377,1.6287,8.4935,751.0,80303.0,2390.6094
165,8.4818,7.0143,1.8611,8.0791,454.0,28119.0,2390.6094
166,8.0286,8.471,1.8986,8.8902,453.0,27915.0,2390.6094
167,8.9412,7.277,2.1115,7.2124,456.0,28731.0,2390.6094
168,7.1961,8.1139,1.7138,8.7851,723.0,80123.0,2390.6094
169,8.7574,7.0597,1.8605,7.3851,451.0,30377.0,2390.6094
170,7.3878,8.1079,1.6943,8.8103,451.0,30233.0,2390.6094
171,8.8666,7.0238,1.814,7.5602,453.0,29645.0,2390.6094
172,7.5033,7.3722,1.5199,8.9374,699.0,77195.0,2390.6094
173,8.9891,8.133,1.6276,8.0886,447.0,31161.0,2390.6094
174,8.052,7.3867,1.6685,8.1973,450.0,28557.0,2390.6094
175,8.2495,7.9779,1.8387,7.2296,451.0,27913.0,2390.6094
176,7.2309,6.9781,1.7934,8.2989,723.0,81019.0,2390.6094
177,8.2928,8.006,1.7315,8.3311,446.0,27805.0,2390.6094
178,8.3293,7.5356,1.7072,8.3582,455.0,30275.0,2390.6094
179,8.3423,7.9886,1.9491,8.4016,456.0,27929.0,2390.6094
180,8.3759,7.2643,1.4742,7.7513,455.0,30886.0,2390.6094
181,7.8661,8.0689,1.6056,8.407,750.0,84992.0,2390.6094
182,8.4336,7.0431,1.6768,8.0767,442.0,27921.0,2390.6094
183,7.9809,8.0727,1.8204,8.7896,453.0,29771.0,2390.6094
184,8.8345,7.3782,1.609,8.016,453.0,29709.0,2390.6094
185,7.9706,8.1984,1.6871,8.0655,746.0,80287.0,2390.6094
186,8.0789,7.2357,1.6953,8.4081,453.0,28129.0,2390.6094
187,8.3676,8.2442,1.711,7.8346,451.0,29685.0,2390.6094
188,7.7968,7.0326,1.5993,8.4516,452.0,26841.0,2390.6094
189,8.5126,7.9827,1.6875,7.5934,763.0,92212.0,2390.6094
190,7.5384,7.3645,1.4868,8.8321,479.0,61154.0,2390.6094
191,8.8589,8.7201,1.6546,8.5376,461.0,36525.0,2390.6094
192,8.5195,7.2015,1.5899,8.2279,454.0,27949.0,2390.6094
193,8.3435,7.884,1.6638,7.4113,711.0,79003.0,2390.6094
194,7.3098,7.0135,1.5318,7.8673,421.0,25973.0,2390.6094
195,7.9294,8.0399,1.6311,8.3199,420.0,25961.0,2390.6094
