capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,66.8538,65.614,2.2529,68.0419,551.0,16638.0,2957.4297
121,68.0562,50.1574,2.3356,52.2383,551.0,17742.0,2957.4297
122,52.2582,40.1386,2.5441,37.8336,552.0,27062.0,2957.4297
123,37.7303,40.2626,2.3545,43.4198,560.0,44044.0,2957.4297
124,43.486,42.1712,2.3415,41.3124,561.0,38475.0,2957.4297
125,41.2559,74.2295,2.2328,81.2334,555.0,15714.0,2957.4297
126,81.5175,74.1704,3.408,74.6432,553.0,15712.0,2957.4297
127,74.4807,68.0379,2.5182,72.6098,553.0,17568.0,2957.4297
128,72.603,76.188,2.6076,73.3321,554.0,17580.0,2957.4297
129,73.3725,82.386,2.7072,83.619,553.0,17395.0,2957.4297
130,83.6008,90.0842,2.4223,93.0363,552.0,19880.0,2957.4297
131,92.949,88.1977,2.1262,89.6572,552.0,16590.0,2957.4297
132,89.7249,85.8996,3.1642,91.1285,551.0,18518.0,2957.4297
133,91.2029,79.6541,3.003,91.2136,551.0,21326.0,2957.4297
134,91.236,78.6066,3.0123,80.5012,552.0,15722.0,2957.4297
135,80.2696,64.9141,2.1862,63.4514,552.0,15722.0,2957.4297
136,63.517,60.3252,2.0403,65.6965,552.0,18352.0,2957.4297
137,65.9609,40.7586,3.0664,38.9885,551.0,29373.0,2957.4297
138,38.6585,31.4566,2.1824,33.1533,552.0,21039.0,2957.4297
139,33.164,16.0954,2.1817,19.0304,555.0,15758.0,2957.4297
140,19.1936,18.0192,2.9137,14.5728,555.0,16634.0,2957.4297
141,14.5355,16.1227,2.1982,18.1978,559.0,19920.0,2957.4297
142,18.0333,17.7066,2.299,17.6432,551.0,27391.0,2957.4297
143,17.7847,22.8334,2.8928,23.6006,554.0,18668.0,2957.4297
144,23.5125,26.894,2.2781,30.8851,552.0,21228.0,2957.4297
145,30.8922,50.104,2.5061,49.4093,563.0,34160.0,2957.4297
146,49.385,54.1618,2.2663,59.1475,552.0,17372.0,2957.4297
147,59.1967,63.0052,2.2936,67.4876,551.0,19672.0,2957.4297
148,67.546,67.0842,2.3726,65.647,552.0,20816.0,2957.4297
149,65.6694,63.9653,2.3306,66.0176,557.0,31812.0,2957.4297
150,65.9005,63.5056,2.3626,68.5151,551.0,30614.0,2957.4297
151,68.5033,67.3598,2.2322,66.5678,551.0,29252.0,2957.4297
152,66.6593,64.4368,2.2586,66.908,551.0,26052.0,2957.4297
153,66.8387,63.4077,2.243,67.4753,551.0,20028.0,2957.4297
154,67.465,60.2277,2.1092,66.2501,552.0,19494.0,2957.4297
155,66.3128,19.6677,2.6555,19.5537,555.0,21420.0,2957.4297
156,19.7207,17.1272,3.6058,14.4355,556.0,17582.0,2957.4297
157,14.3684,16.2839,2.3761,17.4787,556.0,35096.0,2957.4297
158,17.4154,16.1867,2.6689,16.9155,554.0,23517.0,2957.4297
159,16.9167,16.2609,2.7349,17.7229,553.0,17528.0,2957.4297
