capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,17.7177,15.2139,2.572,15.2975,551.0,15710.0,2956.3047
121,15.2136,16.1151,2.2794,16.9492,555.0,15714.0,2956.3047
122,17.0631,16.3775,2.2288,14.9071,555.0,16642.0,2956.3047
123,14.8271,16.0152,1.9644,17.3417,556.0,22222.0,2956.3047
124,17.4208,15.9072,2.1859,16.7155,554.0,17580.0,2956.3047
125,16.6506,16.3224,2.2731,16.5482,553.0,16080.0,2956.3047
126,16.4966,16.3148,2.0644,16.4948,553.0,17552.0,2956.3047
127,16.5552,15.9912,2.0969,17.5108,551.0,28618.0,2956.3047
128,17.5672,15.2642,2.3953,15.884,552.0,38634.0,2956.3047
129,15.8519,16.8015,2.6152,18.2902,562.0,36625.0,2956.3047
130,18.354,15.6916,2.6899,17.1592,553.0,20798.0,2956.3047
131,17.0647,16.0995,2.6061,16.577,552.0,15722.0,2956.3047
132,16.613,16.0131,3.2335,15.2865,551.0,17566.0,2956.3047
133,15.3578,16.0708,2.646,16.1331,551.0,19422.0,2956.3047
134,16.0477,15.9418,2.9091,16.693,552.0,21023.0,2956.3047
135,16.7306,16.1791,2.4323,17.0647,551.0,34868.0,2956.3047
136,17.0097,16.0545,2.3571,16.8022,552.0,23381.0,2956.3047
137,16.7669,16.2767,2.5262,19.5999,556.0,19406.0,2956.3047
138,19.6622,16.6448,2.6721,14.0366,555.0,19026.0,2956.3047
139,14.0938,16.4037,2.3753,17.3193,556.0,16462.0,2956.3047
140,17.2644,16.3128,2.381,15.8736,553.0,15712.0,2956.3047
141,15.8818,15.8786,2.1391,17.9585,553.0,16912.0,2956.3047
142,17.9562,15.9667,2.404,17.7218,553.0,17552.0,2956.3047
143,17.823,16.0051,2.7275,14.8693,552.0,28394.0,2956.3047
144,14.8203,16.0555,2.5908,15.1334,562.0,31464.0,2956.3047
145,15.0653,16.0969,2.4928,18.0836,552.0,17200.0,2956.3047
146,18.0806,16.0776,2.7008,16.1519,552.0,17996.0,2956.3047
147,16.3154,16.0061,2.5976,20.5401,551.0,16210.0,2956.3047
148,20.5052,16.3587,2.5949,13.3567,552.0,16222.0,2956.3047
149,13.2152,16.1189,2.362,17.3109,552.0,23034.0,2956.3047
150,17.3816,16.3599,2.6117,17.2579,556.0,32488.0,2956.3047
151,17.2781,16.3063,2.483,15.3299,551.0,34802.0,2956.3047
152,15.2589,16.4114,2.4786,17.5481,551.0,27973.0,2956.3047
153,17.6258,16.7658,2.3928,18.1254,555.0,25391.0,2956.3047
154,18.1005,16.0114,2.2548,16.6663,555.0,21118.0,2956.3047
155,16.6605,16.6557,2.4094,16.1525,558.0,23769.0,2956.3047
156,16.1435,16.4805,2.5235,17.7073,553.0,18672.0,2956.3047
157,17.6818,16.7075,2.5064,18.057,554.0,16688.0,2956.3047
158,18.0838,16.1805,2.609,14.4498,556.0,18331.0,2956.3047
159,14.4994,16.4705,2.5931,17.9809,549.0,16078.0,2956.3047
160,17.9604,16.1419,2.4873,15.7685,550.0,18446.0,2956.3047
161,15.8213,16.0743,3.6984,18.1894,551.0,17384.0,2956.3047
162,18.1111,16.189,3.0318,16.0399,551.0,23177.0,2956.3047
163,15.9615,16.4637,2.4227,18.0958,552.0,31474.0,2956.3047
164,18.1488,16.3796,2.5373,15.0631,551.0,16760.0,2956.3047
165,15.1288,16.2689,2.4839,17.3598,551.0,15710.0,2956.3047
