capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,16.3533,15.9801,2.0416,17.2707,536.0,10918.0,2958.6797
121,17.3405,15.9966,2.0537,16.6856,554.0,12058.0,2958.6797
122,16.7378,16.1673,1.9811,15.7454,571.0,13018.0,2958.6797
123,15.6354,15.9524,1.9031,17.3522,570.0,13006.0,2958.6797
124,17.3518,16.0807,1.9673,16.4819,570.0,13006.0,2958.6797
125,16.5033,16.009,2.3328,17.1176,570.0,14410.0,2958.6797
126,17.1531,16.0262,2.3658,16.2072,570.0,13006.0,2958.6797
127,16.306,16.2322,2.2146,16.4255,570.0,13006.0,2958.6797
128,16.3477,16.2383,2.144,16.8483,571.0,14422.0,2958.6797
129,16.8284,16.2129,1.9997,16.6694,574.0,24242.0,2958.6797
130,16.6113,16.1024,1.8944,16.8014,575.0,21818.0,2958.6797
131,16.8374,15.9431,1.8852,19.3933,579.0,23744.0,2958.6797
132,19.5758,16.4628,2.6529,14.9166,579.0,18881.0,2958.6797
133,14.7943,16.3327,2.2044,15.797,572.0,13008.0,2958.6797
134,15.7764,16.0949,1.9879,17.1244,572.0,13472.0,2958.6797
135,17.2015,15.9029,1.9276,15.8472,570.0,20558.0,2958.6797
136,15.7332,15.9157,1.9042,16.4686,570.0,18922.0,2958.6797
137,16.4569,16.245,1.8727,16.6554,571.0,22014.0,2958.6797
138,16.6527,16.2216,2.0505,18.4609,570.0,16686.0,2958.6797
139,18.5271,16.2254,1.8517,15.0539,570.0,13742.0,2958.6797
140,14.9877,16.0197,1.8808,16.5832,570.0,13826.0,2958.6797
141,16.5648,15.9557,1.8428,16.8274,571.0,24866.0,2958.6797
142,16.8824,16.1598,1.9673,16.3014,571.0,24604.0,2958.6797
143,16.2726,16.0399,2.0283,16.8157,570.0,18823.0,2958.6797
144,16.8849,16.2154,1.8228,15.9921,571.0,13706.0,2958.6797
145,15.9919,15.9534,1.8965,16.7502,575.0,24075.0,2958.6797
146,16.7098,15.9501,2.5428,17.1403,575.0,40164.0,2958.6797
147,17.1221,16.137,1.9134,15.8963,574.0,16690.0,2958.6797
148,15.9274,15.9545,2.0928,16.5232,572.0,15696.0,2958.6797
149,16.5644,16.197,1.8432,17.1793,572.0,17870.0,2958.6797
150,17.2166,16.1558,2.0553,16.3765,572.0,17576.0,2958.6797
151,16.2913,16.0627,2.0138,17.0462,579.0,27070.0,2958.6797
152,17.0937,16.1661,2.0399,15.6153,573.0,17656.0,2958.6797
153,15.5562,16.0111,1.8459,17.1493,570.0,17534.0,2958.6797
154,17.196,16.5526,1.9641,17.1136,570.0,17680.0,2958.6797
155,17.0673,16.4505,2.0005,17.5893,570.0,15300.0,2958.6797
156,17.5804,16.3615,2.0704,16.4899,571.0,27092.0,2958.6797
157,16.5824,16.3124,1.8962,17.6462,573.0,24872.0,2958.6797
158,17.6328,16.4246,2.5353,20.0775,573.0,33752.0,2958.6797
159,20.0608,16.813,2.6769,18.4779,570.0,13838.0,2958.6797
160,18.4935,16.6073,3.1546,13.2292,572.0,14090.0,2958.6797
161,13.2196,15.8247,2.1126,17.5781,574.0,14306.0,2958.6797
162,17.5365,16.9847,2.1007,17.0152,579.0,22890.0,2958.6797
163,17.0067,16.2022,2.2104,16.521,573.0,20646.0,2958.6797
164,16.4677,17.0995,2.0419,19.8343,570.0,12912.0,2958.6797
165,20.1196,16.1291,2.8258,19.3345,573.0,13644.0,2958.6797
166,19.5098,16.9808,3.8858,13.5612,572.0,13008.0,2958.6797
167,13.1098,16.4515,2.7461,17.1735,571.0,13018.0,2958.6797
168,17.397,16.4933,2.8385,16.9138,571.0,14410.0,2958.6797
169,16.6961,16.0439,2.673,16.538,571.0,13482.0,2958.6797
170,16.6985,16.4195,2.0902,16.455,572.0,13030.0,2958.6797
171,16.4346,15.851,2.0837,18.2915,570.0,16254.0,2958.6797
172,18.3767,16.2373,2.8338,17.7196,571.0,17465.0,2958.6797
173,17.7667,17.0291,3.7812,16.8308,570.0,13316.0,2958.6797
174,16.6288,16.5584,2.9583,16.1802,570.0,13006.0,2958.6797
175,16.2649,16.3772,2.0654,17.4244,571.0,13018.0,2958.6797
176,17.3689,16.3794,2.2055,15.6562,568.0,12910.0,2958.6797
177,15.6266,16.4746,2.3501,17.1384,573.0,14782.0,2958.6797
178,17.1065,16.3755,2.0836,16.7575,573.0,12962.0,2958.6797
179,16.8506,16.4245,2.095,17.4022,575.0,16734.0,2958.6797
