capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,16.7426,15.9151,1.597,16.064,452.0,21162.0,2893.2578
121,15.9327,15.8987,1.6822,16.6431,452.0,21530.0,2893.2578
122,16.7023,15.9546,1.6201,16.5491,452.0,30022.0,2893.2578
123,16.5143,16.2412,1.5,16.6896,454.0,45054.0,2893.2578
124,16.6452,15.9881,1.5222,16.4124,456.0,36845.0,2893.2578
125,16.3763,15.6681,1.4758,15.7629,450.0,29600.0,2893.2578
126,15.8025,15.6889,1.5891,16.8292,450.0,23560.0,2893.2578
127,16.8418,16.1587,1.8507,17.1671,450.0,28712.0,2893.2578
128,17.2466,16.385,2.067,16.1276,450.0,27416.0,2893.2578
129,16.0977,15.6638,1.8712,16.4807,450.0,36124.0,2893.2578
130,16.4453,16.109,1.9503,16.4006,454.0,30253.0,2893.2578
131,16.3781,15.9277,1.705,15.8962,451.0,23280.0,2893.2578
132,15.8999,15.5972,1.6726,16.6327,457.0,29372.0,2893.2578
133,16.6721,15.867,1.7013,16.6198,454.0,28484.0,2893.2578
134,16.6038,15.7288,1.5865,15.716,455.0,34859.0,2893.2578
135,15.7121,16.0117,1.7935,16.348,455.0,26621.0,2893.2578
136,16.4281,15.7165,1.5411,16.2305,452.0,21320.0,2893.2578
137,16.1619,15.6617,1.6072,16.1691,452.0,24479.0,2893.2578
138,16.2125,15.7469,1.5752,19.2574,452.0,24615.0,2893.2578
139,19.3662,15.908,2.6253,14.4669,450.0,23246.0,2893.2578
140,14.3905,15.7226,2.2864,16.3148,451.0,22324.0,2893.2578
141,16.3054,15.8187,2.3271,16.646,450.0,25952.0,2893.2578
142,16.7246,15.9155,2.417,19.1894,450.0,30216.0,2893.2578
143,19.3866,15.9733,3.54,15.9528,451.0,32374.0,2893.2578
144,15.7062,16.0291,2.6297,15.3144,450.0,29448.0,2893.2578
145,15.315,16.1085,2.1599,16.9282,450.0,29062.0,2893.2578
146,16.9737,16.1236,2.4327,15.7792,450.0,24646.0,2893.2578
147,15.7729,16.0671,2.0735,16.1876,450.0,22088.0,2893.2578
148,16.0639,16.2768,2.0411,16.4019,450.0,37444.0,2893.2578
149,16.4549,15.9055,2.0235,16.4688,454.0,64428.0,2893.2578
150,16.4415,16.2925,1.868,16.434,459.0,50452.0,2893.2578
151,16.4164,15.9866,1.828,15.9768,455.0,23114.0,2893.2578
152,15.9333,15.7123,1.6694,17.1082,452.0,21162.0,2893.2578
153,17.1952,15.917,1.7931,15.2052,452.0,21162.0,2893.2578
154,15.1989,15.8393,1.6241,17.0018,452.0,21530.0,2893.2578
155,16.9917,16.3146,1.9211,16.6145,450.0,23912.0,2893.2578
156,16.6208,16.0279,1.7942,16.1552,450.0,21160.0,2893.2578
157,16.1149,16.0229,1.7282,16.67,423.0,19540.0,2893.2578
158,16.7063,16.0888,1.803,16.6684,415.0,19060.0,2893.2578
159,16.7709,16.099,2.0702,16.7051,450.0,21896.0,2893.2578
160,16.6694,15.9731,2.018,16.7036,442.0,26888.0,2893.2578
161,16.6171,16.2151,2.35,17.4212,450.0,21160.0,2893.2578
162,17.439,16.2558,2.1,16.3368,451.0,24763.0,2893.2578
163,16.3354,15.9409,1.9669,16.4788,449.0,22040.0,2893.2578
164,16.4802,15.9362,1.9026,15.676,450.0,22088.0,2893.2578
165,15.7123,15.9855,1.8297,16.9284,454.0,21628.0,2893.2578
166,16.9301,16.1345,1.8489,16.1607,454.0,24876.0,2893.2578
167,16.179,15.8938,1.9783,16.0538,454.0,24993.0,2893.2578
168,16.0779,16.1869,1.976,16.9478,451.0,21114.0,2893.2578
169,16.9183,15.8554,2.0223,16.6036,452.0,21162.0,2893.2578
170,16.5297,15.6482,2.0798,15.4943,452.0,21162.0,2893.2578
171,15.5474,16.0552,2.1064,16.9249,450.0,21624.0,2893.2578
172,17.0194,15.9359,1.9978,16.3115,450.0,22552.0,2893.2578
173,16.2373,15.9667,2.2997,16.6116,450.0,22088.0,2893.2578
174,16.6173,15.6901,2.1344,16.1902,450.0,23944.0,2893.2578
175,16.1466,15.9052,2.0803,16.5228,450.0,21160.0,2893.2578
176,16.5714,15.8349,2.0925,16.284,449.0,22708.0,2893.2578
177,16.2278,15.7218,1.7818,16.1131,449.0,21112.0,2893.2578
178,16.165,15.7564,1.6918,15.9414,453.0,33018.0,2893.2578
179,15.8282,15.8791,1.5691,16.4389,455.0,41457.0,2893.2578
180,16.5147,15.7319,1.6957,16.8526,448.0,21432.0,2893.2578
181,16.8823,15.9024,1.8512,16.2915,454.0,24108.0,2893.2578
182,16.2825,15.9207,1.8841,16.7334,455.0,69308.0,2893.2578
183,16.691,15.7574,1.899,15.5975,457.0,34135.0,2893.2578
184,15.6893,15.9247,1.6917,16.312,459.0,39844.0,2893.2578
185,16.2327,15.8624,1.868,16.3846,454.0,37721.0,2893.2578
186,16.4527,15.6073,1.6029,16.0053,455.0,50930.0,2893.2578
187,15.9747,15.8871,1.5579,16.2037,449.0,22968.0,2893.2578
188,16.1498,15.6906,1.6117,17.1148,450.0,24408.0,2893.2578
189,17.1684,16.2512,1.5796,16.0154,451.0,21172.0,2893.2578
190,15.9959,15.8355,1.6282,15.9819,450.0,23480.0,2893.2578
191,16.0242,15.6227,1.522,16.5775,450.0,23016.0,2893.2578
192,16.5145,15.8458,1.6887,16.1728,450.0,23480.0,2893.2578
193,16.1514,15.6364,1.4129,15.6175,448.0,21992.0,2893.2578
194,15.657,15.8782,1.686,16.7739,448.0,21040.0,2893.2578
195,16.7604,15.9108,1.4928,16.0344,446.0,20920.0,2893.2578
196,16.0979,15.697,1.7073,16.5205,450.0,21528.0,2893.2578
197,16.3803,15.8488,1.441,16.3846,454.0,22268.0,2893.2578
198,16.4227,15.8863,1.6515,16.198,454.0,21900.0,2893.2578
199,16.3227,15.684,1.8079,16.4073,454.0,21164.0,2893.2578
200,16.2795,15.6695,1.5914,16.4162,453.0,21174.0,2893.2578
201,16.5181,15.8091,1.7642,17.1364,452.0,21530.0,2893.2578
202,17.0809,16.2631,1.9518,15.8965,452.0,22266.0,2893.2578
203,15.859,15.9358,1.822,17.2002,454.0,41206.0,2893.2578
204,17.2686,16.212,1.8716,17.4512,454.0,40218.0,2893.2578
205,17.4189,16.2712,1.9093,15.9697,452.0,29391.0,2893.2578
206,16.0243,16.264,1.9598,17.0296,450.0,30432.0,2893.2578
207,17.0213,16.1699,1.9477,15.7972,450.0,26040.0,2893.2578
208,15.8169,16.0737,2.0287,17.3153,435.0,25236.0,2893.2578
209,17.2899,16.2634,1.8888,16.8264,450.0,26680.0,2893.2578
210,16.8268,16.4796,1.9178,16.7953,451.0,37140.0,2893.2578
211,16.7638,16.1661,1.7524,17.0578,453.0,29237.0,2893.2578
212,17.2423,15.9288,1.8006,16.2795,452.0,24862.0,2893.2578
213,16.1232,15.8858,1.7328,16.464,460.0,28108.0,2893.2578
214,16.5218,16.3995,2.0163,17.8836,454.0,30325.0,2893.2578
215,17.8518,16.0933,2.0341,15.7954,454.0,33722.0,2893.2578
216,15.7275,16.0169,1.9054,16.5536,452.0,25577.0,2893.2578
217,16.5943,15.7145,1.6534,15.9575,452.0,24141.0,2893.2578
218,15.917,15.705,1.6049,16.1864,453.0,21670.0,2893.2578
219,16.1893,15.9466,1.596,16.5037,450.0,25301.0,2893.2578
220,16.5191,15.7817,1.4516,15.6728,450.0,22558.0,2893.2578
221,15.6791,15.7277,1.5279,17.3446,451.0,22788.0,2893.2578
222,17.3459,15.8893,1.6839,15.3283,450.0,27216.0,2893.2578
223,15.3184,15.6733,1.7144,17.1049,450.0,28800.0,2893.2578
224,17.1167,15.9546,1.8383,16.5231,450.0,32482.0,2893.2578
225,16.6155,15.739,1.7099,15.304,450.0,31224.0,2893.2578
226,15.2426,15.7042,1.649,16.5196,451.0,27400.0,2893.2578
227,16.5007,15.8943,1.7565,16.5518,450.0,24112.0,2893.2578
228,16.5738,15.7356,1.8305,15.9858,450.0,22088.0,2893.2578
229,15.9796,15.6359,1.6429,15.9661,454.0,37912.0,2893.2578
230,15.952,15.7603,1.6362,17.0214,454.0,65926.0,2893.2578
231,17.0599,15.9365,1.5473,16.3466,460.0,49440.0,2893.2578
232,16.3042,15.6864,1.5704,15.9191,452.0,22162.0,2893.2578
233,15.8495,15.9138,1.6234,16.1431,452.0,21162.0,2893.2578
234,16.1881,15.6414,1.5427,15.9537,452.0,21162.0,2893.2578
235,15.9376,15.6641,1.468,16.4318,450.0,21528.0,2893.2578
236,16.5501,15.9465,1.6814,16.7474,450.0,23912.0,2893.2578
237,16.6985,15.6083,1.6616,15.7625,450.0,21160.0,2893.2578
238,15.7353,15.6955,1.7229,16.4039,420.0,19360.0,2893.2578
239,16.3807,15.8498,1.5496,16.3587,416.0,19120.0,2893.2578
240,16.4071,15.6812,1.7072,15.5147,450.0,21896.0,2893.2578
241,15.4404,15.7626,1.2589,16.9526,450.0,27416.0,2893.2578
242,16.9672,15.9861,1.6015,15.5684,450.0,23554.0,2893.2578
243,15.5522,15.6266,1.5999,16.6011,450.0,22821.0,2893.2578
244,16.6464,15.7408,1.6929,16.1818,449.0,21576.0,2893.2578
245,16.179,15.879,1.6284,16.5304,454.0,22092.0,2893.2578
246,16.5841,15.7403,1.6362,15.8879,455.0,23496.0,2893.2578
247,15.8006,15.7212,1.3837,16.5242,454.0,24722.0,2893.2578
248,16.5149,15.9404,1.3938,16.4219,451.0,23241.0,2893.2578
249,16.4785,15.6734,1.6731,16.4483,452.0,21162.0,2893.2578
250,16.5512,15.8438,1.559,16.1228,452.0,21162.0,2893.2578
251,15.9933,15.7038,1.6186,15.6141,450.0,21160.0,2893.2578
252,15.6639,15.7101,1.3557,17.1451,450.0,23016.0,2893.2578
253,17.1955,16.7179,1.7995,17.0971,450.0,21160.0,2893.2578
254,17.0373,15.6891,1.8445,16.1942,450.0,22552.0,2893.2578
255,16.2662,15.9376,1.9331,16.4345,450.0,23480.0,2893.5078
256,16.377,16.236,1.701,17.2373,449.0,22708.0,2893.5078
257,17.2044,16.9662,1.6941,17.2054,449.0,21112.0,2893.5078
258,17.2697,15.8714,2.0674,16.4473,453.0,24731.0,2893.5078
259,16.4802,15.9205,1.9535,17.311,452.0,32755.0,2893.5078
260,17.3702,16.4209,1.9411,15.9945,455.0,38173.0,2893.5078
261,15.8503,15.926,1.7712,16.6893,452.0,21804.0,2893.5078
262,16.6601,15.9788,1.5829,16.5587,455.0,39816.0,2893.5078
263,16.6569,16.2145,1.7737,15.8163,455.0,62428.0,2893.5078
264,15.7353,15.9439,1.6693,16.9701,454.0,24937.0,2893.5078
265,17.004,15.91,1.8416,17.2218,458.0,39796.0,2893.5078
266,17.231,15.9401,1.7886,15.8379,455.0,39829.0,2893.5078
267,15.8009,15.6838,1.6221,15.8312,453.0,49796.0,2893.5078
268,15.8618,15.7054,1.7209,17.3147,450.0,23444.0,2893.5078
269,17.3926,15.6849,1.9672,16.0696,450.0,23016.0,2893.5078
270,16.0111,15.7665,1.9584,15.9972,450.0,21160.0,2893.5078
