capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,17.7507,17.1265,2.8819,17.4091,459.0,27972.0,2895.0078
121,17.5324,16.7757,2.8085,18.1166,458.0,27460.0,2895.0078
122,18.0208,17.0209,2.3998,17.1735,461.0,27092.0,2895.0078
123,17.1717,17.1123,2.5114,18.1086,460.0,27092.0,2895.0078
124,18.0926,16.9858,2.2721,17.6754,460.0,27092.0,2895.0078
125,17.6939,17.1848,2.4846,16.8834,461.0,27104.0,2895.0078
126,16.8122,17.0208,2.1739,17.9739,460.0,27092.0,2895.0078
127,18.0017,16.9415,2.2613,18.7068,460.0,27092.0,2895.0078
128,18.7048,18.9098,2.5358,17.8833,464.0,31144.0,2895.0078
129,18.0754,17.3097,2.5558,18.5049,464.0,37400.0,2895.0078
130,18.3669,17.1714,2.4995,17.4363,473.0,42163.0,2895.0078
131,17.4138,16.9883,2.29,17.2382,471.0,38550.0,2895.0078
132,17.2517,17.238,2.5393,18.4037,463.0,28654.0,2895.0078
133,18.3607,17.2355,2.2035,16.7199,462.0,27748.0,2895.0078
134,16.7054,16.8574,2.1604,18.1382,461.0,40474.0,2895.0078
135,18.1455,16.8898,2.5267,16.6421,460.0,39555.0,2895.0078
136,16.7363,17.1331,2.7625,18.0067,460.0,28196.0,2895.0078
137,17.9859,16.9148,2.4215,17.212,461.0,27104.0,2895.0078
138,17.1943,17.2784,2.2349,18.713,460.0,27092.0,2895.0078
139,18.7026,16.9971,2.2966,17.5933,461.0,33962.0,2895.0078
140,17.593,17.3877,2.3226,17.7082,461.0,28948.0,2895.0078
141,17.6809,17.3082,2.2238,17.7157,460.0,27092.0,2895.0078
142,17.7644,16.8759,2.2522,17.6344,460.0,27556.0,2895.0078
143,17.6283,17.4994,2.4298,18.6696,460.0,36328.0,2895.0078
144,18.6277,17.3417,2.4539,17.9664,465.0,32152.0,2895.0078
145,18.0747,17.3889,2.4594,18.1209,465.0,27560.0,2895.0078
146,18.0544,17.6512,2.4211,17.7466,465.0,27096.0,2895.0078
147,17.741,17.5762,2.3916,18.8973,462.0,27094.0,2895.0078
148,18.9453,17.5595,2.3117,17.4409,463.0,30688.0,2895.0078
149,17.3924,17.5915,3.0246,17.9691,463.0,31578.0,2895.0078
150,18.0191,17.4359,2.7223,19.2774,461.0,30412.0,2895.0078
151,19.3068,17.5366,2.8727,17.8603,444.0,26068.0,2895.0078
152,17.8059,17.6337,2.3594,18.8136,461.0,27460.0,2895.0078
153,18.8365,17.0711,2.4855,17.0456,436.0,26328.0,2895.0078
154,17.0345,17.2146,2.3234,17.2094,460.0,30632.0,2895.0078
155,17.1433,17.6153,2.1811,18.938,460.0,35942.0,2895.0078
156,18.9294,17.7443,2.1243,16.9089,443.0,26796.0,2895.0078
157,17.0275,17.0485,2.5501,18.3083,460.0,31791.0,2895.0078
158,18.2694,17.8387,2.5597,20.6939,461.0,35005.0,2895.0078
159,20.6875,18.181,2.8162,16.4966,460.0,28158.0,2895.0078
160,16.4926,17.5163,2.8765,17.6363,464.0,28698.0,2895.0078
161,18.0084,17.8024,3.1276,18.6658,464.0,28980.0,2895.0078
162,18.3866,18.7622,2.8172,20.6952,465.0,29838.0,2895.0078
163,20.5889,18.0695,2.4517,18.0882,469.0,35256.0,2895.0078
164,18.1143,18.6884,2.3989,20.8118,469.0,39152.0,2895.0078
165,20.8203,20.0746,2.472,18.2036,462.0,40062.0,2895.0078
166,18.1965,18.385,2.4592,19.5796,460.0,57672.0,2895.0078
167,19.6065,18.3282,3.2182,17.8592,460.0,54354.0,2895.0078
168,17.863,18.2609,3.0551,20.3101,460.0,29150.0,2895.0078
169,20.325,18.4348,2.8196,18.3259,460.0,27092.0,2895.0078
170,18.2813,18.0532,2.5105,19.0878,461.0,27092.0,2895.0078
171,19.1188,18.8236,2.5605,19.8216,460.0,30340.0,2895.0078
172,19.8635,18.1742,2.6249,18.2659,460.0,27556.0,2895.0078
173,18.1815,18.1211,2.3731,19.005,460.0,40104.0,2895.0078
174,19.1601,18.2652,2.9199,19.296,460.0,30792.0,2895.0078
175,19.1826,18.025,3.095,18.6211,460.0,30932.0,2895.0078
176,18.642,18.2895,2.6627,18.9161,464.0,27096.0,2895.0078
177,18.8644,17.885,2.3367,18.5431,464.0,33504.0,2895.0078
178,18.5295,18.3648,2.5849,19.3385,464.0,29004.0,2895.0078
179,19.3532,19.9037,2.5055,19.1148,462.0,28198.0,2895.0078
180,19.0676,17.9925,2.3304,18.8401,462.0,31539.0,2895.0078
181,18.871,17.8788,2.4971,18.8902,462.0,32541.0,2895.0078
182,18.958,17.8827,2.7132,18.6583,460.0,27556.0,2895.0078
183,18.614,18.3155,2.7309,17.7662,460.0,27092.0,2895.0078
184,17.8031,17.6241,2.3942,18.9466,460.0,28948.0,2895.0078
185,18.8888,17.0729,2.3403,17.7778,460.0,27092.0,2895.0078
186,17.7886,17.6538,2.3648,17.9205,460.0,27092.0,2895.0078
187,17.9557,17.2364,2.6749,18.5286,460.0,27092.0,2895.0078
188,18.5313,18.3169,2.5123,17.5738,462.0,30355.0,2895.0078
189,17.543,17.191,2.4307,17.8927,463.0,29439.0,2895.0078
190,17.972,17.0388,2.4013,17.7149,470.0,34588.0,2895.0078
191,17.5748,17.4367,2.2816,16.9965,460.0,27092.0,2895.0078
192,17.0252,17.123,2.1161,17.5503,464.0,30408.0,2895.0078
193,17.5647,16.7893,2.1257,17.509,464.0,48216.0,2895.0078
194,17.4904,17.4509,2.1486,18.48,464.0,37224.0,2895.0078
195,18.5309,17.5304,2.4353,18.1262,468.0,48367.0,2895.0078
196,18.2374,17.1416,2.6478,17.8424,462.0,59406.0,2895.0078
197,17.6789,17.3756,2.3137,17.2473,462.0,53710.0,2895.0078
198,17.261,17.3699,2.0815,17.8515,461.0,30820.0,2895.0078
199,17.8749,17.0835,2.0336,17.6943,461.0,42660.0,2895.0078
200,17.6997,17.1705,2.1796,17.343,464.0,51776.0,2895.0078
201,17.3174,17.0107,2.004,18.4191,458.0,27924.0,2895.0078
202,18.4428,17.2775,1.9596,17.4977,459.0,27508.0,2895.0078
203,17.4672,16.5302,1.9466,17.3817,460.0,27092.0,2895.0078
204,17.3937,16.9434,2.1544,17.7663,460.0,27092.0,2895.0078
205,17.781,16.6511,2.0568,16.6919,460.0,27092.0,2895.0078
206,16.7043,16.687,1.9311,17.6278,460.0,27092.0,2895.0078
207,17.635,16.6497,2.0872,17.109,460.0,27092.0,2895.0078
208,17.1425,16.9556,2.0287,16.8274,449.0,27668.0,2895.0078
209,16.7646,16.5593,1.9953,17.2311,464.0,31512.0,2895.0078
210,17.276,16.6459,1.8303,16.9863,464.0,37768.0,2895.0078
211,16.9143,16.7056,1.9062,17.3164,470.0,41185.0,2895.0078
212,17.4561,16.4865,2.028,17.3147,470.0,37634.0,2895.0078
213,17.2064,16.9519,2.1688,17.8079,463.0,28518.0,2895.0078
214,17.8262,17.5116,2.1129,18.4385,461.0,27566.0,2895.0078
215,18.461,17.4173,2.6001,17.8982,462.0,41530.0,2895.0078
216,17.8814,17.4665,2.2037,18.4707,461.0,38867.0,2895.0078
217,18.4293,17.6122,1.9326,17.49,462.0,27840.0,2895.0078
218,17.4551,17.4116,1.931,18.0376,460.0,27092.0,2895.0078
219,18.083,17.6595,2.0733,18.1419,460.0,28616.0,2895.0078
220,18.1579,16.9261,2.078,18.5683,461.0,32890.0,2895.0078
221,18.5687,18.1905,2.0045,18.4436,460.0,28484.0,2895.0078
222,18.4778,17.44,2.1735,18.2405,461.0,27092.0,2895.0078
223,18.2289,17.431,1.9952,17.4211,460.0,29244.0,2895.0078
224,17.3565,17.219,1.8287,17.8367,464.0,36620.0,2895.0078
225,17.919,17.2702,2.0222,18.1834,464.0,30176.0,2895.0078
226,18.1453,17.5451,2.2636,18.766,465.0,27560.0,2895.0078
227,18.8613,17.9044,2.9616,18.1095,462.0,27094.0,2895.0078
228,18.0605,17.268,2.4716,17.5744,463.0,27094.0,2895.0078
229,17.5256,17.5229,2.0334,18.4246,462.0,30688.0,2895.0078
230,18.4414,17.7343,2.0392,17.9429,460.0,31944.0,2895.0078
231,17.9335,17.6773,2.0535,18.2439,460.0,30088.0,2895.0078
232,18.2968,18.0289,2.0171,18.0152,441.0,25844.0,2895.0078
233,17.9465,17.8238,2.1413,18.1948,459.0,27400.0,2895.0078
234,18.265,17.3237,2.0397,17.9877,437.0,26388.0,2895.0078
235,17.9683,17.2884,2.1645,18.3115,460.0,31000.0,2895.0078
236,18.2537,17.6274,2.1371,17.6487,461.0,36124.0,2895.0078
237,17.6621,17.3679,2.0434,17.9457,445.0,26318.0,2895.0078
238,17.9821,17.2095,2.0933,17.5204,460.0,31791.0,2895.0078
239,17.4903,17.637,2.1997,18.5386,460.0,35005.0,2895.0078
240,18.5823,18.1486,2.1414,19.1959,465.0,28162.0,2895.0078
241,19.2118,17.9231,2.1923,18.5696,464.0,28698.0,2895.0078
242,18.5945,17.5356,2.1755,17.2036,465.0,30330.0,2895.0078
243,17.1373,17.4313,2.0902,19.0717,464.0,30518.0,2895.0078
244,19.0723,18.3641,2.1611,18.6564,469.0,34818.0,2895.0078
245,18.6472,17.2942,2.1088,17.0805,467.0,39822.0,2895.0078
