capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,17.0555,17.4685,2.6968,18.2446,462.0,27568.0,2894.3828
121,18.3245,17.4968,2.7802,19.9453,460.0,27092.0,2894.3828
122,19.7787,17.0282,2.4071,15.5947,462.0,27104.0,2894.3828
123,15.6134,17.1528,2.3712,18.1075,461.0,27092.0,2894.3828
124,18.1049,17.3764,2.1927,17.6215,460.0,27092.0,2894.3828
125,17.6862,17.2212,2.4484,18.0358,464.0,29942.0,2894.3828
126,18.1145,17.1905,2.301,18.0697,467.0,29215.0,2894.3828
127,17.9476,18.2916,2.3881,18.0521,473.0,36468.0,2894.3828
128,18.0546,17.156,2.5832,17.5252,464.0,27096.0,2894.3828
129,17.5486,17.0014,2.3139,18.2318,462.0,28294.0,2894.3828
130,18.2065,18.5927,2.4998,19.6721,444.0,28450.0,2894.3828
131,19.7039,17.4887,2.4218,17.5372,462.0,34086.0,2894.3828
132,17.5232,16.9863,2.298,17.0335,461.0,28932.0,2894.3828
133,17.0291,17.3521,2.2637,17.7955,460.0,33348.0,2894.3828
134,17.893,17.218,2.0652,18.2833,461.0,33030.0,2894.3828
135,18.1386,16.9744,2.238,17.2487,462.0,32094.0,2894.3828
136,17.2318,17.1405,2.1189,18.7334,462.0,28166.0,2894.3828
137,18.794,17.2007,2.1613,16.5243,460.0,31664.0,2894.3828
138,16.6497,17.0435,2.2104,19.2886,459.0,29282.0,2894.3828
139,19.1877,17.3783,2.2035,17.0671,459.0,27044.0,2894.3828
140,17.0635,17.6261,2.1258,17.6161,461.0,29088.0,2894.3828
141,17.5872,17.2349,2.2727,17.6273,461.0,49199.0,2894.3828
142,17.6951,16.9712,2.3866,17.6213,465.0,40993.0,2894.3828
143,17.5826,17.5553,2.2036,18.2956,465.0,39033.0,2894.3828
144,18.176,17.3564,2.1682,18.0199,465.0,31070.0,2894.3828
145,18.0816,17.2935,2.098,17.5917,463.0,27770.0,2894.3828
146,17.6436,17.0787,2.2359,18.2748,462.0,27094.0,2894.3828
147,18.2531,17.2454,2.5772,17.1547,462.0,27094.0,2894.3828
148,17.2399,17.0236,2.2646,18.2386,461.0,28780.0,2894.3828
149,18.1999,17.189,2.4908,17.1968,460.0,30324.0,2894.3828
150,17.1587,17.3952,2.164,17.6942,461.0,36055.0,2894.3828
151,17.6387,16.9761,1.8554,17.4678,460.0,48227.0,2894.3828
152,17.5303,17.215,1.8264,18.0285,461.0,30146.0,2894.3828
153,18.1895,17.2218,2.1151,17.1453,434.0,26588.0,2894.3828
154,17.0149,16.9324,2.272,18.3947,461.0,27424.0,2894.3828
155,18.3952,17.6968,2.3594,17.941,460.0,29408.0,2894.3828
156,17.8925,17.2156,2.0648,17.1245,461.0,29720.0,2894.3828
157,17.1659,17.3505,2.1406,17.7462,431.0,25244.0,2894.3828
158,17.7188,17.382,2.0152,19.532,429.0,24996.0,2894.3828
159,19.5734,17.4687,2.2642,16.8612,465.0,31512.0,2894.3828
160,16.9224,17.4248,2.3823,18.326,464.0,28324.0,2894.3828
161,18.2748,17.2677,2.1752,17.4911,461.0,29746.0,2894.3828
162,17.4624,17.4783,2.424,18.1389,463.0,27094.0,2894.3828
163,18.2566,17.6634,2.8405,18.4302,463.0,28076.0,2894.3828
164,18.323,17.3696,2.4125,18.2236,461.0,28266.0,2894.3828
165,18.2446,17.706,2.1652,18.7852,464.0,31466.0,2894.3828
166,18.7832,17.4876,2.3158,17.9238,466.0,31794.0,2894.3828
167,17.9073,17.4751,2.2069,17.6301,464.0,64780.0,2894.3828
168,17.5821,18.0768,2.3852,18.0325,460.0,63222.0,2894.3828
169,18.1084,17.1789,2.1614,17.6801,461.0,28092.0,2894.3828
170,17.637,17.3868,2.2258,17.9683,460.0,27092.0,2894.3828
171,17.9603,17.5973,2.1193,18.1069,461.0,27092.0,2894.3828
172,18.1444,17.3089,2.1714,17.8749,461.0,29424.0,2894.3828
173,17.8429,17.421,2.1397,18.6799,462.0,28960.0,2894.3828
174,18.6559,17.5251,2.2205,17.3354,464.0,27560.0,2894.3828
175,17.4714,17.4794,3.0339,18.8962,465.0,37636.0,2894.3828
176,18.8337,17.5438,2.2999,17.5079,464.0,29320.0,2894.3828
177,17.4762,17.2503,2.3406,18.0741,463.0,30962.0,2894.3828
178,18.0958,17.3651,2.3179,18.0884,463.0,32514.0,2894.3828
179,18.0887,17.4206,2.4039,18.0335,465.0,28965.0,2894.3828
180,17.9956,17.6032,2.0279,18.006,460.0,27556.0,2894.3828
181,18.0341,17.7782,2.2553,18.2719,462.0,28496.0,2894.3828
182,18.2905,17.3269,2.44,17.6449,460.0,27556.0,2894.3828
183,17.5601,17.565,2.0068,18.2216,461.0,27556.0,2894.3828
184,18.2362,17.4046,2.2347,17.7136,460.0,28484.0,2894.3828
185,17.7616,17.2367,2.2661,18.0572,461.0,27092.0,2894.3828
186,18.0792,17.4402,2.4299,17.7744,460.0,27092.0,2894.3828
187,17.8139,17.6343,2.5828,18.3441,461.0,27092.0,2894.3828
188,18.3429,17.3191,2.3315,18.1943,466.0,34097.0,2894.3828
189,18.1246,17.3608,2.3291,18.9543,462.0,28915.0,2894.3828
190,19.1315,17.2578,2.3806,17.0482,464.0,27096.0,2894.3828
191,16.8736,17.4999,2.4196,18.3104,465.0,27096.0,2894.3828
192,18.3426,17.6172,2.2804,18.0812,464.0,30288.0,2894.3828
193,17.9734,17.1872,2.1993,17.1572,473.0,87706.0,2894.3828
194,17.2072,17.0153,1.9636,18.7268,463.0,46434.0,2894.3828
195,18.7325,17.7477,2.2071,18.869,462.0,28022.0,2894.3828
196,18.9365,18.4413,2.5913,19.3236,466.0,67729.0,2894.3828
197,19.2933,18.2243,2.9118,16.8876,459.0,59499.0,2894.3828
198,16.9172,17.9968,2.374,19.1577,457.0,29232.0,2894.3828
199,19.1455,17.787,2.0095,17.8563,460.0,28484.0,2894.3828
200,17.8223,18.1695,1.9273,18.8238,462.0,28960.0,2894.3828
201,18.9517,17.9049,2.1169,19.0019,461.0,28948.0,2894.3828
202,18.7899,18.6067,2.0621,19.2683,460.0,27556.0,2894.3828
203,19.3686,17.9364,2.5059,18.6846,461.0,27092.0,2894.3828
204,18.8765,17.6896,2.2836,18.2473,460.0,27092.0,2894.3828
205,18.0685,17.8963,2.6139,18.2163,460.0,27092.0,2894.3828
206,18.1525,17.9241,2.0786,18.9647,466.0,28996.0,2894.3828
207,18.9693,17.6973,1.9556,18.3727,468.0,30041.0,2894.3828
208,18.4221,17.7326,2.2765,17.845,466.0,29215.0,2894.3828
209,17.8658,17.7986,2.2083,19.3145,468.0,34471.0,2894.3828
210,19.337,17.8862,2.2097,18.1131,462.0,27094.0,2894.3828
211,18.1062,17.8587,2.309,18.1727,463.0,30054.0,2894.3828
212,18.1409,17.6441,2.0686,18.0561,440.0,27364.0,2894.3828
213,18.0331,17.6085,1.6907,18.8308,460.0,33716.0,2894.3828
214,18.7847,17.5861,1.4565,17.6241,460.0,29300.0,2894.3828
215,17.6775,17.642,1.7754,18.3145,460.0,33300.0,2894.3828
216,18.3779,17.2768,2.3176,17.4052,461.0,32710.0,2894.3828
217,17.5901,17.1122,2.6098,18.2583,462.0,31726.0,2894.3828
218,18.0628,17.32,2.3398,17.994,461.0,28928.0,2894.3828
219,17.943,17.4251,2.262,17.3711,461.0,31664.0,2894.3828
220,17.4797,17.1244,2.6027,17.9149,459.0,28532.0,2894.3828
221,17.8143,17.2358,2.3516,18.0911,460.0,27044.0,2894.3828
222,18.2114,17.0904,2.1761,18.5195,464.0,33785.0,2894.3828
223,18.4262,17.2977,2.2079,16.939,465.0,46370.0,2894.3828
224,16.9263,17.4776,2.0852,18.3208,464.0,40639.0,2894.3828
225,18.3386,17.0795,2.2288,17.2989,462.0,37989.0,2894.3828
226,17.3259,17.0776,2.1834,17.8668,463.0,30784.0,2894.3828
227,17.7709,17.1801,2.3079,17.2521,464.0,27602.0,2894.3828
228,17.2788,17.3064,2.1991,17.9508,461.0,27092.0,2894.3828
229,17.9683,17.1387,2.1223,17.8313,461.0,27092.0,2894.3828
230,17.85,16.9107,2.259,17.5779,461.0,28780.0,2894.3828
231,17.5374,17.214,2.4121,17.8597,460.0,32252.0,2894.3828
232,17.9088,17.2987,2.4997,18.0241,460.0,35811.0,2894.3828
233,18.0742,17.1107,2.2984,18.1253,461.0,47077.0,2894.3828
234,18.0048,17.2485,2.1762,17.0567,460.0,29932.0,2894.3828
235,17.0526,17.2378,1.8282,18.6313,435.0,26588.0,2894.3828
236,18.686,17.0011,2.057,17.2132,460.0,28896.0,2894.3828
237,17.1719,17.3324,2.1536,17.6692,461.0,28908.0,2894.3828
238,17.7305,16.9527,2.5887,17.8224,466.0,28396.0,2894.3828
239,17.8467,17.6863,2.2574,17.9373,430.0,24996.0,2894.3828
240,17.8467,17.1387,2.1354,17.5534,430.0,25056.0,2894.3828
241,17.6265,16.8764,2.2353,17.6956,463.0,31510.0,2894.3828
242,17.6801,17.1659,2.218,17.588,461.0,28274.0,2894.3828
243,17.5989,17.1686,2.3453,18.1983,462.0,29794.0,2894.3828
244,18.2194,17.143,2.0697,17.0995,461.0,27242.0,2894.3828
245,17.0455,17.1223,2.605,17.7193,460.0,27876.0,2894.3828
246,17.7819,17.0372,2.256,17.8001,461.0,28218.0,2894.3828
247,17.7649,17.1982,2.5711,18.3801,464.0,31514.0,2894.3828
248,18.5033,17.2837,2.7539,17.2576,466.0,31842.0,2894.3828
249,17.1887,17.2552,2.408,18.2525,464.0,65386.0,2894.3828
250,18.2837,17.1807,2.1947,17.3659,461.0,62616.0,2894.3828
251,17.2838,17.1929,2.5917,18.7234,460.0,28092.0,2894.3828
252,18.7722,17.3222,2.3497,16.6913,461.0,27092.0,2894.3828
253,16.6617,17.7265,3.2527,21.9152,460.0,27092.0,2894.3828
254,21.8947,18.0951,2.3801,15.7265,465.0,29416.0,2894.3828
255,15.7526,17.8124,2.2193,16.9416,465.0,28952.0,2894.3828
256,17.0462,17.2747,2.3178,17.6363,466.0,27572.0,2894.3828
257,17.4741,17.0506,2.0686,17.8398,463.0,37634.0,2894.3828
258,17.8523,17.2917,2.1371,17.7299,463.0,29318.0,2894.3828
259,17.6705,17.0838,2.0516,17.9572,464.0,30974.0,2894.3828
260,18.0171,17.1819,2.5498,17.7856,460.0,32500.0,2894.3828
261,17.7824,17.2068,2.7168,17.8908,463.0,28963.0,2894.3828
262,17.911,17.0414,2.9673,18.0652,460.0,27556.0,2894.3828
263,18.0232,17.4248,2.3723,17.9733,461.0,28484.0,2894.3828
264,18.1725,16.9818,2.2909,17.2591,461.0,27568.0,2894.3828
265,17.1444,17.0405,2.1724,17.5848,461.0,28020.0,2894.3828
266,17.6062,17.1505,2.3305,17.5169,460.0,28020.0,2894.3828
267,17.5892,16.9532,2.3164,17.2184,461.0,27092.0,2894.3828
268,17.1065,16.9606,2.2601,18.1825,460.0,27092.0,2894.3828
269,18.1913,17.1262,2.3161,17.5034,461.0,27092.0,2894.3828
270,17.6134,17.4246,2.3871,17.8884,470.0,34101.0,2894.3828
271,17.8,17.8691,2.362,18.3614,466.0,28919.0,2894.3828
272,18.3659,17.0118,2.2887,17.0291,464.0,27096.0,2894.3828
273,16.9722,17.0208,2.2172,17.5402,463.0,27094.0,2894.3828
274,17.6855,17.1532,2.2139,17.7394,462.0,30286.0,2894.3828
275,17.6553,16.94,2.2262,17.3575,472.0,87706.0,2894.3828
276,17.2847,17.0078,2.1282,17.4831,461.0,46896.0,2894.3828
277,17.5163,17.2154,2.723,17.6871,460.0,32788.0,2894.3828
278,17.615,17.249,2.2189,17.742,465.0,62449.0,2894.3828
279,17.7938,17.2183,2.2014,17.6072,460.0,60011.0,2894.3828
280,17.599,17.0296,2.1144,18.4768,456.0,28756.0,2894.3828
281,18.4971,16.881,2.1891,17.3819,461.0,28484.0,2894.3828
282,17.4179,17.1297,2.1085,17.4788,460.0,28948.0,2894.3828
283,17.6351,17.1965,2.6887,17.2185,461.0,28948.0,2894.3828
284,17.0492,17.1604,2.2391,18.55,461.0,27568.0,2894.3828
285,18.5294,17.5251,2.3657,17.8072,461.0,27092.0,2894.3828
286,17.8734,17.8539,2.3795,18.1801,465.0,27096.0,2894.3828
287,18.1496,17.2506,2.2221,18.0676,465.0,27096.0,2894.3828
288,18.0324,16.9619,2.1781,17.2461,466.0,29120.0,2894.3828
289,17.1755,17.2963,1.8188,17.3983,466.0,29915.0,2894.3828
290,17.3918,17.1074,1.9663,17.8502,464.0,29801.0,2894.3828
291,18.0102,17.0567,2.403,17.6308,469.0,33883.0,2894.3828
292,17.5987,17.2682,2.2079,17.3253,460.0,27092.0,2894.3828
293,17.3309,16.9757,2.2849,17.9881,461.0,30052.0,2894.3828
294,17.8679,17.1176,2.3687,17.5836,443.0,28648.0,2894.3828
295,17.6974,17.4714,2.5788,19.0373,461.0,32980.0,2894.3828
296,19.0518,17.0224,2.2104,16.3899,460.0,29264.0,2894.3828
297,16.4441,17.6359,2.3686,18.6746,462.0,33116.0,2894.3828
298,18.625,17.4576,2.2478,18.0877,461.0,32954.0,2894.3828
299,18.0649,17.1981,2.5244,17.3614,461.0,31358.0,2894.3828
300,17.4853,17.3949,2.3971,21.9675,463.0,29702.0,2894.3828
301,22.022,18.0206,2.8151,16.2402,461.0,30902.0,2894.3828
302,16.6516,17.4725,2.7184,16.95,463.0,28524.0,2894.3828
303,16.4629,17.4702,2.7058,18.7989,463.0,27048.0,2894.3828
304,18.8862,17.3517,2.6332,22.9011,465.0,35639.0,2894.3828
305,22.8982,17.5585,2.7847,11.552,462.0,46781.0,2894.3828
306,11.3851,17.436,2.238,18.0386,464.0,39342.0,2894.3828
307,17.9766,17.1605,2.1904,18.3202,463.0,37307.0,2894.3828
308,18.4237,17.4629,2.4327,18.062,461.0,30662.0,2894.3828
309,18.0017,17.2313,2.3685,17.6474,461.0,27430.0,2894.3828
310,17.5943,17.1964,2.0744,17.5903,461.0,27092.0,2894.3828
311,17.551,17.2452,2.0373,17.8923,461.0,27092.0,2894.3828
312,17.9664,16.817,2.3041,17.361,460.0,30324.0,2894.3828
313,17.396,17.6681,2.1408,18.5192,461.0,30708.0,2894.3828
314,18.4518,17.2815,2.1466,17.4036,460.0,36361.0,2894.3828
315,17.474,17.2853,2.1322,17.1286,460.0,46847.0,2894.3828
316,17.0972,17.2384,2.5345,18.0506,460.0,30300.0,2894.3828
317,18.0964,16.7337,2.2339,17.3707,460.0,28212.0,2894.3828
318,17.3227,16.9927,2.1945,19.0389,464.0,29964.0,2894.3828
