capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,10.3913,16.8196,2.6068,17.7457,460.0,28484.0,2892.8594
121,17.7508,17.0841,2.7531,17.4391,460.0,27092.0,2892.8594
122,17.4654,16.9426,2.6868,17.9401,460.0,27092.0,2892.8594
123,17.8345,16.8677,2.863,17.2682,434.0,26600.0,2892.8594
124,17.3429,17.1214,3.0274,27.3171,476.0,45636.0,2892.8594
125,27.3594,17.1214,3.1698,10.3294,464.0,30040.0,2892.8594
126,10.5471,16.9068,3.5315,17.6862,464.0,27096.0,2892.8594
127,17.4521,17.3476,3.3235,18.0212,463.0,30444.0,2892.8594
128,18.1803,16.8653,3.2524,15.8834,463.0,28486.0,2892.8594
129,15.6886,16.6334,2.954,17.042,462.0,31214.0,2892.8594
130,16.9809,16.8041,2.6238,17.8639,461.0,28586.0,2892.8594
131,17.9468,16.879,2.622,17.4453,460.0,32988.0,2892.8594
132,17.4027,16.707,2.7438,17.593,461.0,33628.0,2892.8594
133,17.708,16.9539,2.6256,16.8872,461.0,30969.0,2892.8594
134,16.7845,16.8559,2.7129,17.7351,460.0,34268.0,2892.8594
135,17.8441,16.8987,2.7345,17.132,460.0,36581.0,2892.8594
136,16.9879,16.9262,2.6844,18.3117,462.0,29966.0,2892.8594
137,18.3191,16.9928,2.6534,16.3827,461.0,37987.0,2892.8594
138,16.4574,16.9505,2.7891,17.103,461.0,36124.0,2892.8594
139,17.0503,16.6337,2.5774,17.4158,461.0,32858.0,2892.8594
140,17.4843,16.6044,2.588,17.943,465.0,33250.0,2892.8594
141,17.8017,16.5064,2.2945,16.4322,465.0,33476.0,2892.8594
142,16.4803,16.685,2.4298,17.9619,464.0,27928.0,2892.8594
143,18.0281,16.7007,2.3928,16.79,463.0,27330.0,2892.8594
144,16.8467,17.1836,2.665,18.0252,462.0,26918.0,2892.8594
145,17.9099,16.7518,2.4882,16.5046,468.0,52409.0,2892.8594
146,16.4942,16.5057,2.531,18.0837,466.0,84598.0,2892.8594
147,18.0774,16.8433,2.3926,19.0335,464.0,48362.0,2892.8594
148,19.3085,16.6766,2.8874,16.5797,461.0,36540.0,2892.8594
149,16.7269,16.6146,3.753,18.3292,460.0,33999.0,2892.8594
150,17.9996,16.7094,2.9892,15.4109,460.0,36124.0,2892.8594
151,15.3192,16.5511,2.904,18.0207,461.0,27092.0,2892.8594
152,18.0485,16.7967,2.8946,17.4422,461.0,39977.0,2892.8594
153,17.453,16.4666,2.9357,15.7507,461.0,28884.0,2892.8594
154,15.7682,16.5576,2.798,17.596,462.0,35332.0,2892.8594
155,18.1022,16.7165,3.7047,17.6243,461.0,27092.0,2892.8594
156,17.2402,16.4388,2.9753,16.4571,433.0,25128.0,2892.8594
157,16.4064,16.4747,2.6695,21.1544,429.0,24996.0,2892.8594
158,21.2934,16.884,4.1713,20.2686,464.0,27464.0,2892.8594
159,20.1618,16.7772,3.7163,10.7772,463.0,27116.0,2892.8594
160,10.6153,16.7039,2.9031,18.4298,439.0,26104.0,2892.8594
161,18.5472,16.8038,3.129,17.4041,462.0,27046.0,2892.8594
162,17.3809,16.5697,3.2269,15.6858,461.0,27556.0,2892.8594
163,15.6408,17.0714,2.6366,18.3301,461.0,29412.0,2892.8594
164,18.2934,16.9247,2.5125,17.3766,460.0,28020.0,2892.8594
165,17.3695,17.1497,2.4484,15.9944,460.0,27556.0,2892.8594
166,15.9801,17.7534,2.2242,19.299,461.0,28020.0,2892.8594
167,19.4153,16.7974,2.4623,17.2741,464.0,31762.0,2892.8594
168,17.8151,17.243,2.932,17.8174,466.0,32705.0,2892.8594
