capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,16.6752,16.3046,2.1484,16.8392,510.0,32473.0,2968.7578
121,16.8057,15.5283,2.3944,18.1849,519.0,42744.0,2968.7578
122,18.2242,16.2444,2.6369,15.2921,511.0,33413.0,2968.7578
123,15.3414,15.9826,3.0145,16.4189,511.0,32485.0,2968.7578
124,16.4967,16.328,2.5638,16.8622,508.0,35489.0,2968.7578
125,16.7805,15.7842,2.8601,16.169,509.0,32221.0,2968.7578
126,16.1683,16.1213,2.2616,17.4296,509.0,30493.0,2968.7578
127,17.4114,15.8877,2.3648,17.1177,834.0,92186.0,2968.7578
128,17.0412,16.0003,2.2587,15.3686,514.0,59485.0,2968.7578
129,15.5091,16.2655,2.3331,17.2422,513.0,32273.0,2968.7578
130,17.1832,15.8372,2.2887,16.9772,840.0,94554.0,2968.7578
131,16.9667,16.3397,2.2962,15.5653,513.0,37679.0,2968.7578
132,15.5943,16.0104,2.2216,16.0124,513.0,32487.0,2968.7578
133,15.9534,15.9498,2.1801,16.9254,510.0,31395.0,2968.7578
134,16.9287,16.2351,2.3691,16.5012,509.0,30685.0,2968.7578
135,16.4739,16.0495,2.0263,16.4227,511.0,36485.0,2968.7578
136,16.5172,15.9014,2.0421,16.5382,509.0,32461.0,2968.7578
137,16.4412,16.2858,1.8354,17.2149,524.0,105893.0,2968.7578
138,17.2454,16.0806,1.9338,16.1591,838.0,100510.0,2968.7578
139,16.2426,16.0014,2.0327,16.8417,511.0,73293.0,2968.7578
140,16.7528,16.0967,2.1181,16.0785,513.0,35101.0,2968.7578
141,16.119,15.9893,2.4448,17.3874,832.0,93386.0,2968.7578
142,17.3604,16.0817,2.335,16.4378,512.0,32497.0,2968.7578
143,16.4449,16.1194,2.1317,16.4706,510.0,32473.0,2968.7578
144,16.5114,16.0401,1.9774,16.8399,514.0,32477.0,2968.7578
145,16.8086,15.6107,2.0624,16.436,513.0,32465.0,2968.7578
146,16.3678,16.0589,2.4674,16.1366,497.0,31409.0,2968.7578
