capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,8.5684,7.0574,1.5652,8.1401,775.0,103793.0,2390.5625
121,8.1486,8.8945,1.7665,9.1993,450.0,35205.0,2390.5625
122,9.1707,7.2175,1.7452,7.7544,452.0,30913.0,2390.5625
123,7.8031,8.0047,1.8596,8.4018,451.0,33365.0,2390.5625
124,8.3727,7.1988,1.8056,8.2737,453.0,38927.0,2390.5625
125,8.3451,8.6105,2.1932,8.5926,738.0,76987.0,2390.5625
126,8.6125,7.1898,1.745,8.7676,457.0,28145.0,2390.5625
127,8.6831,8.3808,1.7338,7.9007,459.0,27893.0,2390.5625
128,7.9581,7.2406,1.7363,8.8539,452.0,28331.0,2390.5625
129,9.073,8.3264,1.9991,8.0516,730.0,69525.0,2390.5625
130,7.7919,7.7376,1.7098,7.9242,456.0,28155.0,2390.5625
131,7.9122,7.9482,1.5522,8.0789,443.0,28181.0,2390.5625
132,8.0763,7.0573,1.5708,8.671,455.0,33477.0,2390.5625
133,8.6613,8.4684,1.8445,8.2899,733.0,68891.0,2390.5625
134,8.3003,7.3982,1.73,8.1231,451.0,26949.0,2390.5625
135,8.1963,8.6783,1.7821,8.7963,455.0,26293.0,2390.5625
136,8.6817,7.3444,1.6883,8.3527,452.0,26497.0,2390.5625
137,8.3881,8.5586,1.9989,8.7105,735.0,69627.0,2390.5625
138,8.695,7.9247,1.7365,7.6978,457.0,32035.0,2390.5625
139,7.7006,8.5745,1.9258,8.8846,455.0,33583.0,2390.5625
140,9.0932,7.2498,2.1027,7.9548,453.0,32973.0,2390.5625
141,7.8002,8.4613,1.8486,9.024,457.0,43197.0,2390.5625
142,9.2332,7.4426,1.6461,7.7199,740.0,73425.0,2390.5625
143,7.4954,8.5446,1.6254,8.6544,456.0,28289.0,2390.5625
144,8.7243,7.1063,1.894,8.3962,456.0,30543.0,2390.5625
145,8.343,8.4851,1.8019,8.9281,455.0,28733.0,2390.5625
146,8.8979,7.3129,1.7232,7.9171,736.0,82453.0,2390.5625
147,7.8951,8.8425,2.2707,8.6276,452.0,31105.0,2390.5625
148,8.6878,7.2549,1.7058,8.3139,453.0,33557.0,2390.5625
