capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,15.3325,15.0468,2.2201,15.4685,295.0,65362.0,2986.1562
121,15.3838,14.4108,1.9936,15.8946,295.0,60722.0,2986.1562
122,15.9499,13.5757,2.0184,14.8783,279.0,61466.0,2986.1562
123,14.9441,14.0783,1.9982,14.0335,260.0,53142.0,2986.1562
124,13.9503,14.76,2.0425,14.7034,261.0,53154.0,2986.1562
125,14.7223,14.3212,2.0213,15.7926,259.0,53130.0,2986.1562
126,15.7797,14.7012,2.1511,15.5131,295.0,55242.0,2986.1562
127,15.5,14.7903,2.2439,14.2513,294.0,74382.0,2986.1562
128,14.2778,14.7463,2.6615,15.311,296.0,60042.0,2986.1562
129,15.2571,15.5342,2.2365,15.5078,298.0,55234.0,2986.1562
130,15.5204,14.5704,2.1398,14.7137,299.0,55246.0,2986.1562
131,14.7445,14.605,2.0972,15.3833,299.0,55246.0,2986.1562
132,15.4265,14.6839,2.0649,15.239,297.0,55244.0,2986.1562
133,15.1791,13.36,2.0391,15.2272,296.0,55232.0,2986.1562
134,15.2594,13.7385,2.0575,14.2241,298.0,55256.0,2986.1562
135,14.1935,14.7385,2.0669,15.0416,295.0,55706.0,2986.1562
136,15.0872,14.7787,2.0712,15.7398,295.0,56726.0,2986.1562
137,15.7029,14.5447,2.1231,13.8564,294.0,57938.0,2986.1562
138,13.8638,14.5936,2.15,15.2059,294.0,65446.0,2986.1562
139,15.2019,14.7072,2.026,15.2192,294.0,55230.0,2986.1562
140,15.2252,14.4659,1.9693,15.4607,294.0,57964.0,2986.1562
141,15.461,14.6314,1.9315,14.7428,295.0,57694.0,2986.1562
142,14.7426,14.7243,1.9299,14.9591,296.0,60406.0,2986.1562
143,14.9319,13.3128,1.8463,14.0704,295.0,69208.0,2986.1562
144,14.0839,14.6069,1.8998,15.3507,306.0,63436.0,2986.1562
145,15.3427,14.6338,1.8144,15.7129,303.0,59652.0,2986.1562
146,15.7274,14.6858,1.87,15.4562,298.0,55550.0,2986.1562
147,15.4936,14.8725,1.9078,14.1389,298.0,55234.0,2986.1562
148,14.0827,14.6851,2.0255,15.3423,299.0,55268.0,2986.1562
149,15.3573,14.3378,1.8927,15.4229,296.0,55500.0,2986.1562
150,15.4194,14.7174,1.9626,15.13,298.0,87800.0,2986.1562
151,15.137,14.7054,2.0436,15.2863,295.0,70938.0,2986.1562
152,15.2432,14.4663,1.9356,14.6268,293.0,56340.0,2986.1562
153,14.6445,13.3824,1.951,15.3293,295.0,57864.0,2986.1562
154,15.3727,14.0187,1.8618,13.4767,294.0,60014.0,2986.1562
155,13.4942,14.6254,1.7429,15.6574,296.0,72415.0,2986.1562
156,15.6402,14.5968,1.7254,15.1293,261.0,53768.0,2986.1562
157,15.1682,14.7216,1.8006,14.9768,262.0,53166.0,2986.1562
158,14.9679,14.6323,2.1182,15.1172,266.0,53502.0,2986.1562
159,15.0991,14.6225,2.049,15.1272,261.0,53250.0,2986.1562
160,15.0794,14.5769,2.1217,15.6391,260.0,53142.0,2986.1562
161,15.6453,14.47,1.8681,14.7573,299.0,55198.0,2986.1562
162,14.7722,14.2366,1.9492,14.2854,290.0,55178.0,2986.1562
163,14.2654,13.3861,1.8089,14.1992,266.0,53266.0,2986.1562
164,14.1724,13.8134,1.8761,15.3357,263.0,53156.0,2986.1562
165,15.3635,14.623,1.8835,16.0338,262.0,53144.0,2986.1562
166,16.0777,14.6531,1.911,15.2187,262.0,53144.0,2986.1562
167,15.1894,14.6059,1.8667,14.1509,284.0,66030.0,2986.1562
168,14.1534,14.6169,2.0643,15.1354,300.0,73632.0,2986.1562
169,15.1652,14.8006,1.8158,15.2684,307.0,86628.0,2986.1562
170,15.2476,14.5858,1.969,15.7651,295.0,55242.0,2986.1562
171,15.8428,14.54,1.8787,14.6443,294.0,55694.0,2986.1562
172,14.5631,14.609,1.9017,15.2414,298.0,59220.0,2986.1562
173,15.2815,13.3647,1.9659,15.0103,297.0,57701.0,2986.1562
174,14.9883,14.4171,1.9128,13.8368,296.0,62470.0,2986.1562
175,13.8358,14.4743,1.9068,15.4725,299.0,62484.0,2986.1562
176,15.4657,14.5554,1.8664,15.1712,300.0,58996.0,2986.1562
177,15.2714,14.6577,1.8122,14.475,304.0,57277.0,2986.1562
178,14.4052,14.6582,2.165,15.4521,307.0,65378.0,2986.1562
179,15.4234,14.8049,2.0372,15.2331,299.0,67302.0,2986.1562
180,15.2356,14.8563,1.9808,15.0547,298.0,57204.0,2986.1562
181,15.042,14.4454,1.8052,14.7905,276.0,61168.0,2986.1562
182,14.8,14.6049,1.8621,15.283,263.0,53156.0,2986.1562
183,15.3065,13.5114,1.9248,15.0676,261.0,53154.0,2986.1562
184,15.0342,14.0553,1.8357,14.3979,264.0,53382.0,2986.1562
185,14.4069,14.4912,1.7006,14.9801,297.0,55266.0,2986.1562
186,15.0049,14.7812,1.9112,15.698,296.0,76002.0,2986.1562
187,15.7104,14.7031,1.8342,14.7907,294.0,58422.0,2986.1562
188,14.8292,14.9434,2.1506,15.2211,294.0,55230.0,2986.1562
189,15.1723,14.5713,2.082,15.2818,296.0,55254.0,2986.1562
190,15.2842,14.5522,2.2327,14.9943,295.0,55242.0,2986.1562
191,14.9451,14.5592,1.7584,15.0299,297.0,55266.0,2986.1562
192,15.0428,14.586,1.7919,15.1801,295.0,55242.0,2986.1562
193,15.1758,13.2794,1.9314,15.6365,300.0,55258.0,2986.1562
194,15.6708,14.5502,2.01,13.9567,299.0,55710.0,2986.1562
195,14.0111,14.8444,2.1571,16.2976,299.0,58418.0,2986.1562
196,16.292,14.9515,2.2103,15.2029,297.0,56264.0,2986.1562
197,15.1365,14.4405,2.4082,13.5635,296.0,65448.0,2986.1562
198,13.7142,14.8087,2.1345,17.0777,298.0,55256.0,2986.1562
199,17.0381,14.7854,2.3655,13.9074,294.0,58122.0,2986.1562
200,13.7826,14.5718,2.1499,15.0832,294.0,60100.0,2986.1562
201,15.1033,14.5466,2.1399,14.8024,295.0,58282.0,2986.1562
202,14.8514,14.7677,1.9871,15.2779,296.0,69784.0,2986.1562
203,15.1893,13.5356,2.007,15.2991,306.0,63566.0,2986.1562
204,15.3792,13.3245,2.071,14.3879,295.0,58442.0,2986.1562
205,14.3749,14.6659,1.9271,15.1203,294.0,55546.0,2986.1562
206,15.0749,14.4377,1.8778,15.0775,294.0,55230.0,2986.1562
207,15.152,14.6789,1.9349,15.3167,295.0,55242.0,2986.1562
208,15.3021,14.8284,1.9443,14.7029,294.0,66010.0,2986.1562
209,14.7227,14.5103,2.1926,15.0282,299.0,77326.0,2986.1562
210,14.9794,14.5819,2.041,15.0095,300.0,71214.0,2986.1562
211,15.0149,14.7638,1.7929,15.5115,300.0,56202.0,2986.1562
212,15.5181,14.4716,1.7288,15.3433,298.0,59166.0,2986.1562
213,15.3621,14.7038,1.9626,16.3624,301.0,62829.0,2986.1562
214,16.3734,13.764,2.0431,13.6053,288.0,68548.0,2986.1562
215,13.6094,13.6607,2.0306,14.9053,260.0,53142.0,2986.1562
216,14.8194,14.4537,1.9955,14.2294,266.0,53406.0,2986.1562
217,14.276,14.5533,1.9633,15.1833,263.0,53370.0,2986.1562
218,15.2081,14.7584,1.8683,14.7167,259.0,53130.0,2986.1562
219,14.689,14.5634,2.1389,15.2406,292.0,55110.0,2986.1562
220,15.2222,14.6402,2.2559,15.4274,260.0,53142.0,2986.1562
221,15.4617,14.3505,2.1108,14.3267,292.0,55390.0,2986.1562
222,14.3742,14.3439,1.8442,15.3368,259.0,53130.0,2986.1562
223,15.2955,14.0372,1.864,14.4072,261.0,53154.0,2986.1562
224,14.403,13.2936,1.8385,14.8264,260.0,53142.0,2986.1562
225,14.9446,14.2325,1.9887,16.97,284.0,62458.0,2986.1562
226,16.9336,14.6096,2.3114,15.6435,275.0,59200.0,2986.1562
227,15.6693,14.2755,2.4129,14.6221,304.0,75234.0,2986.1562
228,14.6326,15.4985,2.6041,14.5897,307.0,82902.0,2986.1562
229,14.5321,14.7048,2.4143,15.5637,296.0,55232.0,2986.1562
230,15.6783,15.0826,3.1622,15.5136,297.0,55708.0,2986.1562
231,15.453,14.7293,2.7964,15.3232,301.0,59256.0,2986.1562
232,15.3941,14.6908,2.8807,14.7305,297.0,59853.0,2986.1562
233,14.598,14.6335,2.4086,15.2516,294.0,61982.0,2986.1562
234,15.262,13.6828,2.2374,15.4973,300.0,62655.0,2986.1562
235,15.4801,14.6801,2.4568,14.5089,296.0,57101.0,2986.1562
236,14.519,14.6816,2.3795,15.4948,298.0,59096.0,2986.1562
237,15.4736,14.9326,2.2624,14.6753,302.0,63731.0,2986.1562
238,14.6684,14.7529,2.0242,15.6285,293.0,67226.0,2986.1562
239,15.618,14.4899,2.2072,13.3643,291.0,56686.0,2986.1562
240,13.415,14.8751,2.4552,15.8479,275.0,61130.0,2986.1562
241,15.9434,14.8324,2.4974,15.2901,263.0,53134.0,2986.1562
242,15.2048,14.8997,2.655,15.2946,263.0,53134.0,2986.1562
243,15.258,14.4879,2.2587,15.3977,278.0,53986.0,2986.1562
244,15.6434,14.2833,1.9212,14.505,298.0,60044.0,2986.1562
245,14.2395,13.474,1.9783,16.0057,298.0,71216.0,2986.1562
246,16.0847,14.6386,2.4317,13.6029,298.0,58448.0,2986.1562
247,13.568,14.6583,2.135,15.3809,295.0,55242.0,2986.1562
248,15.3575,14.5193,2.0166,15.6865,297.0,55266.0,2986.1562
249,15.7808,14.7996,2.1173,15.1073,295.0,55242.0,2986.1562
250,14.9827,14.7833,2.0271,14.4585,295.0,55242.0,2986.1562
251,14.4388,14.4698,2.1982,14.9733,295.0,55242.0,2986.1562
252,15.0808,15.176,2.472,15.6861,298.0,55278.0,2986.1562
253,15.6255,14.6104,2.0105,15.0439,295.0,56448.0,2986.1562
254,15.0219,14.4866,1.8898,15.0794,294.0,57938.0,2986.1562
255,15.0905,14.5949,1.992,14.9425,295.0,61936.0,2986.1562
256,14.9663,13.3805,1.9914,14.2933,294.0,59494.0,2986.1562
257,14.2818,14.1752,2.0017,15.8391,298.0,57810.0,2986.1562
258,15.8662,14.6181,2.1104,16.5158,301.0,58696.0,2986.1562
259,16.546,14.879,2.1175,15.3116,298.0,57458.0,2986.1562
260,15.2871,14.9386,2.1104,13.8321,300.0,59348.0,2986.1562
261,13.8424,14.9438,2.3183,15.0855,300.0,71256.0,2986.1562
262,15.065,14.8394,2.3817,15.5983,306.0,61228.0,2986.1562
263,15.5588,14.5671,2.1804,16.2038,299.0,58026.0,2986.1562
264,16.2012,14.8832,1.9205,14.1678,295.0,55400.0,2986.1562
265,14.175,14.7305,1.9022,15.21,294.0,55230.0,2986.1562
266,15.2036,14.4614,1.9168,15.2668,295.0,55400.0,2986.1562
267,15.3005,13.3482,1.9233,14.7529,295.0,67460.0,2986.1562
268,14.7429,14.7584,2.1655,14.3606,295.0,75986.0,2986.1562
269,14.3832,14.8388,1.9402,15.8272,294.0,71186.0,2986.1562
270,15.8231,14.5099,2.2711,15.086,295.0,57264.0,2986.1562
271,15.0417,14.7866,1.8995,13.9002,297.0,59846.0,2986.1562
272,13.8749,14.7258,1.9303,16.5584,298.0,64339.0,2986.1562
273,16.6094,14.5332,2.2396,13.632,279.0,64406.0,2986.1562
274,13.648,14.7748,2.1197,16.2011,264.0,53146.0,2986.1562
275,16.2029,14.558,1.9532,15.1035,271.0,53566.0,2986.1562
276,15.0623,14.7224,1.8757,14.9227,265.0,53228.0,2986.1562
277,14.9706,13.5177,2.0694,15.07,262.0,53144.0,2986.1562
278,15.0647,14.4435,1.8588,14.6673,297.0,55196.0,2986.1562
279,14.6542,14.6106,1.8822,14.6079,267.0,53418.0,2986.1562
280,14.623,14.8325,1.9557,16.0591,284.0,55054.0,2986.1562
281,16.1008,14.7274,2.0625,14.6361,260.0,53142.0,2986.1562
282,14.6252,14.8101,2.2558,14.7476,260.0,53142.0,2986.1562
283,14.7737,14.7354,1.8469,15.598,259.0,53130.0,2986.1562
284,15.4898,14.7804,1.9007,15.4324,284.0,64266.0,2986.1562
285,15.4761,14.561,1.9367,15.4049,277.0,61962.0,2986.2812
286,15.4421,14.4749,1.9898,14.9378,300.0,74492.0,2986.2812
287,14.8975,14.3713,1.9755,15.1094,304.0,79552.0,2986.2812
288,15.0862,13.2886,1.9559,15.0154,296.0,55254.0,2986.2812
289,15.0693,14.2769,1.9,13.8497,303.0,57605.0,2986.2812
290,13.8244,14.41,2.1413,15.544,303.0,59236.0,2986.2812
291,15.5986,15.1783,2.2024,15.7326,299.0,59674.0,2986.2812
292,15.707,14.538,2.1957,14.2929,297.0,60308.0,2986.2812
293,14.2334,14.7105,2.0411,15.3982,304.0,62681.0,2986.2812
294,15.4678,14.7074,2.0371,15.3402,301.0,58986.0,2986.2812
295,15.3459,14.7215,2.1975,15.3766,298.0,59096.0,2986.2812
296,15.3643,14.6036,2.1634,14.766,301.0,64364.0,2986.2812
297,14.7473,13.4094,1.9268,15.3898,297.0,66006.0,2986.2812
298,15.39,13.2611,1.9679,14.4932,285.0,55506.0,2986.2812
299,14.5001,14.6758,2.0025,14.2241,269.0,60558.0,2986.2812
300,14.2275,14.636,1.8443,16.5643,261.0,53154.0,2986.2812
301,16.5404,14.3605,2.1369,13.9584,260.0,53142.0,2986.2812
302,14.0299,14.9595,2.3164,15.1536,290.0,58086.0,2986.2812
303,15.2379,14.9525,2.4591,15.2281,294.0,56826.0,2986.2812
304,15.0536,14.4958,2.056,14.9056,295.0,74394.0,2986.2812
305,14.9138,14.6984,2.0353,15.4538,299.0,55246.0,2986.2812
306,15.464,14.7154,1.9779,15.316,301.0,55270.0,2986.2812
307,15.3605,14.5143,1.9987,15.1047,299.0,55246.0,2986.2812
308,15.1098,13.6194,1.9117,15.3811,297.0,55244.0,2986.2812
309,15.3907,14.4489,2.0384,14.1602,296.0,55232.0,2986.2812
310,14.1209,14.6823,1.9756,14.8071,299.0,55268.0,2986.2812
311,14.8207,14.5686,1.9072,15.8685,294.0,55972.0,2986.2812
312,15.9066,14.5793,2.1338,14.1725,296.0,56182.0,2986.2812
313,14.2715,14.4808,2.1992,15.2674,295.0,63438.0,2986.2812
314,15.1179,14.5571,2.0147,14.8395,297.0,57696.0,2986.2812
315,14.8342,14.7881,1.9609,14.9803,295.0,60394.0,2986.2812
316,14.9851,14.4557,1.8931,15.4734,295.0,58134.0,2986.2812
317,15.5746,14.6885,1.8114,15.275,294.0,56762.0,2986.2812
318,15.2326,13.3289,1.8643,15.2039,295.0,57960.0,2986.2812
319,15.1851,14.5189,1.9862,14.0441,299.0,60804.0,2986.2812
320,14.0122,14.3285,2.1961,14.9125,299.0,71090.0,2986.2812
321,14.9206,14.6676,2.2902,15.6409,301.0,58384.0,2986.2812
322,15.657,14.6814,2.1426,14.7917,299.0,57982.0,2986.2812
323,14.8225,14.7396,2.1262,15.1596,299.0,55404.0,2986.2812
324,15.0683,14.7763,2.0867,14.9828,298.0,55414.0,2986.2812
325,15.0459,14.9198,2.2544,15.0527,298.0,60646.0,2986.2812
326,15.027,14.5823,1.9593,15.4212,297.0,69160.0,2986.2812
327,15.4864,14.5877,2.1698,15.2775,296.0,69170.0,2986.2812
328,15.3203,13.601,2.1068,15.1913,295.0,71922.0,2986.2812
329,15.0925,13.8886,2.0762,13.9817,295.0,59486.0,2986.2812
330,13.9666,13.5839,1.9562,15.3624,295.0,58970.0,2986.2812
331,15.3857,15.1359,1.9609,14.9926,297.0,71303.0,2986.2812
332,14.9892,14.5049,1.9193,15.9345,261.0,54232.0,2986.2812
333,15.9067,14.7595,2.0821,14.1174,262.0,53214.0,2986.2812
334,14.1487,14.9335,2.3193,15.9526,267.0,53562.0,2986.2812
