capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,7.9675,6.6801,1.5506,7.9739,284.0,41467.0,2419.3125
121,8.1592,7.9049,2.0453,7.737,282.0,41443.0,2419.3125
122,7.5672,6.6286,1.7469,6.9835,283.0,41455.0,2419.3125
123,7.0505,8.0829,1.8476,8.619,282.0,41443.0,2419.3125
124,8.558,6.7785,1.5665,7.0329,281.0,41431.0,2419.3125
125,7.139,8.0164,1.7565,8.6751,287.0,41459.0,2419.3125
126,8.6226,6.7022,1.7264,7.6787,286.0,42475.0,2419.3125
127,7.5962,7.2661,1.525,8.3842,291.0,55521.0,2419.3125
128,8.4292,7.4298,1.7786,7.1749,297.0,87863.0,2419.3125
129,7.1574,6.7273,1.5271,8.3741,274.0,65393.0,2419.3125
130,8.3875,7.8323,1.7101,7.1589,286.0,48141.0,2419.3125
131,7.1686,6.6502,1.6059,7.6739,277.0,54343.0,2419.3125
132,7.6694,7.3931,1.6533,7.754,274.0,61891.0,2419.3125
133,7.7052,6.6768,1.4861,8.2588,258.0,55651.0,2419.3125
134,8.34,7.9885,1.6342,7.4949,245.0,39271.0,2419.3125
135,7.4476,6.6628,1.4395,7.8236,254.0,44995.0,2419.3125
136,7.8764,7.8489,1.7088,7.9898,247.0,39295.0,2419.3125
137,7.9546,6.5896,1.541,7.302,281.0,43134.0,2419.3125
138,7.3477,7.8238,1.701,7.7065,254.0,39763.0,2419.3125
139,7.6359,6.595,1.4659,7.0067,245.0,39271.0,2419.3125
140,7.0482,7.578,1.3521,8.2306,247.0,39295.0,2419.3125
141,8.2157,6.3926,1.6008,7.0928,294.0,48680.0,2419.3125
142,7.0864,6.446,1.5966,8.2808,282.0,42803.0,2419.3125
143,8.3164,7.9096,1.7004,6.7602,249.0,39275.0,2419.3125
144,6.7173,6.394,1.6071,7.7247,289.0,52662.0,2419.3125
145,7.7444,7.8323,1.6184,7.2097,284.0,47413.0,2419.3125
146,7.1935,6.4379,1.4588,7.5263,287.0,47976.0,2419.3125
147,7.5644,7.8822,1.8054,8.3971,283.0,51659.0,2419.3125
148,8.3548,6.4242,1.5512,7.4917,286.0,43677.0,2419.3125
149,7.5271,7.7813,1.6686,7.6454,285.0,41795.0,2419.3125
150,7.6102,6.4083,1.4426,6.6862,282.0,41917.0,2419.3125
151,6.7288,7.2173,1.3917,8.2734,282.0,42195.0,2419.3125
152,8.2399,6.819,1.9155,6.4954,289.0,50312.0,2419.3125
153,6.464,6.4552,1.5234,7.8266,283.0,45436.0,2419.3125
154,7.8811,7.6195,1.4871,7.6832,283.0,43005.0,2419.3125
155,7.629,6.4347,1.2471,7.4285,283.0,42383.0,2419.3125
156,7.4795,7.9056,1.4432,7.8329,282.0,41443.0,2419.3125
157,7.8088,6.4638,1.4732,7.61,288.0,42005.0,2419.3125
158,7.6543,7.6605,1.65,8.0479,287.0,56915.0,2419.3125
159,8.005,6.4426,1.5733,6.6134,285.0,49163.0,2419.3125
160,6.6836,7.3357,1.5738,8.3774,283.0,44009.0,2419.3125
161,8.3229,6.4059,1.5407,6.5177,265.0,40257.0,2419.3125
162,6.4798,6.6394,1.2485,8.5226,249.0,39345.0,2419.3125
163,8.5845,6.8792,1.6813,6.5547,248.0,39307.0,2419.3125
164,6.5378,6.371,1.4234,7.1922,246.0,39283.0,2419.3125
165,7.1936,7.6438,1.8033,7.8355,247.0,39295.0,2419.3125
166,7.789,6.4045,1.5962,7.5643,245.0,39271.0,2419.3125
167,7.6173,7.7495,1.5822,7.7543,246.0,39283.0,2419.3125
168,7.7027,6.4251,1.4278,7.0871,246.0,39283.0,2419.3125
169,7.2202,7.8155,1.6272,8.0703,245.0,39271.0,2419.3125
170,7.9971,6.3867,1.634,6.6818,247.0,39295.0,2419.3125
171,6.7335,6.7802,1.5364,8.1669,245.0,39271.0,2419.3125
172,8.0976,6.3593,1.6571,6.8911,245.0,39271.0,2419.3125
173,6.8352,6.4075,1.3455,7.6007,250.0,39287.0,2419.3125
174,7.712,7.264,1.624,7.4498,250.0,39287.0,2419.3125
175,7.3571,6.3743,1.3759,7.0299,249.0,39275.0,2419.3125
176,7.1609,7.7763,1.6126,7.8097,247.0,39273.0,2419.3125
177,7.6838,6.3822,1.4408,7.7468,247.0,39273.0,2419.3125
178,7.818,7.8212,1.5141,7.5071,247.0,39273.0,2419.3125
179,7.4107,6.3776,1.5269,6.8973,278.0,43059.0,2419.3125
180,6.9362,7.7727,2.0745,8.5946,261.0,40231.0,2419.3125
181,8.63,6.4508,1.784,7.1345,282.0,46467.0,2419.3125
182,7.1151,6.4032,1.4215,8.3874,285.0,48726.0,2419.3125
183,8.4171,6.6763,1.5308,7.1214,284.0,51243.0,2419.3125
184,7.0849,6.3873,1.3958,7.287,283.0,49519.0,2419.3125
185,7.3212,7.6729,1.595,7.719,284.0,41467.0,2419.3125
186,7.6721,6.3966,1.499,7.1441,281.0,41431.0,2419.3125
187,7.1731,7.8314,1.6208,7.8761,282.0,41443.0,2419.3125
188,7.8553,6.3784,1.4939,7.3117,284.0,41467.0,2419.3125
189,7.3271,7.6081,1.6209,7.6183,285.0,41573.0,2419.3125
190,7.7255,6.4399,1.6721,6.8874,285.0,41435.0,2419.3125
191,6.8024,7.1761,1.5036,8.146,285.0,41435.0,2419.3125
192,8.1397,6.8856,1.8801,6.8365,284.0,41445.0,2419.3125
193,6.7917,6.4065,1.3064,7.3444,286.0,41469.0,2419.3125
194,7.4093,7.1577,1.4521,7.4326,283.0,41433.0,2419.3125
195,7.3973,6.3924,1.3993,7.8559,283.0,41455.0,2419.3125
196,7.8939,7.5359,1.647,7.5478,283.0,42483.0,2419.3125
197,7.5154,6.4867,1.5481,7.5087,284.0,55481.0,2419.3125
198,7.5601,7.681,1.6615,7.5708,295.0,87861.0,2419.3125
199,7.5302,6.4605,1.6094,6.9136,270.0,65367.0,2419.3125
200,6.8892,7.8575,1.5876,8.3703,285.0,48151.0,2419.3125
201,8.4065,6.449,1.7853,6.9658,277.0,54343.0,2419.3125
202,6.9085,6.427,1.3564,8.0353,278.0,77827.0,2419.3125
203,8.1174,7.6409,1.6073,6.9699,255.0,39727.0,2419.3125
204,6.8775,6.4879,1.3319,7.3574,246.0,39283.0,2419.3125
205,7.4079,7.8736,1.7607,8.0455,257.0,44987.0,2419.3125
206,8.0728,6.4028,1.5421,7.5974,249.0,39275.0,2419.3125
207,7.5776,7.8609,1.5848,8.1507,287.0,43306.0,2419.3125
208,8.1247,6.3783,1.6189,6.4559,253.0,39633.0,2419.3125
209,6.5459,7.7505,1.8986,7.9792,249.0,39297.0,2419.3125
210,7.898,6.4257,1.662,7.0246,289.0,48642.0,2419.3125
211,7.0232,6.4442,1.5134,8.2654,279.0,42811.0,2419.3125
212,8.2918,6.8221,1.8024,6.6208,247.0,39295.0,2419.3125
213,6.6074,6.4295,1.3493,7.7864,287.0,52660.0,2419.3125
214,7.8256,7.6599,1.5965,7.0968,281.0,47399.0,2419.3125
215,7.1086,6.4666,1.5195,7.9066,284.0,47962.0,2419.3125
216,7.9141,7.7435,1.8334,7.6121,284.0,51671.0,2419.3125
217,7.5504,6.3901,1.4021,7.5471,286.0,43677.0,2419.3125
218,7.6328,7.5767,1.4931,7.5053,283.0,41771.0,2419.3125
219,7.3981,6.467,1.4995,7.0697,282.0,41917.0,2419.3125
220,7.2382,7.6617,1.998,8.2166,284.0,42219.0,2419.3125
221,8.1173,6.48,1.8652,6.9697,292.0,50304.0,2419.3125
222,6.9673,6.4543,1.607,7.9489,288.0,45452.0,2419.3125
223,7.9491,7.6758,1.7198,6.9497,286.0,42997.0,2419.3125
224,6.9146,6.4534,1.5293,7.1765,287.0,42409.0,2419.3125
225,7.1793,7.5722,1.5872,8.5772,284.0,41445.0,2419.3125
226,8.5587,6.3862,1.4058,6.9672,283.0,41967.0,2419.3125
227,7.0132,7.6685,1.6858,7.823,282.0,56899.0,2419.3125
228,7.8548,6.3095,1.6087,6.6661,281.0,49159.0,2419.3125
229,6.7066,7.3894,1.7578,7.6027,281.0,44007.0,2419.3125
230,7.5818,6.4009,1.6651,6.604,264.0,40267.0,2419.3125
231,6.4989,6.6594,1.4935,8.1258,246.0,39331.0,2419.3125
232,8.2174,7.3186,1.6564,6.9324,248.0,39307.0,2419.3125
233,6.8615,6.3577,1.5115,7.542,245.0,39271.0,2419.3125
234,7.5646,7.6704,1.735,7.5996,247.0,39295.0,2419.3125
235,7.6384,6.4455,1.4761,7.5565,249.0,39319.0,2419.3125
236,7.555,7.3185,1.6181,8.0414,247.0,39295.0,2419.3125
237,8.0216,6.3824,1.8692,6.0085,249.0,39275.0,2419.3125
238,6.0289,7.8999,1.8676,8.5427,250.0,39287.0,2419.3125
239,8.5377,6.4641,1.8202,6.7253,250.0,39287.0,2419.3125
240,6.7025,6.4197,1.5201,8.1018,248.0,39285.0,2419.3125
241,8.1675,7.5852,1.756,6.9089,247.0,39273.0,2419.3125
242,6.7811,6.3956,1.3738,8.1344,248.0,39285.0,2419.3125
243,8.2116,7.7685,1.7067,7.0972,248.0,39307.0,2419.3125
244,7.0409,6.4116,1.5745,7.2571,247.0,39295.0,2419.3125
245,7.3541,7.837,1.6242,8.0612,246.0,39283.0,2419.3125
246,8.1428,6.3719,1.5581,6.8971,246.0,39283.0,2419.3125
247,6.8201,7.597,1.7647,7.9585,246.0,39283.0,2419.3125
248,7.9045,6.3309,1.6982,6.8703,281.0,43143.0,2419.3125
249,6.8985,6.4004,1.3098,7.7487,261.0,40183.0,2419.3125
250,7.715,7.6096,1.9197,7.4836,283.0,46479.0,2419.3125
251,7.4564,6.4195,1.4953,7.417,287.0,48750.0,2419.3125
252,7.4911,7.9039,1.7424,7.8949,281.0,51207.0,2419.3125
253,7.837,6.4113,1.5234,7.1857,286.0,49511.0,2419.3125
254,7.2475,7.7667,1.8533,8.0254,286.0,41447.0,2419.3125
255,7.9566,6.4438,1.4646,7.0112,285.0,41435.0,2419.3125
256,7.0585,7.9062,1.5362,8.132,284.0,41445.0,2419.3125
257,8.1632,6.4081,1.6529,6.9361,285.0,41457.0,2419.3125
258,6.8919,7.6244,1.7144,7.9513,284.0,41583.0,2419.3125
259,7.9544,6.4654,1.8157,7.2308,283.0,41455.0,2419.3125
260,7.2018,6.4387,1.4286,7.9109,283.0,41455.0,2419.3125
261,7.9561,7.7738,1.7237,7.4276,284.0,41467.0,2419.3125
262,7.3907,6.4347,1.5139,7.2831,282.0,41443.0,2419.3125
263,7.3007,7.9704,1.8011,8.0459,282.0,41443.0,2419.3125
264,8.0317,6.4531,1.5791,7.7583,282.0,41443.0,2419.3125
265,7.8312,7.7809,1.799,7.6695,284.0,42495.0,2419.3125
266,7.6073,6.4154,1.6981,7.527,284.0,55481.0,2419.3125
267,7.5813,7.7623,1.7448,7.97,294.0,87849.0,2419.3125
268,7.9275,6.4159,1.6917,6.1236,272.0,65391.0,2419.3125
269,6.1138,7.4222,1.9809,9.1107,290.0,48167.0,2419.3125
270,9.1253,6.4951,2.0264,7.1085,282.0,54359.0,2419.3125
271,7.0827,6.5578,1.8091,8.2837,284.0,77999.0,2419.3125
272,8.3649,7.2518,2.1623,6.9551,253.0,39537.0,2419.3125
273,6.9037,6.5705,1.815,7.7301,248.0,39285.0,2419.3125
274,7.7664,7.2605,1.794,7.2054,257.0,45009.0,2419.3125
275,7.1119,6.4338,1.6737,7.6166,245.0,39271.0,2419.3125
276,7.7512,7.9567,2.1474,7.8873,284.0,43314.0,2419.3125
277,7.7972,6.3863,1.8122,6.7997,252.0,39643.0,2419.3125
278,6.9112,8.0638,2.0632,8.1156,248.0,39307.0,2419.3125
279,8.0183,6.4075,1.6845,7.1447,288.0,48652.0,2419.3125
280,7.2638,7.1661,1.6598,8.0614,278.0,42799.0,2419.3125
281,7.9991,6.4596,1.9083,6.6825,245.0,39271.0,2419.3125
282,6.6567,6.6686,1.5824,8.8854,290.0,52696.0,2419.3125
283,8.942,7.6088,1.6857,6.8295,281.0,47399.0,2419.3125
284,6.6986,6.4468,1.5697,7.4449,285.0,47974.0,2419.3125
285,7.4928,7.7212,1.6584,7.8173,289.0,51783.0,2419.3125
286,7.7982,6.4748,1.6103,7.6254,291.0,43693.0,2419.3125
287,7.7081,7.8788,1.8556,7.56,286.0,41763.0,2419.3125
288,7.4507,6.4566,1.5799,7.9552,284.0,42197.0,2419.3125
289,8.0825,8.0635,1.8466,7.7002,285.0,43778.0,2419.3125
290,7.5996,6.4001,1.5011,6.8664,287.0,48419.0,2419.3125
291,6.9117,6.5028,1.8559,8.1747,284.0,45448.0,2419.3125
292,8.1328,6.4191,1.8347,6.7792,281.0,42981.0,2419.3125
293,6.7824,6.4734,1.6594,8.5713,281.0,42359.0,2419.3125
294,8.6221,7.6618,1.9466,7.1912,281.0,41431.0,2419.3125
295,7.2066,6.4394,1.5619,7.1522,282.0,44553.0,2419.3125
296,7.1,7.7025,1.6691,8.2726,283.0,54335.0,2419.3125
297,8.2778,6.5003,1.8098,7.5475,283.0,49183.0,2419.3125
298,7.5941,7.5923,1.867,7.1619,282.0,44019.0,2419.3125
299,7.1129,6.4315,1.7072,7.8482,261.0,40135.0,2419.3125
300,7.9332,7.8406,1.7811,7.0111,247.0,39343.0,2419.3125
301,6.9165,6.3976,1.7201,6.7543,250.0,39287.0,2419.3125
302,6.7452,7.1907,1.4987,8.768,250.0,39287.0,2419.3125
303,8.8589,6.8779,1.7884,6.3476,250.0,39287.0,2419.3125
304,6.2614,6.4426,1.6874,7.0571,248.0,39285.0,2419.3125
305,7.1681,7.796,1.7467,8.2859,249.0,39297.0,2419.3125
306,8.1924,6.3894,1.9004,7.9045,248.0,39285.0,2419.3125
307,7.8944,7.8088,1.8978,7.6391,246.0,39283.0,2419.3125
308,7.6594,6.4026,1.9351,7.3903,246.0,39283.0,2419.3125
309,7.4655,7.7624,1.9855,7.7971,245.0,39271.0,2419.3125
310,7.7312,6.43,1.7188,6.7694,246.0,39283.0,2419.3125
311,6.7898,7.4269,1.9004,8.9697,246.0,39283.0,2419.3125
312,8.9356,6.4208,1.8329,7.61,248.0,39307.0,2419.3125
313,7.6141,6.618,1.6627,6.9945,247.0,39295.0,2419.3125
314,7.071,7.1957,1.942,6.8177,245.0,39271.0,2419.3125
315,6.7626,6.4066,1.6744,7.7329,247.0,39295.0,2419.3125
316,7.7495,7.7691,2.1244,7.4266,245.0,39271.0,2419.3125
317,7.5661,6.4424,1.7093,8.4284,283.0,43123.0,2419.3125
318,8.5137,7.7041,1.9722,7.2483,266.0,40199.0,2419.3125
319,7.0024,6.5137,1.9766,8.4475,285.0,46459.0,2419.3125
320,8.5113,8.1364,2.1246,7.3601,287.0,48728.0,2419.3125
321,7.2702,6.462,1.8591,7.7383,283.0,51209.0,2419.3125
322,7.7793,7.6578,2.0643,7.4252,285.0,49521.0,2419.3125
323,7.4372,6.4581,1.8366,7.0641,282.0,41443.0,2419.3125
324,7.0361,6.7394,1.9775,8.7121,283.0,41455.0,2419.3125
325,8.726,7.7444,2.2032,6.6058,282.0,41443.0,2419.3125
326,6.6308,6.4602,1.901,6.8572,281.0,41431.0,2419.3125
327,6.8446,7.638,1.9132,8.507,281.0,41569.0,2419.3125
328,8.4624,6.4163,1.6829,7.1104,282.0,41443.0,2419.3125
329,7.1839,7.7432,2.1179,7.8402,282.0,41443.0,2419.3125
330,7.7386,6.4081,1.6952,7.6129,281.0,41431.0,2419.3125
331,7.7234,8.1257,1.9759,8.3671,283.0,41455.0,2419.3125
332,8.303,6.4911,1.8038,7.3665,281.0,41431.0,2419.3125
333,7.3687,7.6686,2.0369,7.1198,285.0,41435.0,2419.3125
334,7.1959,6.485,1.5834,7.1149,287.0,42487.0,2419.3125
335,7.0082,6.547,1.7777,8.5217,287.0,55473.0,2419.3125
336,8.5705,6.5201,1.8853,6.6733,297.0,87863.0,2419.3125
337,6.6441,6.4464,1.5045,8.233,273.0,65381.0,2419.3125
338,8.2845,7.9884,1.8377,7.0912,286.0,48141.0,2419.3125
339,7.0816,6.4024,1.6998,7.6117,277.0,54343.0,2419.3125
340,7.6103,7.8291,1.8316,7.8559,283.0,78079.0,2419.3125
341,7.8249,6.4636,1.8194,7.6042,248.0,39451.0,2419.3125
342,7.648,7.6772,1.9651,7.1397,247.0,39295.0,2419.3125
343,7.0967,6.4015,1.547,6.7871,253.0,44983.0,2419.3125
344,6.8642,7.5669,1.8008,8.2975,247.0,39295.0,2419.3125
345,8.2213,6.375,1.6712,6.7963,284.0,43314.0,2419.3125
346,6.7818,6.384,1.6298,7.9437,251.0,39631.0,2419.3125
347,8.0087,7.4939,1.7472,6.6041,246.0,39283.0,2419.3125
348,6.5161,6.3576,1.4252,7.4658,289.0,48664.0,2419.3125
349,7.5435,7.7214,1.714,8.0131,282.0,42803.0,2419.3125
350,7.9623,6.4827,1.5162,7.4285,249.0,39275.0,2419.3125
351,7.4353,7.4333,1.7012,7.4835,293.0,52688.0,2419.3125
352,7.5412,6.4636,1.3698,7.3401,284.0,47413.0,2419.3125
353,7.367,7.582,1.7413,8.1431,285.0,47952.0,2419.3125
354,8.0898,6.4262,1.7503,6.6142,287.0,51781.0,2419.3125
355,6.5768,6.6012,1.538,8.2509,285.0,43665.0,2419.3125
