capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,15.8293,16.012,1.8913,17.0141,588.0,33337.0,2961.1328
121,17.029,15.6686,1.9713,16.2267,589.0,33349.0,2961.1328
122,16.2299,15.6623,2.0641,15.9153,587.0,33133.0,2961.1328
123,15.9242,15.7317,2.0159,16.7397,847.0,128126.0,2961.1328
124,16.728,15.6888,2.0272,14.9017,605.0,73403.0,2961.1328
125,14.9105,15.8058,2.2482,17.4,589.0,31791.0,2961.1328
126,17.3815,15.8122,2.0584,16.4556,906.0,79746.0,2961.1328
127,16.5052,15.7611,1.9472,14.8815,586.0,32577.0,2961.1328
128,14.8347,15.7306,2.7351,16.9149,590.0,34461.0,2961.1328
129,16.9085,15.798,2.6447,15.8745,591.0,30745.0,2961.1328
130,15.8521,15.8284,1.6909,17.0388,618.0,44621.0,2961.1328
131,17.1833,15.8216,2.3559,16.1657,590.0,75945.0,2961.1328
132,16.1089,15.789,2.3285,16.3088,592.0,35011.0,2961.1328
133,16.2901,15.6082,2.3635,17.0452,591.0,31383.0,2961.1328
134,17.0722,16.0151,2.7134,16.0356,889.0,79120.0,2961.1328
135,16.0171,15.7753,2.2966,16.3173,587.0,33325.0,2961.1328
136,16.3148,15.3077,2.5843,15.7919,587.0,33205.0,2961.1328
137,15.8272,15.9749,2.291,16.6738,861.0,76774.0,2961.1328
138,16.6213,15.849,2.1619,15.9876,586.0,42269.0,2961.1328
139,16.0232,15.6719,2.1264,16.4593,587.0,33789.0,2961.1328
140,16.5409,15.8682,1.9343,16.8111,589.0,34989.0,2961.1328
141,16.707,16.0541,2.1774,16.3557,585.0,34229.0,2961.1328
142,16.4199,15.5831,2.2385,16.1519,586.0,33901.0,2961.1328
143,16.0708,15.8913,2.0892,15.3958,571.0,37333.0,2961.1328
144,15.5025,15.2896,2.035,16.6167,587.0,36509.0,2961.1328
145,16.4791,15.6248,1.8986,16.8532,852.0,74854.0,2961.1328
146,16.9395,15.651,1.9953,16.3279,593.0,33817.0,2961.1328
147,16.3159,14.9965,2.1245,15.5988,591.0,33177.0,2961.1328
148,15.564,15.4509,2.0498,16.1569,849.0,78424.0,2961.1328
149,16.1586,15.9598,2.0978,16.0527,555.0,31239.0,2961.1328
150,16.1126,15.516,1.9161,16.1605,555.0,31239.0,2961.1328
151,16.1302,15.9643,1.9042,17.2199,554.0,31249.0,2961.1328
152,17.1955,15.4799,1.9474,15.8886,551.0,31213.0,2961.1328
153,15.974,15.3663,2.2015,16.3214,556.0,31273.0,2961.1328
154,16.2716,15.4002,2.508,16.1914,584.0,47257.0,2961.1328
155,16.1521,15.8608,2.3558,18.3071,589.0,45085.0,2961.1328
156,18.3552,15.5975,2.314,15.52,850.0,74166.0,2961.1328
157,15.5439,16.0364,2.9804,16.1352,588.0,36121.0,2961.1328
158,16.0781,15.7879,2.5091,16.5294,588.0,33609.0,2961.1328
159,16.569,15.9798,2.4888,16.6013,893.0,82722.0,2961.1328
160,16.6332,15.7245,2.3487,16.7629,587.0,33325.0,2961.1328
161,16.7778,15.7452,3.3088,17.8348,559.0,31361.0,2961.1328
162,17.8847,15.8828,2.7647,13.1743,557.0,30241.0,2961.1328
163,13.0952,15.4897,2.1345,15.3369,583.0,36401.0,2961.1328
164,15.3198,15.7891,2.0357,16.72,554.0,31227.0,2961.1328
165,16.7453,15.3961,2.3563,16.0799,588.0,35523.0,2961.1328
166,16.0949,15.7316,2.4055,15.757,589.0,34239.0,2961.1328
167,15.7581,15.8327,2.4112,16.9821,844.0,73094.0,2961.1328
168,17.1506,16.1059,2.4738,15.4017,565.0,39073.0,2961.1328
169,15.2124,15.6938,2.4096,16.6808,555.0,31069.0,2961.1328
170,16.7756,15.6815,2.5705,17.4633,816.0,70778.0,2961.1328
171,17.4551,16.0842,3.1911,15.531,551.0,30213.0,2961.1328
172,15.4106,15.706,2.6278,17.1623,577.0,36373.0,2961.1328
173,17.2611,15.9391,3.6009,15.7123,499.0,49570.0,2961.1328
174,15.6048,18.0216,2.471,18.699,330.0,24628.0,2961.1328
175,18.7597,16.9264,2.493,17.1071,362.0,29968.0,2961.1328
176,17.1511,16.3111,2.1351,16.8263,356.0,28416.0,2961.1328
177,16.7524,16.7727,2.1009,16.7944,337.0,23752.0,2961.1328
178,16.8017,16.2432,2.0259,16.8529,330.0,23572.0,2961.1328
179,16.7723,16.2326,1.8911,17.12,332.0,23596.0,2961.1328
180,17.1266,16.2895,1.8952,18.1657,332.0,23618.0,2961.1328
181,18.2001,16.345,2.1007,15.2835,333.0,23630.0,2961.1328
182,15.2645,16.398,1.9916,17.0929,369.0,26846.0,2961.1328
183,17.3115,16.229,2.3216,16.6905,366.0,26096.0,2961.1328
184,16.4796,16.3918,2.0109,17.3584,365.0,31972.0,2961.1328
185,17.3533,16.0183,2.1945,16.1921,364.0,26440.0,2961.1328
186,16.1954,16.5138,1.8842,16.9862,332.0,23736.0,2961.1328
187,17.0014,16.347,2.1326,16.8888,333.0,23652.0,2961.1328
188,16.9024,16.762,1.9022,17.375,329.0,23604.0,2961.1328
189,17.3237,16.1253,1.7491,16.6384,330.0,23616.0,2961.1328
190,16.6523,16.1266,1.8851,16.4086,366.0,32656.0,2961.1328
191,16.3999,16.3668,1.93,16.777,368.0,25752.0,2961.1328
192,16.8369,16.3598,1.9699,16.552,366.0,28048.0,2961.1328
193,16.5407,16.0129,1.8402,17.0972,368.0,27100.0,2961.1328
194,17.0549,16.3718,1.7961,16.7386,371.0,25744.0,2961.1328
195,16.9052,16.3606,1.8608,17.2479,370.0,25712.0,2961.1328
196,17.1019,16.2448,1.6965,16.8297,365.0,27066.0,2961.1328
197,16.8292,16.4998,1.89,16.7891,370.0,26198.0,2961.1328
198,16.7988,16.2088,1.9111,16.6057,365.0,27530.0,2961.1328
199,16.6184,15.8328,1.9829,16.4672,363.0,27992.0,2961.1328
200,16.4563,16.6382,1.966,16.2911,366.0,36944.0,2961.1328
201,16.2888,16.3138,1.9451,18.0114,364.0,31022.0,2961.1328
202,18.0365,16.2202,2.1094,16.4266,365.0,27230.0,2961.1328
203,16.3988,16.5126,1.8978,16.8796,362.0,26088.0,2961.1328
204,16.9091,16.1821,1.9086,17.1301,387.0,50766.0,2961.1328
205,17.1086,16.1249,1.8967,16.7737,369.0,31888.0,2961.1328
206,16.7781,16.2796,1.8471,16.957,364.0,44716.0,2961.1328
207,16.9369,16.3511,1.8409,16.417,363.0,35044.0,2961.1328
208,16.4606,16.4159,1.9427,17.7234,364.0,30098.0,2961.1328
209,17.707,16.21,1.9829,17.0108,368.0,27544.0,2961.1328
210,16.9797,16.4052,1.7981,16.6844,369.0,27100.0,2961.1328
211,16.7082,15.9548,1.8828,16.9079,367.0,34766.0,2961.1328
212,16.9338,16.7359,2.1567,16.8316,366.0,26178.0,2961.1328
213,16.8241,16.1181,1.8878,17.0247,369.0,28529.0,2961.1328
214,17.0209,16.8747,1.9707,17.0834,365.0,38674.0,2961.1328
215,17.1113,15.8469,2.063,16.3896,362.0,38660.0,2961.1328
216,16.3608,15.9074,1.9036,16.8616,363.0,26508.0,2961.1328
217,16.9003,16.2064,2.0916,17.5023,371.0,35132.0,2961.1328
218,17.4746,15.7832,1.9908,15.9906,363.0,27652.0,2961.1328
219,15.9811,16.417,2.0225,17.5337,362.0,26592.0,2961.1328
220,17.5117,16.3977,1.8693,17.2875,364.0,25684.0,2961.1328
221,17.2923,16.2376,2.0009,16.0894,363.0,29672.0,2961.1328
222,16.1151,16.1118,2.3267,16.614,363.0,33716.0,2961.1328
223,16.6716,15.9361,2.1648,17.0501,366.0,26812.0,2961.1328
224,17.0206,16.3648,2.1503,17.4052,365.0,26940.0,2961.1328
225,17.3714,16.3569,2.1592,16.8079,365.0,25652.0,2961.1328
226,16.8129,16.357,2.0756,17.4203,369.0,26020.0,2961.1328
227,17.4608,16.0572,2.2083,15.759,370.0,26576.0,2961.1328
228,15.7208,16.3861,2.1096,17.1308,364.0,25662.0,2961.1328
229,17.1391,16.4028,2.1136,17.4044,369.0,25722.0,2961.1328
230,17.4194,16.197,2.2778,16.1785,366.0,41382.0,2961.1328
231,16.1778,16.3285,2.1895,16.2457,370.0,81156.0,2961.1328
232,16.2604,16.4278,2.0794,17.7464,377.0,51774.0,2961.1328
233,17.7187,16.315,2.0117,15.9654,365.0,24702.0,2961.1328
234,15.952,16.3212,1.8937,16.6165,363.0,25416.0,2961.1328
235,16.6639,16.1691,1.9829,16.8773,361.0,26748.0,2961.1328
236,16.83,16.1722,1.8727,16.9896,363.0,31600.0,2961.1328
237,17.0147,16.4152,1.8007,16.5985,363.0,57128.0,2961.1328
238,16.5841,16.2894,1.7371,16.9147,363.0,38076.0,2961.1328
239,16.8269,16.482,1.6037,17.0605,360.0,24516.0,2961.1328
240,17.1995,16.1964,1.8811,16.4664,365.0,25200.0,2961.1328
241,16.4009,16.0052,2.0559,16.7686,366.0,25424.0,2961.1328
242,16.8649,16.4844,1.7258,17.0174,371.0,27428.0,2961.1328
243,16.9235,16.4393,1.8301,17.5997,367.0,26876.0,2961.1328
244,17.5991,16.1197,1.8044,16.1232,370.0,26934.0,2961.1328
245,16.1234,16.2053,1.7586,16.2724,365.0,27314.0,2961.1328
246,16.5004,16.4077,2.0013,16.9264,365.0,26602.0,2961.1328
247,16.6988,15.8873,2.3009,16.3743,363.0,26260.0,2961.1328
248,16.5002,16.3222,1.8993,16.6888,353.0,29992.0,2961.1328
249,16.6229,16.4485,2.0642,17.8692,355.0,28568.0,2961.1328
250,17.8258,16.0785,2.0104,16.5274,367.0,28832.0,2961.1328
251,16.5265,16.185,1.9848,16.4216,364.0,26148.0,2961.1328
