capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,8.5209,7.4149,1.8202,8.4613,446.0,27913.0,2395.0625
121,8.5101,8.369,1.6888,8.9223,445.0,27901.0,2395.0625
122,8.8506,7.2973,1.7791,7.3914,728.0,61255.0,2395.0625
123,7.4157,8.1573,1.8463,8.5274,455.0,28169.0,2395.0625
124,8.4769,7.4114,1.7095,7.7189,454.0,27965.0,2395.0625
125,7.7599,8.0069,1.4511,9.4283,453.0,29809.0,2395.0625
126,9.3739,7.7337,1.5128,8.0044,728.0,63297.0,2395.0625
127,8.1448,9.055,1.5917,9.0159,451.0,37203.0,2395.0625
128,8.919,7.2055,1.7118,7.7178,450.0,30639.0,2395.0625
129,7.7293,8.5369,1.8695,9.0316,447.0,41569.0,2395.0625
130,9.0225,7.0579,1.8856,9.4446,727.0,64449.0,2395.0625
131,9.5845,8.2069,2.079,7.9017,450.0,39839.0,2395.0625
132,7.7819,7.557,2.2631,9.0649,445.0,37513.0,2395.0625
133,9.0877,8.4267,2.2666,8.034,446.0,38791.0,2395.0625
134,8.0778,7.2875,2.1193,8.062,727.0,61237.0,2395.0625
135,8.0011,8.1795,1.9763,7.5136,447.0,28275.0,2395.0625
136,7.5541,7.0463,1.9522,8.7508,449.0,28141.0,2395.0625
137,8.7506,8.502,1.9971,8.6913,449.0,32295.0,2395.0625
138,8.6498,7.1392,2.6699,8.3326,449.0,36245.0,2395.0625
139,8.4434,8.4248,2.3008,8.6339,733.0,62139.0,2395.0625
140,8.6274,7.3741,2.0624,7.9153,451.0,45705.0,2395.0625
141,7.818,8.9131,1.9807,8.6955,450.0,28285.0,2395.0625
142,8.7083,7.0956,2.1797,8.3781,452.0,28675.0,2395.0625
143,8.3432,8.5578,2.1709,8.4241,730.0,61173.0,2395.0625
144,8.5059,7.2087,2.0733,8.75,453.0,26967.0,2395.0625
145,8.7943,8.5968,2.1307,8.5247,447.0,26437.0,2395.0625
146,8.4225,7.3526,2.2461,8.5303,447.0,27349.0,2395.0625
147,8.5378,8.5768,2.1552,8.2183,732.0,61303.0,2395.0625
148,8.2998,7.1567,2.3569,7.8082,448.0,53889.0,2395.0625
149,7.6753,8.4143,1.985,9.1617,457.0,33586.0,2395.0625
150,9.2204,7.0361,2.0521,9.7728,451.0,31212.0,2395.0625
151,9.7355,9.7291,2.1021,7.2821,728.0,61503.0,2395.0625
152,7.305,7.402,2.3595,8.2748,449.0,29325.0,2395.0625
153,8.2208,9.1263,1.7825,8.5893,449.0,26413.0,2395.0625
154,8.6213,7.0313,1.8782,8.0397,450.0,26185.0,2395.0625
155,8.0774,8.5283,1.9618,9.0845,452.0,27701.0,2395.0625
156,9.0344,7.1854,1.7793,8.0864,735.0,61295.0,2395.0625
157,8.0962,8.7339,1.9439,8.8111,453.0,29781.0,2395.0625
158,8.7807,7.5021,1.7344,9.564,450.0,27855.0,2395.0625
159,9.7847,8.2464,2.3202,7.4643,450.0,81407.0,2395.0625
160,7.2453,7.2626,2.2657,8.6458,729.0,58701.0,2395.0625
161,8.736,8.2774,3.3357,8.0259,448.0,27313.0,2395.0625
162,8.0303,7.1622,2.5945,9.4281,448.0,26209.0,2395.0625
163,9.3964,8.6078,2.3447,7.4455,449.0,27613.0,2395.0625
164,7.4274,7.8346,2.0717,9.5242,785.0,94747.0,2395.0625
165,9.6259,7.6538,2.1176,7.0981,458.0,73361.0,2395.0625
166,6.9943,8.2356,1.9789,9.555,444.0,66881.0,2395.0625
167,9.5941,7.4807,2.2167,6.9845,435.0,29075.0,2395.0625
168,6.9461,7.0911,1.7783,9.6803,703.0,60701.0,2395.0625
169,9.7344,8.6106,1.7405,7.5724,447.0,30503.0,2395.0625
170,7.5248,7.4178,1.8116,9.5322,448.0,29527.0,2395.0625
171,9.5392,7.9633,2.1276,7.2593,452.0,28939.0,2395.0625
172,7.2701,7.4666,2.1938,8.9547,451.0,28239.0,2395.0625
173,8.9349,7.4892,2.0992,7.6409,735.0,62958.0,2395.0625
174,7.6344,8.7645,1.6951,9.0656,449.0,32400.0,2395.0625
175,9.0873,7.2271,2.0446,7.3774,450.0,29785.0,2395.0625
176,7.3479,8.616,1.5466,9.0309,450.0,27939.0,2395.0625
177,9.0193,7.034,1.9009,7.1916,729.0,64035.0,2395.0625
178,7.3109,8.0356,1.4953,8.838,450.0,28153.0,2395.0625
179,8.7611,7.0791,1.6465,7.4283,446.0,29769.0,2395.0625
180,7.4338,7.4897,1.629,9.7493,447.0,29781.0,2395.0625
181,9.7405,8.4674,1.8364,7.4473,728.0,66043.0,2395.0625
182,7.4634,8.4732,1.6794,8.7041,446.0,52913.0,2395.0625
183,8.6705,7.0287,1.7027,7.4923,448.0,40817.0,2395.0625
184,7.5209,8.102,1.4666,9.3705,446.0,36481.0,2395.0625
185,9.3378,7.0894,1.6801,6.9467,726.0,62295.0,2395.0625
186,7.0828,7.1356,1.9778,9.584,468.0,32899.0,2395.0625
187,9.4563,8.6262,1.8939,7.124,425.0,26609.0,2395.0625
188,7.1261,8.2845,1.6525,9.3287,416.0,25781.0,2395.0625
189,9.4379,7.0698,1.7683,7.8202,416.0,25781.0,2395.0625
190,7.7086,7.2924,1.671,9.3474,730.0,65673.0,2395.0625
191,9.3843,8.3018,1.9894,7.207,451.0,28143.0,2395.0625
192,7.204,7.1868,1.8366,8.9006,448.0,27639.0,2395.0625
193,8.8907,8.3529,1.7488,7.4935,409.0,25657.0,2395.0625
194,7.5106,7.3922,1.5976,9.4705,689.0,58591.0,2395.0625
195,9.478,7.9504,1.7526,6.5381,449.0,28141.0,2395.0625
196,6.5167,7.2447,1.6647,9.3086,450.0,31209.0,2395.0625
197,9.4168,8.2802,1.9284,7.6044,447.0,32481.0,2395.0625
198,7.5357,7.133,1.7212,9.5946,695.0,57611.0,2395.0625
199,9.6481,8.7662,1.7352,7.2233,412.0,25969.0,2395.0625
200,7.1505,7.2036,1.7894,9.4188,412.0,25777.0,2395.0625
201,9.4886,8.412,1.9812,7.9102,441.0,28029.0,2395.0625
202,7.8548,7.3421,2.4543,8.174,697.0,59155.0,2395.0625
203,8.1859,7.9754,2.2052,9.2243,416.0,25973.0,2395.0625
204,9.1992,7.1448,1.9993,8.1182,451.0,29977.0,2395.0625
205,8.107,8.5538,2.1318,7.7115,439.0,29017.0,2395.0625
206,7.7175,7.3311,1.6608,8.0126,412.0,25755.0,2395.0625
207,8.0298,8.2395,1.9192,8.8549,694.0,59097.0,2395.0625
208,8.8558,7.2935,1.8068,7.6062,496.0,79209.0,2395.0625
209,7.6229,7.9632,2.0706,8.1825,426.0,33261.0,2395.0625
210,8.1975,6.9986,1.7884,8.0944,410.0,25753.0,2395.0625
211,7.9997,8.6949,1.6026,8.3813,690.0,59071.0,2395.0625
212,8.4051,7.324,1.6181,8.1451,412.0,25969.0,2395.0625
213,8.1877,7.9727,1.699,8.6571,413.0,25789.0,2395.0625
214,8.585,7.2524,1.4167,7.9451,409.0,25741.0,2395.0625
215,8.0508,8.0977,1.8782,8.2204,695.0,59131.0,2395.0625
216,8.1644,7.1515,1.6259,8.3557,412.0,25969.0,2395.0625
217,8.3714,8.7903,1.8605,9.2803,415.0,25813.0,2395.0625
218,9.2551,7.1816,1.6578,7.4585,441.0,35993.0,2395.1875
219,7.492,8.4113,2.0737,8.4274,783.0,94735.0,2395.1875
220,8.4193,7.3397,1.9178,8.4363,424.0,27237.0,2395.1875
221,8.4738,8.4133,2.0836,8.6649,453.0,30001.0,2395.1875
222,8.7177,7.0872,1.9682,8.2326,449.0,26843.0,2395.1875
223,8.1964,8.6879,2.0657,8.3221,450.0,26855.0,2395.1875
224,8.2118,7.2139,1.7335,8.8228,757.0,65185.0,2395.1875
225,8.9581,8.2936,1.9952,7.3806,449.0,33373.0,2395.1875
226,7.3539,7.2707,1.8085,8.6,451.0,30029.0,2395.1875
227,8.5629,8.3743,1.9037,7.9263,448.0,29657.0,2395.1875
228,7.9205,7.0505,1.7927,8.7117,726.0,63331.0,2395.1875
229,8.71,8.7146,1.9017,8.3258,450.0,28153.0,2395.1875
230,8.3068,7.2554,1.643,8.3549,447.0,27925.0,2395.1875
231,8.4766,8.4651,1.7261,9.2088,449.0,27949.0,2395.1875
232,9.0721,7.2136,1.915,9.5769,728.0,63199.0,2395.1875
233,9.96,8.8954,2.8856,8.9101,449.0,29997.0,2395.1875
234,8.5571,7.3187,2.7154,8.1379,447.0,27925.0,2395.1875
235,8.2332,7.9031,2.6102,10.8995,450.0,36977.0,2395.1875
236,11.0411,7.7336,2.8697,7.8672,731.0,66095.0,2395.1875
237,7.6296,7.8389,2.3201,6.972,449.0,41825.0,2395.1875
238,7.1141,8.589,2.3207,9.8937,448.0,33857.0,2395.1875
239,9.8522,7.2494,2.6509,8.0676,454.0,39673.0,2395.1875
240,8.0044,8.5218,2.1909,8.5182,451.0,36647.0,2395.1875
241,8.4885,7.3398,2.1226,7.6732,747.0,75589.0,2395.1875
242,7.8707,8.1572,2.3116,9.182,445.0,28567.0,2395.1875
243,9.0455,7.0294,1.9752,7.1515,449.0,28107.0,2395.1875
244,7.1847,8.612,2.9449,9.6633,447.0,27925.0,2395.1875
245,9.5842,7.1366,2.1097,7.6873,729.0,65613.0,2395.1875
246,7.7666,8.7172,1.8798,9.4109,448.0,36509.0,2395.1875
247,9.327,7.3184,1.7271,7.5767,450.0,29789.0,2395.1875
248,7.5744,8.7478,1.5665,9.5849,444.0,44473.0,2395.1875
249,9.637,7.1261,2.1575,7.7855,744.0,62895.0,2395.1875
250,7.8217,8.6356,2.1349,8.3762,448.0,28841.0,2395.1875
251,8.3782,7.0745,1.974,8.4205,451.0,28169.0,2395.1875
