capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,17.8325,18.863,2.2724,18.6363,377.0,53516.0,3021.7812
121,18.533,18.6066,2.252,19.2431,371.0,53204.0,3021.7812
122,19.2858,18.6605,2.3182,19.2549,360.0,52496.0,3021.7812
123,19.3134,18.5037,2.1965,19.5724,359.0,52506.0,3021.7812
124,19.5165,19.8343,2.1703,19.892,372.0,53334.0,3021.7812
125,19.9058,19.1561,2.1217,20.3507,374.0,53502.0,3021.7812
126,20.3865,18.5426,2.2807,18.3019,388.0,55934.0,3021.7812
127,18.3416,18.494,2.2022,19.7716,392.0,54582.0,3021.7812
128,19.7493,19.0192,3.1053,19.2007,393.0,56282.0,3021.7812
129,19.1367,18.516,2.3768,20.7425,393.0,57970.0,3021.7812
130,20.8121,19.3142,2.2217,19.0095,393.0,54594.0,3021.7812
131,19.0349,18.2641,2.3269,19.083,388.0,54342.0,3021.7812
132,18.9825,19.1213,2.1717,19.5335,396.0,54946.0,3021.7812
133,19.6088,18.8599,2.6214,20.871,396.0,54902.0,3021.7812
134,20.9253,18.5636,2.4011,18.4391,397.0,56398.0,3021.7812
135,18.4411,18.8194,2.574,20.1899,399.0,56580.0,3021.7812
136,20.1937,19.8093,2.8331,19.1267,396.0,54896.0,3021.7812
137,18.9995,18.7505,2.1298,19.5074,394.0,54584.0,3021.7812
138,19.5576,18.8857,2.2938,19.0737,397.0,55778.0,3021.7812
139,19.053,18.5607,2.7383,19.8656,402.0,61290.0,3021.7812
140,19.9453,18.5934,2.7182,19.3135,395.0,56674.0,3021.7812
141,19.2239,19.2648,2.5009,20.2068,393.0,56450.0,3021.7812
142,20.2894,19.6791,2.625,19.1477,394.0,55534.0,3021.7812
143,19.0094,19.1147,2.4311,20.1442,393.0,56724.0,3021.7812
144,20.2769,18.8905,2.559,19.2674,394.0,71904.0,3021.7812
145,19.2461,19.4799,2.8207,20.6662,395.0,70850.0,3021.7812
146,20.6942,18.3763,2.6266,19.1348,392.0,72856.0,3021.7812
147,19.1128,19.9931,2.5913,19.7326,392.0,103688.0,3021.7812
148,19.873,18.8795,3.3092,19.5737,373.0,70194.0,3021.7812
149,19.427,18.8692,2.7904,20.0363,363.0,52510.0,3021.7812
150,20.0292,18.7966,2.822,22.4483,371.0,56552.0,3021.7812
151,22.5713,18.9494,3.6205,19.0932,367.0,54298.0,3021.7812
152,19.1986,18.925,3.8113,17.7547,375.0,58316.0,3021.7812
153,17.5235,20.0065,2.9111,19.5791,395.0,55986.0,3021.7812
154,19.6101,18.7092,2.9853,19.0563,394.0,55150.0,3021.7812
155,18.9965,18.6873,2.6263,19.1319,395.0,56788.0,3021.7812
156,19.2319,18.9182,2.7039,19.3252,392.0,61852.0,3021.7812
157,19.2173,18.5004,2.2711,18.1433,393.0,58532.0,3021.7812
158,18.1182,18.9743,1.9616,21.0283,392.0,57162.0,3021.7812
159,21.0163,19.9305,2.0526,18.9353,378.0,56942.0,3021.7812
160,18.9251,18.4718,2.199,18.7683,362.0,52686.0,3021.7812
161,18.7952,18.5029,1.9973,19.3728,374.0,53866.0,3021.7812
162,19.3205,18.8755,2.0878,20.394,385.0,56651.0,3021.7812
163,20.5,18.4359,2.5891,18.8182,393.0,55904.0,3021.7812
164,18.769,19.2581,2.1416,20.5919,401.0,72926.0,3021.7812
165,20.6242,19.5616,2.3987,18.2315,399.0,63994.0,3021.7812
166,18.1787,19.0068,2.0269,20.3482,395.0,67232.0,3021.7812
167,20.3597,18.4078,2.0899,18.0843,401.0,66595.0,3021.7812
