capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,9.8578,8.4148,1.6782,9.7982,383.0,40787.0,2459.8125
121,9.8925,9.3695,2.1039,9.0288,385.0,40811.0,2459.8125
122,8.899,8.7574,1.735,9.0996,385.0,40811.0,2459.8125
123,9.2346,8.8705,2.0235,9.0526,381.0,40785.0,2459.8125
124,8.9283,9.1162,2.0988,9.6793,381.0,40785.0,2459.8125
125,9.7642,8.3773,2.1616,9.5454,384.0,40821.0,2459.8125
126,9.5164,9.0816,1.9592,9.3905,380.0,40795.0,2459.8125
127,9.3367,8.49,1.8976,9.0899,382.0,46337.0,2459.8125
128,9.1898,9.2871,2.0152,9.3371,390.0,59989.0,2459.8125
129,9.2856,8.3897,1.9719,9.6491,379.0,73371.0,2459.8125
130,9.7257,9.2218,2.1367,8.7694,387.0,64191.0,2459.8125
131,8.6914,9.0614,1.8738,9.9283,391.0,57937.0,2459.8125
132,9.9014,8.4164,1.8012,8.1242,363.0,56507.0,2459.8125
133,8.1087,8.7468,1.7139,9.6111,350.0,40719.0,2459.8125
134,9.6588,8.3883,2.1938,9.0255,372.0,42055.0,2459.8125
135,9.1051,9.1329,1.9608,9.8961,356.0,49867.0,2459.8125
136,9.792,8.3826,1.8311,9.359,357.0,49691.0,2459.8125
137,9.3724,9.1567,1.9131,8.8515,348.0,38639.0,2459.8125
138,8.8204,8.3825,1.6386,9.779,355.0,54803.0,2459.8125
139,9.8142,9.5006,1.7586,9.4647,345.0,38625.0,2459.8125
140,9.4682,9.047,1.8771,9.5524,365.0,44913.0,2459.8125
141,9.5629,8.6346,2.4231,9.5964,349.0,38817.0,2459.8125
142,9.6645,9.0278,2.0015,9.5266,370.0,43339.0,2459.8125
143,9.4425,8.4773,1.965,9.1065,344.0,38635.0,2459.8125
144,9.1256,9.4269,2.0032,9.715,381.0,42403.0,2459.8125
145,9.6409,8.3754,1.749,8.9967,377.0,42222.0,2459.8125
146,9.0293,9.0679,1.8642,9.3072,344.0,38635.0,2459.8125
147,9.2815,8.5575,1.5546,9.6182,385.0,47992.0,2459.8125
148,9.7083,8.9117,1.6782,8.3356,364.0,41131.0,2459.8125
149,8.364,9.1299,1.7445,10.4895,382.0,49466.0,2459.8125
150,10.4729,8.3896,1.9104,8.3133,377.0,47310.0,2459.8125
151,8.288,9.1048,1.8424,10.7857,383.0,44525.0,2459.8125
152,10.714,8.364,1.756,8.4439,385.0,40969.0,2459.8125
153,8.63,9.3655,2.1983,9.3041,385.0,42293.0,2459.8125
154,9.1738,8.4563,2.2063,10.2126,386.0,41101.0,2459.8125
155,10.2063,9.19,2.0422,8.6174,384.0,44538.0,2459.8125
156,8.5858,9.2919,1.7903,10.2442,388.0,48684.0,2459.8125
157,10.2612,8.7558,2.12,8.9556,382.0,41261.0,2459.8125
158,8.9676,9.2355,1.7517,9.6764,383.0,40831.0,2459.8125
159,9.7626,8.3654,2.0062,9.2385,380.0,40795.0,2459.8125
160,9.1672,9.0656,1.7987,9.108,380.0,43371.0,2459.8125
161,9.0825,8.4199,1.8647,9.5854,383.0,43407.0,2459.8125
162,9.629,9.1169,1.8425,9.0585,379.0,51087.0,2459.8125
163,9.035,8.7195,1.9253,9.8711,380.0,48987.0,2459.8125
164,9.8739,9.1258,1.9969,8.4509,380.0,44921.0,2459.8125
165,8.4629,9.3022,1.6088,10.5439,360.0,39643.0,2459.8125
166,10.6061,8.3841,1.9343,7.9547,345.0,38647.0,2459.8125
167,7.8778,9.0328,1.9047,9.8795,344.0,38635.0,2459.8125
168,9.8331,8.3548,1.7458,9.5314,349.0,38651.0,2459.8125
169,9.6366,9.2196,1.8543,8.6229,349.0,38651.0,2459.8125
170,8.5711,8.3883,1.8645,9.9531,348.0,38639.0,2459.8125
171,10.0777,9.1525,1.8704,9.5453,348.0,38661.0,2459.8125
172,9.4155,8.9951,1.617,8.9956,346.0,38637.0,2459.8125
173,9.0208,8.346,1.8432,8.7344,347.0,38649.0,2459.8125
174,8.6895,9.1807,1.8009,9.8116,344.0,38635.0,2459.8125
175,9.9489,8.4001,2.4476,10.2224,344.0,38635.0,2459.8125
176,10.1582,9.1646,2.2617,7.7413,344.0,38635.0,2459.8125
177,7.6847,8.3488,1.8431,9.299,345.0,38647.0,2459.8125
178,9.3729,9.0544,2.02,9.1916,347.0,38671.0,2459.8125
179,9.0935,8.4142,1.7808,9.7951,345.0,38647.0,2459.8125
180,9.8806,9.5162,2.1089,8.8047,343.0,38623.0,2459.8125
181,8.7416,8.8842,1.6992,10.4471,344.0,38635.0,2459.8125
182,10.4095,8.3877,1.8325,8.4957,356.0,41211.0,2459.8125
183,8.5113,9.0839,2.0043,9.7052,349.0,40623.0,2459.8125
184,9.677,8.3714,1.7813,8.6203,387.0,46226.0,2459.8125
185,8.661,9.2303,1.7353,9.6067,384.0,42353.0,2459.8125
186,9.593,8.7125,1.8816,9.8634,382.0,47193.0,2459.8125
187,9.8733,9.1431,2.041,8.9923,383.0,46859.0,2459.8125
188,9.0139,8.3549,1.7937,9.2646,383.0,49785.0,2459.8125
189,9.3476,9.2509,2.1259,8.9344,383.0,42789.0,2459.8125
190,8.8494,9.1721,1.6832,10.4346,379.0,40783.0,2459.8125
191,10.4508,8.4179,1.7139,9.8148,381.0,40807.0,2459.8125
192,10.1212,9.2519,2.0754,8.6875,380.0,40795.0,2459.8125
193,8.3912,8.464,1.8584,8.619,379.0,40783.0,2459.8125
194,8.5965,9.0842,1.777,9.9199,382.0,40819.0,2459.8125
195,9.9421,8.3963,1.8966,8.804,380.0,40795.0,2459.8125
196,8.8619,9.2711,2.0875,9.3024,381.0,40807.0,2459.8125
197,9.2416,8.6205,1.796,10.2615,381.0,40807.0,2459.8125
198,10.2656,8.8993,2.0488,8.3053,379.0,40783.0,2459.8125
199,8.25,9.2832,1.4926,10.5673,382.0,49673.0,2459.8125
200,10.6204,8.5032,2.1734,8.734,391.0,56621.0,2459.8125
201,8.7037,9.2743,1.9786,9.5372,383.0,73505.0,2459.8125
202,9.561,8.4773,1.9283,8.777,387.0,64063.0,2459.8125
203,8.7845,9.2263,1.8688,9.6314,393.0,57893.0,2459.8125
204,9.6237,8.4061,1.8699,9.5481,368.0,58461.0,2459.8125
205,9.6155,9.4291,2.0876,8.9032,370.0,42009.0,2459.8125
206,8.9515,9.1249,1.7024,9.6713,359.0,49951.0,2459.8125
207,9.5607,8.438,1.7849,9.107,355.0,49711.0,2459.8125
208,9.1206,9.2074,1.8326,10.0661,345.0,38647.0,2459.8125
209,10.0723,8.3815,1.9847,9.1023,352.0,54811.0,2459.8125
210,9.1391,9.7265,2.0592,9.8888,344.0,38635.0,2459.8125
211,9.9202,8.4466,2.5517,9.6567,362.0,44899.0,2459.8125
212,9.6046,9.5698,1.987,9.8853,347.0,38815.0,2459.8125
213,9.8896,9.1943,1.9444,9.0182,368.0,43315.0,2459.8125
214,9.0115,8.4629,2.0471,8.8599,344.0,38635.0,2459.8125
215,8.8411,9.1349,1.9781,10.4054,381.0,42403.0,2459.8125
216,10.3812,8.3762,1.9325,7.8652,378.0,42190.0,2459.8125
217,7.8849,9.1192,1.8274,10.5541,349.0,38651.0,2459.8125
218,10.5615,8.4203,1.9573,8.6457,389.0,47996.0,2459.8125
219,8.6198,9.7005,1.8383,10.3201,373.0,44184.0,2459.8125
220,10.3269,8.3651,1.5451,9.0831,383.0,47241.0,2459.8125
221,9.0982,8.9471,1.7447,8.8462,375.0,46560.0,2459.8125
222,8.8223,9.4278,1.6825,9.9549,385.0,44549.0,2459.8125
223,10.0314,8.4129,1.9571,8.7597,380.0,40953.0,2459.8125
224,8.6855,9.1908,1.8091,10.3713,381.0,42289.0,2459.8125
225,10.367,8.4035,1.6656,8.596,379.0,41061.0,2459.8125
226,8.6167,9.1336,1.6614,9.7846,381.0,44524.0,2459.8125
227,9.7618,8.45,1.8567,8.5458,386.0,48682.0,2459.8125
228,8.6298,9.234,1.8713,10.1912,381.0,41271.0,2459.8125
229,10.1514,8.749,1.8633,8.8197,380.0,40795.0,2459.8125
230,8.8252,8.4046,1.9236,9.3382,380.0,40795.0,2459.8125
231,9.2714,9.1172,1.8142,9.3511,380.0,43371.0,2459.8125
232,9.397,8.396,1.8501,10.7794,384.0,43375.0,2459.8125
233,10.8457,9.4976,1.978,8.0598,386.0,51127.0,2459.8125
234,7.9772,8.4138,1.6095,9.8822,385.0,49003.0,2459.8125
235,9.927,9.0953,1.7458,9.2275,382.0,44923.0,2459.8125
236,9.1727,8.3949,1.6323,9.3911,361.0,39585.0,2459.8125
237,9.4505,9.1924,1.7729,8.2435,346.0,38637.0,2459.8125
238,8.1852,8.9401,1.5624,9.8288,343.0,38623.0,2459.8125
239,9.8755,8.3661,1.9284,8.576,344.0,38635.0,2459.8125
240,8.4959,9.1668,1.8403,9.7221,343.0,38623.0,2459.8125
241,9.8028,8.3459,2.7487,9.106,345.0,38647.0,2459.8125
242,9.0863,9.0115,1.8045,8.9639,343.0,38623.0,2459.8125
243,8.9485,8.3233,1.9061,9.7643,344.0,38635.0,2459.8125
244,9.7823,9.4427,1.7245,9.0177,343.0,38623.0,2459.8125
245,8.9781,8.3595,1.4813,9.1826,343.0,38623.0,2459.8125
246,9.2205,8.9989,1.6954,9.1524,346.0,38659.0,2459.8125
247,9.1692,8.9948,1.7009,9.7267,343.0,38623.0,2459.8125
248,9.8288,8.4317,1.7668,8.8872,348.0,38639.0,2459.8125
249,8.7297,9.0612,1.9354,10.6267,347.0,38627.0,2459.8125
250,10.6695,8.4942,2.5046,7.8193,349.0,38651.0,2459.8125
251,7.8377,9.1501,1.6716,9.4899,345.0,38625.0,2459.8125
252,9.4472,8.593,1.5389,9.4452,347.0,38649.0,2459.8125
253,9.4794,9.0646,1.7017,9.5703,358.0,41261.0,2459.8125
254,9.5797,8.6383,1.657,10.4675,349.0,40575.0,2459.8125
255,10.529,9.1103,1.9699,8.1807,382.0,46210.0,2459.8125
256,8.1479,9.2621,1.6373,10.7205,379.0,42337.0,2459.8125
257,10.6935,8.6497,2.1428,8.3865,380.0,47385.0,2459.8125
258,8.4383,9.4966,1.9264,10.4599,381.0,46733.0,2459.8125
259,10.4698,8.6413,2.0014,8.7021,380.0,49891.0,2459.8125
260,8.6423,8.9534,1.9516,9.4945,380.0,42655.0,2459.8125
261,9.4967,8.6782,1.9495,10.0726,380.0,40795.0,2459.8125
262,10.2075,9.1748,2.0112,9.235,380.0,40795.0,2459.8125
263,9.1007,9.1183,1.8131,9.423,379.0,40783.0,2459.8125
264,9.4366,8.6678,2.0748,9.5241,384.0,40799.0,2459.8125
265,9.5682,9.4969,2.1051,10.2279,384.0,40799.0,2459.8125
266,10.2419,8.5001,2.3056,9.1719,385.0,40811.0,2459.8125
267,9.1852,9.5489,2.4273,9.2799,383.0,40809.0,2459.8125
268,9.1938,8.8393,1.919,10.726,381.0,40785.0,2459.8125
269,10.7682,9.3659,1.7677,8.5422,382.0,40797.0,2459.8125
270,8.4671,9.0511,1.7369,9.9913,386.0,49721.0,2459.8125
271,10.0868,8.4482,2.0935,8.6018,386.0,56605.0,2459.8125
272,8.5807,9.5189,1.8394,10.3365,379.0,75189.0,2459.8125
273,10.3017,8.4879,2.049,10.4006,384.0,62383.0,2459.8125
274,10.5427,9.8851,2.1207,8.5953,392.0,57903.0,2459.8125
275,8.4735,8.7257,1.8736,9.8872,365.0,58399.0,2459.8125
276,9.9039,9.0043,1.6933,9.4182,370.0,42031.0,2459.8125
277,9.3677,9.2422,1.8844,9.7075,361.0,55303.0,2459.8125
278,9.7264,8.4533,2.2943,9.1801,351.0,44335.0,2459.8125
279,9.2191,9.114,1.9785,9.3441,347.0,38671.0,2459.8125
280,9.2787,8.38,1.8839,9.1825,356.0,54815.0,2459.8125
281,9.2501,9.6721,2.0488,9.5929,347.0,38627.0,2459.8125
282,9.4935,8.6303,1.5371,9.9126,365.0,44891.0,2459.8125
283,9.9795,8.8686,1.6663,8.461,349.0,38817.0,2459.8125
284,8.4032,8.8214,1.4318,9.4924,373.0,43353.0,2459.8125
285,9.6145,8.3614,2.1587,9.4503,347.0,38649.0,2459.8125
286,9.4133,9.1861,1.9279,10.1054,381.0,42403.0,2459.8125
287,10.0759,8.4166,1.8997,7.9633,373.0,42174.0,2459.8125
288,8.058,9.1584,2.2963,9.6341,344.0,38635.0,2459.8125
289,9.5358,8.4255,1.8245,9.5289,386.0,48004.0,2459.8125
290,9.5246,9.0987,1.8811,9.2812,380.0,46778.0,2459.8125
291,9.3019,8.7432,1.8963,9.6153,379.0,47119.0,2459.8125
292,9.6376,9.0428,1.8911,8.845,365.0,44070.0,2459.8125
293,8.8328,9.2521,1.7121,10.4928,384.0,44537.0,2459.8125
294,10.507,8.6966,2.3206,9.6247,380.0,40953.0,2459.8125
295,9.686,8.9599,2.2479,8.6077,383.0,42313.0,2459.8125
296,8.473,8.3836,1.698,9.7743,384.0,41077.0,2459.8125
297,9.8345,9.2065,2.0289,8.8103,386.0,44540.0,2459.8125
298,8.7724,8.3918,1.8836,9.3472,391.0,48698.0,2459.8125
299,9.4182,9.143,2.1303,9.5566,382.0,41261.0,2459.8125
300,9.518,9.0703,2.3129,9.7388,382.0,40797.0,2459.8125
301,9.7651,8.3971,2.3775,8.5749,381.0,40785.0,2459.8125
302,8.6305,9.3235,2.5691,11.5215,380.0,43371.0,2459.8125
303,11.4594,8.5316,2.4675,8.2258,381.0,43383.0,2459.8125
304,8.3432,9.2119,2.2183,9.6258,379.0,51087.0,2459.8125
305,9.7967,8.5338,2.2801,9.2704,380.0,48987.0,2459.8125
306,9.06,9.2097,2.3619,8.495,379.0,44909.0,2459.8125
307,8.4237,8.8652,2.1905,10.2682,361.0,39607.0,2459.8125
308,10.2936,8.9502,2.2775,8.1489,343.0,38623.0,2459.8125
309,8.143,9.0755,2.383,10.0094,343.0,38623.0,2459.8125
310,10.0316,8.4333,2.4626,9.7437,344.0,38635.0,2459.8125
311,9.7649,9.3598,2.2526,8.5154,344.0,38635.0,2459.8125
312,8.4227,8.4238,2.0375,9.3996,348.0,38639.0,2459.8125
313,9.48,9.5519,2.182,9.7532,348.0,38639.0,2459.8125
314,9.7054,8.4389,2.1725,9.5857,349.0,38651.0,2459.8125
315,9.6491,9.162,2.2903,9.1719,346.0,38637.0,2459.8125
316,9.1152,9.3987,2.2547,9.7232,345.0,38625.0,2459.8125
317,9.7394,8.3987,2.5095,8.9192,345.0,38625.0,2459.8125
318,8.9101,9.7318,2.0754,10.0297,343.0,38623.0,2459.8125
319,10.0724,8.3996,2.1471,10.2552,343.0,38623.0,2459.8125
320,10.3053,9.3323,2.2637,8.7525,343.0,38623.0,2459.8125
