capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,15.6469,15.756,1.9203,16.9992,273.0,6274.0,2793.9297
121,17.0201,15.7343,2.1812,16.5819,274.0,6286.0,2793.9297
122,16.5557,16.056,2.2928,16.571,308.0,10424.0,2793.9297
123,16.6046,15.777,2.0554,15.9997,313.0,9388.0,2793.9297
124,16.048,16.0177,2.1426,16.9736,312.0,57894.0,2793.9297
125,16.9149,16.3144,2.0069,16.6082,312.0,8842.0,2793.9297
126,16.6226,15.9377,2.1157,16.1701,311.0,8388.0,2793.9297
127,16.1721,16.1041,2.136,17.172,310.0,8376.0,2793.9297
128,17.1494,16.1996,2.3277,16.8801,310.0,9304.0,2793.9297
129,16.9244,16.685,2.1396,16.742,308.0,9766.0,2793.9297
130,16.7033,16.6141,2.5268,17.8536,309.0,8386.0,2793.9297
131,17.893,16.342,2.3783,16.2386,291.0,7354.0,2793.9297
132,16.2714,16.2991,2.4003,16.7472,275.0,6298.0,2793.9297
133,16.704,16.1956,2.1769,16.3256,309.0,8386.0,2793.9297
134,16.302,16.2008,2.1973,17.3146,302.0,9406.0,2793.9297
135,17.3711,16.9784,2.1935,16.9444,309.0,9684.0,2793.9297
136,16.8847,16.3095,2.0787,16.1272,309.0,8788.0,2793.9297
137,16.1981,16.2803,2.0592,17.3465,309.0,8386.0,2793.9297
138,17.314,16.0158,2.4765,16.6154,309.0,8386.0,2793.9297
139,16.6405,15.9893,2.3315,16.5222,312.0,8378.0,2793.9297
140,16.5194,16.017,2.4819,16.6591,320.0,15862.0,2793.9297
141,16.6542,16.0858,2.4413,16.641,313.0,8390.0,2793.9297
142,16.6257,16.0105,2.2008,17.0444,295.0,9118.0,2793.9297
143,17.0147,16.1841,2.1635,16.0669,298.0,13960.0,2793.9297
144,16.0679,16.1705,2.0654,16.4977,314.0,16245.0,2793.9297
145,16.5113,16.0141,2.1739,16.6074,311.0,9042.0,2793.9297
146,16.607,16.0569,2.3639,17.0413,309.0,16142.0,2793.9297
147,17.0685,15.9666,2.0593,16.3425,308.0,9062.0,2793.9297
148,16.3382,16.0084,2.1515,16.3001,309.0,13460.0,2793.9297
149,16.4113,15.9865,2.2489,17.4118,310.0,11962.0,2793.9297
150,17.2381,16.1369,2.3861,16.0065,313.0,20682.0,2793.9297
151,16.0817,15.7922,2.6692,16.0764,315.0,38355.0,2793.9297
152,16.0069,15.6265,2.0948,15.5207,315.0,26673.0,2793.9297
153,15.5628,15.79,1.9132,17.6785,315.0,33524.0,2793.9297
154,17.6257,15.5912,1.8877,15.6004,317.0,19211.0,2793.9297
155,15.6418,15.7549,2.0015,15.9254,316.0,14795.0,2793.9297
156,15.953,15.9715,2.1505,17.4927,312.0,10068.0,2793.9297
157,17.4664,15.9654,1.8711,15.241,313.0,14666.0,2793.9297
158,15.2414,16.4591,2.3081,17.6733,305.0,11048.0,2793.9297
159,17.7484,16.48,2.5801,16.4701,281.0,7176.0,2793.9297
160,16.4283,15.8402,2.2792,16.8923,275.0,6276.0,2793.9297
161,16.906,16.192,2.2695,17.2858,273.0,6274.0,2793.9297
162,17.2266,16.0542,2.1303,15.6671,273.0,6274.0,2793.9297
163,15.7418,16.1712,2.1544,15.7346,308.0,16798.0,2793.9297
164,16.1873,16.0532,2.6899,17.0113,309.0,23870.0,2793.9297
165,16.5596,15.8874,2.1359,15.6849,309.0,8386.0,2793.9297
166,15.6372,16.1668,2.1261,17.1111,308.0,8374.0,2793.9297
167,17.273,16.4037,2.6452,18.5867,315.0,13999.0,2793.9297
168,18.555,17.2115,2.5614,16.7205,281.0,8457.0,2793.9297
