capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,18.126,15.6039,2.4458,16.1215,310.0,9562.0,2794.5547
121,15.9843,16.0164,2.5438,16.6858,309.0,28378.0,2794.5547
122,16.7414,15.67,2.3144,15.6163,309.0,48494.0,2794.5547
123,15.6459,15.5789,2.3869,15.4252,290.0,21538.0,2794.5547
124,15.3734,15.8498,2.2964,15.8698,283.0,6874.0,2794.5547
125,15.914,15.3828,2.2891,16.4728,273.0,6274.0,2794.5547
126,16.4943,15.665,2.4158,16.5466,274.0,6286.0,2794.5547
127,16.5061,15.802,2.4559,15.9875,309.0,13998.0,2794.5547
128,15.9916,15.6836,2.1949,15.7103,316.0,21030.0,2794.5547
129,15.6857,15.5135,2.2049,16.2636,314.0,10952.0,2794.5547
130,16.3112,15.9878,2.1826,16.389,313.0,39782.0,2794.5547
131,16.4145,15.8114,2.265,15.8913,306.0,8040.0,2794.5547
132,15.9115,15.5922,2.2353,15.8826,310.0,8376.0,2794.5547
133,16.2973,16.0253,2.8203,16.6666,310.0,8376.0,2794.5547
134,16.2295,15.6921,2.3356,16.2655,308.0,8374.0,2794.5547
135,16.186,15.6961,2.3476,16.2184,308.0,8374.0,2794.5547
136,16.2206,15.646,2.2622,16.4648,310.0,10245.0,2794.5547
137,16.4723,15.7521,2.2044,16.1192,311.0,10257.0,2794.5547
138,16.2049,15.9091,2.21,15.9762,310.0,10245.0,2794.5547
139,15.8773,15.721,2.125,16.3197,308.0,8374.0,2794.5547
140,16.3636,15.6401,2.102,15.8185,308.0,8374.0,2794.5547
141,15.7692,15.8405,2.0237,16.5294,309.0,18474.0,2794.5547
142,16.5888,15.8761,1.9643,16.4241,308.0,13914.0,2794.5547
143,16.3977,15.505,2.1229,16.6462,310.0,10245.0,2794.5547
144,16.6266,15.8025,1.8984,16.3964,316.0,17352.0,2794.5547
145,16.424,15.3839,1.9888,15.8156,319.0,12156.0,2794.5547
146,15.7952,15.1034,2.1583,15.6415,316.0,12244.0,2794.5547
147,15.7213,15.4019,2.0459,16.6157,312.0,21019.0,2794.5547
148,16.5578,15.7171,1.9025,15.9159,311.0,9540.0,2794.5547
149,15.9381,15.694,1.9916,15.8854,311.0,9780.0,2794.5547
150,15.8501,15.5086,1.9079,16.2424,309.0,8386.0,2794.5547
151,16.2298,15.8612,1.9574,16.584,308.0,11382.0,2794.5547
152,16.6162,14.9617,2.0294,16.2133,308.0,9750.0,2794.5547
153,16.1813,15.7307,1.9735,15.4318,309.0,8850.0,2794.5547
154,15.4649,15.4975,1.9973,17.6857,309.0,8544.0,2794.5547
155,17.6643,15.685,1.8419,14.8596,308.0,10370.0,2794.5547
156,14.8493,15.6575,1.8343,16.0711,311.0,8410.0,2794.5547
