capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,15.449,14.9938,1.9153,15.2203,312.0,10247.0,2795.6797
121,15.24,14.981,2.0261,15.6021,312.0,12173.0,2795.6797
122,15.6144,15.1719,2.159,15.6114,311.0,10721.0,2795.6797
123,15.5896,15.457,1.9944,16.2743,310.0,10779.0,2795.6797
124,16.3016,14.8273,1.9683,15.4445,295.0,7546.0,2795.6797
125,15.4424,15.2979,1.9944,15.5407,280.0,6694.0,2795.6797
126,15.4956,15.3126,1.9765,16.5526,282.0,6766.0,2795.6797
127,16.5859,15.2628,2.1445,16.4283,308.0,8374.0,2795.6797
128,16.4606,15.1735,1.9929,15.9557,310.0,15150.0,2795.6797
129,15.9487,15.3609,2.1653,14.9319,309.0,8386.0,2795.6797
130,14.9247,15.466,2.0396,16.5175,309.0,8850.0,2795.6797
131,16.5191,15.2932,1.9304,15.2258,308.0,9302.0,2795.6797
132,15.2522,15.2505,2.1279,15.1148,301.0,8134.0,2795.6797
133,15.0486,15.2148,2.0169,16.347,278.0,6290.0,2795.6797
134,16.3731,15.5063,2.2318,15.6827,312.0,8378.0,2795.6797
135,15.702,15.0325,2.2681,15.4595,311.0,9316.0,2795.6797
136,15.4497,14.7625,2.0686,14.8474,313.0,12308.0,2795.6797
137,14.8177,15.191,2.0061,16.9036,310.0,10440.0,2795.6797
138,16.9073,15.064,1.9991,14.582,308.0,9062.0,2795.6797
139,14.6077,15.1212,1.9734,16.18,309.0,11722.0,2795.6797
140,16.1502,15.3247,1.9337,15.6076,310.0,31297.0,2795.6797
141,15.6555,14.7527,2.0316,15.4898,309.0,19314.0,2795.6797
142,15.5124,15.0766,2.0378,15.5773,308.0,9766.0,2795.6797
143,15.5751,15.1498,2.2083,15.5504,311.0,15797.0,2795.6797
144,15.5557,15.292,1.9337,16.241,310.0,20709.0,2795.6797
145,16.2507,15.4198,2.2951,15.7081,310.0,15477.0,2795.6797
146,15.6736,15.1129,2.1631,15.1718,282.0,8565.0,2795.6797
147,15.1816,15.8977,2.2088,16.5824,273.0,6274.0,2795.6797
148,16.5728,15.8332,2.154,15.9217,314.0,18625.0,2795.6797
149,15.9083,15.5013,2.0082,19.9184,305.0,19681.0,2795.6797
150,19.9635,15.4081,2.2055,11.827,277.0,6278.0,2795.6797
151,11.7873,14.9178,2.9325,19.0882,296.0,20354.0,2795.6797
152,19.0683,15.5093,2.3924,14.6946,324.0,25912.0,2795.6797
153,14.7843,15.5165,2.8563,14.5367,319.0,40434.0,2795.6797
154,14.4563,15.1085,2.2,15.0307,312.0,24022.0,2795.6797
