capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,18.2522,18.0735,2.0109,17.4036,312.0,26233.0,2793.3047
121,17.3471,17.2376,2.0471,18.6092,308.0,18838.0,2793.3047
122,18.7237,16.9545,2.3255,17.1834,313.0,13930.0,2793.3047
123,17.0952,17.2222,1.9371,17.6363,313.0,15354.0,2793.5547
124,17.5826,17.3551,2.2486,17.6944,318.0,13991.0,2793.5547
125,17.7426,17.2052,2.5164,17.682,310.0,8376.0,2793.8047
126,17.6396,17.3505,1.5898,17.9248,310.0,8376.0,2793.8047
127,17.9537,17.2749,2.7096,17.3767,311.0,8852.0,2793.8047
128,17.5191,17.2857,2.7058,19.4771,308.0,9302.0,2793.8047
129,19.3831,17.3029,2.2245,18.4399,310.0,10718.0,2793.8047
130,18.4337,17.4855,1.9067,16.8225,311.0,10257.0,2793.8047
131,16.8029,17.3127,1.995,17.8651,308.0,8374.0,2793.8047
132,17.9176,17.2722,1.9153,18.6272,308.0,10438.0,2793.8047
133,18.5415,18.2426,1.7651,17.8634,308.0,8374.0,2793.8047
134,17.9013,17.3912,1.9785,17.6488,309.0,8386.0,2793.8047
135,17.6537,17.2671,1.9313,17.5319,314.0,14675.0,2793.8047
136,17.4623,17.3381,1.8707,18.3575,299.0,14649.0,2793.8047
137,18.3921,17.1551,1.923,17.203,309.0,9778.0,2793.8047
138,17.2023,17.149,1.914,17.9766,314.0,12202.0,2793.8047
139,17.9838,17.1978,1.8738,17.6818,314.0,12728.0,2793.8047
140,17.6872,17.3268,2.0393,18.0294,317.0,15172.0,2793.8047
141,18.0466,17.3903,2.5415,18.312,311.0,10292.0,2793.8047
142,18.3832,17.4616,2.3591,18.3024,312.0,17452.0,2793.8047
143,18.2556,17.3428,2.219,17.4575,314.0,25186.0,2793.8047
144,17.4334,17.1898,1.8551,17.7976,310.0,19942.0,2793.8047
145,17.7891,17.3352,2.0531,17.7677,311.0,20943.0,2793.8047
146,17.7627,17.7152,1.813,18.3323,290.0,9506.0,2793.8047
147,18.3395,17.9696,1.8646,17.6823,273.0,6274.0,2793.8047
148,17.6668,16.9562,2.1574,17.9578,273.0,6274.0,2793.8047
149,18.0101,17.2734,2.0135,17.8034,309.0,25130.0,2793.8047
150,17.7784,16.9852,1.6591,17.6966,309.0,8386.0,2793.8047
151,17.6935,17.2251,1.8662,17.3375,308.0,8374.0,2793.8047
152,17.2962,17.29,1.9698,19.5925,310.0,11794.0,2793.8047
153,19.67,17.2954,2.8825,16.744,308.0,11064.0,2793.8047
154,16.7135,17.5442,2.4449,17.5589,313.0,8668.0,2793.8047
155,17.6206,17.6109,2.7099,18.8797,308.0,9826.0,2793.8047
156,18.8513,17.3755,2.3823,17.4534,280.0,6410.0,2793.8047
157,17.4125,17.5272,2.0778,18.3764,276.0,6336.0,2793.8047
158,18.4184,17.1291,2.2179,17.4368,277.0,6300.0,2793.8047
159,17.4305,17.1499,2.0762,18.3529,276.0,6288.0,2793.8047
160,18.3479,17.3265,2.0952,18.028,275.0,6298.0,2793.8047
161,17.9988,17.4844,1.9427,18.2244,273.0,6274.0,2793.8047
162,18.236,17.1213,1.9308,16.6545,309.0,9334.0,2793.8047
163,16.6133,16.5125,1.8785,18.3211,279.0,6634.0,2793.8047
164,18.3371,17.2839,1.9767,17.3175,292.0,10742.0,2793.8047
165,17.3245,17.288,1.8437,17.8089,278.0,6822.0,2793.8047
166,17.8331,17.2157,1.9729,17.9777,274.0,6286.0,2793.8047
167,17.9474,17.2555,2.0181,18.1265,309.0,23704.0,2793.8047
168,18.1305,17.2704,2.2517,17.7618,311.0,25588.0,2793.8047
169,17.7898,17.4111,2.1737,18.356,311.0,22318.0,2793.8047
170,18.4,17.3615,2.0536,17.7314,318.0,23497.0,2793.8047
171,17.7871,17.4819,2.0795,18.3949,315.0,24716.0,2793.8047
172,18.3335,17.3348,1.964,17.2098,315.0,26225.0,2793.8047
173,17.1764,16.8111,2.1235,18.42,310.0,24072.0,2793.8047
174,18.401,18.4876,1.8463,18.4485,311.0,9230.0,2793.8047
175,18.4856,17.1152,2.2505,18.9401,312.0,14830.0,2793.8047
176,18.9322,17.2241,2.0143,16.497,314.0,13987.0,2793.8047
177,16.5631,17.2805,1.8654,17.6921,309.0,8386.0,2793.8047
178,17.5979,17.2174,1.8137,17.4253,310.0,8398.0,2793.8047
179,17.4257,17.2826,1.9588,17.8606,309.0,9314.0,2793.8047
180,17.8629,17.2168,2.0373,17.5053,308.0,8838.0,2793.8047
181,17.5163,16.993,1.9272,17.7549,310.0,10718.0,2793.8047
182,17.7058,17.9173,2.1221,17.8751,310.0,10245.0,2793.8047
183,18.0147,17.4106,2.4798,18.7141,308.0,8374.0,2793.8047
184,18.6627,17.339,2.0682,17.8394,308.0,10438.0,2793.8047
185,17.8327,17.4603,2.0767,17.8032,308.0,8374.0,2793.8047
186,17.7574,17.2485,1.9602,17.8996,312.0,8378.0,2793.8047
187,18.026,17.3586,2.0564,18.873,319.0,16379.0,2793.8047
188,18.7694,17.1634,2.2055,17.5565,314.0,14553.0,2793.8047
189,17.5803,17.1963,2.025,17.6314,312.0,12664.0,2793.8047
190,17.5871,17.2156,1.889,17.6283,311.0,8388.0,2793.8047
191,17.6507,17.1868,1.9037,17.7052,314.0,16148.0,2793.8047
192,17.7255,16.9427,1.8973,17.6799,310.0,13638.0,2793.8047
193,17.6389,17.3212,1.8035,17.9622,310.0,15390.0,2793.8047
194,17.9715,17.2775,2.0942,17.7162,311.0,17368.0,2793.8047
195,17.7408,17.3421,1.9786,18.028,311.0,24040.0,2793.8047
196,18.0638,17.4617,2.6807,18.0094,311.0,16894.0,2793.8047
197,17.9947,17.3426,2.2662,17.8496,306.0,20197.0,2793.8047
198,17.8352,17.3458,2.1802,18.7288,277.0,6466.0,2793.8047
199,18.6676,17.2061,1.8307,16.7955,274.0,6286.0,2793.8047
200,16.8554,17.1014,1.9668,17.6297,273.0,6274.0,2793.8047
201,17.598,17.596,1.8443,19.035,312.0,25262.0,2793.8047
202,19.0249,17.7253,1.8382,17.687,312.0,8378.0,2793.8047
203,17.73,17.2053,1.9632,17.8641,313.0,8390.0,2793.8047
204,17.8848,17.3097,2.0299,17.9853,313.0,11786.0,2793.8047
205,17.9079,17.2276,1.7764,17.5695,310.0,11066.0,2793.8047
206,17.5671,16.8767,1.6764,17.3433,310.0,8654.0,2793.8047
207,17.3895,17.1948,1.7692,17.4565,304.0,9704.0,2793.8047
208,17.4234,17.3715,1.9109,17.7452,275.0,6394.0,2793.8047
209,17.7709,17.239,1.8792,17.6913,275.0,6346.0,2793.8047
210,17.6768,17.3149,2.0879,18.0254,273.0,6274.0,2793.8047
211,18.0968,17.347,2.3587,17.8575,274.0,6286.0,2793.8047
212,17.7779,17.2516,2.0737,18.3762,273.0,6274.0,2793.8047
213,18.3927,17.4427,2.0374,17.647,273.0,6274.0,2793.8047
214,17.6309,17.1384,1.8436,17.6918,308.0,9322.0,2793.8047
215,17.7432,16.9386,1.9567,18.682,295.0,10970.0,2793.8047
216,18.6874,18.5096,1.9793,18.0922,281.0,7002.0,2793.8047
217,18.0696,17.4215,1.8897,17.6778,274.0,6286.0,2793.8047
218,17.675,17.144,1.8434,17.7914,298.0,10262.0,2793.8047
219,17.8864,17.1593,1.8762,17.7148,312.0,29644.0,2793.8047
220,17.598,17.3246,1.8564,17.7922,314.0,22432.0,2793.8047
221,17.8829,17.2152,2.1936,17.8608,316.0,24948.0,2793.8047
222,17.7755,17.1266,1.8558,17.4596,314.0,23833.0,2793.8047
223,17.5008,17.3298,1.9453,17.9479,310.0,21334.0,2793.8047
224,17.9401,17.3734,2.2933,18.1345,311.0,31407.0,2793.8047
225,18.2396,17.4445,2.2214,18.5514,308.0,14448.0,2793.8047
226,18.4933,17.4234,1.9452,17.442,309.0,9050.0,2793.8047
227,17.3757,17.3982,1.8087,18.033,312.0,17882.0,2793.8047
228,18.0493,17.1248,1.8359,17.2292,310.0,10245.0,2793.8047
