capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,16.3064,16.4004,3.1055,19.8752,477.0,29363.0,2960.5312
121,19.7126,16.7368,2.7622,15.0167,521.0,35059.0,2960.5312
122,15.0739,16.7092,2.8182,17.0387,475.0,30361.0,2960.5312
123,17.0136,17.1384,2.669,17.724,477.0,30385.0,2960.5312
124,17.666,16.7809,2.5878,18.2773,524.0,52698.0,2960.5312
125,18.2905,16.3822,2.6601,17.2695,860.0,120667.0,2960.5312
126,17.3073,17.1104,2.9025,19.9382,511.0,56687.0,2960.5312
127,19.9912,16.4202,3.1916,15.9394,511.0,35185.0,2960.5312
128,15.8985,16.5082,3.4508,17.4396,836.0,94686.0,2960.5312
129,17.49,17.0629,3.0067,16.7257,508.0,36825.0,2960.5312
130,16.785,17.0522,2.7771,17.2859,509.0,34305.0,2960.5312
131,17.1939,16.7513,2.7164,18.431,509.0,33449.0,2960.5312
132,18.4208,17.5116,2.7404,17.5397,517.0,37965.0,2960.5312
133,17.5261,16.3439,2.6741,15.5351,515.0,32477.0,2960.5312
134,15.4847,16.5886,2.4801,17.9283,515.0,32477.0,2960.5312
135,18.054,15.9248,2.8366,16.4486,513.0,32199.0,2960.5312
136,16.3711,16.2117,2.6071,16.4334,803.0,77416.0,2960.5312
137,16.4589,17.2983,2.8518,18.4581,512.0,33867.0,2960.5312
138,18.424,16.5873,2.7304,15.7104,513.0,32305.0,2960.5312
139,15.7027,16.4799,2.7596,18.3285,835.0,129497.0,2960.5312
140,18.4859,16.9729,3.7589,17.0735,510.0,32315.0,2960.5312
141,17.0153,17.5351,3.7092,19.2817,527.0,33065.0,2960.5312
142,19.172,15.9359,2.66,15.7044,511.0,29697.0,2960.5312
143,15.7175,17.1895,2.6408,19.401,531.0,35137.0,2960.5312
144,19.6411,17.4217,2.8466,18.4218,509.0,32449.0,2960.5312
145,18.1843,16.6671,2.5993,15.5351,510.0,32709.0,2960.5312
146,15.5163,17.1744,2.5074,17.1763,510.0,34845.0,2960.5312
147,17.193,16.5404,2.6292,17.3671,840.0,103978.0,2960.5312
148,17.3826,16.9082,2.6483,17.9317,515.0,31997.0,2960.5312
