capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,7.8785,7.67,2.1915,8.1495,806.0,93251.0,2393.5625
121,8.1851,7.1566,1.8488,8.1586,473.0,32353.0,2393.5625
122,8.1574,7.9426,2.4222,8.6758,453.0,28141.0,2393.5625
123,8.6992,7.5655,2.6512,7.5044,453.0,27949.0,2393.5625
124,7.4347,7.8673,2.2071,7.6559,453.0,27949.0,2393.5625
125,7.6487,7.1883,2.0284,8.54,814.0,99899.0,2393.5625
126,8.6377,8.0059,2.1435,7.6109,444.0,27509.0,2393.5625
127,7.5904,7.2873,2.2066,8.1659,453.0,27905.0,2393.5625
128,8.1503,7.7381,1.8222,8.3481,457.0,28439.0,2393.5625
129,8.3121,7.4514,1.8287,8.248,809.0,97461.0,2393.5625
130,8.2487,7.8017,2.1,8.4411,455.0,41345.0,2393.5625
131,8.4772,7.3228,2.3433,8.1029,452.0,32299.0,2393.5625
132,8.1091,7.9233,2.3327,8.3005,451.0,38507.0,2393.5625
133,8.3066,7.2149,3.0999,8.0882,772.0,83503.0,2393.5625
134,8.0856,7.8561,2.3748,9.0026,452.0,40747.0,2393.5625
135,9.0456,7.6213,2.6275,7.7756,455.0,30915.0,2393.5625
136,7.7699,7.801,2.2349,7.9126,453.0,28423.0,2393.5625
137,7.8606,7.1678,2.3641,8.7312,805.0,100717.0,2393.5625
138,8.7798,8.0695,2.4951,7.4226,453.0,32305.0,2393.5625
139,7.3794,7.2335,2.2408,7.7065,453.0,39235.0,2393.5625
140,7.7252,7.8998,2.1836,7.7682,454.0,32639.0,2393.5625
141,7.7294,7.3807,1.7245,8.4599,456.0,43841.0,2393.5625
142,8.5457,7.7568,1.845,7.8561,776.0,74891.0,2393.5625
143,7.7649,7.1989,1.9046,7.9315,457.0,28145.0,2393.5625
144,7.9607,8.1384,1.9647,8.6026,454.0,28651.0,2393.5625
145,8.5881,7.1626,2.1741,7.2182,454.0,28633.0,2393.5625
146,7.4554,7.7583,2.0624,8.9813,706.0,59921.0,2393.5625
147,8.7226,7.1096,1.8562,7.6918,451.0,26869.0,2393.5625
148,7.8199,8.1994,2.1107,8.0007,452.0,27409.0,2393.5625
149,7.9703,7.3558,1.6935,7.9968,454.0,27877.0,2393.5625
150,8.0273,7.7399,2.2329,8.9114,770.0,93263.0,2393.5625
151,8.8122,7.3235,2.254,7.4985,458.0,42291.0,2393.5625
152,7.5818,7.1932,2.4008,7.817,449.0,29469.0,2393.5625
153,7.7488,7.5774,2.1436,8.2085,452.0,28401.0,2393.5625
154,8.1785,7.6937,1.9299,8.2415,808.0,94767.0,2393.5625
155,8.2449,7.7492,2.085,7.8562,452.0,26449.0,2393.5625
156,7.8595,7.2669,1.7454,8.2566,451.0,26533.0,2393.5625
157,8.3299,7.9385,1.9199,7.4561,456.0,27653.0,2393.5625
158,7.3931,7.17,1.9356,7.844,455.0,28087.0,2393.5625
159,7.7965,7.6199,1.7794,8.8838,812.0,94243.0,2393.5625
160,8.9571,7.5627,1.873,7.7602,454.0,29727.0,2393.5625
161,7.7709,8.0513,2.0472,8.1482,453.0,99971.0,2393.5625
162,8.1163,7.1201,1.8499,8.3551,454.0,44559.0,2393.5625
163,8.4015,7.9463,2.1411,8.1992,806.0,94119.0,2393.5625
164,8.1872,7.1897,2.0279,7.6999,454.0,26665.0,2393.5625
165,7.6906,7.6709,2.0334,7.7953,450.0,26617.0,2393.5625
166,7.8095,7.369,1.9106,8.0423,459.0,55243.0,2393.5625
167,8.0141,7.9321,1.9511,8.344,815.0,110175.0,2393.5625
168,8.3088,7.1412,1.8575,7.7287,450.0,33381.0,2393.5625
169,7.7456,8.0436,2.2396,8.04,441.0,28345.0,2393.5625
170,8.0744,7.0925,1.8122,8.0022,452.0,28559.0,2393.5625
171,8.1149,7.5296,2.03,8.8078,805.0,96027.0,2393.5625
172,8.6753,7.4905,2.0583,7.4614,452.0,29215.0,2393.5625
173,7.5671,8.0942,2.2356,9.1351,443.0,27401.0,2393.5625
174,9.107,7.1295,2.3836,8.8419,456.0,28721.0,2393.5625
175,8.7693,7.9692,2.351,7.3581,455.0,28463.0,2393.5625
176,7.3228,7.2011,1.9186,8.3183,807.0,94673.0,2393.5625
177,8.3915,7.6175,2.0107,7.825,455.0,31987.0,2393.5625
178,7.8589,7.5872,2.0917,8.8274,456.0,32869.0,2393.5625
179,8.8128,7.9988,2.2151,7.6317,450.0,33717.0,2393.5625
180,7.6403,7.1291,2.2535,8.1485,769.0,80371.0,2393.5625
181,8.2269,7.8492,1.9954,8.0361,452.0,37196.0,2393.5625
182,7.9587,7.289,2.9668,8.7663,476.0,35522.0,2393.5625
183,8.8034,7.3883,2.2877,7.5795,450.0,30733.0,2393.5625
184,7.484,7.4845,2.6172,7.9625,719.0,66331.0,2393.5625
185,8.0061,8.1042,2.2748,9.0342,452.0,32233.0,2393.5625
186,9.0569,7.3383,2.6459,10.6101,452.0,33477.0,2393.5625
187,10.6207,7.3383,3.4395,8.1473,451.0,47765.0,2393.5625
188,8.1663,7.065,2.3644,9.1417,695.0,62523.0,2393.5625
189,9.1267,7.8815,2.4779,7.9742,454.0,29831.0,2393.5625
190,7.9324,7.7093,2.4752,8.3148,420.0,26021.0,2393.5625
191,8.2934,8.1309,2.3529,8.1866,420.0,25781.0,2393.5625
192,8.2254,7.2137,2.3681,8.8254,416.0,25755.0,2393.5625
193,8.8457,7.7896,2.64,8.6197,807.0,94205.0,2393.5625
194,8.636,7.1679,2.4933,8.1597,427.0,26559.0,2393.5625
195,8.1713,7.9895,2.5555,8.808,416.0,25777.0,2393.5625
196,8.7884,7.5295,2.3815,8.2223,414.0,24753.0,2393.5625
197,8.1976,7.3759,2.5047,10.5779,826.0,103087.0,2393.5625
198,10.6192,7.3759,2.7465,9.4451,450.0,30353.0,2393.5625
199,9.5573,7.2847,3.0434,9.8854,474.0,32173.0,2393.5625
200,9.79,7.2656,3.0505,10.7581,450.0,26913.0,2393.5625
201,10.7311,7.2656,2.9148,9.1052,798.0,97995.0,2393.5625
202,9.0935,8.2371,2.7298,8.6881,417.0,25981.0,2393.5625
203,8.6835,7.4142,2.4399,8.7738,416.0,25777.0,2393.5625
204,8.8236,7.5547,2.5347,8.4713,433.0,28509.0,2393.5625
205,8.4384,7.8402,2.3341,11.4485,774.0,92059.0,2393.5625
206,11.6015,7.871,2.9953,10.3376,419.0,25961.0,2393.5625
207,10.3325,7.547,3.3866,11.7123,457.0,30705.0,2393.5625
208,11.7418,10.907,3.7786,14.6727,450.0,44883.0,2393.5625
209,14.5256,7.7907,3.4362,9.875,421.0,25815.0,2393.5625
210,9.8861,7.2549,2.6629,9.1798,769.0,92021.0,2393.5625
211,9.2231,7.2549,2.5836,8.9958,448.0,42001.0,2393.5625
212,8.9187,8.032,2.4582,7.9776,420.0,25825.0,2393.5625
213,7.9339,7.3409,2.2175,8.3304,415.0,25681.0,2393.5625
214,8.337,7.8604,2.4341,9.4427,763.0,89745.0,2393.5625
215,9.5049,7.3749,2.6696,8.3302,419.0,26005.0,2393.5625
216,8.3355,7.8548,2.7732,8.5176,415.0,25765.0,2393.5625
217,8.6015,7.4453,2.7126,9.6986,417.0,25789.0,2393.5625
218,9.6067,7.6587,3.2993,10.0302,771.0,94419.0,2393.5625
219,10.0347,7.3569,3.0039,10.7723,434.0,35945.0,2393.5625
220,10.7567,7.3569,2.9245,10.0182,415.0,25765.0,2393.5625
221,10.1288,7.5271,2.8635,10.4984,418.0,25757.0,2393.5625
222,10.4124,7.5271,3.0382,9.5625,808.0,99955.0,2393.5625
223,9.5297,7.7991,2.7705,7.2825,453.0,33329.0,2393.5625
224,7.289,8.4594,2.4989,11.3596,452.0,30459.0,2393.5625
225,11.3473,8.4594,2.7019,7.92,451.0,29135.0,2393.5625
226,7.9899,7.2536,2.5124,9.1284,458.0,27987.0,2393.5625
227,9.119,7.2536,2.5127,9.2744,807.0,98883.0,2393.5625
228,9.241,7.5432,2.9597,10.1832,449.0,28093.0,2393.5625
229,10.1855,7.5432,2.6005,9.3786,442.0,30665.0,2393.5625
230,9.4067,7.8341,2.87,8.7138,450.0,26829.0,2393.5625
231,8.6966,7.2754,2.8308,8.7158,793.0,79291.0,2393.5625
232,8.719,7.7754,2.5466,8.6363,451.0,27117.0,2393.5625
233,8.7563,7.7064,2.3595,10.1374,475.0,32101.0,2393.5625
234,10.0181,7.7064,2.5599,9.5894,449.0,26817.0,2393.5625
235,9.7553,7.7458,3.3266,8.7661,789.0,80039.0,2393.5625
236,8.583,7.1167,2.9908,8.6361,441.0,27517.0,2393.5625
237,8.6537,8.0288,2.6327,8.9828,457.0,27953.0,2393.5625
238,8.9505,7.5152,2.3947,9.1058,456.0,28405.0,2393.5625
239,9.1521,7.7562,2.458,8.0423,811.0,97463.0,2393.5625
240,8.0292,7.1696,2.3645,9.3535,456.0,41357.0,2393.5625
241,9.4401,7.1638,2.572,9.753,454.0,32493.0,2393.5625
242,9.6852,7.7655,2.5566,9.1987,454.0,37605.0,2393.5625
243,9.215,7.5007,2.6103,10.8183,449.0,37725.0,2393.5625
244,10.759,7.4322,2.6185,9.1299,828.0,115389.0,2393.5625
