capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,15.8759,14.9646,2.221,14.177,293.0,65270.0,2990.4062
121,14.1887,14.8856,2.0306,15.3974,292.0,57838.0,2990.4062
122,15.3974,14.7087,1.9861,15.5743,272.0,55886.0,2990.4062
123,15.6404,14.8918,2.4601,15.2427,295.0,84230.0,2990.4062
124,15.1641,14.9245,2.5572,14.866,293.0,92088.0,2990.4062
125,14.9558,14.8395,2.4451,16.1028,298.0,56402.0,2990.4062
126,16.0412,15.7027,2.616,16.1533,297.0,55326.0,2990.4062
127,16.1079,14.951,2.5769,14.9704,297.0,55280.0,2990.4062
128,15.0416,14.9807,2.659,15.9994,296.0,55244.0,2990.4062
129,15.9935,14.8642,2.1467,15.1969,297.0,55256.0,2990.4062
130,15.3712,14.3695,2.2705,15.1002,297.0,55256.0,2990.4062
131,14.8835,13.741,2.2207,15.415,294.0,55706.0,2990.4062
132,15.4416,13.9852,2.1889,14.1262,295.0,55254.0,2990.4062
133,14.0822,14.9374,2.1036,16.7422,296.0,55730.0,2990.4062
134,16.7651,14.7545,2.3731,14.2145,295.0,55718.0,2990.4062
135,14.2393,15.0292,2.1731,15.2195,294.0,55400.0,2990.4062
136,15.2075,14.9835,2.0446,15.647,294.0,56022.0,2990.4062
137,15.7871,14.7744,2.2059,14.9776,294.0,55836.0,2990.4062
138,14.8336,14.8767,2.1883,15.5537,294.0,56746.0,2990.4062
139,15.6043,14.9596,2.3502,15.7986,293.0,56130.0,2990.4062
140,15.7742,14.6765,2.417,14.8809,294.0,55836.0,2990.4062
141,14.8286,15.0158,2.1614,15.8053,300.0,56338.0,2990.4062
142,15.826,14.9352,1.9904,16.0599,298.0,56332.0,2990.4062
143,16.0688,14.9558,2.3141,15.2212,299.0,56946.0,2990.4062
144,15.1851,13.773,2.0305,15.6918,296.0,55708.0,2990.4062
145,15.7315,14.671,2.1291,14.6004,296.0,55244.0,2990.4062
146,14.59,14.7398,2.0375,14.8476,298.0,60884.0,2990.4062
147,14.9253,14.926,2.1278,15.862,295.0,71016.0,2990.4062
148,15.828,14.9848,2.0754,14.7735,297.0,59476.0,2990.4062
149,14.7735,14.8622,2.1301,15.5987,300.0,72928.0,2990.4062
150,15.6309,14.9562,2.2537,15.0964,301.0,75084.0,2990.4062
151,15.0124,14.9207,2.3355,15.2205,261.0,54988.0,2990.4062
152,15.2276,14.2096,2.0691,15.1173,260.0,53154.0,2990.4062
153,15.1014,14.8647,1.9685,15.4024,267.0,54844.0,2990.4062
154,15.4901,14.5511,2.0976,15.3763,277.0,54590.0,2990.4062
155,15.2837,14.4713,2.0092,15.3812,275.0,56820.0,2990.4062
156,15.397,14.0335,2.3074,14.8065,271.0,55626.0,2990.4062
157,14.8474,14.4211,2.2381,15.9085,290.0,61461.0,2990.4062
158,15.898,14.7825,2.1274,15.4609,299.0,59404.0,2990.4062
159,15.4829,15.2091,2.2413,15.4274,277.0,55742.0,2990.4062
160,15.4742,14.9801,2.3582,15.723,265.0,53552.0,2990.4062
161,15.7227,14.6143,2.6703,13.7379,261.0,53144.0,2990.4062
162,13.8253,14.9816,2.9043,15.7865,261.0,53144.0,2990.4062
163,15.6651,14.9477,2.8624,15.3158,260.0,53154.0,2990.4062
164,15.3026,14.7074,2.5426,16.0374,287.0,74754.0,2990.4062
165,16.0445,15.0033,2.3679,15.118,284.0,66384.0,2990.4062
166,15.0907,14.6529,2.0536,16.3588,305.0,79307.0,2990.4062
167,16.3808,14.5687,2.2864,14.4787,298.0,60001.0,2990.4062
168,14.4895,14.0784,2.3152,16.4359,294.0,59206.0,2990.4062
169,16.4368,14.3167,2.4518,14.1335,295.0,60601.0,2990.4062
170,14.1243,14.79,2.6361,16.0503,298.0,59108.0,2990.4062
171,16.0731,14.7893,2.3894,15.5284,295.0,57066.0,2990.4062
172,15.5202,15.0504,3.0676,14.7577,293.0,55230.0,2990.4062
173,14.7422,14.8386,2.8858,14.6682,305.0,60995.0,2990.4062
174,14.7104,14.8745,2.6188,17.3979,300.0,57581.0,2990.4062
175,17.4125,15.305,2.9379,13.7785,303.0,64967.0,2990.4062
176,13.7299,15.0014,2.8945,16.115,293.0,56716.0,2990.4062
177,16.1122,15.3766,2.6972,15.555,298.0,65772.0,2990.4062
178,15.5449,14.8436,2.8438,15.1638,296.0,57544.0,2990.4062
179,15.2209,14.6737,2.1016,16.3705,267.0,55266.0,2990.4062
180,16.2979,14.668,2.2208,15.6525,296.0,84242.0,2990.4062
181,15.7394,13.8112,2.2519,14.1497,293.0,92088.0,2990.4062
182,14.0714,14.8122,2.3372,14.4746,294.0,56398.0,2990.4062
183,14.5519,14.9705,2.4864,16.0263,295.0,55346.0,2990.4062
184,15.9998,14.8119,2.3043,16.9554,294.0,55288.0,2990.4062
185,16.9294,15.0191,2.207,14.0957,295.0,55254.0,2990.4062
186,14.1683,14.9443,2.3165,16.611,295.0,55254.0,2990.4062
187,16.5846,14.8102,2.7013,13.8769,293.0,55230.0,2990.4062
188,14.0036,14.9911,2.5785,14.511,293.0,55694.0,2990.4062
189,14.3207,14.9942,2.3559,15.8366,298.0,55246.0,2990.4062
190,15.8547,14.7949,2.4339,16.3413,297.0,55698.0,2990.4062
191,16.3785,15.0469,2.2958,14.7219,297.0,55698.0,2990.4062
192,14.6957,14.6748,2.1941,15.1405,295.0,55390.0,2990.4062
