capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,8.5127,7.1042,2.7326,8.8338,249.0,39331.0,2417.25
121,8.978,7.1042,2.7331,8.6609,248.0,39275.0,2417.25
122,8.4838,8.9574,2.8593,9.1648,269.0,46817.0,2417.25
123,9.1454,6.6364,2.4083,8.5942,249.0,39287.0,2417.25
124,8.6802,8.2379,2.5854,7.36,246.0,39273.0,2417.25
125,7.2951,6.5546,2.555,9.6463,282.0,42389.0,2417.25
126,9.6887,6.5824,2.7106,8.1531,286.0,43121.0,2417.25
127,8.1342,6.5824,2.6409,9.5347,289.0,79411.0,2417.25
128,9.5759,6.589,2.7986,8.3585,291.0,85645.0,2417.25
129,8.3417,6.589,2.7984,9.5532,261.0,43027.0,2417.25
130,9.6456,8.2421,3.06,8.0322,283.0,76931.0,2417.25
131,7.9286,8.2941,2.9984,10.7644,288.0,69407.0,2417.25
132,10.7848,7.4952,3.0474,9.5148,279.0,41323.0,2417.25
133,9.6278,7.4952,2.8444,9.1734,261.0,40659.0,2417.25
134,9.1392,7.9799,2.7917,9.2067,255.0,39883.0,2417.25
135,9.132,8.3638,2.654,8.0609,252.0,39703.0,2417.25
136,8.0509,8.3434,2.6686,10.8077,281.0,45285.0,2417.25
137,10.823,6.5597,2.7874,9.2264,286.0,44902.0,2417.25
138,9.1712,6.5597,3.7674,9.7201,289.0,45189.0,2417.25
139,9.7592,6.8788,3.4323,9.6308,287.0,44818.0,2417.25
140,9.6584,7.3666,2.8598,10.6575,275.0,42668.0,2417.25
141,10.6259,8.5883,3.1048,10.5584,284.0,51921.0,2417.25
142,10.5721,6.7746,2.8981,9.46,267.0,45738.0,2417.25
143,9.5366,8.1439,3.6004,10.2007,245.0,39283.0,2417.25
144,10.2553,7.5144,3.373,10.56,252.0,39607.0,2417.25
145,10.4902,7.7498,3.312,10.7824,246.0,39295.0,2417.25
146,10.7588,8.3033,2.9029,10.6308,254.0,39953.0,2417.25
147,10.6155,6.7089,3.2924,11.1674,248.0,39319.0,2417.25
148,11.1832,7.6959,3.1534,9.9647,268.0,41101.0,2417.25
149,9.983,7.6959,3.0265,9.4586,245.0,39283.0,2417.25
150,9.5517,6.8664,2.988,10.223,281.0,41443.0,2417.25
151,10.0596,6.8664,2.9691,9.4934,287.0,53667.0,2417.25
152,9.513,7.0746,3.0098,10.4192,283.0,42495.0,2417.25
