capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
500,16.1625,15.2513,2.3859,16.2063,594.0,83938.0,3097.0547
501,15.7641,15.1684,2.4173,15.7129,602.0,84498.0,3097.0547
502,14.9637,15.0639,2.4931,15.0266,597.0,84460.0,3097.0547
503,15.4508,14.8138,2.3369,15.431,603.0,125721.0,3097.0547
504,15.8621,15.1012,2.1,15.852,599.0,169959.0,3097.0547
505,15.2524,15.123,2.0176,15.2623,598.0,123620.0,3097.0547
506,15.7032,14.8487,2.0579,15.5747,594.0,83960.0,3097.0547
507,15.3927,14.8883,1.9778,15.5198,596.0,83972.0,3097.0547
508,15.4833,14.9154,1.9917,15.5093,598.0,83996.0,3097.0547
509,15.4655,15.0878,2.0319,15.4579,597.0,83984.0,3097.0547
510,15.5572,14.8118,1.9286,15.541,598.0,84598.0,3097.0547
511,15.0774,14.7788,2.0239,15.0783,598.0,86316.0,3097.0547
512,15.207,14.9323,1.942,15.1093,605.0,88350.0,3097.0547
513,15.5758,14.7996,1.8655,15.6418,604.0,84024.0,3097.0547
514,15.1202,14.8385,1.9714,15.1544,601.0,84480.0,3097.0547
515,16.1324,15.0415,1.9978,16.1409,606.0,87029.0,3097.0547
516,15.4096,14.8594,2.1381,15.3544,598.0,84438.0,3097.0547
517,15.6725,15.1114,2.3322,15.7129,598.0,84902.0,3097.0547
518,15.1955,14.8685,2.1199,15.1641,595.0,85724.0,3097.0547
519,15.3307,14.7659,2.076,15.3282,598.0,86564.0,3097.0547
520,15.5645,15.0728,2.0626,15.6053,599.0,88296.0,3097.0547
521,15.5465,14.8575,2.0078,15.505,602.0,84044.0,3097.0547
522,16.4072,14.9062,2.277,15.4886,598.0,86684.0,3097.0547
523,14.8234,14.9228,3.0891,15.7401,598.0,84364.0,3097.0547
524,15.1397,15.1089,2.3673,15.1515,601.0,84400.0,3097.0547
525,15.3554,14.8266,2.0244,15.3434,598.0,90248.0,3097.0547
526,15.1286,14.8208,2.1583,15.136,599.0,90508.0,3097.0547
527,15.8136,15.1671,2.1423,15.7686,599.0,85492.0,3097.0547
528,15.475,14.9336,2.1861,15.5189,600.0,85835.0,3097.0547
529,15.5718,14.8361,2.2865,15.572,598.0,85811.0,3097.0547
530,15.3947,15.1092,2.3891,15.3761,606.0,84060.0,3097.0547
531,15.6162,14.8463,2.0813,15.6468,599.0,83998.0,3097.0547
532,15.341,14.9409,2.0448,15.311,604.0,88752.0,3097.0547
533,15.918,15.2755,2.0647,15.9182,597.0,84342.0,3097.0547
534,16.1978,15.2226,2.1977,16.2288,596.0,88374.0,3097.0547
535,14.8847,14.8337,1.9977,14.8092,598.0,84008.0,3097.0547
536,15.7769,14.9079,2.1533,15.7323,600.0,84044.0,3097.0547
537,15.3996,15.0694,2.0606,15.4849,595.0,85088.0,3097.0547
538,15.464,15.1082,2.1744,15.473,599.0,84032.0,3097.0547
539,16.1941,14.8597,2.1626,16.19,597.0,84008.0,3097.0547
540,15.1436,15.1186,2.2098,15.1647,600.0,84044.0,3097.0547
541,15.3186,15.0274,1.9702,15.1979,670.0,60754.0,3097.0547
542,15.3552,14.888,4.1059,15.435,415.0,45262.0,3097.0547
543,19.18,15.3179,3.7168,19.1832,377.0,40010.0,3097.0547
544,13.2144,15.22,2.3874,13.2472,417.0,41702.0,3097.0547
545,16.7592,16.5756,2.1886,16.7337,417.0,38682.0,3097.0547
546,14.9115,14.5995,2.2667,14.9361,441.0,85222.0,3097.0547
547,15.0653,13.9705,2.1117,15.0523,376.0,42008.0,3097.0547
548,14.3721,14.2733,2.144,14.3608,372.0,37556.0,3097.0547
549,13.8328,13.5667,2.3224,13.8701,374.0,38032.0,3097.0547
550,13.9784,13.5528,1.9573,13.9547,375.0,38530.0,3097.0547
551,14.2796,13.6241,1.9726,14.2736,370.0,37542.0,3097.0547
552,13.8542,13.7021,2.1488,13.8608,371.0,38482.0,3097.0547
553,16.063,13.4493,1.916,16.0149,371.0,38946.0,3097.0547
554,13.882,13.6412,2.6322,13.8881,370.0,54342.0,3097.0547
555,12.8255,13.4984,2.455,12.8342,381.0,57222.0,3097.0547
556,13.5276,13.3459,2.3524,13.5724,373.0,39889.0,3097.0547
557,13.7851,13.437,2.4835,13.802,371.0,37554.0,3097.0547
558,13.7301,13.4495,2.8385,13.7243,372.0,41442.0,3097.0547
559,14.2122,13.4637,2.2066,14.1812,373.0,38646.0,3097.0547
560,13.9915,13.4469,1.902,13.9899,373.0,45772.0,3097.0547
561,13.713,13.275,2.3062,13.7094,374.0,54952.0,3097.0547
562,14.0946,13.3317,1.8345,14.0885,373.0,58386.0,3097.0547
563,14.3133,13.3474,1.9702,14.2872,372.0,50902.0,2969.0547
564,14.3135,13.5534,2.1382,14.3054,375.0,40828.0,2969.0547
565,13.6799,13.3942,1.9958,13.7329,373.0,43136.0,2969.0547
566,13.6218,13.2775,1.948,13.6199,372.0,40374.0,2969.0547
567,14.0132,13.498,2.0414,13.9752,370.0,39314.0,2969.0547
568,13.9435,13.38,2.44,13.9802,372.0,37566.0,2969.0547
569,13.6068,13.2423,2.2415,13.5689,372.0,37566.0,2969.0547
570,14.7545,14.1083,2.0801,14.7342,369.0,44242.0,2969.0547
571,14.0954,13.4984,2.2363,14.1471,373.0,39718.0,2969.0547
572,14.0426,13.4805,2.0646,14.0252,372.0,53284.0,2969.0547
573,13.8713,13.2468,2.1401,13.8724,371.0,44542.0,2969.0547
574,14.4997,13.3487,2.1341,14.4747,370.0,44416.0,2969.0547
575,13.6776,13.4715,2.2591,13.6948,372.0,43032.0,2969.0547
576,13.7053,13.5417,2.2037,13.6411,374.0,38010.0,2969.0547
577,13.5411,13.2204,2.0917,13.6345,377.0,38046.0,2969.0547
578,13.7225,13.413,2.0239,13.6819,376.0,40890.0,2969.0547
579,14.2062,13.5167,2.1899,14.2511,372.0,41720.0,2969.0547
580,14.0195,13.2187,2.0512,13.9928,372.0,39400.0,2969.0547
581,13.8712,13.5276,1.9902,13.8704,373.0,38948.0,2969.0547
582,13.7487,13.4571,1.9935,13.7565,370.0,38934.0,2969.0547
583,14.6894,13.2053,2.0128,14.6827,369.0,38922.0,2969.0547
584,13.429,13.4403,2.1453,13.4017,372.0,37566.0,2969.0547
585,13.9962,13.4674,2.0789,14.0127,370.0,38470.0,2969.0547
586,13.8659,13.3247,1.8939,13.8209,377.0,57863.0,2969.0547
587,13.6434,13.1792,2.1043,13.6964,373.0,106011.0,2969.0547
588,14.2553,13.4702,1.9751,14.2238,372.0,50940.0,2969.0547
589,13.3016,13.4393,1.9592,13.3396,370.0,37542.0,2969.0547
590,14.1122,13.2764,1.9203,14.1014,372.0,37566.0,2969.0547
591,14.6761,13.5865,2.0577,14.6767,371.0,37554.0,2969.0547
592,13.8808,13.2862,2.0959,13.8908,374.0,38378.0,2969.0547
593,13.52,13.1759,2.0286,13.5164,375.0,37558.0,2969.0547
594,13.3941,13.2044,2.0619,13.3748,377.0,37582.0,2969.0547
595,14.0691,13.3918,2.0503,14.0849,372.0,37544.0,2969.0547
596,13.7419,13.2372,1.9654,13.7011,374.0,38304.0,2969.0547
597,14.1323,13.4665,2.2163,14.1115,372.0,37544.0,2969.0547
598,13.6703,13.2353,2.0733,13.6734,371.0,37554.0,2969.0547
599,13.8263,13.2295,2.0274,13.8906,374.0,38378.0,2969.0547
600,13.9478,13.5205,2.0264,13.8683,373.0,38830.0,2969.0547
601,13.493,13.3635,2.151,13.5577,368.0,37898.0,2969.0547
602,13.9561,13.1986,1.9942,13.9193,370.0,38088.0,2969.0547
603,13.9738,13.5997,1.9798,13.9731,373.0,39808.0,2969.0547
604,13.5622,13.1965,2.127,13.5773,369.0,40048.0,2969.0547
605,14.0312,13.2387,1.9195,14.0187,370.0,40706.0,2969.0547
606,13.7536,13.3179,2.1588,13.7712,370.0,45028.0,2969.0547
