capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,19.8426,20.7133,2.4773,23.2292,410.0,43966.0,3556.2891
121,23.3272,20.4863,2.6969,22.4591,409.0,45346.0,3556.2891
122,22.4122,20.6157,3.0856,20.4599,410.0,44430.0,3556.2891
123,20.4361,20.68,2.7808,20.5884,412.0,45634.0,3556.2891
124,20.557,21.5525,2.2685,20.7936,416.0,50746.0,3556.2891
125,20.7703,20.4831,2.3104,20.6926,413.0,49502.0,3556.2891
126,20.7071,20.5503,2.5117,21.7224,412.0,48752.0,3556.2891
127,21.7669,22.5925,2.8202,23.2091,412.0,44896.0,3556.2891
128,23.2782,20.8838,2.6147,24.0126,410.0,44872.0,3556.2891
129,23.9809,22.8405,2.8758,22.4422,409.0,44882.0,3556.2891
130,22.4,24.1328,2.9682,23.5947,410.0,43966.0,3556.2891
131,23.5974,22.8776,2.963,26.226,409.0,44958.0,3556.2891
132,26.2394,23.6548,2.8116,22.9401,408.0,44406.0,3556.2891
133,22.9226,21.2288,2.9096,22.0922,413.0,48330.0,3556.2891
134,22.2479,23.2239,3.9986,24.4438,409.0,44882.0,3556.2891
135,24.3753,23.3456,3.3509,22.8093,409.0,44322.0,3556.2891
136,22.7503,22.7154,2.9308,23.3199,408.0,48726.0,3556.2891
137,23.4224,25.9466,3.2309,27.6179,413.0,51442.0,3556.2891
138,27.5277,22.1331,3.2208,23.0146,410.0,44706.0,3556.2891
139,23.0042,25.4912,2.8209,25.0874,414.0,49244.0,3556.2891
140,25.0702,23.7287,2.8254,24.6629,412.0,51170.0,3556.2891
141,24.6501,22.7009,2.6562,22.555,412.0,46864.0,3556.2891
142,22.5933,22.061,2.5639,23.7886,411.0,45418.0,3556.2891
143,23.7608,22.2636,2.5212,22.7413,412.0,48284.0,3556.2891
144,22.7612,23.637,3.3917,24.8893,411.0,43956.0,3556.2891
145,24.8732,21.5907,3.0065,21.6528,409.0,44322.0,3556.2891
146,21.699,25.6366,3.1207,25.6441,413.0,47682.0,3556.2891
147,25.5139,21.9044,2.548,23.4405,409.0,59410.0,3556.2891
148,23.5167,25.2876,2.7217,25.8699,409.0,56114.0,3556.2891
149,25.8586,22.1661,2.4951,22.0722,409.0,47282.0,3556.2891
150,22.125,23.086,2.5687,23.6793,409.0,46162.0,3556.2891
151,23.5934,22.5991,2.3279,22.892,410.0,46094.0,3556.2891
152,22.9721,22.5067,2.4226,23.8401,409.0,46862.0,3556.2891
153,23.7485,23.6323,3.0182,24.388,409.0,44868.0,3556.2891
154,24.5376,21.4779,2.4165,23.3478,410.0,45358.0,3556.2891
155,23.3659,22.9807,3.1138,23.1663,414.0,44434.0,3556.2891
156,23.042,25.5776,3.2535,25.7476,412.0,45146.0,3556.2891
157,25.7743,23.8456,2.5878,25.1209,412.0,45370.0,3556.2891
158,25.1312,25.4216,2.6489,26.9209,412.0,44496.0,3556.2891
159,27.0169,23.7228,2.6327,24.5319,411.0,45380.0,3556.2891
160,24.4196,23.3946,2.6767,22.6789,413.0,42204.0,3556.2891
161,22.6929,22.4889,2.3817,25.2233,408.0,44466.0,3556.2891
162,25.3027,24.9839,2.8334,24.6965,409.0,46182.0,3556.2891
163,24.7669,22.7997,2.785,24.3579,409.0,49418.0,3556.2891
164,24.2586,26.7799,2.8407,28.1597,410.0,48038.0,3556.2891
165,28.1191,21.2379,2.6829,21.8385,409.0,47670.0,3556.2891
166,21.8982,26.3398,2.6154,26.1071,408.0,49718.0,3556.2891
167,26.1823,23.1846,2.9806,24.1967,410.0,47902.0,3556.2891
168,24.2262,24.1175,2.8592,23.9044,408.0,44086.0,3556.2891
169,23.7094,21.8274,2.6092,23.5603,408.0,45462.0,3556.2891
170,23.6722,25.2663,2.8311,24.1509,393.0,44386.0,3556.2891
171,24.1398,21.8104,2.5838,23.7394,378.0,41858.0,3556.2891
172,23.8238,23.5153,2.6149,24.0236,377.0,41846.0,3556.2891
173,23.8944,23.7307,2.2291,24.0619,377.0,41846.0,3556.2891
174,24.1186,22.046,2.5877,24.3228,375.0,41844.0,3556.2891
175,24.2878,24.3621,2.5266,22.6951,390.0,43770.0,3556.2891
176,22.7343,22.2069,2.4646,24.5595,387.0,46056.0,3556.2891
177,24.5879,23.6664,2.8618,23.6569,409.0,49954.0,3556.2891
178,23.5507,22.3021,2.5207,22.9764,409.0,47972.0,3556.2891
179,23.0075,22.9947,2.569,23.1301,393.0,42946.0,3556.2891
180,23.1068,21.891,2.4908,22.4679,376.0,41878.0,3556.2891
181,22.4397,22.6621,2.5424,22.9184,390.0,42718.0,3556.2891
182,23.0367,23.9133,2.6962,24.9798,379.0,42426.0,3556.2891
183,24.9577,21.8926,2.1422,22.5113,373.0,41842.0,3556.2891
184,22.4427,22.8693,2.502,23.9677,413.0,57918.0,3556.2891
