capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,20.6546,21.5422,2.2229,21.6476,356.0,53086.0,3022.7812
121,21.5589,20.1358,2.0063,20.3448,358.0,53110.0,3022.7812
122,20.3515,20.4736,2.102,22.737,357.0,53098.0,3022.7812
123,22.753,20.6356,2.0944,21.1485,356.0,53086.0,3022.7812
124,21.1552,21.2825,2.1156,20.4648,379.0,55328.0,3022.7812
125,20.4784,20.471,2.0814,21.4623,379.0,61116.0,3022.7812
126,21.4892,20.7364,2.4552,21.3474,392.0,69960.0,3022.7812
127,21.3052,21.513,2.2781,21.856,391.0,67390.0,3022.7812
128,21.861,20.5025,2.3379,20.7114,380.0,58238.0,3022.7812
129,20.6891,20.5609,2.0719,22.0671,365.0,53342.0,3022.7812
130,22.1515,20.4106,2.2409,21.4917,367.0,53510.0,3022.7812
131,21.4581,21.5317,2.097,21.2483,391.0,55830.0,3022.7812
132,21.3158,20.3,2.038,20.9643,389.0,56338.0,3022.7812
133,20.8517,20.6942,2.7573,20.7908,382.0,56012.0,3022.7812
134,20.8667,21.0568,2.425,21.2508,362.0,53136.0,3022.7812
135,21.1998,20.4951,2.2087,21.2521,356.0,53086.0,3022.7812
136,21.2829,20.6609,2.0053,20.6371,385.0,54824.0,3022.7812
137,20.7103,20.5918,2.2609,21.7368,380.0,64732.0,3022.7812
138,21.6338,21.8565,2.2347,22.7852,376.0,59024.0,3022.7812
139,22.7774,20.3917,1.9828,20.2692,394.0,69423.0,3022.7812
140,20.2665,20.5953,2.125,22.5778,404.0,87674.0,3022.7812
141,22.5819,20.8398,2.3281,20.9272,394.0,62209.0,3022.7812
142,20.9109,20.8482,2.0343,20.9471,398.0,61863.0,3022.7812
143,20.9627,20.2697,2.0821,20.8665,394.0,57533.0,3022.7812
144,20.9008,20.7941,2.4473,22.2524,395.0,58009.0,3022.7812
145,22.2298,21.0733,2.3681,20.6894,396.0,57014.0,3022.7812
146,20.6564,20.7505,2.0032,21.8044,400.0,58025.0,3022.7812
147,21.7972,20.657,2.1047,21.5286,397.0,56266.0,3022.7812
148,21.6432,20.5276,2.3148,21.0817,393.0,58268.0,3022.7812
149,21.0019,20.8091,2.0178,21.4223,394.0,55664.0,3022.7812
150,21.4113,20.403,2.0869,20.1621,398.0,59406.0,3022.7812
151,20.1885,20.5958,2.0561,21.3656,385.0,58742.0,3022.7812
152,21.4384,21.3131,2.4512,21.5525,358.0,53110.0,3022.7812
153,21.4361,20.5732,2.124,21.1941,359.0,53122.0,3022.7812
154,21.242,20.3998,2.0836,22.5289,356.0,53086.0,3022.7812
155,22.5617,20.6208,2.2591,20.644,361.0,53338.0,3022.7812
156,20.6009,20.9137,2.1913,21.0471,391.0,55186.0,3022.7812
157,21.0984,20.4388,2.0535,20.4218,394.0,55222.0,3022.7812
158,20.3655,20.4742,2.0628,22.1954,392.0,56226.0,3022.7812
159,22.2511,20.2792,2.1085,21.193,393.0,55340.0,3022.7812
160,21.1973,20.6894,2.2565,20.8836,392.0,60078.0,3022.7812
161,20.84,20.2506,2.0542,20.9795,387.0,59706.0,3022.7812
162,20.9816,20.7134,2.256,21.3351,396.0,60654.0,3022.7812
163,21.3548,21.3577,2.2087,21.6876,400.0,55380.0,3022.7812
164,21.6415,20.7325,1.8896,22.0012,399.0,60400.0,3022.7812
165,22.0431,20.3539,2.2786,20.8244,394.0,55200.0,3022.7812
166,20.8784,20.7311,2.2633,21.4494,394.0,55200.0,3022.7812
167,21.3906,21.2687,2.2506,20.5847,393.0,55210.0,3022.7812
168,20.5873,20.5761,2.1051,21.2115,391.0,55186.0,3022.7812
169,21.1943,20.4487,2.1658,21.6837,392.0,55198.0,3022.7812
170,21.6827,20.5407,2.1083,21.2422,392.0,55510.0,3022.7812
171,21.2364,20.8245,1.8683,21.4363,392.0,55974.0,3022.7812
172,21.4276,20.5393,1.8975,20.7531,391.0,56578.0,3022.7812
173,20.9125,20.6346,2.4158,21.9266,392.0,55198.0,3022.7812
174,21.8097,21.1118,2.1697,20.9955,391.0,55186.0,3022.7812
175,21.0217,20.709,2.3503,21.3564,393.0,63402.0,3022.7812
176,21.3441,20.2789,2.1727,21.0743,391.0,57978.0,3022.7812
177,21.1549,20.8347,2.3055,21.8884,396.0,72562.0,3022.7812
178,21.7391,21.4274,2.0712,21.6046,396.0,61282.0,3022.7812
179,21.6236,20.4868,2.114,20.9873,396.0,71826.0,3022.7812
180,21.0172,20.5428,2.4876,20.8193,393.0,55592.0,3022.7812
181,20.8233,20.7575,2.2927,21.0838,396.0,81600.0,3022.7812
182,21.0465,20.6235,1.9146,21.4557,390.0,62563.0,3022.7812
183,21.4926,20.4934,2.0278,20.8711,370.0,59374.0,3022.7812
184,20.9806,20.6409,2.4239,21.3893,356.0,53086.0,3022.7812
185,21.3128,21.0804,2.3938,21.3968,356.0,53086.0,3022.7812
186,21.3854,20.5659,2.1284,20.9748,356.0,53086.0,3022.7812
187,20.9377,20.5269,2.1448,21.9618,356.0,53086.0,3022.7812
188,22.0457,21.0067,2.2897,21.9051,358.0,53110.0,3022.7812
189,21.8226,20.7477,1.9925,20.5023,357.0,53098.0,3022.7812
190,20.508,20.4972,2.0367,20.8018,392.0,61898.0,3022.7812
191,20.8235,20.5556,2.2877,21.4992,377.0,62496.0,3022.7812
192,21.5035,20.7987,2.3505,21.352,358.0,53110.0,3022.7812
193,21.3306,20.6359,2.0328,21.3428,360.0,53090.0,3022.7812
194,21.3597,20.5593,2.0299,22.3898,361.0,53102.0,3022.7812
195,22.4429,20.4509,2.5385,20.1664,363.0,53126.0,3022.7812
196,20.0698,21.0167,2.1748,21.5844,361.0,53268.0,3022.7812
197,21.6322,20.5708,2.1033,21.0844,385.0,58974.0,3022.7812
198,21.067,20.336,2.0143,21.9749,386.0,59786.0,3022.7812
