capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,20.1202,19.8466,2.3728,21.1572,358.0,53088.0,3021.4062
121,21.1057,21.2684,2.0782,20.6478,371.0,53890.0,3021.4062
122,20.6171,19.7969,2.1259,20.1913,359.0,53122.0,3021.4062
123,20.2025,19.2362,2.026,20.3048,358.0,53110.0,3021.4062
124,20.3726,19.7291,2.3236,20.9961,391.0,55186.0,3021.4062
125,21.0121,20.2855,2.2405,20.577,391.0,87106.0,3021.4062
126,20.4757,20.377,2.3006,19.4403,372.0,53998.0,3021.4062
127,19.5607,19.0589,2.0948,19.9178,356.0,53086.0,3021.4062
128,19.8165,18.9852,2.1564,20.3865,356.0,53086.0,3021.4062
129,20.4476,19.0213,2.3915,19.5259,359.0,53122.0,3021.4062
130,19.6182,19.2976,2.325,20.746,393.0,55394.0,3021.4062
131,20.7465,20.1854,2.5191,19.1696,390.0,54842.0,3021.4062
132,19.0331,18.9281,2.3443,20.446,362.0,53114.0,3021.4062
133,20.4521,19.3758,2.4106,20.0091,397.0,60278.0,3021.4062
134,20.0892,19.1561,2.5409,19.0694,396.0,56912.0,3021.4062
135,19.005,18.9895,2.1685,19.8416,394.0,55200.0,3021.4062
136,19.7623,19.1183,2.0402,19.4684,393.0,55188.0,3021.4062
137,19.4629,18.532,1.8528,19.4543,394.0,56756.0,3021.4062
138,19.5161,18.9537,2.0821,20.0739,393.0,72234.0,3021.4062
139,20.1389,18.8284,2.5226,19.608,398.0,71530.0,3021.4062
140,19.6782,18.4923,2.527,18.1216,400.0,76916.0,3021.4062
141,18.0843,18.848,2.3087,19.9684,396.0,61645.0,3021.4062
142,19.8932,18.5915,2.2127,19.232,392.0,61850.0,3021.4062
143,19.2723,18.941,2.3563,19.4294,396.0,57557.0,3021.4062
144,19.3843,18.9617,2.1162,18.9984,394.0,57533.0,3021.4062
145,19.0031,19.0302,2.2401,20.6128,392.0,55198.0,3021.4062
146,20.6848,19.3287,2.4874,19.9291,395.0,58769.0,3021.4062
147,19.903,19.6122,2.3673,19.0341,402.0,62808.0,3021.4062
148,19.0026,19.5694,2.2366,20.7041,400.0,60336.0,3021.4062
149,20.6302,19.1567,2.3149,19.145,403.0,62423.0,3021.4062
150,19.2017,19.0896,2.0997,20.4366,396.0,60012.0,3021.4062
151,20.4721,19.1241,2.2686,18.9316,394.0,57463.0,3021.4062
152,18.861,19.1458,1.9149,20.4993,359.0,53100.0,3021.4062
153,20.5625,19.4254,1.9992,19.4653,406.0,64370.0,3021.4062
154,19.4582,19.1603,2.0519,19.654,391.0,55186.0,3021.4062
155,19.7395,19.1962,2.2814,19.3768,393.0,55210.0,3021.4062
156,19.3115,19.3292,2.1517,20.5021,393.0,55210.0,3021.4062
157,20.4505,19.1896,2.3202,19.3154,393.0,55210.0,3021.4062
158,19.327,19.4738,2.0696,21.1941,392.0,55198.0,3021.4062
159,21.2,19.6528,1.98,19.386,393.0,55210.0,3021.4062
160,19.4413,19.1857,2.0411,20.1924,392.0,55822.0,3021.4062
161,20.1942,18.8284,2.3979,19.5707,393.0,55210.0,3021.4062
162,19.5339,19.0248,2.3169,20.2307,392.0,55198.0,3021.4062
163,20.2021,19.1733,2.2137,19.3943,397.0,56142.0,3021.4062
164,19.3706,19.7053,2.0345,19.6847,395.0,56118.0,3021.4062
165,19.6891,19.1199,2.0836,19.7099,396.0,55202.0,3021.4062
166,19.7681,18.8021,2.1984,19.8159,396.0,55224.0,3021.4062
167,19.8898,19.0565,2.4196,19.0994,396.0,55536.0,3021.4062
168,19.0682,18.8736,2.1644,19.3868,395.0,62220.0,3021.4062
169,19.326,19.6981,2.114,20.9167,391.0,75794.0,3021.4062
170,20.916,19.8554,2.0822,20.1378,392.0,71822.0,3021.4062
171,20.1516,19.6828,1.9868,20.9132,392.0,73036.0,3021.4062
172,20.9761,20.0322,2.5399,21.8939,392.0,79230.0,3021.4062
173,21.843,20.3347,2.2543,19.3406,393.0,64418.0,3021.4062
174,19.3465,20.1401,1.9735,20.4945,365.0,54484.0,3021.4062
175,20.5135,19.7024,2.8212,21.1887,356.0,53086.0,3021.4062
176,21.2011,19.6592,2.8036,19.9107,358.0,53110.0,3021.4062
177,19.8804,20.1526,2.2727,20.1528,359.0,53122.0,3021.4062
178,20.1605,20.7163,2.3315,21.3372,357.0,53098.0,3021.4062
179,21.3193,19.6269,2.1379,19.4738,360.0,53090.0,3021.4062
180,19.5634,19.6582,2.3624,20.9228,362.0,53114.0,3021.4062
181,20.9149,19.6777,2.3945,20.4545,361.0,53102.0,3021.4062
182,20.3797,21.2041,2.3549,21.4462,394.0,60434.0,3021.4062
183,21.3997,19.9024,2.1364,20.4312,387.0,61105.0,3021.4062
184,20.5257,19.5241,2.3768,21.5271,359.0,53100.0,3021.4062
185,21.4964,19.8855,2.3883,19.0481,358.0,53110.0,3021.4062
186,19.1144,20.2751,2.0462,20.6421,358.0,53110.0,3021.4062
187,20.4855,19.3098,1.8307,19.697,356.0,53086.0,3021.4062
188,19.7005,19.5102,2.3623,21.7989,356.0,53086.0,3021.4062
189,21.8737,19.108,2.3366,18.9467,358.0,53158.0,3021.4062
190,19.0271,19.2312,2.3529,19.8122,391.0,59066.0,3021.4062
191,19.7236,19.043,2.0502,18.3059,391.0,58432.0,3021.4062
192,18.4182,19.0516,2.1535,20.8102,387.0,55676.0,3021.4062
193,20.6848,18.7758,2.271,19.1278,357.0,53098.0,3021.4062
194,19.1426,19.0184,2.3789,18.6276,370.0,53878.0,3021.4062
195,18.7648,19.3451,2.4055,20.709,362.0,53114.0,3021.4062
196,20.637,19.0955,2.154,19.7854,361.0,53102.0,3021.4062
197,19.7216,19.5712,1.9971,19.5714,397.0,55214.0,3021.4062
198,19.5693,19.3222,1.8791,19.1953,394.0,87120.0,3021.4062
199,19.1884,19.0248,1.7624,19.9842,373.0,53988.0,3021.4062
200,20.0165,19.0328,2.0188,20.2553,360.0,53112.0,3021.4062
201,20.2333,19.1053,1.9287,19.0509,357.0,53098.0,3021.4062
202,19.0723,20.1298,2.0318,19.8535,357.0,53098.0,3021.4062
203,19.9144,18.7729,1.9746,20.2588,392.0,55382.0,3021.4062
204,20.1106,19.0926,1.7865,18.8394,386.0,54838.0,3021.4062
205,18.8466,19.1262,1.7752,20.7822,357.0,53098.0,3021.4062
206,20.8802,18.82,2.1974,19.0043,393.0,60274.0,3021.4062
207,18.9926,19.5387,1.9514,20.8501,391.0,56874.0,3021.4062
208,20.875,19.3796,2.079,19.3511,391.0,55186.0,3021.4062
209,19.3668,19.4306,1.993,19.1948,393.0,55210.0,3021.4062
210,19.159,19.0516,2.1755,20.5205,395.0,56768.0,3021.4062
211,20.497,19.1643,2.0893,19.7159,399.0,72262.0,3021.4062
212,19.728,19.1922,2.3116,20.0099,401.0,71522.0,3021.4062
213,20.0368,19.7298,2.4756,20.5532,406.0,76944.0,3021.4062
214,20.5414,19.1384,2.0273,19.1144,395.0,61611.0,3021.4062
215,19.1049,19.0452,2.151,19.7919,394.0,61852.0,3021.4062
