capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,10.1595,9.3578,2.3902,9.6922,378.0,44491.0,2454.4375
121,9.7241,9.7595,2.4637,9.9562,383.0,41131.0,2454.4375
122,9.946,8.8059,2.4534,9.462,386.0,43170.0,2454.4375
123,9.4661,9.4387,2.3696,10.8126,389.0,47208.0,2454.4375
124,10.8268,8.8556,2.4793,9.6894,382.0,41761.0,2454.4375
125,9.6672,9.8305,2.3535,9.0887,381.0,43141.0,2454.4375
126,9.0583,9.0608,2.0923,10.4175,382.0,42069.0,2454.4375
127,10.419,9.4287,2.1103,9.4858,380.0,41603.0,2454.4375
128,9.5718,9.7265,2.5955,9.9405,380.0,44643.0,2454.4375
129,9.8984,8.8098,2.3337,10.5567,380.0,41759.0,2454.4375
130,10.5398,9.5251,2.0798,9.3052,380.0,59171.0,2454.4375
131,9.3527,8.781,2.2847,9.9471,380.0,46291.0,2454.4375
132,9.952,9.4944,2.3644,8.9821,379.0,41127.0,2454.4375
133,9.0265,9.7079,2.451,9.8232,379.0,41127.0,2454.4375
134,9.8229,8.7044,2.2805,10.0497,378.0,41681.0,2454.4375
135,10.0485,9.4972,2.1676,9.3773,379.0,45011.0,2454.4375
136,9.2559,8.6988,1.6714,9.0092,379.0,49351.0,2454.4375
137,9.1189,9.387,2.0167,9.9802,369.0,42961.0,2454.4375
138,9.9186,9.0768,2.1911,9.864,386.0,44406.0,2454.4375
139,9.8376,9.3089,2.1475,9.1835,358.0,41439.0,2454.4375
140,9.2091,9.6829,2.2352,10.2562,347.0,38993.0,2454.4375
141,10.2216,8.6179,1.971,10.1935,345.0,38969.0,2454.4375
142,10.2732,9.3646,2.0283,9.8756,381.0,43325.0,2454.4375
143,9.7908,8.7907,2.1388,9.2017,376.0,44927.0,2454.4375
144,9.2594,9.1546,2.1966,8.8155,344.0,38979.0,2454.4375
145,8.7729,9.1375,1.8433,10.3248,342.0,38955.0,2454.4375
146,10.3695,8.6568,2.2507,8.5982,384.0,76303.0,2454.4375
147,8.5727,9.3278,2.0116,9.8625,388.0,72917.0,2454.4375
148,9.8913,8.7545,2.2457,10.1214,378.0,61782.0,2454.4375
149,10.1583,9.2965,2.4365,8.6194,383.0,48245.0,2454.4375
150,8.5374,8.7149,2.0248,10.3921,378.0,41115.0,2454.4375
151,10.3874,9.1512,1.8692,8.8431,386.0,56402.0,2454.4375
152,8.9075,9.2052,2.318,9.8468,380.0,51675.0,2454.4375
153,9.8467,9.053,2.5835,9.0149,373.0,49627.0,2454.4375
154,8.9689,8.9973,2.0777,9.7768,383.0,43339.0,2454.4375
155,9.7123,8.7304,1.7355,9.8931,383.0,41499.0,2454.4375
156,9.9368,9.1084,1.8939,8.9233,371.0,77201.0,2454.4375
157,8.9874,8.7265,2.0383,10.8196,377.0,46073.0,2454.4375
158,10.8365,9.4189,2.1763,9.397,352.0,39293.0,2454.4375
159,9.3502,9.3286,2.3734,9.5795,343.0,38967.0,2454.4375
160,9.6521,8.7577,2.6588,8.8463,342.0,38955.0,2454.4375
161,8.7604,9.3812,2.2944,9.4073,345.0,38991.0,2454.4375
162,9.4007,8.6612,2.0949,9.4552,342.0,38955.0,2454.4375
163,9.4594,9.2878,1.9948,10.5461,363.0,43831.0,2454.4375
164,10.5699,8.7207,2.0926,10.3098,385.0,47940.0,2454.4375
165,10.3404,9.0793,2.3358,8.4605,375.0,42590.0,2454.4375
166,8.4783,9.4692,2.3785,10.6424,343.0,38967.0,2454.4375
167,10.6092,8.7951,2.5551,9.6163,344.0,38979.0,2454.4375
168,9.6506,9.7249,2.6769,9.894,378.0,43467.0,2454.4375
169,9.8857,8.8392,2.3334,11.5503,382.0,41257.0,2454.4375
170,11.6278,9.3781,2.6824,7.6198,390.0,46615.0,2454.4375
171,7.4914,9.3874,2.2924,10.0084,383.0,42159.0,2454.4375
172,10.044,9.179,2.2265,8.8496,380.0,41117.0,2454.4375
173,8.8232,9.706,2.3038,10.3428,372.0,40637.0,2454.4375
