capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,15.9578,15.9688,2.7524,16.3005,511.0,32461.0,2958.4062
121,16.1533,16.1115,1.8336,17.7733,513.0,32485.0,2958.4062
122,17.8074,16.3774,2.4183,16.4727,509.0,32053.0,2958.4062
123,16.4535,16.0828,1.9327,16.678,509.0,30949.0,2958.4062
124,16.7988,16.0237,2.3826,16.5962,510.0,32193.0,2958.4062
125,16.5193,16.035,2.1612,16.3316,861.0,105240.0,2958.4062
126,16.4022,16.3264,2.3304,17.4031,515.0,36134.0,2958.4062
127,17.3538,15.8548,2.2308,15.9564,514.0,31301.0,2958.4062
128,15.9485,16.4427,2.0116,17.4333,864.0,100332.0,2958.4062
129,17.4541,16.1379,2.1697,15.6677,513.0,32031.0,2958.4062
130,15.6716,15.9684,2.1661,16.9335,517.0,51345.0,2958.4062
131,16.9947,16.4577,2.0732,16.9124,526.0,84463.0,2958.4062
132,16.7576,16.2898,1.9871,17.1851,509.0,33866.0,2958.4062
133,17.1596,16.2432,1.983,16.1562,513.0,31635.0,2958.4062
134,16.368,16.2332,2.3533,16.8261,511.0,31645.0,2958.4062
135,16.654,16.0493,1.9697,16.8034,512.0,33429.0,2958.4062
136,16.8668,16.2939,2.2123,16.7598,800.0,104128.0,2958.4062
137,16.7269,16.4973,2.097,17.0337,512.0,53569.0,2958.4062
138,17.041,16.2597,1.9643,16.5376,512.0,34862.0,2958.4062
139,16.5774,15.8826,1.9747,16.6342,863.0,106040.0,2958.4062
140,16.5863,16.0415,2.0571,17.1311,513.0,36861.0,2958.4062
141,17.1669,16.0817,2.1854,16.0575,512.0,45109.0,2958.4062
142,16.1108,16.0851,2.2912,16.9842,514.0,41873.0,2958.4062
143,16.9113,16.4463,1.9474,16.9757,515.0,35943.0,2958.4062
144,16.9989,16.3762,2.2001,16.647,515.0,32465.0,2958.4062
145,16.6379,15.8327,1.8498,16.588,500.0,31539.0,2958.4062
146,16.5258,16.3088,1.8553,16.9158,479.0,30231.0,2958.4062
147,16.9678,16.2294,2.346,16.5379,842.0,100210.0,2958.4062
148,16.5244,16.2501,1.8883,17.2356,510.0,32573.0,2958.4062
149,17.233,15.8721,2.0036,16.0508,511.0,36211.0,2958.4062
150,16.0955,16.0258,2.0393,16.4727,859.0,103620.0,2958.4062
151,16.4637,15.7338,2.0816,18.0528,510.0,34305.0,2958.4062
152,18.0647,16.1284,2.2803,15.4078,512.0,32473.0,2958.4062
153,15.4032,15.9873,2.3057,16.8643,508.0,32425.0,2958.4062
154,16.8183,16.0064,1.8489,16.7922,487.0,31165.0,2958.4062
155,16.7678,16.042,2.1012,16.1183,478.0,30385.0,2958.4062
156,16.1423,16.2147,2.0766,17.1801,475.0,30349.0,2958.4062
