capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,16.113,15.5873,2.0786,15.6726,865.0,109624.0,2959.6562
121,15.6612,16.1915,1.9039,17.6428,512.0,47017.0,2959.6562
122,17.69,15.754,2.131,15.9309,512.0,34135.0,2959.6562
123,15.9394,15.7373,2.229,15.945,514.0,32485.0,2959.6562
124,15.8942,15.6159,2.0031,17.1323,511.0,32449.0,2959.6562
125,17.181,16.0865,2.3267,15.9643,511.0,42577.0,2959.6562
126,16.0153,16.0594,1.7503,15.5321,511.0,52127.0,2959.6562
127,15.408,15.7517,1.7933,16.9843,510.0,34385.0,2959.6562
128,17.0535,16.1604,2.9929,17.1385,854.0,98460.0,2959.6562
129,17.1414,15.829,2.1349,16.2216,514.0,31941.0,2959.6562
130,16.3132,15.6372,2.6485,16.6089,517.0,30509.0,2959.6562
131,16.5769,16.3083,2.4479,15.3782,863.0,96712.0,2959.6562
132,15.4045,15.8557,2.203,17.503,513.0,30723.0,2959.6562
133,17.5176,16.0446,2.447,16.1317,514.0,31167.0,2959.6562
134,16.0531,16.169,2.485,16.8581,514.0,35284.0,2959.6562
135,16.8376,15.7363,2.1905,15.4339,521.0,42996.0,2959.6562
136,15.4488,15.7507,2.4856,17.0175,513.0,34399.0,2959.6562
137,17.0006,16.094,2.6155,16.2832,514.0,32485.0,2959.6562
138,16.3831,15.7936,2.701,16.8467,510.0,31141.0,2959.6562
139,16.7271,15.805,2.6627,16.1194,853.0,98736.0,2959.6562
140,16.1717,15.9521,2.7099,16.1011,513.0,32781.0,2959.6562
141,16.056,15.6829,2.1861,16.3934,514.0,42673.0,2959.6562
142,16.3945,15.8469,2.2012,16.6173,854.0,116958.0,2959.6562
143,16.6625,16.0892,2.3278,16.8652,514.0,59329.0,2959.6562
144,16.9172,15.9203,2.3467,16.0837,512.0,32911.0,2959.6562
145,16.3956,15.8438,2.0611,16.2631,516.0,32465.0,2959.6562
146,15.9113,15.9342,2.0695,16.1129,515.0,32021.0,2959.6562
147,16.1099,15.7404,2.0105,16.3705,520.0,30881.0,2959.6562
148,16.3475,15.8463,2.0475,16.6755,526.0,74049.0,2959.6562
149,16.6193,16.0202,1.8503,16.2914,517.0,73233.0,2959.9062
150,16.2588,15.8604,2.1137,16.7467,858.0,102454.0,2959.9062
151,16.7934,15.9209,2.1886,16.1209,510.0,38133.0,2959.9062
152,16.0705,15.8259,1.8822,16.3309,511.0,35969.0,2959.9062
153,16.439,15.7103,2.0074,15.6978,853.0,101556.0,2959.9062
154,15.7063,15.608,2.0498,16.2855,485.0,32649.0,2959.9062
155,16.2694,15.8199,2.2099,16.8212,475.0,30337.0,2959.9062
156,16.7949,14.7607,1.9873,16.4729,474.0,30325.0,2959.9062
157,16.5024,15.7521,2.0468,16.2317,477.0,30361.0,2959.9062
158,16.2716,15.3814,2.2923,16.49,478.0,30373.0,2959.9062
159,16.446,15.5046,2.0587,16.8789,475.0,30337.0,2959.9062
160,16.815,15.6352,2.026,16.1272,513.0,32281.0,2959.9062
161,16.1992,15.7558,2.1171,16.6441,859.0,100192.0,2959.9062
162,16.6207,15.8236,2.2721,15.8282,518.0,43361.0,2959.9062
163,15.9594,15.876,1.9795,16.3973,516.0,31273.0,2959.9062
164,16.323,15.5485,1.9129,15.805,878.0,103840.0,2959.9062
165,15.726,15.9714,1.8559,16.7013,512.0,34523.0,2959.9062
166,16.7472,15.592,2.3298,17.1788,524.0,35931.0,2959.9062
167,17.287,16.2246,2.4307,16.0047,476.0,29349.0,2959.9062
168,15.8773,15.9697,2.2827,16.126,508.0,35089.0,2959.9062
169,16.1383,15.7912,1.9979,16.4928,475.0,30337.0,2959.9062
170,16.5174,15.9531,2.1312,16.2015,477.0,30361.0,2959.9062
171,16.1481,15.7717,2.0267,17.3093,481.0,30217.0,2959.9062
172,17.3825,15.7059,2.6277,16.2676,509.0,52478.0,2959.9062
173,16.279,18.5923,2.3277,18.4195,366.0,35208.0,2959.9062
174,18.3735,18.3109,2.5671,18.2306,370.0,51504.0,2959.9062
175,18.226,16.3152,2.0578,17.0035,366.0,33788.0,2959.9062
176,17.0169,15.2772,2.0461,17.4852,369.0,25812.0,2959.9062
177,17.5142,15.224,2.2224,16.0536,336.0,23692.0,2959.9062
178,15.9994,16.0627,2.1062,16.823,335.0,23680.0,2959.9062
179,16.8636,16.496,2.0471,16.4735,334.0,23668.0,2959.9062
180,16.4327,16.1296,1.9057,16.6987,331.0,23654.0,2959.9062
181,16.6745,16.3065,1.8382,16.9927,331.0,23654.0,2959.9062
182,17.0305,16.2382,1.917,16.8825,351.0,24566.0,2959.9062
183,16.9226,16.1579,2.0799,16.3447,355.0,25388.0,2959.9062
184,16.3379,15.9856,2.085,16.5366,336.0,25032.0,2959.9062
185,16.5098,16.3652,2.6054,16.831,332.0,23688.0,2959.9062
