capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,17.3177,17.2965,2.2373,18.2694,506.0,15782.0,2831.0312
121,18.2685,17.0656,2.1375,17.3943,508.0,18590.0,2831.0312
122,17.4495,17.2924,2.031,17.7785,506.0,18566.0,2831.0312
123,17.8251,17.2459,2.4081,17.5403,509.0,15818.0,2831.0312
124,17.4427,17.2776,2.5057,18.3898,505.0,15770.0,2831.0312
125,18.4609,17.2009,2.5449,18.1255,505.0,15770.0,2831.0312
126,18.064,17.3401,2.1018,17.5741,510.0,16854.0,2831.0312
127,17.5913,17.1046,2.0415,17.6151,510.0,16854.0,2831.0312
128,17.6163,17.2694,2.2104,16.9832,513.0,16562.0,2831.0312
129,17.0229,17.0533,2.4155,17.8885,507.0,17440.0,2831.0312
130,17.8013,17.0578,1.9782,18.4416,510.0,18576.0,2831.0312
131,18.4619,17.0825,1.985,17.9704,509.0,22052.0,2831.0312
132,17.9538,16.6781,2.1392,17.1143,508.0,23114.0,2831.0312
133,17.2723,17.384,3.3316,17.8583,509.0,33637.0,2831.0312
134,17.7037,17.2498,2.5145,17.4483,506.0,46891.0,2831.0312
135,17.405,17.1971,1.7845,17.6188,509.0,41305.0,2831.0312
136,17.6638,17.1155,1.8916,17.8366,507.0,16606.0,2831.0312
137,17.8765,17.0282,1.8442,17.3673,506.0,17210.0,2831.0312
138,17.3007,17.0123,1.7993,17.5808,505.0,16510.0,2831.0312
139,17.6471,17.3124,1.9625,18.3199,508.0,17198.0,2831.0312
140,18.5665,17.07,2.6088,17.5659,508.0,16890.0,2831.0312
141,17.3638,17.0255,2.4067,17.6319,507.0,19358.0,2831.0312
142,17.5483,17.0072,2.2547,17.7349,514.0,16298.0,2831.0312
143,17.8106,17.1684,2.1376,18.0327,510.0,15786.0,2831.0312
144,18.0098,17.0424,2.0107,16.7451,511.0,15798.0,2831.0312
145,16.731,16.9984,1.9957,17.309,508.0,23904.0,2831.0312
146,17.3071,17.1948,2.1156,17.8223,508.0,39280.0,2831.0312
147,17.8513,16.9921,2.368,18.2693,511.0,22714.0,2831.0312
148,18.2053,17.6346,2.018,17.4728,508.0,16626.0,2831.0312
149,17.5087,17.3353,2.0858,17.62,507.0,16208.0,2831.0312
150,17.6097,17.1018,2.0138,17.6225,509.0,17448.0,2831.0312
151,17.6159,17.209,1.9793,17.6646,508.0,15230.0,2831.0312
152,17.7293,17.03,2.0678,17.4315,508.0,14922.0,2831.0312
153,17.4741,16.8999,1.9281,17.4276,507.0,14162.0,2831.0312
154,17.3179,16.9889,2.1192,17.7882,505.0,18118.0,2831.0312
155,17.8135,17.0185,2.022,17.5934,510.0,20400.0,2831.0312
156,17.6143,17.0517,2.0822,17.3174,508.0,19556.0,2831.0312
157,17.2629,16.9937,2.1416,17.4145,512.0,23464.0,2831.0312
158,17.4449,16.9424,2.4482,17.3383,516.0,23308.0,2831.0312
159,17.4112,17.0397,2.5446,21.0646,513.0,23320.0,2831.0312
160,21.0413,16.9608,2.565,15.4222,710.0,24804.0,2831.0312
161,15.3816,20.1224,2.1116,20.8677,469.0,22864.0,2959.0312
162,20.9775,18.8755,2.0152,18.5645,521.0,35567.0,2959.0312
163,18.4615,17.5209,1.9767,17.5263,447.0,35760.0,2959.0312
164,17.5045,16.3546,1.8452,16.9773,441.0,27958.0,2959.0312
165,17.0187,15.7574,1.9051,17.3886,442.0,14240.0,2959.0312
166,17.3575,16.3228,2.0067,15.5414,440.0,13046.0,2959.0312
167,15.5749,15.7108,1.953,16.747,439.0,16826.0,2959.0312
168,16.7395,16.0648,2.0973,16.1726,440.0,15910.0,2959.0312
169,16.1454,16.2075,2.0399,17.2439,441.0,14994.0,3023.0312
170,17.254,15.7121,2.1246,16.1088,439.0,14166.0,3023.0312
171,16.1266,16.2133,2.75,16.6956,441.0,14066.0,3023.0312
172,16.6401,15.604,2.0896,15.7864,446.0,19667.0,3023.0312
173,15.8335,16.3615,2.4271,16.781,441.0,15913.0,3023.0312
174,16.7726,15.9158,2.2094,16.5172,445.0,14070.0,3023.0312
175,16.4758,15.0045,1.9317,16.0922,445.0,14070.0,3023.0312
176,16.2092,15.9491,1.9214,16.5914,444.0,14058.0,3023.0312
177,16.4789,15.4401,2.0421,16.9314,442.0,14056.0,3023.0312
178,16.9721,16.113,2.2048,16.5059,441.0,14412.0,3023.0312
179,16.5053,15.6698,2.0775,16.616,444.0,14080.0,3023.0312
180,16.571,15.3042,1.9426,16.3116,439.0,19106.0,3023.0312
181,16.3772,16.0068,1.8885,16.3058,440.0,15742.0,2895.0312
182,16.3734,16.0719,1.9602,17.2221,441.0,14066.0,2895.0312
183,17.1305,15.9487,1.9699,16.0658,440.0,14054.0,2895.0312
184,16.0636,16.2457,2.0049,17.1606,441.0,14066.0,2895.0312
185,17.134,16.1249,2.0736,16.2284,441.0,14066.0,2895.0312
186,16.2376,16.2088,1.9124,16.362,439.0,14042.0,2895.0312
187,16.3904,15.9626,1.9962,16.6954,444.0,30782.0,2895.0312
188,16.7141,16.2864,1.9084,17.2935,442.0,24550.0,2895.0312
189,17.1942,16.311,1.7486,16.0819,444.0,27910.0,2895.0312
190,16.1292,16.0795,1.7123,17.2005,443.0,14510.0,2895.0312
191,17.292,16.2172,2.1267,16.5814,443.0,14510.0,2895.0312
192,16.57,16.0002,1.8403,17.1354,443.0,17294.0,2895.0312
193,17.0837,15.4165,1.7373,15.3732,442.0,14520.0,2895.0312
194,15.3899,16.1581,1.8974,17.0445,442.0,14056.0,2895.0312
195,17.0385,16.1516,2.0744,17.0755,444.0,15472.0,2895.0312
196,16.9926,15.8672,1.5777,16.5158,439.0,16362.0,2895.0312
197,16.5807,16.129,1.9412,16.682,441.0,14066.0,2895.0312
198,16.6689,16.1964,1.9969,16.7835,440.0,14054.0,2895.0312
199,16.8399,15.4823,1.9651,16.6006,440.0,14588.0,2895.0312
200,16.5855,15.6406,1.8134,16.1727,440.0,15656.0,2895.0312
201,16.2303,15.9498,2.0871,16.3231,440.0,14794.0,2895.0312
202,16.2389,16.2934,1.8821,17.8955,440.0,14794.0,2895.0312
203,17.9409,16.3136,2.0968,16.0621,440.0,16550.0,2895.0312
204,16.0493,15.9264,1.8783,16.2285,440.0,21142.0,2895.0312
205,16.2001,15.8899,1.9231,15.7585,441.0,18272.0,2895.0312
206,15.7898,16.033,1.8927,17.0504,443.0,31268.0,2895.0312
207,17.0393,16.0365,2.0364,16.5444,445.0,36092.0,2895.0312
208,16.517,16.1417,1.6097,16.3731,443.0,34209.0,2895.0312
209,16.3819,15.9127,1.9315,16.3169,441.0,14784.0,2895.0312
210,16.3741,15.8782,1.7865,16.4383,443.0,15496.0,2895.0312
211,16.3845,16.1407,1.8305,16.4208,442.0,14520.0,2895.0312
212,16.5166,15.9929,1.9654,16.8201,441.0,14686.0,2895.0312
213,16.744,15.9074,1.9279,16.6401,441.0,17166.0,2895.0312
214,16.6236,15.832,1.7499,16.0694,439.0,14506.0,2895.0312
215,16.0838,15.8547,1.77,16.2978,441.0,14066.0,2895.0312
216,16.3023,15.8736,1.7956,16.2853,439.0,14642.0,2895.0312
217,16.398,15.865,1.9547,16.7513,440.0,30720.0,2895.0312
218,16.663,15.929,1.9192,16.4202,440.0,32216.0,2895.0312
219,16.3996,15.9188,1.9364,15.9037,440.0,17764.0,2895.0312
220,16.0,16.2182,1.7746,17.5533,440.0,15172.0,2895.0312
221,17.4389,16.4582,1.7539,16.4147,440.0,15972.0,2895.0312
222,16.4422,16.1333,1.8836,16.8004,444.0,14134.0,2895.0312
223,16.8099,16.0115,2.1599,16.4241,446.0,19672.0,2895.0312
224,16.4364,16.3966,1.8054,17.1451,445.0,16604.0,2895.0312
225,17.1049,16.3905,1.8403,16.7949,446.0,18666.0,2895.0312
226,16.8461,16.2283,1.9202,16.7063,444.0,19476.0,2895.0312
227,16.7097,16.1019,1.8843,16.4899,447.0,23894.0,2895.0312
228,16.4621,16.1596,1.8068,16.7467,439.0,15114.0,2895.0312
229,16.7202,16.1976,1.9191,16.933,440.0,12326.0,2895.0312
230,16.9373,16.2717,1.8295,16.4178,439.0,12362.0,2895.0312
231,16.5165,16.23,1.7642,16.6653,440.0,14186.0,2895.0312
232,16.5987,16.4053,1.7756,17.6273,439.0,16658.0,2895.0312
233,17.7052,16.136,2.0406,15.7568,441.0,12722.0,2895.0312
234,15.7227,16.0358,1.9175,16.7744,439.0,13700.0,2895.0312
235,16.7088,16.0598,1.9406,16.7198,440.0,12902.0,2895.0312
236,16.6966,16.3266,1.9183,16.63,441.0,16618.0,2895.0312
237,16.727,16.0656,2.112,16.599,441.0,19912.0,2895.0312
238,16.5218,16.0882,1.7967,16.7127,448.0,20903.0,2895.0312
239,16.7171,16.2183,1.9629,16.8825,451.0,19955.0,2895.0312
