capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,7.4829,7.7889,1.7845,9.8164,487.0,14997.0,2260.8125
121,9.8009,8.5459,1.5495,7.466,481.0,15517.0,2260.8125
122,7.4833,7.9703,1.1941,9.2592,482.0,14233.0,2260.8125
123,9.2449,8.5848,1.6583,8.3168,486.0,18535.0,2260.8125
124,8.2329,7.3482,1.4559,8.4303,485.0,14531.0,2260.8125
125,8.5648,8.9051,1.8736,8.7254,487.0,14555.0,2260.8125
126,8.6221,7.3958,1.6653,8.1059,484.0,16375.0,2260.8125
127,8.1858,8.7386,1.7786,8.7611,484.0,14519.0,2260.8125
128,8.8006,7.3665,1.5046,8.5697,486.0,20102.0,2260.8125
129,8.4456,8.5506,1.4756,8.3473,487.0,16243.0,2260.8125
130,8.4209,7.4086,1.7188,8.292,492.0,20918.0,2260.8125
131,8.3306,8.9854,1.7297,8.5618,459.0,12923.0,2260.8125
132,8.5062,7.4216,1.7455,8.7195,448.0,12359.0,2260.8125
133,8.7152,8.628,1.7401,8.7051,492.0,14571.0,2260.8125
134,8.7135,7.3813,1.7404,8.5951,491.0,16415.0,2260.8125
135,8.6242,8.9503,2.0456,8.5278,489.0,14535.0,2260.8125
136,8.5291,7.3757,1.6491,8.6964,488.0,14545.0,2260.8125
137,8.6675,8.6357,1.6184,8.1138,491.0,16437.0,2260.8125
138,8.0998,7.3733,1.393,8.069,489.0,14557.0,2260.8125
139,8.0766,8.446,1.7253,7.7575,490.0,31271.0,2260.8125
140,7.7409,7.3504,1.4446,9.0295,481.0,42751.0,2260.8125
141,9.1296,9.0034,1.8417,8.9898,449.0,12371.0,2260.8125
142,8.8961,7.3798,1.7863,8.159,486.0,14543.0,2260.8125
143,8.1704,8.5876,1.7249,8.306,486.0,14543.0,2260.8125
144,8.2828,7.3651,1.5921,8.9368,485.0,14531.0,2260.8125
145,9.1093,8.4862,1.6996,8.5346,488.0,15067.0,2260.8125
146,8.4356,7.4046,1.6175,8.4566,486.0,37365.0,2260.8125
147,8.4283,8.5916,1.7711,7.9107,484.0,22657.0,2260.8125
148,7.9268,7.3729,1.5052,9.1073,491.0,27387.0,2260.8125
149,9.0228,8.4851,1.7787,7.6015,491.0,20355.0,2260.8125
150,7.6551,8.2364,1.7318,9.2203,471.0,15263.0,2260.8125
151,9.2653,8.0841,1.5016,8.1166,463.0,13927.0,2260.8125
152,8.0607,7.8745,1.5542,9.2733,488.0,16829.0,2260.8125
