capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,20.7753,19.8204,2.0581,19.5312,395.0,66927.0,3025.2812
121,19.5862,19.5051,2.102,20.4391,393.0,64898.0,3025.2812
122,20.2881,19.5205,1.8151,20.9619,393.0,62224.0,3025.2812
123,20.9608,19.5429,1.9287,19.9096,393.0,56214.0,3025.2812
124,19.8863,21.0939,2.0369,20.9905,375.0,53230.0,3025.2812
125,20.9769,19.5135,1.776,19.7972,361.0,52486.0,3025.2812
126,19.9279,19.4076,2.234,20.7683,360.0,52496.0,3025.2812
127,20.758,19.6574,2.2959,20.0855,382.0,54788.0,3025.2812
128,20.0444,20.8419,2.1501,21.0482,396.0,58375.0,3025.2812
129,21.1006,19.7167,2.0512,19.9586,392.0,55942.0,3025.2812
130,19.8574,19.3622,2.0826,20.3734,384.0,54102.0,3025.2812
131,20.4342,19.5558,2.4299,19.9494,357.0,52482.0,3025.2812
132,19.9461,19.5384,2.5691,20.2273,358.0,52494.0,3025.2812
133,20.2536,20.9776,2.1748,21.2543,370.0,65982.0,3025.2812
134,21.3105,19.4616,2.1945,19.9584,357.0,54078.0,3025.2812
135,19.8789,19.4207,2.5515,20.1492,393.0,82602.0,3025.2812
136,20.3232,19.5266,2.4006,20.85,394.0,61206.0,3025.2812
137,20.659,19.5077,2.26,20.9005,392.0,56532.0,3025.2812
138,20.9396,21.4195,2.2453,19.5148,371.0,55272.0,3025.2812
139,19.5029,20.0027,2.1639,21.0044,363.0,52510.0,3025.2812
140,21.0496,19.6457,2.4729,20.7738,363.0,52510.0,3025.2812
141,20.7267,19.6599,2.1552,21.7159,385.0,66126.0,3025.2812
142,21.7198,20.8946,2.1999,19.3617,397.0,101556.0,3025.2812
143,19.3561,19.5843,2.1623,20.1977,394.0,59816.0,3025.2812
144,20.2069,19.6322,2.3181,20.4504,398.0,54632.0,3025.2812
145,20.4257,19.5344,2.2852,20.5182,392.0,54582.0,3025.2812
146,20.5474,20.6644,2.437,20.7463,393.0,54594.0,3025.2812
147,20.6876,19.4706,2.044,20.4371,393.0,54594.0,3025.2812
148,20.4606,19.4687,2.015,19.8958,397.0,56034.0,3025.2812
149,20.02,19.4745,2.36,20.4462,392.0,54582.0,3025.2812
150,20.361,19.4238,2.2306,20.972,392.0,57958.0,3025.2812
151,20.9591,21.4142,2.0788,20.26,393.0,57970.0,3025.2812
152,20.2494,19.3513,2.1271,19.947,392.0,54582.0,3025.2812
153,20.0719,19.6574,2.2493,21.1137,392.0,55204.0,3025.2812
154,21.066,19.5777,2.4496,19.6991,395.0,56100.0,3025.2812
155,19.613,20.6374,2.2013,20.7149,397.0,55606.0,3025.2812
156,20.8548,19.4516,2.1586,20.0332,398.0,55678.0,3025.2812
157,19.9252,19.3474,2.0408,20.1156,402.0,59030.0,3025.2812
158,20.1184,19.3036,2.5475,19.8804,402.0,59980.0,3025.2812
159,19.8478,19.3231,2.2493,19.5579,400.0,55380.0,3025.2812
160,19.5691,20.4882,2.2847,21.0915,397.0,58482.0,3025.2812
161,21.0967,19.1482,2.2616,19.6486,397.0,67456.0,3025.2812
162,19.6341,19.4878,1.9993,20.0879,400.0,72989.0,3025.2812
163,20.1776,19.5672,2.3003,20.1437,395.0,61828.0,3025.2812
164,20.0964,19.3748,2.1598,21.0741,397.0,70436.0,3025.2812
165,21.1177,20.6785,2.1226,20.3537,392.0,55510.0,3025.2812
166,20.2871,19.5286,2.1458,19.9563,395.0,56589.0,3025.2812
167,20.0084,19.4917,2.0899,20.6519,395.0,59682.0,3025.2812
168,20.6083,19.5414,2.4461,19.5181,402.0,62802.0,3025.2812
169,19.5626,20.934,1.8621,21.4847,397.0,60272.0,3025.2812
170,21.5836,19.3244,2.0345,19.6364,393.0,59486.0,3025.2812
171,19.4955,19.3986,2.1186,20.1875,397.0,55062.0,3025.2812
172,20.1241,19.6445,2.177,20.9538,399.0,55210.0,3025.2812
173,21.066,19.4671,2.2405,20.1198,400.0,56481.0,3025.2812
174,20.0644,20.8385,2.1971,20.4595,399.0,60914.0,3025.2812
175,20.4579,19.4374,2.1559,19.8517,400.0,64389.0,3025.2812
176,19.93,19.3221,2.0146,20.5466,394.0,65352.0,3025.2812
177,20.508,19.7182,2.1068,19.9052,392.0,61700.0,3025.2812
178,19.9348,20.7747,2.0585,21.3688,388.0,56150.0,3025.2812
179,21.3105,19.486,2.1542,19.5022,369.0,53202.0,3025.2812
