capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,18.2368,19.7029,2.3651,20.348,359.0,52518.0,3022.0312
121,20.353,19.3609,2.7225,20.8002,361.0,52498.0,3022.0312
122,20.8263,19.4271,2.6634,19.7976,362.0,52510.0,3022.0312
123,19.7402,21.3177,2.2156,21.1065,374.0,53674.0,3022.0312
124,21.1642,19.4679,2.3505,20.0664,359.0,52496.0,3022.0312
125,20.1313,19.6085,2.3302,20.4616,360.0,52508.0,3022.0312
126,20.4224,19.5176,2.7417,21.0871,359.0,52496.0,3022.0312
127,21.0978,20.0263,2.4785,21.0843,356.0,52482.0,3022.0312
128,21.0494,19.7689,2.2004,19.6038,358.0,52506.0,3022.0312
129,19.5849,19.779,2.5047,21.0242,358.0,52506.0,3022.0312
130,21.2484,19.8514,3.2642,20.0191,359.0,52518.0,3022.0312
131,19.7816,19.5608,2.382,20.1702,357.0,52494.0,3022.0312
132,20.2004,21.4566,2.4605,21.8357,359.0,52566.0,3022.0312
133,21.8311,19.5937,2.2268,19.3207,356.0,52482.0,3022.0312
134,19.3604,19.0358,2.3518,20.5555,374.0,53514.0,3022.0312
135,20.5025,19.8854,2.4371,19.4924,392.0,54594.0,3022.0312
136,19.5253,21.0953,2.1784,22.6469,393.0,92646.0,3022.0312
137,22.714,19.6558,2.5541,21.1703,397.0,108426.0,3022.0312
138,21.172,19.7945,2.8387,19.7846,396.0,59830.0,3022.0312
139,19.6966,19.3457,2.5763,19.4431,397.0,55378.0,3022.0312
140,19.4606,20.8212,2.5661,22.0859,402.0,81566.0,3022.0312
141,22.1693,20.7891,2.8117,20.6402,406.0,77365.0,3022.0312
142,20.5248,19.9398,2.6253,21.1073,395.0,60587.0,3022.0312
143,21.3521,20.4939,2.8421,21.7225,391.0,56934.0,3022.0312
144,21.5687,21.6553,2.5125,20.4767,395.0,59001.0,3022.0312
145,20.5117,19.9462,2.3224,20.4401,391.0,55510.0,3022.0312
146,20.3261,20.0513,2.2966,21.6077,391.0,58422.0,3022.0312
147,21.6444,20.1004,2.6989,20.8667,396.0,60952.0,3022.0312
148,20.8033,21.4558,2.2861,21.608,398.0,63751.0,3022.0312
149,21.614,19.8453,2.1035,20.5878,391.0,56220.0,3022.0312
150,20.6101,20.3496,2.6642,21.9488,393.0,57037.0,3022.0312
151,21.9362,19.9761,2.5285,20.3338,391.0,57796.0,3022.0312
152,20.3389,21.2383,2.3649,20.5289,395.0,60936.0,3022.0312
153,20.5995,19.8201,2.1601,20.4117,398.0,56469.0,3022.0312
154,20.4276,19.9577,2.6267,21.533,395.0,54586.0,3022.0312
155,21.5006,19.5028,2.577,20.1654,396.0,54598.0,3022.0312
156,20.1164,21.2795,2.1672,23.4976,396.0,54620.0,3022.0312
157,23.6197,19.8661,2.5408,18.227,396.0,54620.0,3022.0312
158,18.1551,19.8997,3.9724,21.2917,396.0,54620.0,3022.0312
159,21.3091,19.6438,2.5942,20.1288,393.0,54606.0,3022.0312
160,20.142,20.1076,2.3184,19.5873,391.0,54582.0,3022.0312
161,19.4868,19.2277,2.2381,20.1436,392.0,54594.0,3022.0312
162,20.3275,19.6975,2.1482,21.0743,394.0,54618.0,3022.0312
163,20.9672,19.581,2.3202,20.3516,391.0,56270.0,3022.0312
164,20.2491,19.73,2.3793,21.64,391.0,57958.0,3022.0312
165,21.6954,20.8138,2.0901,18.9795,391.0,56270.0,3022.0312
166,18.9941,19.1843,2.1184,20.8499,393.0,54606.0,3022.0312
167,20.8665,19.5999,2.7177,20.0888,393.0,54762.0,3022.0312
168,20.1218,19.3521,2.6306,21.0675,392.0,54594.0,3022.0312
169,20.9865,20.8527,2.2056,19.4224,396.0,54910.0,3022.0312
170,19.4361,19.7114,2.3012,20.2438,396.0,55218.0,3022.0312
171,20.216,19.3507,2.2056,20.827,396.0,55218.0,3022.0312
172,20.9321,19.9893,2.7107,21.0436,394.0,55680.0,3022.0312
173,21.0083,19.6787,2.467,22.3143,395.0,55536.0,3022.0312
174,22.4323,21.4602,3.1111,19.8312,394.0,55988.0,3022.0312
175,19.7511,19.6438,3.2833,20.0285,391.0,55974.0,3022.0312
176,20.0852,20.0193,3.0417,20.4349,392.0,55986.0,3022.0312
177,20.3216,19.9606,2.2941,23.1249,395.0,60710.0,3022.0312
178,23.1984,20.4444,2.4093,18.6072,391.0,67462.0,3022.0312
179,18.5598,19.6819,2.276,19.9286,391.0,63238.0,3022.0312
180,20.1404,19.5571,2.9455,21.2531,375.0,54086.0,3022.0312
181,21.0826,19.9212,2.5535,23.5371,356.0,52482.0,3022.0312
182,23.4606,20.0007,2.2322,16.7422,357.0,52494.0,3022.0312
183,16.7931,19.4349,2.079,19.7702,357.0,52494.0,3022.0312
184,19.7516,19.614,2.113,21.3933,356.0,52482.0,3022.0312
185,21.4057,19.6853,2.7746,20.0979,362.0,52510.0,3022.0312
186,20.0579,21.0162,2.5087,20.4859,362.0,52510.0,3022.0312
187,20.471,19.7245,2.0021,20.4837,371.0,61692.0,3022.0312
188,20.477,19.4687,1.9629,20.3366,395.0,65611.0,3022.0312
189,20.4213,19.4548,2.4799,20.1178,395.0,59654.0,3022.0312
190,20.0287,19.8344,2.1997,21.1541,397.0,64432.0,3022.0312
191,21.2001,20.5037,2.0847,20.0414,357.0,52494.0,3022.0312
192,20.0362,19.6461,2.326,20.2555,359.0,52518.0,3022.0312
193,20.3512,19.5166,2.5654,19.6993,356.0,52482.0,3022.0312
194,19.6558,19.2895,2.5638,20.5285,360.0,52530.0,3022.0312
195,20.5338,21.1847,2.5506,21.2634,363.0,53230.0,3022.0312
196,21.2593,19.7486,2.6192,21.2247,360.0,52838.0,3022.0312
197,21.2196,19.7403,2.829,22.6351,358.0,52506.0,3022.0312
198,22.6463,19.948,3.206,17.1126,360.0,52530.0,3022.0312
199,17.015,20.0958,2.207,21.4032,356.0,52482.0,3022.0312
200,21.4621,19.6894,2.069,20.313,356.0,52482.0,3022.0312
201,20.2413,19.2596,1.8665,18.9847,361.0,52498.0,3022.0312
202,19.064,19.4614,2.0275,20.9048,360.0,52486.0,3022.0312
203,20.8928,19.5214,2.4673,19.6785,360.0,52486.0,3022.0312
204,19.6765,20.9621,2.1725,20.7113,361.0,52520.0,3022.0312
205,20.6884,18.9448,2.163,19.9506,360.0,52556.0,3022.0312
206,19.986,19.3936,2.0304,19.9204,360.0,52508.0,3022.0312
207,19.941,19.6417,2.692,21.433,380.0,53922.0,3022.0312
208,21.4533,20.2679,2.7043,22.2986,393.0,68262.0,3022.0312
209,22.2883,21.0147,2.3483,19.1162,396.0,79334.0,3022.0312
210,19.1076,19.4832,2.1525,19.7122,392.0,108102.0,3022.0312
211,19.6536,19.6722,2.5026,21.6382,391.0,59814.0,3022.0312
212,21.7051,19.8532,2.4646,19.7688,393.0,59818.0,3022.0312
213,19.7004,21.0267,2.1653,21.2026,402.0,79573.0,3022.0312
214,21.1999,19.281,2.1898,20.3,401.0,75410.0,3022.0312
215,20.3563,19.7397,2.2415,21.8787,393.0,60585.0,3022.0312
216,21.9161,20.2189,2.8489,19.7053,395.0,58829.0,3022.0312
217,19.6718,21.261,2.1898,20.9419,397.0,57134.0,3022.0312
218,20.9059,20.0082,2.3396,21.5189,397.0,58450.0,3022.0312
219,21.4921,19.7214,2.3759,20.4864,399.0,56945.0,3022.0312
220,20.5621,19.4433,2.7326,20.1794,396.0,60771.0,3022.0312
221,20.1634,19.9709,2.2607,20.2153,400.0,63703.0,3022.0312
222,20.1841,20.7328,2.0517,20.261,398.0,56491.0,3022.0312
223,20.2252,19.6789,2.046,20.1189,393.0,55310.0,3022.0312
224,20.2424,19.6958,2.5116,24.6799,392.0,59326.0,3022.0312
225,24.5989,20.0353,2.2398,17.1272,399.0,59346.0,3022.0312
226,17.1273,20.7192,2.1092,19.9944,393.0,56453.0,3022.0312
227,20.0719,19.3992,2.3339,20.1732,392.0,54594.0,3022.0312
228,20.0916,19.3743,2.1146,21.0397,388.0,54354.0,3022.0312
229,21.0331,19.5108,2.5918,19.254,391.0,54582.0,3022.0312
230,19.2482,20.9425,2.1571,20.9266,393.0,54606.0,3022.0312
231,20.9372,19.3212,2.1268,19.7825,392.0,54594.0,3022.0312
232,19.8033,19.6113,2.0105,20.4561,393.0,54606.0,3022.0312
233,20.4901,19.4038,2.1743,20.3802,397.0,54610.0,3022.0312
