capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,20.4793,20.0709,2.3257,20.8732,371.0,55010.0,3023.1562
121,20.9336,19.3348,2.3127,19.9974,358.0,52542.0,3023.1562
122,19.9924,19.7133,3.0653,20.9128,392.0,54582.0,3023.1562
123,20.9049,19.5414,2.5947,19.2529,370.0,53214.0,3023.1562
124,19.219,21.0685,2.4406,22.0181,358.0,52494.0,3023.1562
125,22.0596,19.3591,2.4213,19.0518,387.0,59070.0,3023.1562
126,18.9824,19.7259,2.1489,22.0628,372.0,53190.0,3023.1562
127,22.1297,19.6835,2.5767,19.3144,374.0,53358.0,3023.1562
128,19.2921,20.9968,2.2156,21.2472,399.0,56682.0,3023.1562
129,21.2586,19.451,2.2447,21.5654,397.0,54598.0,3023.1562
130,21.6751,19.7166,2.8732,19.2933,397.0,55062.0,3023.1562
131,19.2437,19.5759,3.2132,20.7885,396.0,55072.0,3023.1562
132,20.7985,19.6485,2.3634,20.6446,395.0,55130.0,3023.1562
133,20.6388,20.9222,2.1563,20.1247,394.0,55118.0,3023.1562
134,20.2032,19.7255,2.4513,20.0666,392.0,56114.0,3023.1562
135,19.9123,19.7253,2.8327,20.867,392.0,55046.0,3023.1562
136,20.9153,19.8467,2.5173,19.9974,395.0,55240.0,3023.1562
137,19.9615,20.9231,2.1496,21.0847,393.0,58108.0,3023.1562
138,21.1101,19.6335,2.3114,20.0994,394.0,56166.0,3023.1562
139,20.1448,19.316,2.1312,21.0258,392.0,55362.0,3023.1562
140,21.0356,19.8609,2.1737,19.9972,397.0,58536.0,3023.1562
141,19.9293,19.9109,2.285,21.1776,396.0,59392.0,3023.1562
142,21.2622,20.7884,2.716,21.6486,397.0,64224.0,3023.1562
143,21.6064,19.6189,2.3635,19.4405,398.0,62170.0,3023.1562
144,19.4176,19.7556,2.8719,20.2313,396.0,65976.0,3023.1562
145,20.1758,19.6234,2.3777,20.3822,395.0,55870.0,3023.1562
146,20.4019,21.2297,2.2105,20.2162,381.0,54006.0,3023.1562
147,20.2294,19.3697,2.4233,20.0209,364.0,54332.0,3023.1562
148,20.1073,19.7521,2.4516,22.3756,371.0,53900.0,3023.1562
149,22.4001,19.6371,3.6093,19.8754,379.0,61644.0,3023.1562
150,19.8029,21.2795,2.3909,21.0051,378.0,65126.0,3023.1562
151,20.9542,19.468,2.3789,19.5366,392.0,67414.0,3023.1562
152,19.6586,19.6892,2.3326,21.8354,393.0,67880.0,3023.1562
153,21.8281,19.6324,2.4093,20.2182,395.0,63357.0,3023.4062
154,20.1731,21.2503,2.5055,20.6034,393.0,60900.0,3023.4062
155,20.6224,19.4474,2.2176,19.7683,394.0,60430.0,3023.4062
156,19.7332,19.5689,2.3589,20.7948,388.0,55994.0,3023.4062
157,20.8496,19.5898,2.4832,20.1017,386.0,78304.0,3023.4062
158,20.0354,19.5118,2.353,20.71,364.0,53760.0,3023.4062
159,20.6865,21.191,2.3183,20.7893,388.0,64855.0,3023.4062
160,20.8306,19.565,2.2229,19.7213,401.0,72860.0,3023.4062
161,19.7785,19.4708,2.6357,21.0762,407.0,85072.0,3023.4062
162,21.1234,19.4996,2.6229,19.3145,398.0,62290.0,3023.4062
163,19.1731,20.8579,2.4363,21.8118,402.0,61397.0,3023.4062
164,21.8587,19.6615,2.5093,20.2605,396.0,57008.0,3023.4062
165,20.2533,19.5482,2.2388,20.7564,394.0,54584.0,3023.4062
166,20.7634,19.5937,2.682,19.5074,396.0,56941.0,3023.4062
167,19.4861,19.735,2.2328,21.2846,397.0,56737.0,3023.4062
168,21.2927,19.963,2.392,20.7227,398.0,58936.0,3023.4062
169,20.7064,19.4716,2.3662,19.2212,394.0,58605.0,3023.4062
170,19.2998,19.4537,2.6882,20.5406,398.0,60195.0,3023.4062
171,20.4955,19.7451,2.6275,19.8493,393.0,71196.0,3023.4062
172,19.845,21.1521,2.257,21.5406,362.0,52782.0,3023.4062
173,21.5254,19.9493,2.2917,20.6463,357.0,52482.0,3023.4062
174,20.6421,19.327,2.3871,20.7277,395.0,57994.0,3023.4062
175,20.7231,19.766,2.5552,19.6896,394.0,56294.0,3023.4062
176,19.6662,21.2445,2.1199,21.4837,371.0,54726.0,3023.4062
177,21.5439,19.5489,2.4843,20.869,365.0,52630.0,3023.4062
178,20.855,19.3682,2.2581,21.1579,399.0,54622.0,3023.4062
179,21.2059,19.9601,2.8522,18.9523,370.0,53048.0,3023.4062
180,18.9095,19.5374,2.3226,21.5036,360.0,52496.0,3023.4062
181,21.5577,19.896,2.1776,19.6682,395.0,59384.0,3023.4062
182,19.5938,19.2592,2.1846,19.7262,369.0,53154.0,3023.4062
183,19.7475,19.6602,2.2373,21.2076,369.0,53202.0,3023.4062
184,21.245,19.5815,2.7504,20.0347,393.0,56654.0,3023.4062
185,20.0246,21.2181,2.2934,20.963,393.0,54594.0,3023.4062
186,20.9058,19.452,2.2183,19.5681,394.0,55070.0,3023.4062
187,19.6289,19.4655,2.2588,21.2961,392.0,55046.0,3023.4062
188,21.2904,19.4979,2.3142,20.2885,395.0,55152.0,3023.4062
189,20.28,19.8345,2.4177,20.4814,393.0,55128.0,3023.4062
190,20.4328,18.4547,2.1626,20.7375,393.0,56590.0,3023.4062
191,20.7805,19.5925,2.3228,19.4875,395.0,54618.0,3023.4062
192,19.5233,19.4588,2.4629,21.0295,398.0,55390.0,3023.4062
193,20.9992,19.6724,2.3753,20.0454,397.0,57954.0,3023.4062
194,20.0254,21.2573,2.2007,22.3038,399.0,56182.0,3023.4062
195,22.3052,19.8641,2.122,18.9349,396.0,55388.0,3023.4062
196,18.9252,19.3834,2.1114,22.0121,398.0,62130.0,3023.4062
197,22.0339,19.7455,2.4655,18.9466,397.0,58354.0,3023.4062
198,18.9368,21.0086,2.3663,22.0034,398.0,64700.0,3023.4062
199,22.0048,19.729,2.2204,19.0078,395.0,59094.0,3023.4062
200,18.9718,19.3833,2.2196,20.4346,394.0,65996.0,3023.4062
201,20.5291,19.7954,2.7936,20.9697,394.0,55998.0,3023.4062
