capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,10.7823,10.1065,2.0172,9.0373,347.0,38649.0,2455.1875
121,9.0772,10.2378,2.4177,10.6532,345.0,38625.0,2455.1875
122,10.6477,8.6374,2.043,9.444,346.0,38637.0,2455.1875
123,9.4075,10.0883,1.9196,10.5688,344.0,38635.0,2455.1875
124,10.5472,10.079,2.2004,11.3745,351.0,40863.0,2455.1875
125,11.386,9.0572,1.9567,7.789,344.0,38683.0,2455.1875
126,7.8625,10.1001,1.9308,10.7962,344.0,38635.0,2455.1875
127,10.7434,8.6354,1.7398,9.5803,344.0,38635.0,2455.1875
128,9.5629,10.1235,1.9373,10.4202,345.0,38647.0,2455.1875
129,10.4642,10.1358,1.909,10.844,386.0,70461.0,2455.1875
130,10.8142,8.6633,1.8869,8.8289,388.0,76137.0,2455.1875
131,8.8358,10.0609,1.8466,10.5765,388.0,74359.0,2455.1875
132,10.5119,8.7173,1.6699,9.5678,364.0,44401.0,2455.1875
133,9.6602,10.322,1.9026,10.4114,371.0,41453.0,2455.1875
134,10.3105,10.1104,1.6561,10.9814,355.0,39509.0,2455.1875
135,11.0624,8.6717,1.8053,8.7273,358.0,54983.0,2455.1875
136,8.7314,10.5531,1.9536,11.2358,346.0,38637.0,2455.1875
137,11.201,8.5834,1.7239,9.2751,350.0,38829.0,2455.1875
138,9.29,9.955,1.7888,10.1048,345.0,38625.0,2455.1875
139,10.0591,9.9322,1.5696,10.5934,375.0,66655.0,2455.1875
140,10.6311,8.7072,1.8048,9.1241,345.0,38743.0,2455.1875
141,9.1779,10.6047,2.0354,11.1326,369.0,42206.0,2455.1875
142,11.1267,8.6158,1.8601,9.7789,379.0,42623.0,2455.1875
143,9.7303,10.0692,1.9006,9.8017,385.0,48360.0,2455.1875
144,9.7651,10.2195,1.7222,11.0648,380.0,43987.0,2455.1875
145,11.1296,8.6619,1.8887,9.5536,381.0,42403.0,2455.1875
146,9.5503,10.2235,2.038,9.7796,380.0,53543.0,2455.1875
