capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,16.3666,15.9355,1.5732,16.9356,552.0,42120.0,2958.9062
121,16.9222,16.0881,1.5667,16.1927,561.0,31632.0,2958.9062
122,16.268,15.9664,1.8762,16.1926,554.0,18707.0,2958.9062
123,16.2348,15.8152,1.8802,16.5744,552.0,17104.0,2958.9062
124,16.5345,15.9953,1.7612,16.6201,552.0,18208.0,2958.9062
125,16.6492,15.6327,1.8665,16.4414,556.0,16004.0,2958.9062
126,16.4539,16.2521,2.293,16.5474,558.0,16028.0,2958.9062
127,16.5716,16.1711,2.4462,17.3464,556.0,16468.0,2958.9062
128,17.3516,15.8672,1.8984,16.1559,554.0,19250.0,2958.9062
129,16.1572,15.9285,1.7948,16.2838,555.0,16478.0,2958.9062
130,16.3398,15.8584,2.1234,15.9417,555.0,18604.0,2958.9062
131,15.8447,16.1722,1.9222,16.4647,553.0,18706.0,2958.9062
132,16.444,15.8947,1.7513,16.4831,552.0,21015.0,2958.9062
133,16.5121,15.8423,1.8068,16.4037,552.0,18444.0,2958.9062
134,16.3439,16.007,1.8031,16.1834,552.0,21638.0,2958.9062
135,16.1474,15.8425,1.6689,16.5941,552.0,19436.0,2958.9062
136,16.6243,15.8443,1.6015,16.4891,556.0,22422.0,2958.9062
137,16.5219,15.902,1.8847,16.536,560.0,31804.0,2958.9062
138,16.5591,16.0579,1.8889,16.4355,552.0,31990.0,2958.9062
139,16.4279,15.9632,2.1688,16.2677,552.0,22782.0,2958.9062
140,16.3274,16.0569,2.1052,16.4916,552.0,16000.0,2958.9062
141,16.4494,16.0265,1.8052,16.6775,556.0,16004.0,2958.9062
142,16.7274,15.9518,1.7985,16.5394,557.0,17806.0,2958.9062
143,16.5586,15.3724,1.8885,16.3951,556.0,20298.0,2958.9062
144,16.3249,15.1919,2.1542,16.3801,555.0,28124.0,2958.9062
145,16.4148,15.7616,2.2287,16.6111,555.0,25116.0,2958.9062
146,16.585,15.7735,1.8506,16.8095,555.0,36914.0,2958.9062
147,16.7496,16.1876,1.6526,16.2923,552.0,30749.0,2958.9062
148,16.332,15.9768,1.7327,16.5185,552.0,18166.0,2958.9062
149,16.4733,15.7916,1.672,16.3293,552.0,17856.0,2958.9062
150,16.3811,15.7977,1.6582,15.694,553.0,42328.0,2958.9062
151,15.7209,15.702,1.8172,16.6447,553.0,28638.0,2958.9062
152,16.7608,16.0829,2.0223,16.593,559.0,31191.0,2958.9062
153,16.4409,15.7746,1.8441,15.9376,553.0,16476.0,2958.9062
154,16.0404,16.3128,1.8994,16.6752,553.0,17404.0,2958.9062
155,16.6035,15.9593,1.7882,16.7321,553.0,16940.0,2958.9062
156,16.7495,15.6771,1.82,16.1081,552.0,16892.0,2958.9062
157,16.1364,16.2106,1.9843,17.2844,555.0,16462.0,2958.9062
158,17.215,15.9978,1.9237,16.2878,558.0,19853.0,2958.9062
159,16.3873,15.7876,2.1306,16.1861,557.0,18010.0,2958.9062
160,16.1036,15.951,1.7943,16.2604,554.0,16552.0,2958.9062
161,16.3068,15.8195,1.8745,16.2759,557.0,18253.0,2958.9062
162,16.2057,15.9443,1.7796,16.6336,555.0,17825.0,2958.9062
163,16.7252,15.9137,1.8558,16.287,548.0,15808.0,2958.9062
164,16.2173,15.8314,1.764,16.1802,553.0,16012.0,2958.9062
165,16.1753,15.9307,1.7341,16.7595,552.0,17688.0,2958.9062
166,16.8006,15.8288,1.9339,16.4573,552.0,25368.0,2958.9062
167,16.512,16.0893,1.858,16.6745,552.0,16928.0,2958.9062
168,16.596,15.9282,1.9511,16.1945,553.0,16012.0,2958.9062
169,16.1604,16.2933,1.7626,17.6937,555.0,17883.0,2958.9062
170,17.7601,15.7861,1.9405,15.5858,552.0,16000.0,2958.9062
171,15.6687,15.8718,1.8878,15.8855,552.0,17856.0,2958.9062
172,15.7955,16.1927,1.9501,16.8127,553.0,16012.0,2958.9062
173,16.887,15.9915,1.9,17.4288,567.0,38825.0,2958.9062
174,17.4283,16.366,2.4295,16.1191,564.0,75166.0,2958.9062
175,16.0628,16.0142,2.0029,16.075,560.0,79432.0,2958.9062
176,16.2419,15.9524,2.1361,17.596,555.0,16014.0,2958.9062
177,17.3944,16.2796,2.0947,15.6948,555.0,16014.0,2958.9062
178,15.7319,16.1783,1.9587,16.8648,555.0,16014.0,2958.9062
179,16.8395,16.1674,1.8286,16.619,552.0,16000.0,2958.9062
180,16.6372,15.9886,1.898,16.2224,552.0,16000.0,2958.9062
181,16.2091,15.6998,1.8149,16.6075,554.0,16024.0,2958.9062
182,16.6398,16.1919,1.8826,17.0403,552.0,16000.0,2958.9062
183,17.0361,16.0423,1.8663,16.6865,552.0,16000.0,2958.9062
184,16.7778,16.027,1.892,15.9318,552.0,16464.0,2958.9062
185,15.8182,16.0211,1.6018,16.673,551.0,15940.0,2958.9062
186,16.7098,16.121,2.0343,16.6964,551.0,15940.0,2958.9062
187,16.8561,16.0653,2.2482,16.3482,549.0,15832.0,2958.9062
188,16.1403,15.9477,1.8587,16.9417,547.0,17152.0,2958.9062
189,16.9845,16.1709,2.035,16.3512,555.0,15920.0,2958.9062
190,16.2962,15.7562,2.0835,15.9481,556.0,16004.0,2958.9062
191,16.0272,15.9231,1.8965,16.4049,557.0,16016.0,2958.9062
192,16.3592,16.0369,1.9056,17.2974,555.0,16014.0,2958.9062
193,17.3929,15.697,2.1151,16.102,554.0,16002.0,2958.9062
194,16.0457,16.0371,1.8949,16.4662,554.0,16002.0,2958.9062
195,16.4152,15.7251,1.8237,16.2601,554.0,20664.0,2958.9062
196,16.2323,15.8987,1.6966,15.9373,553.0,20652.0,2958.9062
197,15.9705,16.0827,1.7852,16.819,552.0,16000.0,2958.9062
198,16.8982,15.6453,1.7796,16.0899,552.0,27276.0,2958.9062
199,15.9675,15.9943,1.724,16.5679,553.0,42132.0,2958.9062
200,16.6516,16.0406,1.7577,16.4247,560.0,31620.0,2958.9062
201,16.4201,15.7105,1.6928,16.5812,554.0,18707.0,2958.9062
202,16.5687,16.2343,1.8353,16.2113,553.0,17116.0,2958.9062
203,16.1982,16.0325,1.7396,16.8651,553.0,18220.0,2958.9062
204,16.862,15.845,1.9171,16.4012,552.0,16000.0,2958.9062
205,16.4415,15.9554,1.7598,16.1415,556.0,16004.0,2958.9062
206,16.1617,15.9911,2.0123,16.9227,557.0,16480.0,2958.9062
207,16.8408,16.2945,1.6611,16.4181,556.0,19252.0,2958.9062
208,16.4368,15.9372,1.7226,16.4547,555.0,16478.0,2958.9062
209,16.4496,15.9745,1.7103,16.7322,554.0,18592.0,2958.9062
210,16.7554,15.9335,1.7732,16.124,555.0,18708.0,2958.9062
211,16.1321,15.3176,1.6715,16.737,552.0,21015.0,2958.9062
212,16.6755,15.8737,1.6722,16.2915,552.0,18444.0,2958.9062
213,16.3539,15.9055,2.3344,16.3565,552.0,21638.0,2958.9062
214,16.3467,16.0203,2.0792,16.9687,552.0,19436.0,2958.9062
215,16.973,15.6511,1.8781,16.1302,556.0,22422.0,2958.9062
216,16.1036,15.8663,1.8558,16.3808,561.0,31816.0,2958.9062
217,16.3887,16.183,1.8965,16.0597,552.0,31990.0,2958.9062
218,16.0751,15.9273,1.8161,16.5866,553.0,22794.0,2958.9062
219,16.6022,15.9245,1.491,16.139,552.0,16000.0,2958.9062
220,16.1947,15.8705,1.6802,16.6305,552.0,16000.0,2958.9062
221,16.4539,15.6318,1.5805,16.3421,556.0,17794.0,2958.9062
222,16.3439,15.5608,1.544,16.1892,556.0,20298.0,2958.9062
223,16.297,16.1438,1.7077,16.6683,556.0,28114.0,2958.9062
224,16.6482,16.016,1.7646,16.8501,554.0,25104.0,2958.9062
225,16.8644,16.006,1.8467,17.0733,555.0,36914.0,2958.9062
226,17.0674,15.3642,1.752,15.6732,554.0,30751.0,2958.9062
227,15.678,15.6934,1.8145,16.3779,552.0,18166.0,2958.9062
228,16.3616,16.1567,1.9921,17.3284,553.0,17868.0,2958.9062
229,17.2772,16.1486,1.5296,15.5524,552.0,42316.0,2958.9062
230,15.5948,15.9925,2.0285,16.187,553.0,28638.0,2958.9062
231,16.2509,15.9462,1.8916,16.6602,557.0,31167.0,2958.9062
232,16.7257,15.8184,1.9576,16.3955,552.0,16464.0,2958.9062
233,16.3488,16.085,1.7623,16.2404,552.0,17392.0,2958.9062
234,16.2081,15.9728,1.8628,17.3541,552.0,16928.0,2958.9062
235,17.3317,16.0916,1.6309,15.8812,551.0,16880.0,2958.9062
236,15.9805,15.7763,1.7791,16.8922,551.0,16458.0,2958.9062
237,16.7636,15.8905,1.7433,15.9218,558.0,19853.0,2958.9062
238,15.9958,16.2537,1.7809,16.5035,556.0,17998.0,2958.9062
239,16.5841,15.9351,1.7697,16.7032,556.0,16554.0,2958.9062
240,16.6175,16.0986,1.856,16.1799,556.0,18241.0,2958.9062
241,16.09,15.7216,1.4658,16.7553,555.0,17825.0,2958.9062
242,16.7859,15.9033,1.9114,16.8798,550.0,15810.0,2958.9062
243,16.9054,16.0203,1.7587,15.9472,552.0,16000.0,2958.9062
244,15.9699,15.7971,1.8734,16.606,552.0,17688.0,2958.9062
245,16.6116,16.2704,1.8202,16.9682,553.0,25380.0,2958.9062
246,16.9423,16.0249,1.9648,16.1076,552.0,16928.0,2958.9062
247,16.0882,15.6974,1.8992,16.0868,552.0,16000.0,2958.9062
248,16.0845,16.3893,1.8141,17.6638,554.0,17871.0,2958.9062
249,17.5911,15.9795,1.6849,16.2865,552.0,16000.0,2958.9062
250,16.3835,16.0737,2.1418,16.6158,553.0,17868.0,2958.9062
251,16.6118,16.0379,1.7131,15.7338,552.0,16000.0,2958.9062
252,15.6687,15.9421,1.7129,16.776,562.0,38809.0,2958.9062
253,17.0073,16.0881,1.8953,16.4495,565.0,75178.0,2958.9062
254,16.3173,16.1323,1.8912,17.495,560.0,79432.0,2958.9062
255,17.4929,16.4758,2.0011,16.5064,558.0,16028.0,2958.9062
256,16.4754,16.1028,1.9239,16.5216,554.0,16002.0,2958.9062
257,16.5315,15.9282,1.9668,16.4316,556.0,16026.0,2958.9062
258,16.4512,15.9067,2.0373,16.1936,555.0,16014.0,2958.9062
259,16.1549,16.0859,1.7683,16.1338,553.0,16012.0,2958.9062
260,16.2569,16.3605,2.0594,17.6337,553.0,16012.0,2958.9062
261,17.5249,15.8626,1.9942,16.5918,553.0,16012.0,2958.9062
262,16.6078,15.9393,1.8991,15.9193,552.0,16000.0,2958.9062
263,16.0301,16.3564,1.9096,17.2751,553.0,16476.0,2958.9062
264,17.2308,15.8935,1.8801,16.1663,552.0,16000.0,2958.9062
265,16.1725,16.35,2.03,16.7132,551.0,15952.0,2958.9062
266,16.8758,16.0879,1.9004,15.9936,552.0,16000.0,2958.9062
267,15.8294,15.7031,1.8707,16.7511,547.0,17152.0,2958.9062
268,16.7425,16.3672,1.9157,16.4399,551.0,15916.0,2958.9062
269,16.4112,16.2212,1.9147,17.9176,556.0,16004.0,2958.9062
270,17.8756,16.1806,2.1068,15.5918,557.0,16016.0,2958.9062
271,15.6555,16.0837,2.1835,16.666,557.0,16016.0,2958.9062
272,16.6415,16.1808,1.9947,16.9131,555.0,16014.0,2958.9062
273,16.9756,16.2888,1.9475,17.7819,554.0,16930.0,2958.9062
274,17.9273,16.0434,2.0443,16.117,554.0,21106.0,2958.9062
275,15.9126,16.1338,2.0124,16.2787,552.0,19248.0,2958.9062
276,16.2878,16.0762,1.9195,16.1144,552.0,16000.0,2958.9062
277,16.1058,16.1275,1.8647,16.5288,552.0,29048.0,2958.9062
278,16.5213,16.1844,1.9426,16.7875,554.0,42219.0,2958.9062
279,16.8155,16.096,1.9209,16.5429,558.0,29873.0,2958.9062
280,16.5921,16.2918,1.8929,16.6705,554.0,18583.0,2958.9062
281,16.6302,15.8112,1.9382,16.2812,552.0,17104.0,2958.9062
282,16.246,16.0487,1.9044,16.7225,552.0,18208.0,2958.9062
283,16.6996,16.1516,2.0725,16.8684,552.0,16000.0,2958.9062
284,17.0004,15.8152,2.2511,16.5844,554.0,16488.0,2958.9062
285,16.4818,16.3123,2.149,16.6575,556.0,16004.0,2958.9062
286,16.8305,16.2746,3.1883,16.4871,558.0,19276.0,2958.9062
287,16.3046,15.8463,2.3451,16.1322,556.0,17940.0,2958.9062
288,16.1371,16.2105,2.4542,17.516,554.0,17120.0,2958.9062
289,17.4832,16.0103,2.0013,15.9439,554.0,19064.0,2958.9062
290,15.9222,16.6543,1.7351,17.0123,554.0,20649.0,2958.9062
291,17.02,16.448,1.7579,16.5465,554.0,19204.0,2958.9062
