capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,18.9963,17.6809,2.0769,20.6725,361.0,52508.0,3022.4062
121,20.6661,19.7962,1.796,19.1062,385.0,54044.0,3022.4062
122,19.124,18.7132,1.7622,19.4835,394.0,54606.0,3022.4062
123,19.5538,18.8184,1.8841,19.1601,394.0,54606.0,3022.4062
124,19.1055,18.7677,1.8562,19.2073,394.0,54606.0,3022.4062
125,19.2804,19.2602,2.1722,20.0863,383.0,53946.0,3022.4062
126,19.979,19.0106,1.8336,20.9345,392.0,54740.0,3022.4062
127,20.9542,19.6895,1.895,19.253,389.0,54402.0,3022.4062
128,19.26,18.8866,1.8923,19.5147,393.0,55522.0,3022.4062
129,19.4861,18.7529,1.8089,18.9339,392.0,54582.0,3022.4062
130,18.9983,18.7389,2.0349,20.1949,392.0,56578.0,3022.4062
131,20.169,18.857,2.2066,18.8778,394.0,56920.0,3022.4062
132,18.8541,20.1569,1.852,20.7251,398.0,55372.0,3022.4062
133,20.7564,18.9459,1.8249,19.4953,398.0,57930.0,3022.4062
134,19.4885,18.922,1.8435,19.3123,400.0,55950.0,3022.4062
135,19.3047,18.9471,1.8603,19.8968,402.0,61204.0,3022.4062
136,20.0069,18.8175,2.2727,19.4321,397.0,56182.0,3022.4062
137,19.3314,18.748,1.9622,18.774,395.0,55524.0,3022.4062
138,18.735,20.3945,1.8445,21.231,393.0,60546.0,3022.4062
139,21.2575,18.6216,1.783,19.0915,393.0,54752.0,3022.4062
140,19.1081,18.6916,1.9599,18.8967,393.0,57170.0,3022.4062
141,18.8797,18.9481,1.9853,20.6119,393.0,58100.0,3022.4062
142,20.6546,18.7635,2.1188,18.7475,393.0,62786.0,3022.4062
143,18.7238,18.9416,1.751,20.5721,394.0,61458.0,3022.4062
144,20.5461,18.5119,1.9873,18.9784,393.0,62114.0,3022.4062
145,19.0635,18.5754,1.8539,18.9161,394.0,62206.0,3022.4062
146,18.8207,18.7216,1.771,19.023,392.0,65354.0,3022.4062
147,19.1276,18.8119,1.7641,20.3397,378.0,59438.0,3022.4062
148,20.301,19.7123,2.3183,19.4625,391.0,80061.0,3022.4062
149,19.4801,19.1324,2.2066,21.0312,361.0,52486.0,3022.4062
150,21.104,19.9149,2.2594,18.7011,364.0,52522.0,3022.4062
151,18.6379,18.8543,2.3682,18.9087,380.0,56842.0,3022.4062
152,18.8473,18.5585,1.7907,19.1307,395.0,60706.0,3022.4062
153,19.1431,18.8347,2.077,19.4242,395.0,77034.0,3022.4062
154,19.4537,18.9352,2.2827,19.4167,376.0,74338.0,3022.4062
155,19.4274,19.2445,1.7936,20.8804,358.0,52494.0,3022.4062
156,20.8595,18.5137,1.8654,18.7621,384.0,77936.0,3022.4062
157,18.8528,18.8178,1.7919,19.9272,379.0,69154.0,3022.4062
158,19.8185,18.9201,1.9053,18.9326,396.0,65070.0,3022.4062
159,18.9261,18.6683,1.9781,19.8043,394.0,60728.0,3022.4062
160,19.9117,18.7166,1.964,19.418,393.0,55306.0,3022.4062
161,19.3174,20.4719,1.8803,20.8771,400.0,62835.0,3022.4062
162,20.8539,18.5113,1.8906,18.4017,395.0,57482.0,3022.4062
163,18.4852,18.7292,1.8571,19.8251,394.0,56453.0,3022.4062
164,19.7956,18.5385,1.7971,18.7344,396.0,54586.0,3022.4062
165,18.7553,18.6622,2.4488,20.175,398.0,56921.0,3022.4062
166,20.1582,18.8067,2.0089,18.3214,407.0,67329.0,3022.4062
167,18.3039,19.9201,1.8028,20.7187,399.0,60274.0,3022.4062
168,20.7674,18.753,1.9576,19.1794,394.0,61110.0,3022.4062
169,19.1194,18.6572,1.7672,19.1297,396.0,66734.0,3022.4062
170,19.2261,19.08,2.0084,20.1881,392.0,55082.0,3022.4062
171,20.1622,18.9782,2.0917,19.0395,392.0,55976.0,3022.4062
172,19.0662,18.567,1.8452,19.034,366.0,54242.0,3022.4062
173,18.967,20.1033,1.8464,20.44,357.0,52482.0,3022.4062
174,20.4412,18.7465,1.7613,19.7997,360.0,52518.0,3022.4062
175,19.84,18.7816,2.0253,19.017,392.0,54582.0,3022.4062
176,18.9402,18.8394,1.7474,19.6373,393.0,54594.0,3022.4062
177,19.7631,18.9181,2.329,19.7884,392.0,54582.0,3022.4062
178,19.6836,18.8508,1.8296,20.1508,394.0,54606.0,3022.4062
179,20.1459,18.799,1.907,19.1989,372.0,53382.0,3022.4062
180,19.2315,18.788,1.97,19.6104,398.0,54768.0,3022.4062
181,19.5761,18.6141,1.7587,18.8009,396.0,54586.0,3022.4062
182,18.8191,18.8694,1.8827,20.2078,398.0,55538.0,3022.4062
183,20.2039,18.8374,2.1476,19.2465,395.0,54596.0,3022.4062
184,19.2493,20.3939,1.7984,20.327,394.0,56580.0,3022.4062
185,20.3448,18.5492,1.9964,19.4206,398.0,57234.0,3022.4062
186,19.4234,18.8001,1.8602,18.918,394.0,55080.0,3022.4062
187,18.88,19.117,1.9958,19.9915,395.0,57938.0,3022.4062
188,20.0303,18.6644,2.0357,19.5509,394.0,55922.0,3022.4062
189,19.546,18.903,1.9226,19.1237,400.0,61202.0,3022.4062
190,19.0972,20.1202,1.7243,20.8403,394.0,56168.0,3022.4062
191,20.8599,18.6978,1.7469,18.9324,392.0,58086.0,3022.4062
192,18.8997,19.008,1.8974,19.683,393.0,57970.0,3022.4062
193,19.7777,18.7374,1.8961,19.4123,393.0,54752.0,3022.4062
194,19.425,19.1438,2.2746,20.0741,394.0,57646.0,3022.4062
195,20.1077,18.8721,1.9791,20.2511,394.0,58112.0,3022.4062
196,20.1552,19.7312,1.8375,19.3179,396.0,65662.0,3022.4062
197,19.3132,18.8921,1.8418,19.3816,397.0,58102.0,3022.4062
198,19.3541,18.7523,1.7861,19.345,400.0,62618.0,3022.4062
199,19.3404,18.9289,1.9659,20.2553,394.0,62028.0,3022.4062
200,20.3309,19.0462,2.1014,18.5491,392.0,64928.0,3022.4062
201,18.4822,18.8426,1.7977,21.2906,381.0,59452.0,3022.4062
202,21.2767,18.7115,1.6822,18.72,385.0,79985.0,3022.4062
203,18.7296,18.9328,2.0102,20.0878,358.0,52494.0,3022.4062
204,20.1847,19.0252,2.0872,21.1386,359.0,52506.0,3022.4062
205,21.2074,18.7546,2.3257,19.2715,383.0,58170.0,3022.4062
206,19.1677,18.9996,2.2675,18.4927,393.0,65028.0,3022.4062
207,18.4862,20.6786,2.29,20.96,395.0,77396.0,3022.4062
208,20.9911,18.6778,2.2428,18.8962,373.0,68368.0,3022.4062
