capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,20.2642,19.3069,1.9979,20.1441,394.0,57512.0,3024.5312
121,20.109,19.7495,2.1526,20.1069,398.0,66014.0,3024.5312
122,20.1974,20.3191,2.0874,20.9237,394.0,70350.0,3024.5312
123,20.846,19.8312,1.9349,19.9355,392.0,58550.0,3024.5312
124,19.9202,19.5086,1.9434,20.0096,393.0,55680.0,3024.5312
125,20.0422,19.6675,2.3064,20.8903,396.0,56022.0,3024.5312
126,20.8921,19.4362,2.186,20.963,395.0,56214.0,3024.5312
127,20.9799,20.741,2.1052,19.802,394.0,64810.0,3024.5312
128,19.7642,19.2884,2.0298,20.0193,393.0,105138.0,3024.5312
129,20.0729,19.5249,2.0396,19.6132,380.0,82978.0,3024.5312
130,19.6446,19.6568,2.266,20.5868,363.0,52510.0,3024.5312
131,20.4985,20.6721,2.1952,21.4623,363.0,52510.0,3024.5312
132,21.5421,18.6172,2.1031,19.9093,396.0,70495.0,3024.5312
133,19.8548,19.4857,1.9991,19.9811,394.0,59252.0,3024.5312
134,19.9431,19.3497,2.1742,20.4864,394.0,61032.0,3024.5312
135,20.5457,19.1347,2.2757,19.3747,395.0,60250.0,3024.5312
136,19.341,20.8312,1.9627,20.9182,364.0,56046.0,3024.5312
137,20.9019,19.647,2.0307,20.1357,362.0,52686.0,3024.5312
138,20.1755,19.4248,1.9542,19.8352,357.0,52482.0,3024.5312
139,19.8108,19.0125,2.2044,19.8917,359.0,52506.0,3024.5312
140,19.9447,19.5484,2.1429,21.2685,358.0,52494.0,3024.5312
141,21.2089,20.1529,1.904,20.5962,357.0,52482.0,3024.5312
142,20.6207,19.2578,2.0364,19.9255,394.0,54606.0,3024.5312
143,19.9262,18.9791,2.1373,19.2137,393.0,54778.0,3024.5312
144,19.2498,20.0146,2.3254,21.4377,359.0,52554.0,3024.5312
145,21.39,20.6897,2.1009,20.6793,363.0,52510.0,3024.5312
146,20.7067,19.5007,1.9608,19.8304,363.0,52510.0,3024.5312
147,19.7909,19.3254,1.9816,19.8229,396.0,54586.0,3024.5312
148,19.8284,19.4276,2.0448,20.337,394.0,54584.0,3024.5312
149,20.3743,18.9903,2.2411,19.2916,394.0,54584.0,3024.5312
150,19.2586,20.7531,2.0158,21.4968,394.0,54584.0,3024.5312
151,21.5174,19.1827,2.039,19.924,393.0,54594.0,3024.5312
152,19.9044,19.3288,1.9114,19.6606,393.0,54594.0,3024.5312
153,19.7304,19.3342,2.3016,20.1481,392.0,54582.0,3024.5312
154,20.0815,19.2777,2.1129,19.5958,395.0,56306.0,3024.5312
155,19.683,20.2336,2.0265,20.7841,393.0,57970.0,3024.5312
156,20.7016,19.4999,2.1627,20.5545,392.0,56270.0,3024.5312
157,20.5292,18.9615,2.0736,19.1442,393.0,54594.0,3024.5312
158,19.1924,19.5328,2.261,20.4001,394.0,55070.0,3024.5312
159,20.4167,19.4735,1.9729,21.395,393.0,55986.0,3024.5312
