capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,19.5868,19.0122,2.4224,20.0852,400.0,59776.0,3024.2812
121,20.1569,18.7378,2.0124,20.2984,396.0,60702.0,3024.2812
122,20.2613,18.7662,2.0404,19.5803,381.0,55088.0,3024.2812
123,19.6275,18.9526,2.3565,19.0275,360.0,52662.0,3024.2812
124,19.036,18.9515,2.009,19.4594,359.0,52554.0,3024.2812
125,19.613,19.0234,2.5317,20.3939,368.0,55046.0,3024.2812
126,20.2178,18.9255,2.0787,19.3744,392.0,80688.0,3024.2812
127,19.3358,19.4612,2.053,20.5735,381.0,85670.0,3024.2812
128,20.5636,18.5717,1.8252,19.0393,392.0,80694.0,3024.2812
129,19.0323,18.876,2.0004,19.8409,392.0,54582.0,3024.2812
130,19.8763,19.1843,2.187,19.8562,394.0,55070.0,3024.2812
131,19.8122,18.472,2.543,18.4256,394.0,54606.0,3024.2812
132,18.4774,18.9521,1.9311,20.7176,398.0,55074.0,3024.2812
133,20.6882,19.7537,1.9976,19.0749,397.0,54598.0,3024.2812
134,19.0569,19.0979,1.7811,19.9905,397.0,54598.0,3024.2812
135,19.8811,18.9538,1.589,19.3279,396.0,54608.0,3024.2812
136,19.4151,19.0944,2.1861,20.1395,394.0,56272.0,3024.2812
137,20.1857,18.8766,2.1317,19.3509,395.0,55218.0,3024.2812
138,19.3422,19.4052,1.9863,20.2363,393.0,58662.0,3024.2812
139,20.2376,19.0916,1.9355,18.9641,394.0,57924.0,3024.2812
140,18.9779,18.7394,1.9014,19.5146,393.0,56066.0,3024.2812
141,19.5178,18.7125,1.9811,19.38,397.0,56188.0,3024.2812
142,19.4341,18.7701,2.1191,19.2062,399.0,60066.0,3024.2812
143,19.157,18.8323,1.9955,19.9989,396.0,57844.0,3024.2812
144,19.9973,19.3609,2.0261,19.9943,394.0,55070.0,3024.2812
145,20.0511,18.5865,1.9694,19.3421,393.0,55522.0,3024.2812
146,19.2491,18.7158,1.7699,19.5332,395.0,55082.0,3024.2812
147,19.5854,18.7884,1.9485,19.9934,393.0,55522.0,3024.2812
148,20.0666,18.8123,2.0164,18.996,397.0,54598.0,3024.2812
149,18.8904,19.0015,2.0323,19.363,397.0,60214.0,3024.2812
150,19.3699,20.0362,2.06,20.2346,396.0,71286.0,3024.2812
151,20.317,19.1452,1.9514,19.429,395.0,63460.0,3024.2812
152,19.419,18.8474,2.0521,19.4178,371.0,53572.0,3024.2812
153,19.3693,18.8162,2.0843,20.0914,360.0,52496.0,3024.2812
154,20.0934,18.6713,2.2805,19.227,358.0,52494.0,3024.2812
155,19.2966,18.9695,2.0362,20.4059,379.0,55086.0,3024.2812
156,20.298,19.6354,1.9531,19.0166,384.0,57213.0,3024.2812
157,19.0328,18.8283,1.9674,18.9325,394.0,54822.0,3024.2812
158,18.9559,18.7364,1.9199,19.4083,372.0,53238.0,3024.2812
159,19.4871,18.7606,2.6426,19.9338,358.0,52494.0,3024.2812
160,19.7996,18.6737,2.0529,19.4986,357.0,52482.0,3024.2812
161,19.5312,20.0768,2.1712,19.9882,357.0,52482.0,3024.2812
162,20.0311,17.5603,1.8552,19.2108,358.0,52494.0,3024.2812
163,19.2031,18.7693,2.1028,20.4199,364.0,55006.0,3024.2812
164,20.398,18.771,1.9621,18.3596,401.0,81046.0,3024.2812
165,18.4391,19.2727,2.5113,20.657,402.0,74716.0,3024.2812
166,20.5832,19.0394,2.0104,20.7546,403.0,77434.0,3024.2812
167,20.7639,20.0646,1.959,18.9031,396.0,56500.0,3024.2812
168,19.015,18.8682,2.0537,19.4601,394.0,59816.0,3024.2812
169,19.3734,18.4818,1.8832,18.9267,398.0,58790.0,3024.2812
