capture_frame,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHI/DrawCalls,RHI/PrimitivesDrawn,GPUMem/LocalUsedMB
120,9.7651,9.9221,1.7671,8.9091,347.0,38863.0,2462.0625
121,8.8564,8.8475,1.4643,10.5757,345.0,38647.0,2462.0625
122,10.6017,8.9022,1.7607,8.9437,344.0,38635.0,2462.0625
123,8.9055,9.6836,1.5848,9.8355,348.0,38639.0,2462.0625
124,9.8372,8.3337,1.6087,9.3379,349.0,38651.0,2462.0625
125,9.4019,10.2237,1.761,10.338,347.0,38627.0,2462.0625
126,10.2817,8.326,1.7194,9.6143,345.0,38625.0,2462.0625
127,9.6613,9.6259,1.6578,9.2578,347.0,38649.0,2462.0625
128,9.2532,9.3971,1.3968,10.5053,347.0,38649.0,2462.0625
129,10.5182,8.7231,1.7267,9.2734,385.0,82817.0,2462.0625
130,9.4065,10.0713,1.8735,10.1858,390.0,78777.0,2462.0625
131,10.1083,8.3843,1.8482,9.3214,386.0,62211.0,2462.0625
132,9.2539,9.8102,1.6921,9.6404,363.0,41529.0,2462.0625
133,9.6395,8.3319,1.4111,10.0334,365.0,41745.0,2462.0625
134,10.044,9.7649,1.8662,9.372,361.0,55433.0,2462.0625
135,9.4006,10.1046,1.6785,10.8597,372.0,66427.0,2462.0625
136,10.7973,8.5117,1.7161,8.9452,344.0,38635.0,2462.0625
137,9.0023,9.9314,1.8871,10.0873,349.0,38935.0,2462.0625
138,10.0199,8.3552,1.5456,10.2105,344.0,38635.0,2462.0625
139,10.2747,9.8006,1.7522,9.2865,353.0,38939.0,2462.0625
140,9.2654,10.0584,1.6073,10.5927,377.0,43630.0,2462.0625
141,10.5815,8.3354,1.834,9.3224,349.0,38651.0,2462.0625
142,9.3321,10.2171,1.7825,10.248,386.0,49327.0,2462.0625
143,10.3014,8.3487,1.6719,9.1556,383.0,42656.0,2462.0625
144,9.1461,9.9744,1.7823,9.4482,351.0,38937.0,2462.0625
145,9.426,9.7108,1.6202,11.2859,343.0,38623.0,2462.0625
146,11.2929,8.7679,1.7465,9.7567,380.0,45835.0,2462.0625
147,9.7347,10.0405,1.8765,9.5391,385.0,52244.0,2462.0625
148,9.5019,8.3644,1.5635,9.3275,383.0,44830.0,2462.0625
149,9.3696,10.4221,1.8119,10.2651,344.0,38683.0,2462.0625
150,10.3132,9.3017,1.5369,10.0147,344.0,38635.0,2462.0625
151,9.9724,8.869,1.6267,9.6249,344.0,38683.0,2462.0625
152,9.6366,9.924,1.774,9.9791,343.0,38623.0,2462.0625
153,9.9713,8.3761,1.821,9.1902,346.0,38659.0,2462.0625
154,9.1643,10.4019,1.7874,11.0564,343.0,38623.0,2462.0625
155,11.0285,9.3623,1.7418,9.9756,348.0,38639.0,2462.0625
156,10.0244,8.5875,1.7761,8.6543,347.0,38627.0,2462.0625
157,8.5872,9.4672,1.7119,10.9802,363.0,39491.0,2462.0625
158,11.0488,8.3713,1.9976,8.9122,381.0,44791.0,2462.0625
159,8.9634,10.2217,1.8912,10.4687,376.0,42431.0,2462.0625
160,10.4769,8.3678,1.7181,10.16,383.0,50722.0,2462.0625
161,10.1065,9.8143,1.8839,9.3949,384.0,52141.0,2462.0625
162,9.3732,9.5366,1.7308,10.8628,385.0,48789.0,2462.0625
163,10.9193,8.935,1.884,8.6745,371.0,43551.0,2462.0625
164,8.707,10.1561,1.7349,10.8792,380.0,40887.0,2462.0625
165,10.8102,8.7947,1.8476,9.9544,381.0,40807.0,2462.0625
166,9.965,10.1645,1.6528,9.4195,380.0,40795.0,2462.0625
167,9.4771,9.5195,1.7637,10.2076,380.0,40795.0,2462.0625
168,10.1505,8.9799,1.9429,9.5449,380.0,40795.0,2462.0625
169,9.6103,10.4718,1.7733,10.7847,380.0,40795.0,2462.0625
170,10.6929,8.3372,1.8981,9.4019,379.0,40783.0,2462.0625
171,9.3867,10.0107,1.6646,9.8042,385.0,40811.0,2462.0625
172,9.8338,9.5061,1.4552,10.6027,383.0,42475.0,2462.0625
173,10.5715,8.38,1.7182,9.1865,386.0,42511.0,2462.0625
174,9.3092,9.6854,1.823,10.3423,382.0,42485.0,2462.0625
175,10.2676,9.6864,1.816,10.9209,382.0,42485.0,2462.0625
176,10.9151,9.8535,1.965,9.9999,381.0,40785.0,2462.0625
177,10.0558,10.0557,2.2259,10.1901,382.0,41905.0,2462.0625
178,10.1801,9.6312,1.9933,9.8454,379.0,41257.0,2462.0625
